Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,COF,61.9323,62.0354,60.9407,60.9407,1859500
2007-01-03,COF,58.2,58.71,57.86,58.33,3047000
2007-01-04,COF,58.5,58.69,57.86,58.26,1462000
2007-01-05,COF,58.26,58.52,57.77,58.26,2163900
2007-01-08,COF,58.32,58.5,57.76,58.47,2018900
2007-01-09,COF,58.66,58.67,57.61,57.86,2089600
2007-01-10,COF,57.76,57.79,56.86,57.16,2839500
2007-01-11,COF,57.16,57.46,56.97,57.38,3195000
2007-01-12,COF,57.38,58.31,57.36,58.16,2821400
2007-01-16,COF,58.17,58.17,57.35,57.53,3647000
2007-01-17,COF,57.51,58.25,57.3,57.79,2884900
2007-01-18,COF,57.6,58.56,57.06,57.25,3306300
2007-01-19,COF,58.52,59.65,58.06,59.56,7297000
2007-01-22,COF,59.49,60.19,59.18,59.65,4005100
2007-01-23,COF,59.93,60.48,59.72,60.45,3825400
2007-01-24,COF,60.41,60.62,60.06,60.59,2667700
2007-01-25,COF,60.59,60.71,59.13,59.41,3352700
2007-01-26,COF,60.03,60.26,59.54,60.01,2715700
2007-01-29,COF,59.88,60.02,59.07,59.46,2081100
2007-01-30,COF,59.48,60.71,59.09,60.52,3381400
2007-01-31,COF,60.26,60.96,59.63,60.71,2996500
2007-02-01,COF,60.71,60.73,59.99,60.2,2799700
2007-02-02,COF,60.39,61.35,60.16,61.02,5207700
2007-02-05,COF,60.84,61.81,60.61,61.65,3509200
2007-02-06,COF,61.62,62.56,61.47,62.44,4148500
2007-02-07,COF,62.45,63.31,61.75,63.13,3162900
2007-02-08,COF,62.72,62.83,61.19,62.52,3464300
2007-02-09,COF,62.46,62.78,61.41,61.94,2697700
2007-02-12,COF,61.62,62.06,61.01,61.56,2661006
2007-02-13,COF,61.63,62.25,61.56,61.77,2207750
2007-02-14,COF,62.01,62.41,61.69,61.84,2669102
2007-02-15,COF,61.93,62.31,61.37,62.2,3127200
2007-02-16,COF,62.01,62.26,61.71,61.99,3397400
2007-02-20,COF,61.8,62.23,61.62,62.04,2601100
2007-02-21,COF,61.56,62.24,61.35,62.15,3546500
2007-02-22,COF,62.27,62.27,61.84,62.17,2611200
2007-02-23,COF,62.26,62.26,60.36,60.79,3420200
2007-02-26,COF,60.81,61.29,60.06,60.67,3242206
2007-02-27,COF,60.05,60.34,57.64,58.26,4829000
2007-02-28,COF,58.26,59.12,57.24,58.18,4258400
2007-03-01,COF,56.91,58.51,56.65,58.27,3539175
