Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,COP,32.6401,32.7933,32.3155,32.4372,9246856.591306908
2007-01-03,COP,31.54,31.62,30.03,30.16,21113200.0
2007-01-04,COP,29.68,29.85,28.81,29.22,27279800.0
2007-01-05,COP,29.5,29.92,29.22,29.82,16189800.0
2007-01-08,COP,30.12,30.33,29.67,30.21,16781600.0
2007-01-09,COP,29.63,29.92,29.37,29.42,20072000.0
2007-01-10,COP,29.19,29.72,28.48,28.54,23535300.0
2007-01-11,COP,28.09,28.5,27.24,27.34,32982900.0
2007-01-12,COP,27.63,28.3,27.55,28.23,19181200.0
2007-01-16,COP,28.25,28.43,27.64,27.78,16921000.0
2007-01-17,COP,27.74,28.34,27.74,28.11,18008500.0
2007-01-18,COP,28.26,28.48,27.61,27.69,15971800.0
2007-01-19,COP,27.86,28.41,27.85,28.29,13992300.0
2007-01-22,COP,28.48,28.56,27.92,28.03,13426000.0
2007-01-23,COP,28.25,28.89,28.16,28.74,15824900.0
2007-01-24,COP,28.75,29.11,28.51,29.02,12620800.0
2007-01-25,COP,29.02,29.04,28.27,28.33,9452800.0
2007-01-26,COP,28.51,28.8,28.35,28.65,8460400.0
2007-01-29,COP,28.73,28.94,28.51,28.58,10393900.0
2007-01-30,COP,28.72,29.12,28.64,29.04,11173200.0
2007-01-31,COP,29.01,29.47,28.82,29.37,15998800.0
2007-02-01,COP,29.5,29.82,29.34,29.77,13955200.0
2007-02-02,COP,29.79,29.87,29.42,29.76,6954700.0
2007-02-05,COP,29.81,29.97,29.58,29.65,6547100.0
2007-02-06,COP,30.39,30.01,29.3,29.47,8337100.0
2007-02-07,COP,29.56,29.61,29.09,29.29,9948900.0
2007-02-08,COP,29.28,29.69,29.02,29.58,9947100.0
2007-02-09,COP,29.63,29.78,29.43,29.63,9456700.0
2007-02-12,COP,29.24,29.53,29.06,29.21,9077788.0
2007-02-13,COP,29.28,29.79,29.26,29.75,9772158.0
2007-02-14,COP,29.74,30.12,29.72,29.84,9532485.0
2007-02-15,COP,29.85,29.86,29.27,29.44,10417200.0
2007-02-16,COP,29.29,29.55,29.26,29.44,7065300.0
2007-02-20,COP,29.2,29.21,28.93,29.18,7256700.0
2007-02-21,COP,29.15,29.53,28.78,29.5,10761000.0
2007-02-22,COP,29.5,29.8,29.19,29.76,8999200.0
2007-02-23,COP,29.94,30.14,29.86,29.9,8825100.0
2007-02-26,COP,30.08,30.46,30.02,30.24,7880510.0
2007-02-27,COP,29.77,30.05,28.48,28.95,17013500.0
2007-02-28,COP,28.95,29.57,28.77,29.07,14065000.0
2007-03-01,COP,28.88,29.52,28.38,29.35,14415689.0
2007-03-02,COP,29.35,29.37,28.71,28.89,10805900.0
2007-03-05,COP,28.89,29.23,28.4,28.7,12405900.0
2007-03-06,COP,28.94,29.35,28.88,29.29,9607400.0
2007-03-07,COP,29.29,30.59,29.24,29.89,16365100.0
2007-03-08,COP,30.17,30.32,29.92,30.07,10064000.0
2007-03-09,COP,30.33,30.39,30.01,30.17,12192700.0
2007-03-12,COP,29.82,30.14,29.73,29.92,10708600.0
2007-03-13,COP,29.86,30.46,29.62,29.63,12956800.0
2007-03-14,COP,29.92,30.24,29.31,30.22,15624828.0
2007-03-15,COP,30.22,30.12,29.57,29.6,13001128.0
2007-03-16,COP,29.6,29.65,29.01,29.08,14468050.0
2007-03-19,COP,29.22,29.44,28.97,29.21,14802200.0
2007-03-20,COP,29.21,29.55,28.91,29.51,12472126.0
2007-03-21,COP,29.51,30.06,29.48,29.89,11414534.0
2007-03-22,COP,29.89,30.86,30.02,30.56,16493160.0
2007-03-23,COP,30.56,31.08,30.57,30.82,10975230.0
2007-03-26,COP,30.93,31.16,30.69,30.95,10291200.0
2007-03-27,COP,30.84,31.03,30.7,30.92,8386337.0
2007-03-28,COP,31.11,31.37,30.08,30.81,11700741.0
2007-03-29,COP,31.06,31.08,30.64,30.78,10858194.0
2007-03-30,COP,30.61,30.74,30.26,30.42,10808516.0
2007-04-02,COP,30.49,30.6,30.17,30.34,10103100.0
2007-04-03,COP,30.1,30.41,29.9,30.19,10269100.0
2007-04-04,COP,30.14,30.23,29.65,30.14,11433900.0
2007-04-05,COP,30.12,30.42,29.97,30.24,6923059.0
2007-04-09,COP,29.82,30.78,29.48,30.45,9687126.0
