Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,CSGP,5.478,5.565,5.35,5.356,1240969.9999999998
2007-01-03,CSGP,5.4,5.43,5.15,5.21,2792420.0
2007-01-04,CSGP,5.19,5.24,5.08,5.19,1529600.0
2007-01-05,CSGP,5.16,5.2,5.06,5.07,1803230.0
2007-01-08,CSGP,5.06,5.07,5.03,5.06,1771280.0
2007-01-09,CSGP,5.08,5.08,4.98,5.0,2039880.0
2007-01-10,CSGP,4.97,5.07,4.96,5.04,1317520.0
2007-01-11,CSGP,5.03,5.12,5.03,5.09,578760.0
2007-01-12,CSGP,5.07,5.19,5.07,5.18,723280.0
2007-01-16,CSGP,5.2,5.23,5.1,5.13,1370180.0
2007-01-17,CSGP,5.11,5.17,5.06,5.07,1447680.0
2007-01-18,CSGP,5.02,5.1,5.0,5.0,877070.0
2007-01-19,CSGP,4.99,5.03,4.96,5.03,3022090.0
2007-01-22,CSGP,5.02,5.09,4.94,4.94,708390.0
2007-01-23,CSGP,4.95,5.01,4.89,4.94,572280.0
2007-01-24,CSGP,4.93,4.97,4.91,4.96,1069430.0
2007-01-25,CSGP,4.95,4.98,4.8,4.84,1086770.0
2007-01-26,CSGP,4.84,4.88,4.77,4.83,1125140.0
2007-01-29,CSGP,4.85,4.85,4.8,4.83,746490.0
2007-01-30,CSGP,4.82,4.82,4.77,4.78,1325580.0
2007-01-31,CSGP,4.79,4.81,4.75,4.75,714420.0
2007-02-01,CSGP,4.75,4.84,4.74,4.79,1330780.0
2007-02-02,CSGP,4.81,4.85,4.79,4.81,459580.0
2007-02-05,CSGP,4.81,4.84,4.73,4.75,1563720.0
2007-02-06,CSGP,4.78,4.85,4.76,4.85,1037600.0
2007-02-07,CSGP,4.85,4.85,4.8,4.84,627040.0
2007-02-08,CSGP,4.82,4.85,4.8,4.85,665640.0
2007-02-09,CSGP,4.84,4.84,4.73,4.78,912150.0
2007-02-12,CSGP,4.78,4.81,4.75,4.77,587130.0
2007-02-13,CSGP,4.78,4.78,4.72,4.75,641370.0
2007-02-14,CSGP,4.75,4.75,4.69,4.69,1253670.0
2007-02-15,CSGP,4.71,4.71,4.65,4.66,1192300.0
2007-02-16,CSGP,4.66,4.71,4.61,4.7,1453190.0
2007-02-20,CSGP,4.67,4.78,4.64,4.78,801650.0
2007-02-21,CSGP,4.75,4.79,4.65,4.66,1579190.0
2007-02-22,CSGP,4.65,5.12,4.51,5.06,7455850.0
2007-02-23,CSGP,4.95,5.2,4.95,5.08,7163850.0
2007-02-26,CSGP,5.09,5.15,5.02,5.06,2970440.0
2007-02-27,CSGP,5.0,5.03,4.89,4.93,3714470.0
2007-02-28,CSGP,4.92,4.96,4.66,4.69,3337090.0
2007-03-01,CSGP,4.66,4.69,4.54,4.62,1804830.0
2007-03-02,CSGP,4.62,4.63,4.41,4.44,1726040.0
2007-03-05,CSGP,4.39,4.43,4.3,4.34,2236130.0
2007-03-06,CSGP,4.39,4.52,4.39,4.49,1263900.0
2007-03-07,CSGP,4.47,4.49,4.42,4.45,1198800.0
2007-03-08,CSGP,4.48,4.54,4.37,4.42,1166700.0
2007-03-09,CSGP,4.47,4.47,4.39,4.46,1220260.0
2007-03-12,CSGP,4.45,4.48,4.42,4.45,1294760.0
2007-03-13,CSGP,4.42,4.43,4.35,4.4,1687580.0
2007-03-14,CSGP,4.38,4.46,4.35,4.4,1909930.0
2007-03-15,CSGP,4.42,4.53,4.41,4.45,1540520.0
2007-03-16,CSGP,4.45,4.49,4.4,4.45,1581980.0
2007-03-19,CSGP,4.46,4.46,4.36,4.4,2290720.0
2007-03-20,CSGP,4.4,4.44,4.37,4.41,2546780.0
2007-03-21,CSGP,4.41,4.53,4.39,4.5,873260.0
2007-03-22,CSGP,4.53,4.53,4.46,4.52,702920.0
2007-03-23,CSGP,4.52,4.58,4.5,4.56,688920.0
2007-03-26,CSGP,4.55,4.58,4.51,4.55,787990.0
2007-03-27,CSGP,4.54,4.56,4.44,4.46,1614160.0
2007-03-28,CSGP,4.45,4.47,4.4,4.42,2855860.0
2007-03-29,CSGP,4.46,4.46,4.4,4.45,1900660.0
2007-03-30,CSGP,4.46,4.48,4.39,4.47,829010.0
2007-04-02,CSGP,4.48,4.5,4.4,4.5,894010.0
2007-04-03,CSGP,4.51,4.71,4.51,4.68,1667580.0
2007-04-04,CSGP,4.61,4.7,4.58,4.63,744680.0
2007-04-05,CSGP,4.65,4.79,4.64,4.72,851780.0
2007-04-09,CSGP,4.72,4.75,4.67,4.71,545990.0
2007-04-10,CSGP,4.7,4.83,4.69,4.76,607680.0
2007-04-11,CSGP,4.77,4.77,4.65,4.7,549330.0
2007-04-12,CSGP,4.67,4.76,4.64,4.76,561920.0
2007-04-13,CSGP,4.75,4.79,4.71,4.75,1384910.0
