Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,C,412.436,414.208,410.22,411.328,1103859.9999999998
2007-01-03,C,403.7,408.2,396.88,400.73,22821100.0
2007-01-04,C,400.73,407.26,396.88,399.35,16586800.0
2007-01-05,C,398.92,399.28,395.0,397.25,13178800.0
2007-01-08,C,396.01,400.0,393.84,399.28,12495200.0
2007-01-09,C,398.99,400.0,393.04,395.8,19658100.0
2007-01-10,C,393.62,395.22,391.3,392.6,17449100.0
2007-01-11,C,393.62,394.49,390.21,392.9,14510500.0
2007-01-12,C,391.81,395.65,391.66,394.42,18429600.0
2007-01-16,C,396.23,397.54,394.13,397.25,12552800.0
2007-01-17,C,398.92,399.5,393.69,394.49,14065200.0
2007-01-18,C,393.77,396.81,392.17,394.49,17615400.0
2007-01-19,C,391.66,395.36,388.04,395.29,23955800.0
2007-01-22,C,400.15,402.76,396.45,396.59,28082900.0
2007-01-23,C,396.38,397.46,393.84,395.22,16265700.0
2007-01-24,C,395.29,397.75,393.62,397.68,15863600.0
2007-01-25,C,396.74,398.04,390.5,391.15,19026800.0
2007-01-26,C,391.15,396.52,388.18,396.52,21100900.0
2007-01-29,C,394.93,396.01,391.3,392.1,22206800.0
2007-01-30,C,390.94,393.98,390.21,393.62,16921400.0
2007-01-31,C,391.88,401.02,391.81,399.86,18159225.0
2007-02-01,C,403.82,404.04,397.74,400.89,18755250.0
2007-02-02,C,400.89,402.42,397.88,400.37,12585600.0
2007-02-05,C,399.57,404.26,398.54,401.03,16628300.0
2007-02-06,C,401.03,406.53,400.81,402.5,15536400.0
2007-02-07,C,402.42,404.26,401.59,402.5,11997600.0
2007-02-08,C,400.81,401.25,396.64,398.76,13995000.0
2007-02-09,C,398.47,399.13,390.34,391.14,19229700.0
2007-02-12,C,391.8,394.88,389.68,391.36,15309443.0
2007-02-13,C,392.1,394.44,391.88,393.42,13052531.0
2007-02-14,C,394.51,398.76,393.63,396.86,14163536.0
2007-02-15,C,397.0,399.35,395.83,397.08,13709500.0
2007-02-16,C,396.13,396.64,393.93,396.27,17256100.0
2007-02-20,C,396.78,400.3,396.2,396.93,16105700.0
2007-02-21,C,395.61,396.64,392.54,393.71,14916000.0
2007-02-22,C,395.17,396.2,391.29,392.54,19093000.0
2007-02-23,C,393.12,395.76,389.31,393.85,16232300.0
2007-02-26,C,392.54,396.93,382.21,385.87,35598582.0
2007-02-27,C,385.87,386.53,366.61,370.63,32065200.0
2007-02-28,C,370.63,373.71,363.02,368.95,46743900.0
2007-03-01,C,364.41,376.86,363.31,374.15,36725549.0
2007-03-02,C,374.15,375.1,365.14,366.02,26180000.0
2007-03-05,C,363.46,370.27,360.23,360.75,24972500.0
2007-03-06,C,360.75,372.39,362.94,370.49,26872100.0
2007-03-07,C,370.49,374.3,367.49,367.85,20809500.0
2007-03-08,C,370.78,375.32,368.51,369.9,17831100.0
2007-03-09,C,372.91,373.2,366.24,368.66,15701300.0
2007-03-12,C,367.05,371.0,366.97,368.88,10988600.0
2007-03-13,C,366.68,366.9,357.08,357.08,29286700.0
2007-03-14,C,357.45,361.26,351.96,359.5,30441252.0
