Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,ECL,37.9074,38.058,37.7149,37.8153,336800
2007-01-03,ECL,37.23,37.37,36.47,36.65,1095800
2007-01-04,ECL,36.57,36.63,36.02,36.2,1178100
2007-01-05,ECL,36.2,36.42,36.04,36.21,1335600
2007-01-08,ECL,36.11,36.23,35.86,36.09,985800
2007-01-09,ECL,36.2,36.29,36.0,36.1,908700
2007-01-10,ECL,36.03,36.19,35.91,36.07,656200
2007-01-11,ECL,36.07,36.63,36.07,36.49,608900
2007-01-12,ECL,36.58,37.06,36.5,36.78,582300
2007-01-16,ECL,36.65,37.05,36.65,36.96,538300
2007-01-17,ECL,36.96,36.96,36.72,36.81,571900
2007-01-18,ECL,36.79,36.91,36.49,36.55,348500
2007-01-19,ECL,36.49,36.6,36.28,36.34,682600
2007-01-22,ECL,36.28,36.5,36.21,36.33,481100
2007-01-23,ECL,36.24,36.45,36.16,36.44,689300
2007-01-24,ECL,36.44,36.67,36.37,36.58,623600
2007-01-25,ECL,36.51,36.53,35.95,36.11,1189200
2007-01-26,ECL,36.21,36.22,35.38,35.55,1385700
2007-01-29,ECL,35.46,35.93,35.46,35.8,1309000
2007-01-30,ECL,35.72,35.78,35.23,35.53,1091000
2007-01-31,ECL,35.5,36.25,35.5,36.16,841300
2007-02-01,ECL,36.13,36.49,36.03,36.38,853500
2007-02-02,ECL,36.38,36.7,36.34,36.46,863100
2007-02-05,ECL,36.34,36.4,35.86,36.02,668100
2007-02-06,ECL,36.02,36.63,36.02,36.44,722100
2007-02-07,ECL,36.44,36.56,36.26,36.44,340700
2007-02-08,ECL,36.33,36.4,36.09,36.24,507000
2007-02-09,ECL,36.24,36.62,36.17,36.18,546900
2007-02-12,ECL,36.29,36.65,36.16,36.32,894204
2007-02-13,ECL,36.36,36.72,36.03,36.16,1043717
2007-02-14,ECL,36.19,36.55,36.18,36.3,993639
2007-02-15,ECL,36.3,36.6,36.24,36.53,611000
2007-02-16,ECL,36.39,36.71,36.36,36.67,927700
2007-02-20,ECL,36.73,36.86,36.49,36.73,649500
2007-02-21,ECL,36.63,36.92,36.63,36.81,582800
2007-02-22,ECL,36.87,36.99,36.24,36.34,537500
2007-02-23,ECL,36.28,36.36,36.05,36.11,735000
2007-02-26,ECL,36.14,36.51,35.68,35.77,934763
2007-02-27,ECL,35.35,35.53,34.5,34.74,1341800
2007-02-28,ECL,34.85,35.23,34.28,34.84,956100
2007-03-01,ECL,34.43,34.68,30.48,34.39,1935157
2007-03-02,ECL,34.42,34.51,33.98,34.09,1299500
2007-03-05,ECL,33.97,34.16,33.62,33.63,1201100
2007-03-06,ECL,33.83,34.8,33.77,34.64,1472700
2007-03-07,ECL,34.51,34.91,34.47,34.72,973600
2007-03-08,ECL,34.72,35.28,34.84,35.06,967600
2007-03-09,ECL,35.2,35.56,35.19,35.42,731700
2007-03-12,ECL,35.43,35.63,35.04,35.46,747600
2007-03-13,ECL,35.21,35.42,34.39,34.43,1039500
2007-03-14,ECL,34.9,35.27,34.57,35.09,1572600
2007-03-15,ECL,35.12,35.8,35.12,35.31,1172600
2007-03-16,ECL,35.3,35.34,34.57,34.82,1829900
2007-03-19,ECL,34.82,35.54,35.05,35.51,1064000
2007-03-20,ECL,35.43,35.57,35.21,35.29,879800
2007-03-21,ECL,35.29,35.62,35.04,35.58,1032900
2007-03-22,ECL,36.31,36.31,35.32,35.49,866800
2007-03-23,ECL,35.49,35.62,35.24,35.5,959140
2007-03-26,ECL,35.59,35.79,35.05,35.76,648300
2007-03-27,ECL,35.6,35.7,35.28,35.51,718400
2007-03-28,ECL,35.38,35.38,34.94,35.11,819100
2007-03-29,ECL,35.17,35.48,35.07,35.28,1204908
2007-03-30,ECL,35.28,35.68,35.17,35.51,1112927
2007-04-02,ECL,35.48,35.76,35.34,35.66,903700
2007-04-03,ECL,35.8,36.33,35.77,36.11,692900
2007-04-04,ECL,35.98,36.4,35.98,35.98,695000
2007-04-05,ECL,35.99,36.19,35.99,36.11,521191
2007-04-09,ECL,36.1,36.25,36.01,36.18,459900
2007-04-10,ECL,36.18,36.26,36.03,36.07,662516
2007-04-11,ECL,36.12,36.21,35.96,36.02,871225
2007-04-12,ECL,36.03,36.41,36.0,36.38,605000
2007-04-13,ECL,36.34,36.4,36.07,36.15,507448
2007-04-16,ECL,36.24,36.67,36.24,36.67,634702
2007-04-17,ECL,36.65,36.82,36.43,36.49,535600
2007-04-18,ECL,36.49,36.53,36.2,36.29,678500
2007-04-19,ECL,36.99,36.99,35.98,36.33,587700
