Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,EG,70.7355,70.7355,70.113,70.1989,120400
2007-01-03,EG,96.82,98.27,96.82,97.94,514500
2007-01-04,EG,98.0,98.01,96.95,97.61,365500
2007-01-05,EG,97.14,97.31,96.14,96.33,247300
2007-01-08,EG,96.33,96.6,95.34,95.98,744300
2007-01-09,EG,95.98,96.21,95.49,95.79,297700
2007-01-10,EG,95.8,96.2,95.01,95.97,463100
2007-01-11,EG,96.41,97.64,96.31,97.21,516600
2007-01-12,EG,97.22,97.97,96.9,97.89,872600
2007-01-16,EG,98.14,98.34,97.25,97.35,329900
2007-01-17,EG,96.81,97.44,96.63,96.84,168900
2007-01-18,EG,96.26,97.09,96.06,96.27,391100
2007-01-19,EG,96.36,97.2,94.51,94.89,664200
2007-01-22,EG,94.88,94.89,92.85,94.24,655500
2007-01-23,EG,94.23,96.21,94.23,95.45,381700
2007-01-24,EG,95.7,96.02,95.18,95.47,187500
2007-01-25,EG,95.57,95.83,94.79,95.03,345900
2007-01-26,EG,95.23,95.65,94.3,94.78,514900
2007-01-29,EG,94.73,95.97,94.53,94.65,337600
2007-01-30,EG,92.27,93.6,91.58,93.24,1498000
2007-01-31,EG,94.49,94.84,91.0,92.36,939400
2007-02-01,EG,92.38,92.97,91.95,92.56,951800
2007-02-02,EG,92.81,92.99,92.44,92.68,563600
2007-02-05,EG,92.48,93.27,91.96,93.25,464500
2007-02-06,EG,93.75,94.3,93.41,93.89,497600
2007-02-07,EG,94.26,94.26,93.33,94.09,262000
2007-02-08,EG,93.94,94.23,93.23,93.78,423300
2007-02-09,EG,93.97,94.42,93.64,93.84,337500
2007-02-12,EG,93.94,94.21,93.73,94.21,367327
2007-02-13,EG,94.22,94.7,93.62,94.64,376253
2007-02-14,EG,94.65,95.72,94.64,95.48,401025
2007-02-15,EG,95.39,96.83,95.39,96.56,698800
2007-02-16,EG,96.56,97.28,96.56,96.94,344500
2007-02-20,EG,96.49,97.76,96.49,97.4,388800
2007-02-21,EG,97.33,98.17,97.25,98.11,451200
2007-02-22,EG,98.68,98.91,97.51,98.57,627600
2007-02-23,EG,98.37,98.39,97.39,97.6,223200
2007-02-26,EG,98.29,98.48,96.85,97.03,284261
2007-02-27,EG,95.9,96.3,94.74,95.54,439300
