Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,EIX,26.7561,26.8968,26.5569,26.6507,702100
2007-01-03,EIX,25.7,25.76,25.14,25.3,2796100
2007-01-04,EIX,25.19,25.24,25.0,25.0,3087800
2007-01-05,EIX,25.02,25.04,24.35,24.48,2316300
2007-01-08,EIX,24.48,24.63,24.22,24.35,1907700
2007-01-09,EIX,24.41,24.45,24.2,24.3,1517200
2007-01-10,EIX,24.26,24.39,24.18,24.26,1439500
2007-01-11,EIX,24.32,24.41,23.9,23.99,5213500
2007-01-12,EIX,24.04,24.18,23.81,23.91,3172700
2007-01-16,EIX,23.93,24.13,23.83,23.9,1886800
2007-01-17,EIX,23.92,24.0,23.8,23.91,1838700
2007-01-18,EIX,24.04,24.11,23.83,24.08,3260000
2007-01-19,EIX,24.12,24.26,23.99,24.24,1627300
2007-01-22,EIX,24.19,24.37,24.09,24.31,1616500
2007-01-23,EIX,24.25,24.74,24.25,24.59,2593100
2007-01-24,EIX,24.45,24.61,24.08,24.6,2281100
2007-01-25,EIX,24.7,24.93,24.61,24.66,2440100
2007-01-26,EIX,24.62,24.83,24.4,24.8,2221500
2007-01-29,EIX,24.81,24.97,24.76,24.86,2150900
2007-01-30,EIX,24.84,25.3,24.84,25.23,2429700
2007-01-31,EIX,25.23,25.3,24.98,25.04,1770700
2007-02-01,EIX,25.05,25.29,25.05,25.23,1407200
2007-02-02,EIX,25.23,25.36,25.2,25.29,1172500
2007-02-05,EIX,25.26,25.58,25.14,25.49,1320600
2007-02-06,EIX,25.58,25.76,25.49,25.65,1382100
2007-02-07,EIX,25.85,25.88,25.51,25.59,1076500
2007-02-08,EIX,25.53,25.87,25.09,25.58,1235100
2007-02-09,EIX,25.65,25.98,25.5,25.69,1611000
2007-02-12,EIX,25.8,25.91,25.66,25.72,990420
2007-02-13,EIX,25.72,25.84,25.52,25.8,1510006
2007-02-14,EIX,25.8,26.11,25.8,26.02,1501183
2007-02-15,EIX,25.98,26.07,25.71,25.85,1160000
2007-02-16,EIX,25.75,25.94,25.75,25.87,1012900
2007-02-20,EIX,25.87,26.03,25.79,25.99,942100
2007-02-21,EIX,25.85,25.99,25.65,25.73,1576600
2007-02-22,EIX,25.81,25.87,25.59,25.69,1236800
2007-02-23,EIX,25.71,26.22,25.56,26.14,2075000
2007-02-26,EIX,26.8,28.39,26.46,26.75,5453402
2007-02-27,EIX,26.49,26.82,25.71,26.07,2792100
2007-02-28,EIX,26.44,26.87,25.85,26.16,3156600
2007-03-01,EIX,25.71,26.77,25.71,26.48,2543737
2007-03-02,EIX,26.47,26.77,26.09,26.33,2612500
2007-03-05,EIX,26.33,26.69,26.15,26.39,2909500
2007-03-06,EIX,26.39,27.09,26.49,26.92,3123800
2007-03-07,EIX,26.92,27.05,26.71,26.91,2274700
2007-03-08,EIX,26.91,27.23,26.93,27.06,2141600
2007-03-09,EIX,27.2,27.32,27.03,27.24,1644300
2007-03-12,EIX,26.84,27.36,26.84,27.28,1928200
2007-03-13,EIX,27.22,27.27,26.56,26.56,2540600
2007-03-14,EIX,26.69,26.98,26.47,26.92,2524400
2007-03-15,EIX,26.92,27.2,26.75,27.15,1990400
2007-03-16,EIX,27.16,27.27,26.92,26.93,2045800
2007-03-19,EIX,27.13,27.3,27.0,27.26,1627300
2007-03-20,EIX,27.26,27.67,27.06,27.62,1734400
2007-03-21,EIX,27.56,28.04,27.38,27.83,4334428
2007-03-22,EIX,28.14,28.14,27.64,27.99,2887228
2007-03-23,EIX,27.99,28.04,27.75,27.96,2794400
2007-03-26,EIX,27.99,28.29,27.72,28.26,2504706
2007-03-27,EIX,28.26,28.16,27.69,27.9,2917000
2007-03-28,EIX,27.84,28.03,27.63,27.7,1679700
2007-03-29,EIX,27.7,27.86,27.53,27.72,2099400
2007-03-30,EIX,27.73,27.84,27.25,27.5,2558000
2007-04-02,EIX,27.6,28.55,27.5,28.51,3635900
2007-04-03,EIX,28.54,28.62,28.35,28.51,2401229
2007-04-04,EIX,28.61,28.72,28.49,28.61,1690700
2007-04-05,EIX,28.66,28.67,28.47,28.62,1596027
2007-04-09,EIX,28.58,29.09,28.58,28.9,1815000
2007-04-10,EIX,28.94,29.06,28.72,28.87,1570600
2007-04-11,EIX,28.81,29.02,28.68,28.79,2115400
2007-04-12,EIX,28.69,28.89,28.5,28.71,1421464
2007-04-13,EIX,28.71,28.7,28.41,28.57,1181497
2007-04-16,EIX,28.57,29.07,28.61,29.07,1498500
2007-04-17,EIX,29.07,29.22,28.87,28.97,1371000
2007-04-18,EIX,28.89,29.14,28.85,29.06,1060300
2007-04-19,EIX,29.06,29.03,28.82,28.88,1058100
2007-04-20,EIX,28.88,29.38,28.91,29.19,1702000
2007-04-23,EIX,29.2,29.65,29.18,29.52,1030500
2007-04-24,EIX,29.52,29.6,29.31,29.51,1344000
2007-04-25,EIX,29.66,30.31,29.59,30.25,2079700
2007-04-26,EIX,30.25,30.38,29.98,29.99,1878123
2007-04-27,EIX,29.89,29.92,29.54,29.58,1305503
2007-04-30,EIX,29.58,29.73,29.3,29.31,1458500
2007-05-01,EIX,29.31,29.97,29.3,29.91,1199764
2007-05-02,EIX,29.92,30.2,29.89,30.09,836974
2007-05-03,EIX,30.22,30.29,29.98,30.13,818990
2007-05-04,EIX,30.26,30.29,30.01,30.2,1071200
2007-05-07,EIX,30.29,30.51,30.21,30.43,754866
2007-05-08,EIX,30.43,30.8,30.21,30.8,1628300
2007-05-09,EIX,31.74,31.82,30.87,31.41,3093600
2007-05-10,EIX,31.37,31.57,31.02,31.07,1693134
2007-05-11,EIX,31.21,31.76,31.12,31.74,2219400
2007-05-14,EIX,31.66,32.5,31.65,32.26,3192142
