Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,EQR,25.8546,26.0943,25.7628,25.8801,957000
2007-01-03,EQR,23.34,23.61,23.09,23.27,2015600
2007-01-04,EQR,23.3,23.49,23.18,23.31,2415700
2007-01-05,EQR,23.23,23.23,22.7,22.85,2181900
2007-01-08,EQR,22.83,22.89,22.68,22.84,1570700
2007-01-09,EQR,22.97,23.19,22.83,23.16,1879300
2007-01-10,EQR,23.0,23.56,22.96,23.53,1632400
2007-01-11,EQR,23.56,24.11,23.53,23.91,1800600
2007-01-12,EQR,23.81,24.16,23.81,24.11,1224800
2007-01-16,EQR,24.24,24.71,24.17,24.54,1664200
2007-01-17,EQR,24.41,24.65,24.14,24.45,1675500
2007-01-18,EQR,24.38,24.72,24.33,24.47,947700
2007-01-19,EQR,24.57,24.66,24.32,24.66,1170500
2007-01-22,EQR,24.63,24.66,24.28,24.34,1351300
2007-01-23,EQR,24.31,24.49,24.27,24.38,1396000
2007-01-24,EQR,24.47,24.94,24.38,24.93,1311800
2007-01-25,EQR,25.19,25.33,24.92,25.05,2118300
2007-01-26,EQR,25.02,25.25,24.91,25.22,1068500
2007-01-29,EQR,25.2,25.39,25.12,25.2,991900
2007-01-30,EQR,25.29,25.49,25.02,25.46,1183300
2007-01-31,EQR,25.39,25.85,25.23,25.76,1582000
2007-02-01,EQR,25.76,25.76,25.4,25.67,1671700
2007-02-02,EQR,25.55,25.71,25.36,25.52,2708500
2007-02-05,EQR,25.55,25.59,25.41,25.5,1319000
2007-02-06,EQR,25.55,25.8,25.39,25.8,1577600
2007-02-07,EQR,25.11,25.29,24.4,24.49,9415000
2007-02-08,EQR,24.47,24.64,24.25,24.49,4516100
2007-02-09,EQR,24.54,24.61,23.64,24.15,5085700
2007-02-12,EQR,24.37,24.37,23.49,23.83,4148587
2007-02-13,EQR,23.83,24.11,23.58,24.0,3172374
