Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2018-06-05,EVRG,51.24455,51.688512,50.5361,51.29178,266354
2018-06-06,EVRG,51.065076000000005,51.083968,49.232552,49.35535,268721
2018-06-07,EVRG,49.30812,49.63873,48.88305,49.043632,221486
2018-06-08,EVRG,49.100308,49.586777,48.420196,48.467426,216322
2018-06-11,EVRG,48.55244,48.892496,48.212384,48.713022,237028
2018-06-12,EVRG,48.901942000000005,49.525378,48.750806,49.33645799999999,211973
2018-06-13,EVRG,49.30812,50.167706,48.835820000000005,49.27033599999999,157870
2018-06-14,EVRG,42.449,42.6918,41.7854,42.0443,2494432
2018-06-15,EVRG,47.154432,50.196044,47.154432,49.82765,280172
2018-06-18,EVRG,48.78859,50.271612,48.78859,49.983509,130812
2018-06-19,EVRG,50.545546,50.998954000000005,50.186598,50.975339000000005,190232
2018-06-20,EVRG,50.980062,51.442916,50.366072,51.216212,135231
2018-06-21,EVRG,51.121752,51.726296,50.951724,51.202043,137910
2018-06-22,EVRG,51.187874,51.509038,50.970616,51.395686,81336
2018-06-25,EVRG,51.631836,52.038014,51.046184,51.886878,204546
2018-06-26,EVRG,51.735742,52.75591,51.735742,52.151366,178608
2018-06-27,EVRG,52.085244,52.718126000000005,51.962446,52.415854,129619
2018-06-28,EVRG,52.316671,53.162088,52.316671,52.61422,123169
2018-06-29,EVRG,52.340286,53.124304,52.104136,53.048736,155463
2018-07-02,EVRG,53.209318,53.728848,53.03929,53.65328,196542
2018-07-03,EVRG,53.691064,53.908322,53.152642,53.454914,93718
2018-07-05,EVRG,53.351008,53.577712,52.878708,53.426576,125343
2018-07-06,EVRG,53.360454,53.927214000000006,53.28488599999999,53.60605,146350
2018-07-09,EVRG,53.51159,53.596604,51.584606,51.754634,145725
2018-07-10,EVRG,51.225658,51.981338,51.225658,51.953,226539
2018-07-11,EVRG,51.886878,53.029844,51.886878,52.859816,114820
2018-07-12,EVRG,52.963722,52.963722,52.293056,52.66145,111758
2018-07-13,EVRG,52.670896,52.8976,52.510314,52.826755,81303
2018-07-16,EVRG,52.75591,52.963722,52.51976,52.8976,94247
2018-07-17,EVRG,52.963722,53.247102,52.812586,52.916492000000005,109189
2018-07-18,EVRG,52.869262,52.888154,52.14192,52.481976,76111
2018-07-19,EVRG,52.737018,53.436022,52.680342,53.020398,74564
2018-07-20,EVRG,52.99206,53.03929,52.500868,52.633112,78475
2018-07-23,EVRG,45.1521,45.1602,44.4561,44.5532,1459946
2018-07-24,EVRG,51.782972,52.23638,51.357902,51.934108,193360
2018-07-25,EVRG,44.4723,44.9417,44.3833,44.5451,1947552
2018-07-26,EVRG,52.085244,52.774802,52.085244,52.415854,91003
2018-07-27,EVRG,52.368624,52.604774,51.867986,52.274164000000006,102599
2018-07-30,EVRG,52.00023,52.765356,51.830202,52.349732,131038
2018-07-31,EVRG,52.387516,53.095966,52.00023,52.982614000000005,114764
2018-08-01,EVRG,52.888154,52.888154,51.915216,52.515037,81272
2018-08-02,EVRG,52.4253,53.001506,52.321394,52.70868,128672
2018-08-03,EVRG,52.737018,53.483252,52.444192,53.048736,131971
2018-08-06,EVRG,53.22821,53.691064,52.869262,53.03929,135863
2018-08-07,EVRG,52.80314,53.624942,52.80314,53.487975,207764
2018-08-08,EVRG,53.13375,53.478529,53.001506,53.247102,102240
2018-08-09,EVRG,52.585882,54.144472,52.56699,53.851646,184561
2018-08-10,EVRG,54.17281,54.73957,53.993336,54.479805,176640
2018-08-13,EVRG,54.26727,54.59788,53.851646,54.404237,188410
2018-08-14,EVRG,46.6494,46.9084,46.4066,46.4875,1033225
2018-08-15,EVRG,54.26727,54.994612,54.201148,54.484528,141023
2018-08-16,EVRG,54.493974,54.664002,54.135026,54.493974,196428
2018-08-17,EVRG,54.26727,54.93793599999999,54.26727,54.649833,247784
2018-08-20,EVRG,54.654556,55.00405799999999,54.493974,54.635664000000006,171724
2018-08-21,EVRG,54.475082,54.475082,54.158641,54.238932,158556
2018-08-22,EVRG,54.238932,54.418406,53.672172,53.851646,133978
2018-08-23,EVRG,53.879984,54.163364,53.681618,53.785524,141672
2018-08-24,EVRG,53.98389,54.333392,53.492698,54.26727,132505
2018-08-27,EVRG,54.248378,54.560096,53.55882,53.818585,263518
2018-08-28,EVRG,53.247102,54.097242,53.22821,53.74774,202228
2018-08-29,EVRG,53.74774,54.12558,53.587158,53.93666,198035
2018-08-30,EVRG,54.059458,54.40896,53.993336,54.177533,134266
2018-08-31,EVRG,54.352284,54.40896,53.776078,53.879984,152297
2018-09-04,EVRG,53.879984,54.479805,53.870538,54.323946,186745
2018-09-05,EVRG,54.45619,55.363006,54.437298000000006,55.287438,191918
2018-09-06,EVRG,55.249654,55.986442,55.249654,55.68417,200269
2018-09-07,EVRG,55.457466,55.580264,55.051288,55.107964,229856
2018-09-10,EVRG,55.202424,55.674724,55.107964,55.240208,219460
2018-09-11,EVRG,55.230762,55.485804,55.155194,55.174086,171933
2018-09-12,EVRG,55.11741,55.35356,54.7868,54.919044,176923
2018-09-13,EVRG,55.046565,55.089072,54.607326,54.852922,192664
2018-09-14,EVRG,54.654556,54.720678,54.12558,54.55065,124461
2018-09-17,EVRG,54.767908,54.909598,54.305054,54.503420000000006,208683
2018-09-18,EVRG,54.40896,54.446744,53.341562,54.276716,167988
2018-09-19,EVRG,54.3145,54.3145,52.633112,52.822032,309821
2018-09-20,EVRG,52.737018,52.94483,52.359178,52.66145,189490
2018-09-21,EVRG,52.595328,53.048736,52.226934,52.774802,226527
2018-09-24,EVRG,52.812586,52.878708,52.245826,52.557544,215792
2018-09-25,EVRG,45.3321,45.3647,44.8181,44.8915,2801208
2018-09-26,EVRG,44.9894,45.2179,44.2143,44.2469,1548346
2018-09-27,EVRG,51.301226,51.735742,51.235104,51.310672,332085
2018-09-28,EVRG,51.461808,51.896324,51.33901,51.886878,198237
2018-10-01,EVRG,51.830202,52.274164000000006,51.806587,52.075798,149045
2018-10-02,EVRG,52.09469,52.51976,52.09469,52.368624,202025
2018-10-03,EVRG,52.37807,52.500868,51.263442000000005,51.849094,226458
2018-10-04,EVRG,51.726296,52.415854,51.348456,52.179704,165004
2018-10-05,EVRG,52.208042000000006,52.774802,52.198596,52.623666,199687
2018-10-08,EVRG,52.878708,53.28488599999999,52.656727,53.001506,252233
2018-10-09,EVRG,53.152642,53.568266,52.8976,53.247102,138749
2018-10-10,EVRG,53.256548,53.813862,52.954276,53.020398,235963
2018-10-11,EVRG,53.22821,53.407684,52.170258,52.453638,369925
2018-10-12,EVRG,52.434746,52.746464,51.971892,52.529206,243996
2018-10-15,EVRG,45.3974,45.789,45.3974,45.4708,1239484
2018-10-16,EVRG,52.453638,53.313224,52.415854,53.020398,201346
