Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,EXPE,8.9647,9.033,8.922,8.9519,1743965.008849556
2007-01-03,EXPE,37.54,38.08,37.01,37.7,3412363.0
2007-01-04,EXPE,37.62,38.22,37.56,38.1,2587464.0
2007-01-05,EXPE,38.15,38.24,37.76,38.08,2757131.0
2007-01-08,EXPE,37.96,38.37,37.83,38.28,3046668.0
2007-01-09,EXPE,38.3,38.44,38.06,38.37,5323852.0
2007-01-10,EXPE,38.22,38.89,38.15,38.47,5730734.0
2007-01-11,EXPE,38.6,38.87,37.99,38.22,5184370.0
2007-01-12,EXPE,37.97,38.51,37.35,38.35,2777482.0
2007-01-16,EXPE,38.47,38.48,37.94,38.05,1662336.0
2007-01-17,EXPE,37.74,38.21,37.56,37.9,2647257.0
2007-01-18,EXPE,37.79,38.39,36.67,36.99,2287974.0
2007-01-19,EXPE,36.99,37.74,36.52,37.65,2903082.0
2007-01-22,EXPE,37.53,38.15,36.58,36.86,3224500.0
2007-01-23,EXPE,36.86,37.56,36.77,37.08,3185845.0
2007-01-24,EXPE,37.1,37.99,37.08,37.67,1587215.0
2007-01-25,EXPE,37.4,37.97,36.58,36.99,1692905.0
2007-01-26,EXPE,36.92,37.22,36.68,36.93,959650.0
2007-01-29,EXPE,36.38,37.51,36.16,37.36,2129705.0
2007-01-30,EXPE,37.53,38.15,37.11,37.72,3980853.0
2007-01-31,EXPE,37.83,38.76,37.04,38.42,1833265.0
2007-02-01,EXPE,38.37,38.78,36.95,37.04,2364712.0
2007-02-02,EXPE,37.01,37.96,37.01,37.72,1618209.0
2007-02-05,EXPE,37.79,38.3,37.15,37.97,1800236.0
2007-02-06,EXPE,37.96,38.42,37.42,38.4,2147995.0
2007-02-07,EXPE,38.42,39.26,38.12,38.98,2819143.0
2007-02-08,EXPE,38.99,39.68,38.76,39.6,1639859.0
2007-02-09,EXPE,39.51,39.75,38.24,38.76,1796833.0
2007-02-12,EXPE,38.53,38.74,37.97,38.46,1576337.0
2007-02-13,EXPE,38.56,39.23,38.47,38.78,1325503.0
2007-02-14,EXPE,38.83,40.28,38.76,39.89,2410262.0
2007-02-15,EXPE,40.32,41.38,39.41,39.94,2535993.0
2007-02-16,EXPE,39.66,39.71,38.98,39.1,2259976.0
2007-02-20,EXPE,38.9,40.09,38.21,39.8,1589384.0
2007-02-21,EXPE,39.85,40.25,39.6,40.03,1328379.0
2007-02-22,EXPE,40.02,40.25,39.21,39.66,1253255.0
2007-02-23,EXPE,39.59,39.62,38.65,38.87,1562641.0
2007-02-26,EXPE,39.03,39.37,38.47,38.89,2111327.0
2007-02-27,EXPE,38.39,39.26,37.69,38.3,2793964.0
2007-02-28,EXPE,37.62,38.53,37.02,38.08,3747812.0
2007-03-01,EXPE,37.26,37.79,37.08,37.4,2343322.0
2007-03-02,EXPE,37.2,37.31,36.52,36.72,2628491.0
2007-03-05,EXPE,36.56,37.1,36.29,36.56,2159498.0
2007-03-06,EXPE,36.27,36.67,35.77,36.59,2219143.0
2007-03-07,EXPE,36.45,36.9,35.77,36.49,1390881.0
2007-03-08,EXPE,36.58,36.9,36.07,36.81,2010733.0
2007-03-09,EXPE,36.93,37.13,36.27,36.63,1228854.0
2007-03-12,EXPE,36.63,37.22,36.56,37.15,1309192.0
