Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,FIS,30.4622,30.5231,30.4089,30.5079,592420.9860935523
2007-01-03,FIS,31.6,32.17,31.6,32.0,1377400.0
2007-01-04,FIS,31.91,31.99,31.72,31.89,958400.0
2007-01-05,FIS,31.87,31.95,31.51,31.78,1005000.0
2007-01-08,FIS,31.74,32.11,31.62,32.05,753000.0
2007-01-09,FIS,32.08,32.33,31.98,32.29,715200.0
2007-01-10,FIS,32.19,32.58,31.97,32.56,752400.0
2007-01-11,FIS,32.56,32.68,32.46,32.63,860300.0
2007-01-12,FIS,32.6,32.69,32.41,32.53,560900.0
2007-01-16,FIS,32.44,32.59,32.35,32.55,791700.0
2007-01-17,FIS,32.54,32.74,32.45,32.74,1033500.0
2007-01-18,FIS,32.66,32.89,32.56,32.71,642600.0
2007-01-19,FIS,32.72,32.81,32.61,32.78,569500.0
2007-01-22,FIS,32.7,32.78,32.52,32.71,651400.0
2007-01-23,FIS,32.68,32.75,32.56,32.74,808000.0
2007-01-24,FIS,32.82,33.55,32.79,33.54,1143000.0
2007-01-25,FIS,33.45,33.54,33.01,33.09,1312200.0
2007-01-26,FIS,33.09,33.17,32.94,33.09,882900.0
2007-01-29,FIS,33.09,33.09,32.76,32.86,1181200.0
2007-01-30,FIS,33.04,33.38,32.84,33.22,1679100.0
2007-01-31,FIS,33.17,33.56,33.05,33.5,676500.0
2007-02-01,FIS,33.51,33.64,33.42,33.52,674200.0
2007-02-02,FIS,33.53,34.0,33.42,33.9,994900.0
2007-02-05,FIS,33.8,34.01,33.67,34.0,1060900.0
2007-02-06,FIS,34.08,34.11,33.66,34.06,641700.0
2007-02-07,FIS,34.51,36.09,33.96,35.61,2378600.0
2007-02-08,FIS,35.49,35.68,35.3,35.47,1249200.0
2007-02-09,FIS,35.47,36.05,35.44,35.77,1661000.0
2007-02-12,FIS,35.85,35.99,35.39,35.57,1521070.0
2007-02-13,FIS,35.69,35.77,35.45,35.63,822415.0
2007-02-14,FIS,35.77,37.03,35.73,36.83,2522044.0
2007-02-15,FIS,36.82,37.23,36.6,37.03,1142700.0
2007-02-16,FIS,37.03,37.53,36.94,37.46,1864000.0
2007-02-20,FIS,37.5,37.62,37.24,37.46,1186200.0
2007-02-21,FIS,37.28,37.33,36.93,37.01,1021700.0
2007-02-22,FIS,37.15,37.27,36.76,37.03,659300.0
2007-02-23,FIS,37.02,37.17,36.89,37.06,471600.0
2007-02-26,FIS,37.26,37.28,36.66,36.87,505742.0
2007-02-27,FIS,36.68,36.72,35.52,35.68,1142200.0
2007-02-28,FIS,35.68,36.24,35.64,36.18,1970600.0
2007-03-01,FIS,36.18,36.74,35.27,36.47,1828104.0
2007-03-02,FIS,36.28,36.42,35.66,35.74,1151600.0
2007-03-05,FIS,35.1,35.72,34.9,35.07,1025200.0
2007-03-06,FIS,35.22,36.21,35.16,36.2,1472600.0
2007-03-07,FIS,36.2,36.16,35.65,35.85,1059600.0
2007-03-08,FIS,36.19,36.24,35.78,35.89,743000.0
2007-03-09,FIS,36.05,36.15,35.42,35.69,749100.0
2007-03-12,FIS,35.69,36.05,35.44,35.92,486500.0
2007-03-13,FIS,35.72,35.72,34.93,34.96,1624500.0
2007-03-14,FIS,35.16,35.16,34.16,34.81,1687000.0
2007-03-15,FIS,34.72,35.01,34.68,34.77,994400.0
2007-03-16,FIS,34.71,34.85,34.35,34.38,1210000.0
2007-03-19,FIS,34.57,34.79,34.4,34.56,1570300.0
