Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,FMC,13.5793,13.6074,13.3734,13.4667,776839.6982019419
2007-01-03,FMC,13.25,13.35,13.07,13.19,322200.0
2007-01-04,FMC,13.17,13.17,12.87,13.02,218800.0
2007-01-05,FMC,13.01,13.01,12.65,12.79,309200.0
2007-01-08,FMC,12.79,12.79,12.64,12.69,272500.0
2007-01-09,FMC,12.71,12.77,12.61,12.75,169600.0
2007-01-10,FMC,12.72,12.83,12.57,12.8,229400.0
2007-01-11,FMC,12.82,13.09,12.82,13.08,149700.0
2007-01-12,FMC,13.08,13.39,13.08,13.39,236800.0
2007-01-16,FMC,13.39,13.44,13.16,13.19,196300.0
2007-01-17,FMC,13.18,13.28,13.14,13.22,176900.0
2007-01-18,FMC,13.16,13.27,13.09,13.23,201300.0
2007-01-19,FMC,13.23,13.37,13.19,13.3,215300.0
2007-01-22,FMC,13.33,13.34,13.03,13.1,156600.0
2007-01-23,FMC,13.1,13.44,13.1,13.37,266800.0
2007-01-24,FMC,13.38,13.56,13.3,13.54,149500.0
2007-01-25,FMC,13.49,13.5,13.24,13.32,246200.0
2007-01-26,FMC,13.36,13.36,13.11,13.24,169100.0
2007-01-29,FMC,13.24,13.41,13.2,13.32,195900.0
2007-01-30,FMC,13.36,13.46,13.33,13.45,306600.0
2007-01-31,FMC,13.41,13.47,13.36,13.43,305300.0
2007-02-01,FMC,13.48,13.71,13.45,13.68,155700.0
2007-02-02,FMC,13.56,13.56,13.22,13.31,400500.0
2007-02-05,FMC,13.31,13.59,13.18,13.53,512300.0
2007-02-06,FMC,13.51,13.67,13.46,13.63,445000.0
2007-02-07,FMC,13.2,13.2,12.76,13.12,1001500.0
2007-02-08,FMC,12.96,13.03,12.71,12.72,633700.0
2007-02-09,FMC,12.72,12.73,12.52,12.59,433100.0
2007-02-12,FMC,12.6,12.7,12.51,12.55,409897.0
2007-02-13,FMC,12.59,12.74,12.58,12.74,450651.0
2007-02-14,FMC,12.77,12.86,12.7,12.75,412992.0
2007-02-15,FMC,12.76,12.95,12.74,12.9,278800.0
2007-02-16,FMC,12.86,13.05,12.83,13.04,339000.0
2007-02-20,FMC,13.12,13.19,12.95,13.19,624100.0
2007-02-21,FMC,13.19,13.52,13.14,13.49,538700.0
2007-02-22,FMC,13.53,13.57,13.31,13.39,347100.0
2007-02-23,FMC,13.35,13.36,13.16,13.26,290900.0
2007-02-26,FMC,13.32,13.41,13.1,13.1,348700.0
2007-02-27,FMC,12.94,12.97,12.51,12.73,370900.0
2007-02-28,FMC,12.71,12.79,12.57,12.7,441000.0
2007-03-01,FMC,12.59,12.8,12.3,12.69,326661.0
2007-03-02,FMC,12.69,12.75,12.55,12.57,419300.0
2007-03-05,FMC,12.51,12.59,12.29,12.29,399100.0
2007-03-06,FMC,12.34,12.63,12.34,12.55,229000.0
2007-03-07,FMC,12.56,12.74,12.53,12.6,180600.0
2007-03-08,FMC,12.65,12.77,12.64,12.66,164200.0
2007-03-09,FMC,12.71,12.84,12.67,12.77,137100.0
2007-03-12,FMC,12.77,12.95,12.76,12.88,160000.0
2007-03-13,FMC,12.84,12.91,12.58,12.59,213000.0
2007-03-14,FMC,12.61,12.68,12.36,12.61,172300.0
2007-03-15,FMC,12.59,12.88,12.59,12.86,190600.0
2007-03-16,FMC,12.86,12.94,12.73,12.8,189600.0
2007-03-19,FMC,12.85,12.99,12.85,12.94,282700.0
2007-03-20,FMC,12.94,13.1,12.89,13.05,261100.0
2007-03-21,FMC,13.04,13.29,12.94,13.27,297300.0
2007-03-22,FMC,13.27,13.4,13.2,13.39,335100.0
2007-03-23,FMC,13.39,13.45,13.31,13.45,224200.0
2007-03-26,FMC,13.45,13.45,13.16,13.36,221300.0
2007-03-27,FMC,13.36,13.36,13.1,13.17,216700.0
2007-03-28,FMC,13.14,13.15,12.99,13.04,141000.0
2007-03-29,FMC,13.04,13.12,12.92,12.98,261100.0
2007-03-30,FMC,12.99,13.14,12.97,13.04,124300.0
2007-04-02,FMC,13.09,13.1,12.9,13.03,133100.0
2007-04-03,FMC,13.07,13.12,12.98,13.05,163300.0
2007-04-04,FMC,13.05,13.09,12.97,13.02,128000.0
2007-04-05,FMC,13.0,13.04,12.96,12.99,109700.0
2007-04-09,FMC,12.99,13.06,12.94,12.94,176300.0
2007-04-10,FMC,12.92,12.97,12.81,12.83,294400.0
2007-04-11,FMC,12.83,12.86,12.68,12.77,211900.0
2007-04-12,FMC,12.77,12.88,12.61,12.88,291400.0
2007-04-13,FMC,12.88,13.01,12.88,12.94,112900.0
2007-04-16,FMC,13.0,13.23,13.0,13.21,168700.0
2007-04-17,FMC,13.23,13.27,13.15,13.16,240700.0
2007-04-18,FMC,13.16,13.22,13.1,13.19,150900.0
2007-04-19,FMC,13.12,13.15,13.06,13.13,161200.0
2007-04-20,FMC,13.22,13.23,13.12,13.2,149900.0
2007-04-23,FMC,13.21,13.31,13.17,13.19,155500.0
2007-04-24,FMC,13.24,13.29,13.13,13.22,285800.0
2007-04-25,FMC,13.29,13.39,13.2,13.37,348600.0
2007-04-26,FMC,13.37,13.4,13.33,13.36,194500.0
2007-04-27,FMC,13.34,13.4,13.31,13.34,192100.0
2007-04-30,FMC,13.39,13.4,13.27,13.3,308400.0
2007-05-01,FMC,13.83,14.49,13.83,14.1,1366150.0
2007-05-02,FMC,14.17,14.47,14.11,14.31,612900.0
2007-05-03,FMC,14.31,14.39,14.29,14.35,275100.0
2007-05-04,FMC,14.35,14.43,14.32,14.36,252700.0
2007-05-07,FMC,14.31,14.5,14.31,14.46,400300.0
2007-05-08,FMC,14.39,14.55,14.34,14.54,329200.0
2007-05-09,FMC,14.51,14.68,14.47,14.67,250500.0
2007-05-10,FMC,14.64,14.76,14.53,14.72,491100.0
2007-05-11,FMC,14.72,14.91,14.61,14.69,231100.0
2007-05-14,FMC,14.64,14.76,14.45,14.5,360100.0
2007-05-15,FMC,14.48,14.63,14.39,14.42,305600.0
2007-05-16,FMC,14.45,14.58,14.44,14.58,223200.0
2007-05-17,FMC,14.56,14.76,14.44,14.63,246500.0
2007-05-18,FMC,14.66,14.78,14.59,14.7,191900.0
2007-05-21,FMC,14.7,14.9,14.7,14.85,216800.0
2007-05-22,FMC,14.85,14.88,14.68,14.7,167900.0
2007-05-23,FMC,14.68,14.74,14.59,14.6,140300.0
2007-05-24,FMC,14.52,14.64,14.3,14.33,455300.0
2007-05-25,FMC,14.37,14.54,14.32,14.49,202300.0
2007-05-29,FMC,14.63,14.69,14.49,14.58,213233.0
2007-05-30,FMC,14.44,14.59,14.32,14.59,290700.0
2007-05-31,FMC,14.64,14.68,14.42,14.46,261900.0
2007-06-01,FMC,14.46,14.7,14.49,14.69,280400.0
2007-06-04,FMC,14.68,14.87,14.66,14.87,204500.0
2007-06-05,FMC,14.78,15.04,14.66,14.97,682700.0
2007-06-06,FMC,14.96,14.96,14.61,14.65,321800.0
2007-06-07,FMC,14.63,14.67,14.44,14.44,296400.0
2007-06-08,FMC,14.44,14.7,14.34,14.68,288700.0
2007-06-11,FMC,14.87,14.87,14.65,14.7,276700.0
2007-06-12,FMC,14.7,14.72,14.44,14.44,275000.0
2007-06-13,FMC,14.49,14.82,14.43,14.79,248700.0
2007-06-14,FMC,14.83,15.04,14.8,14.86,325600.0
2007-06-15,FMC,15.03,15.13,14.9,14.9,245300.0
2007-06-18,FMC,14.92,15.07,14.83,15.05,243200.0
2007-06-19,FMC,15.03,15.09,14.9,15.02,238700.0
2007-06-20,FMC,15.03,15.14,14.87,14.9,241400.0
2007-06-21,FMC,14.87,14.99,14.7,14.88,239300.0
2007-06-22,FMC,14.84,14.84,14.69,14.7,343100.0
2007-06-25,FMC,14.78,15.39,14.78,15.3,533500.0
2007-06-26,FMC,15.3,15.55,15.25,15.37,498900.0
2007-06-27,FMC,15.37,15.36,15.1,15.33,1421812.0
2007-06-28,FMC,15.35,15.43,15.28,15.3,1027121.0
2007-06-29,FMC,15.3,15.55,15.3,15.49,1423543.0
2007-07-02,FMC,15.49,15.63,15.51,15.6,1721870.0
2007-07-03,FMC,15.6,15.67,15.52,15.58,734564.0
2007-07-05,FMC,15.58,15.73,15.58,15.67,759377.0
2007-07-06,FMC,15.67,15.75,15.52,15.74,1469706.0
2007-07-09,FMC,15.74,15.8,15.69,15.79,1141950.0
2007-07-10,FMC,15.7,15.73,15.63,15.65,1428159.0
2007-07-11,FMC,15.65,15.73,15.55,15.69,814772.0
2007-07-12,FMC,15.72,15.89,15.7,15.89,843624.0
2007-07-13,FMC,15.73,15.94,15.85,15.92,1260242.0
2007-07-16,FMC,15.92,15.94,15.81,15.92,872475.0
2007-07-17,FMC,15.99,16.23,15.91,16.19,1670514.0
2007-07-18,FMC,16.14,16.2,15.96,16.2,1181766.0
2007-07-19,FMC,16.29,16.38,16.2,16.35,1469129.0
2007-07-20,FMC,16.32,16.32,15.93,16.03,1601847.0
2007-07-23,FMC,16.04,16.14,15.94,15.94,1136180.0
2007-07-24,FMC,15.88,16.18,15.78,15.81,1374495.0
2007-07-25,FMC,15.94,16.01,15.42,15.79,1938257.0
2007-07-26,FMC,15.28,15.47,14.9,15.34,3765724.0
2007-07-27,FMC,15.38,15.6,15.19,15.2,3182920.0
2007-07-30,FMC,15.24,15.54,15.21,15.44,2782458.0
2007-07-31,FMC,15.59,15.74,15.45,15.45,2512406.0
2007-08-01,FMC,15.43,15.59,15.23,15.52,1968840.0
2007-08-02,FMC,15.6,15.75,15.52,15.71,1944028.0
2007-08-03,FMC,15.74,15.74,15.43,15.46,1529140.0
2007-08-06,FMC,15.48,15.62,15.24,15.62,1840162.0
2007-08-07,FMC,15.51,15.55,15.25,15.45,1690710.0
2007-08-08,FMC,15.58,15.64,15.25,15.36,2173687.0
2007-08-09,FMC,15.25,15.46,14.56,14.58,3432776.0
2007-08-10,FMC,14.56,14.85,14.41,14.72,3133295.0
2007-08-13,FMC,14.79,15.73,14.75,15.55,3190998.0
2007-08-14,FMC,15.57,15.57,15.26,15.31,1040969.0
2007-08-15,FMC,15.31,15.51,14.9,14.99,2190421.0
2007-08-16,FMC,14.91,14.95,14.42,14.9,2773803.0
2007-08-17,FMC,15.08,15.25,14.67,15.08,1993076.0
2007-08-20,FMC,15.25,15.29,15.08,15.19,1631275.0
2007-08-21,FMC,15.13,15.21,14.96,15.02,1393537.0
2007-08-22,FMC,15.1,15.26,15.05,15.12,2069821.0
2007-08-23,FMC,15.09,15.34,15.09,15.24,1189844.0
2007-08-24,FMC,15.24,15.25,15.14,15.22,1304674.0
2007-08-27,FMC,15.22,15.46,15.18,15.3,1122908.0
2007-08-28,FMC,15.25,15.31,15.0,15.0,886901.0
2007-08-29,FMC,15.06,15.36,15.0,15.33,1023658.0
2007-08-30,FMC,15.23,15.42,15.18,15.27,901327.0
2007-08-31,FMC,15.42,15.62,15.37,15.6,1680900.0
2007-09-04,FMC,15.67,15.94,15.59,15.91,1630698.0
2007-09-05,FMC,15.86,15.94,15.7,15.83,1063474.0
2007-09-06,FMC,15.86,15.92,15.72,15.89,821696.0
2007-09-07,FMC,15.73,15.88,15.48,15.58,936526.0
2007-09-10,FMC,15.62,15.77,15.47,15.55,924986.0
2007-09-11,FMC,15.61,15.74,15.43,15.54,1396422.0
2007-09-12,FMC,16.01,16.1,15.5,15.96,1851125.0
2007-09-13,FMC,16.08,16.31,16.01,16.22,2332372.0
2007-09-14,FMC,16.18,16.36,16.02,16.3,442000.0
2007-09-17,FMC,16.31,16.46,16.21,16.38,465800.0
2007-09-18,FMC,16.38,17.31,16.33,17.12,1599300.0
2007-09-19,FMC,17.33,17.81,17.27,17.53,843600.0
2007-09-20,FMC,17.54,17.74,17.42,17.62,424300.0
2007-09-21,FMC,17.81,17.91,17.58,17.65,706800.0
2007-09-24,FMC,17.65,17.78,17.32,17.39,472500.0
2007-09-25,FMC,17.26,17.6,17.26,17.43,396100.0
2007-09-26,FMC,17.54,17.97,17.34,17.9,696300.0
2007-09-27,FMC,18.0,18.13,17.94,18.09,431300.0
2007-09-28,FMC,18.08,18.22,18.03,18.07,612100.0
2007-10-01,FMC,18.02,18.26,17.96,18.2,383700.0
2007-10-02,FMC,18.22,18.25,17.99,18.08,473900.0
2007-10-03,FMC,18.0,18.28,17.94,18.22,419100.0
2007-10-04,FMC,18.27,18.38,18.15,18.25,288100.0
2007-10-05,FMC,18.41,18.82,18.17,18.22,855000.0
2007-10-08,FMC,18.22,18.35,18.06,18.12,213200.0
2007-10-09,FMC,18.2,18.41,18.09,18.33,420900.0
2007-10-10,FMC,18.26,18.31,18.1,18.2,296400.0
2007-10-11,FMC,18.27,18.41,18.01,18.16,391000.0
2007-10-12,FMC,18.31,18.38,18.15,18.38,503900.0
2007-10-15,FMC,18.41,18.55,18.17,18.34,529000.0
2007-10-16,FMC,18.23,18.54,18.06,18.31,697800.0
2007-10-17,FMC,18.41,18.41,18.08,18.35,636900.0
2007-10-18,FMC,18.34,18.58,18.29,18.5,371800.0
2007-10-19,FMC,18.46,18.51,18.24,18.25,786000.0
