Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2016-06-13,FTV,41.65,41.65,41.65,41.65,100
2016-06-14,FTV,43.59,45.48,43.59,45.48,200
2016-06-15,FTV,45.52,45.52,45.52,45.52,1400
2016-06-17,FTV,47.46,48.43,47.46,48.43,500
2016-06-22,FTV,48.43,48.43,46.49,46.49,250100
2016-06-23,FTV,47.07,47.07,46.98,46.98,236794
2016-06-24,FTV,46.06,46.06,44.56,44.56,1453
2016-06-27,FTV,45.07,46.5,44.56,44.72,9086
2016-06-28,FTV,46.49,47.95,44.68,46.49,671681
2016-06-29,FTV,46.69,48.43,46.59,46.89,5499
2016-06-30,FTV,47.21,48.43,46.59,47.71,29097
2016-07-01,FTV,48.3,48.43,46.72,47.98,326898
2016-07-05,FTV,47.85,52.63,46.88,47.07,6230697
2016-07-06,FTV,45.59,47.07,44.84,46.25,6706473
2016-07-07,FTV,46.12,46.49,45.86,46.24,5486829
2016-07-08,FTV,46.45,49.02,46.04,48.62,4243498
2016-07-11,FTV,47.66,49.62,47.44,49.51,6042339
2016-07-12,FTV,49.4,49.46,48.68,48.98,5552928
2016-07-13,FTV,48.98,49.5,48.27,49.03,4864712
2016-07-14,FTV,48.75,50.12,48.38,49.95,3481590
2016-07-15,FTV,50.15,50.28,49.02,49.62,3689804
2016-07-18,FTV,49.18,49.96,48.92,49.68,1557534
2016-07-19,FTV,49.44,49.94,48.86,49.93,1954651
2016-07-20,FTV,50.21,50.29,48.44,48.76,3351687
2016-07-21,FTV,48.82,49.03,48.42,48.66,3037115
2016-07-22,FTV,48.43,48.71,47.74,47.85,2450622
2016-07-25,FTV,47.67,47.9,46.36,47.44,3044828
2016-07-26,FTV,47.04,47.87,46.76,47.73,1571409
2016-07-27,FTV,47.54,47.95,47.19,47.38,1628596
2016-07-28,FTV,47.21,47.55,46.83,47.12,2923057
2016-07-29,FTV,46.94,47.27,46.5,46.7,4484073
2016-08-01,FTV,46.6,46.99,46.1,46.3,2980989
2016-08-02,FTV,46.01,46.51,45.7,46.01,3267301
2016-08-03,FTV,46.01,47.93,45.86,47.73,4709939
