Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,GEN,15.0571,15.2063,14.7445,14.8155,7395948
2007-01-03,GEN,20.21,21.06,20.09,20.55,18028204
2007-01-04,GEN,20.55,21.03,20.49,20.86,17925128
2007-01-05,GEN,20.79,20.81,20.49,20.55,11822014
2007-01-08,GEN,20.42,20.74,20.42,20.59,14240997
2007-01-09,GEN,20.59,21.0,20.55,20.78,9016211
2007-01-10,GEN,20.65,20.78,20.42,20.67,8692994
2007-01-11,GEN,20.72,21.06,20.42,20.55,14796930
2007-01-12,GEN,20.53,20.95,19.6,19.73,36673389
2007-01-16,GEN,18.04,18.54,17.0,17.14,121711827
2007-01-17,GEN,17.15,17.52,16.62,17.19,45732140
2007-01-18,GEN,17.08,17.48,17.05,17.1,21044009
2007-01-19,GEN,16.97,17.19,16.83,16.89,18086265
2007-01-22,GEN,16.94,17.09,16.69,16.86,14874769
2007-01-23,GEN,16.92,17.1,16.71,16.77,10086846
2007-01-24,GEN,16.77,17.14,16.66,16.84,11100278
2007-01-25,GEN,17.0,18.32,16.92,17.31,39463104
2007-01-26,GEN,17.31,17.48,16.88,17.12,19826238
2007-01-29,GEN,17.05,17.08,16.63,16.88,16851486
2007-01-30,GEN,16.9,17.06,16.8,16.97,10621311
2007-01-31,GEN,17.03,17.18,16.82,17.06,10864063
2007-02-01,GEN,17.03,17.38,16.91,17.26,16904327
2007-02-02,GEN,17.29,17.54,17.18,17.4,12866588
2007-02-05,GEN,17.34,17.42,17.12,17.13,13157928
2007-02-06,GEN,17.19,17.29,16.85,16.97,17169295
2007-02-07,GEN,17.06,17.53,17.05,17.43,20273600
2007-02-08,GEN,17.39,17.5,17.29,17.34,9459962
2007-02-09,GEN,17.34,17.44,17.1,17.21,13861407
2007-02-12,GEN,17.28,17.29,17.01,17.16,7551702
2007-02-13,GEN,17.24,17.38,17.11,17.25,15982912
2007-02-14,GEN,17.34,17.69,17.2,17.66,18275245
2007-02-15,GEN,17.62,17.63,17.39,17.57,10356395
2007-02-16,GEN,17.54,17.63,17.21,17.29,12194450
2007-02-20,GEN,17.25,17.29,16.88,17.19,15826005
2007-02-21,GEN,17.12,17.17,16.76,16.83,19585208
2007-02-22,GEN,16.88,16.97,16.69,16.88,12403075
2007-02-23,GEN,16.94,16.94,16.63,16.72,9686238
2007-02-26,GEN,16.76,16.76,16.48,16.58,15908865
2007-02-27,GEN,16.44,16.66,16.12,16.12,19609770
