Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,HUM,49.4591,49.9257,49.4591,49.6296,1026200
2007-01-03,HUM,49.78,50.88,49.73,50.28,2453400
2007-01-04,HUM,50.11,50.17,48.91,49.68,2327900
2007-01-05,HUM,48.92,48.96,47.21,47.55,3937300
2007-01-08,HUM,48.01,48.01,46.42,47.58,2858200
2007-01-09,HUM,47.59,47.62,46.39,46.9,2776100
2007-01-10,HUM,45.78,47.14,45.78,46.95,2133400
2007-01-11,HUM,46.77,48.76,46.72,48.49,1988200
2007-01-12,HUM,48.52,49.17,48.04,48.94,1816000
2007-01-16,HUM,48.84,49.18,48.25,48.65,1560900
2007-01-17,HUM,48.65,49.91,48.56,49.91,2300700
2007-01-18,HUM,48.69,49.74,48.4,49.23,3066400
2007-01-19,HUM,49.37,49.37,48.75,48.91,1068600
2007-01-22,HUM,48.89,49.27,48.35,48.38,1435900
2007-01-23,HUM,48.45,48.72,47.91,48.37,1599900
2007-01-24,HUM,48.33,48.61,47.51,48.15,1906000
2007-01-25,HUM,48.06,48.51,47.94,48.01,1226800
2007-01-26,HUM,47.71,48.1,46.95,47.99,2086100
2007-01-29,HUM,47.99,48.49,47.64,48.03,1263400
2007-01-30,HUM,48.2,50.61,48.02,50.1,5087800
2007-01-31,HUM,49.92,50.16,48.85,49.82,2979400
2007-02-01,HUM,49.81,51.49,49.52,51.36,2703700
2007-02-02,HUM,51.42,51.95,50.9,51.45,2584300
2007-02-05,HUM,52.06,52.4,51.59,51.92,3416200
2007-02-06,HUM,52.02,54.05,51.85,53.86,3947300
2007-02-07,HUM,54.3,55.08,54.23,54.79,3727700
2007-02-08,HUM,54.79,54.79,53.58,53.67,2810100
2007-02-09,HUM,53.87,54.01,53.29,53.51,1493900
2007-02-12,HUM,53.51,54.15,53.32,53.55,2138895
2007-02-13,HUM,53.86,54.32,53.66,53.86,1655034
2007-02-14,HUM,53.86,55.97,53.75,55.63,2282712
2007-02-15,HUM,55.86,57.02,55.63,56.58,1713700
2007-02-16,HUM,56.2,56.48,55.33,55.86,2049900
2007-02-20,HUM,55.87,56.98,55.11,56.95,2287600
2007-02-21,HUM,57.9,57.9,55.83,56.05,1293500
2007-02-22,HUM,55.97,56.12,55.36,55.93,1164500
2007-02-23,HUM,55.74,55.76,53.52,54.63,3685200
2007-02-26,HUM,54.89,55.18,54.09,54.75,2037308
2007-02-27,HUM,53.72,54.26,52.09,53.16,1951100
2007-02-28,HUM,53.41,53.87,52.78,53.78,1751100
2007-03-01,HUM,52.96,55.34,52.07,54.58,2630309
2007-03-02,HUM,54.58,54.61,53.59,53.6,1783200
2007-03-05,HUM,53.09,52.82,51.72,51.94,2211200
2007-03-06,HUM,52.21,53.53,52.21,53.34,1983800
2007-03-07,HUM,53.34,54.18,52.96,53.87,1930500
2007-03-08,HUM,54.04,55.16,54.03,54.85,2219700
2007-03-09,HUM,54.93,55.11,52.81,53.0,1847200
2007-03-12,HUM,53.01,54.24,53.09,54.04,1884100
2007-03-13,HUM,54.08,54.13,52.37,52.38,1987800
2007-03-14,HUM,52.78,53.57,51.94,52.4,1505000
2007-03-15,HUM,52.4,53.04,52.32,52.64,1179170
2007-03-16,HUM,52.6,52.86,52.01,52.27,1697600
2007-03-19,HUM,52.27,53.25,52.55,52.83,1197400
2007-03-20,HUM,52.83,52.83,51.92,52.05,1743900
2007-03-21,HUM,51.97,52.05,51.03,51.72,2648938
2007-03-22,HUM,51.72,53.89,51.6,53.76,2965500
2007-03-23,HUM,53.76,54.63,53.5,54.3,1910200
2007-03-26,HUM,54.3,55.01,54.12,54.52,1780812
2007-03-27,HUM,54.43,54.44,52.74,53.36,2116700
2007-03-28,HUM,53.36,53.36,52.34,52.62,1007465
2007-03-29,HUM,52.98,52.98,51.24,51.41,1638653
2007-03-30,HUM,51.41,52.27,51.32,52.08,2296500
2007-04-02,HUM,52.08,53.36,52.05,53.0,1747000
2007-04-03,HUM,54.75,55.52,54.44,54.9,2748200
2007-04-04,HUM,54.9,55.34,54.66,55.16,1008000
2007-04-05,HUM,55.19,56.32,55.19,56.2,1411800
2007-04-09,HUM,56.2,57.19,56.38,56.61,1494000
2007-04-10,HUM,56.54,56.99,56.36,56.68,1182900
2007-04-11,HUM,56.68,56.77,55.54,56.03,1220184
2007-04-12,HUM,55.81,56.55,55.62,55.97,1411602
2007-04-13,HUM,56.1,56.36,55.43,56.36,1020451
2007-04-16,HUM,56.49,57.02,56.32,56.8,801830
2007-04-17,HUM,56.8,57.59,56.33,56.6,974300
2007-04-18,HUM,56.56,56.74,55.66,56.55,944200
2007-04-19,HUM,55.66,56.58,54.5,56.17,1883000
2007-04-20,HUM,56.41,57.31,56.23,56.58,1539400
2007-04-23,HUM,56.79,56.93,56.43,56.5,695200
2007-04-24,HUM,56.71,57.54,56.71,57.02,1051400
2007-04-25,HUM,57.02,57.81,55.21,57.59,1633226
2007-04-26,HUM,57.63,58.79,57.63,58.36,1672900
2007-04-27,HUM,58.36,58.45,57.26,58.28,1489100
2007-04-30,HUM,59.69,60.09,56.15,56.76,3690424
2007-05-01,HUM,56.76,56.76,56.2,56.55,1853900
2007-05-02,HUM,56.55,58.0,56.4,57.65,1347712
2007-05-03,HUM,57.9,58.11,56.86,56.97,1273100
2007-05-04,HUM,56.97,58.31,56.96,57.87,1701600
2007-05-07,HUM,57.98,58.25,57.2,57.38,1464000
2007-05-08,HUM,56.79,57.52,56.41,57.05,1668005
2007-05-09,HUM,57.05,58.34,56.87,57.94,1185300
2007-05-10,HUM,57.82,58.27,57.03,57.47,1258600
2007-05-11,HUM,57.54,58.49,57.36,57.81,1048900
2007-05-14,HUM,57.81,59.22,57.8,58.83,1272147
2007-05-15,HUM,58.65,59.44,58.45,58.94,1112600
2007-05-16,HUM,59.12,59.47,58.81,59.07,750700
2007-05-17,HUM,59.03,59.43,58.18,58.69,1138000
2007-05-18,HUM,58.51,58.86,57.67,58.22,1370100
2007-05-21,HUM,58.02,58.07,57.35,57.58,1402400
2007-05-22,HUM,57.81,57.81,56.75,57.26,1409000
2007-05-23,HUM,57.54,57.66,56.65,56.84,1145500
2007-05-24,HUM,56.84,57.06,56.16,56.82,1187620
2007-05-25,HUM,56.88,57.3,56.62,56.97,805200
2007-05-29,HUM,56.9,57.42,56.47,56.81,890200
2007-05-30,HUM,56.82,57.37,56.35,56.55,1508500
2007-05-31,HUM,56.72,56.85,55.44,55.7,2237222
2007-06-01,HUM,55.7,56.6,55.58,56.55,1451400
2007-06-04,HUM,56.46,57.1,56.4,57.03,1274400
2007-06-05,HUM,57.02,57.34,56.2,56.73,1589300
2007-06-06,HUM,56.85,57.17,55.68,56.01,997000
2007-06-07,HUM,56.01,56.77,55.86,56.23,1708607
2007-06-08,HUM,56.23,56.66,55.46,56.65,1437900
2007-06-11,HUM,56.65,57.0,56.24,56.8,863100
2007-06-12,HUM,56.73,56.95,56.15,56.15,1093300
2007-06-13,HUM,56.27,56.16,54.32,55.22,3466800
2007-06-14,HUM,55.13,55.53,54.37,54.58,1346524
2007-06-15,HUM,55.02,55.42,53.58,54.03,3385900
