Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,IDXX,19.795,20.075,19.665,19.825,411840
2007-01-03,IDXX,19.89,20.08,19.43,19.55,1590692
2007-01-04,IDXX,19.6,19.87,19.53,19.84,824584
2007-01-05,IDXX,19.87,20.56,19.84,20.25,1828456
2007-01-08,IDXX,20.2,20.44,20.18,20.43,921648
2007-01-09,IDXX,20.43,20.53,20.33,20.41,1307016
2007-01-10,IDXX,20.4,20.4,20.15,20.28,567216
2007-01-11,IDXX,20.25,20.8,20.19,20.78,719300
2007-01-12,IDXX,20.81,20.83,20.69,20.82,580648
2007-01-16,IDXX,20.82,21.0,20.78,20.92,576424
2007-01-17,IDXX,20.87,20.93,20.83,20.91,1065740
2007-01-18,IDXX,20.87,20.92,20.8,20.91,577664
2007-01-19,IDXX,20.96,21.12,20.88,21.02,608936
2007-01-22,IDXX,21.06,21.15,21.02,21.14,609376
2007-01-23,IDXX,21.11,21.29,21.03,21.21,534124
2007-01-24,IDXX,21.26,21.36,21.2,21.35,344496
2007-01-25,IDXX,21.35,21.35,21.07,21.21,577256
2007-01-26,IDXX,21.9,22.38,21.38,22.04,1500592
2007-01-29,IDXX,22.02,22.16,20.59,20.86,2116336
2007-01-30,IDXX,20.84,21.06,20.59,21.04,1101012
2007-01-31,IDXX,20.88,21.48,20.88,21.45,746812
2007-02-01,IDXX,21.41,21.7,21.32,21.7,940476
2007-02-02,IDXX,21.72,21.75,21.49,21.6,475652
2007-02-05,IDXX,21.52,21.53,21.27,21.31,538464
2007-02-06,IDXX,21.27,21.27,21.09,21.21,487148
2007-02-07,IDXX,21.27,21.27,21.11,21.23,641972
2007-02-08,IDXX,21.14,21.23,21.11,21.18,264128
2007-02-09,IDXX,21.11,21.17,21.07,21.12,299712
2007-02-12,IDXX,21.11,21.16,20.82,20.9,732724
2007-02-13,IDXX,20.86,20.95,20.75,20.89,1126920
2007-02-14,IDXX,20.93,21.0,20.82,20.97,624752
2007-02-15,IDXX,20.89,21.18,20.85,21.07,680996
2007-02-16,IDXX,20.98,21.41,20.98,21.4,1208652
2007-02-20,IDXX,21.43,21.49,21.32,21.45,853652
2007-02-21,IDXX,21.35,21.66,21.35,21.66,525056
2007-02-22,IDXX,21.73,21.87,21.67,21.85,761144
2007-02-23,IDXX,21.77,21.83,21.7,21.77,473272
2007-02-26,IDXX,21.77,21.81,21.69,21.77,851648
2007-02-27,IDXX,21.66,21.74,21.25,21.3,1209268
2007-02-28,IDXX,21.25,21.56,21.23,21.55,840472
2007-03-01,IDXX,21.36,21.63,21.2,21.49,627788
2007-03-02,IDXX,21.45,21.53,21.23,21.29,425040
2007-03-05,IDXX,21.36,21.51,21.24,21.25,528248
2007-03-06,IDXX,21.29,21.3,20.97,21.21,1317956
2007-03-07,IDXX,21.13,21.41,21.09,21.29,744252
2007-03-08,IDXX,21.38,21.64,21.38,21.54,536124
2007-03-09,IDXX,21.5,21.8,21.45,21.63,669284
2007-03-12,IDXX,21.55,21.74,21.52,21.58,825476
2007-03-13,IDXX,21.55,21.61,21.25,21.27,667092
2007-03-14,IDXX,21.25,21.34,21.11,21.31,558344
2007-03-15,IDXX,21.36,21.49,21.26,21.44,415372
2007-03-16,IDXX,21.45,21.51,21.36,21.5,398476
2007-03-19,IDXX,21.52,21.7,21.43,21.7,229188
2007-03-20,IDXX,21.71,21.71,21.36,21.5,372492
2007-03-21,IDXX,21.56,21.56,21.3,21.5,590896
2007-03-22,IDXX,21.5,21.63,21.47,21.63,440448
2007-03-23,IDXX,21.64,21.85,21.64,21.83,523896
2007-03-26,IDXX,21.77,21.82,21.63,21.75,343668
2007-03-27,IDXX,21.75,21.81,21.53,21.66,243984
2007-03-28,IDXX,21.65,21.65,21.48,21.55,564848
