Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,IEX,25.5595,25.6663,25.3244,25.3297,206399.9999999999
2007-01-03,IEX,25.02,25.38,24.7,24.89,288300.0
2007-01-04,IEX,24.89,24.89,24.52,24.69,113700.0
2007-01-05,IEX,24.6,24.65,24.18,24.24,203900.0
2007-01-08,IEX,24.24,24.29,23.98,24.28,185800.0
2007-01-09,IEX,24.28,24.52,24.1,24.47,176800.0
2007-01-10,IEX,24.45,24.54,24.28,24.46,145600.0
2007-01-11,IEX,24.55,24.86,24.55,24.73,118000.0
2007-01-12,IEX,24.74,25.03,24.74,24.98,73500.0
2007-01-16,IEX,25.07,25.2,25.01,25.19,120100.0
2007-01-17,IEX,25.23,25.41,25.15,25.33,76400.0
2007-01-18,IEX,25.35,25.41,25.07,25.16,147800.0
2007-01-19,IEX,25.43,25.5,25.2,25.45,166300.0
2007-01-22,IEX,25.53,25.53,25.18,25.34,113300.0
2007-01-23,IEX,25.36,25.82,25.31,25.74,222700.0
2007-01-24,IEX,25.74,25.81,25.64,25.76,87800.0
2007-01-25,IEX,25.71,25.78,25.45,25.52,99600.0
2007-01-26,IEX,25.52,25.58,25.26,25.34,161000.0
2007-01-29,IEX,25.28,25.39,25.2,25.36,239300.0
2007-01-30,IEX,31.14,26.91,25.66,26.87,1269300.0
2007-01-31,IEX,26.87,27.72,26.86,27.37,549600.0
2007-02-01,IEX,27.05,27.61,26.89,27.51,428600.0
2007-02-02,IEX,27.51,27.51,27.26,27.41,233400.0
2007-02-05,IEX,27.41,27.42,27.03,27.17,275800.0
2007-02-06,IEX,27.09,27.26,27.01,27.26,161200.0
2007-02-07,IEX,27.36,27.37,27.1,27.32,189400.0
2007-02-08,IEX,27.32,27.37,27.1,27.26,367100.0
2007-02-09,IEX,27.26,27.26,26.75,26.89,255900.0
2007-02-12,IEX,27.14,27.24,26.98,27.03,265090.0
2007-02-13,IEX,27.09,27.35,26.93,27.1,302200.0
2007-02-14,IEX,27.22,27.37,27.16,27.31,162110.0
2007-02-15,IEX,27.26,27.42,27.21,27.37,162500.0
2007-02-16,IEX,27.41,27.58,27.3,27.47,232700.0
2007-02-20,IEX,27.42,27.66,27.27,27.66,140200.0
2007-02-21,IEX,27.66,27.67,27.38,27.59,196000.0
2007-02-22,IEX,27.59,27.64,27.49,27.6,160400.0
2007-02-23,IEX,27.63,27.76,27.53,27.68,152200.0
2007-02-26,IEX,27.74,27.79,27.66,27.76,345378.0
2007-02-27,IEX,27.68,27.68,27.37,27.42,524500.0
2007-02-28,IEX,26.95,27.89,26.95,27.42,322500.0
2007-03-01,IEX,27.42,27.42,26.92,27.04,229800.0
2007-03-02,IEX,26.99,27.07,26.46,26.46,155900.0
2007-03-05,IEX,26.46,26.46,25.81,25.92,208800.0
2007-03-06,IEX,25.94,26.05,25.83,25.92,426000.0
2007-03-07,IEX,25.92,26.05,25.76,25.92,269200.0
2007-03-08,IEX,25.95,26.29,25.95,26.13,172100.0
2007-03-09,IEX,26.24,26.47,26.2,26.41,190300.0
2007-03-12,IEX,26.43,26.7,26.34,26.61,137300.0
2007-03-13,IEX,26.57,26.57,26.01,26.05,199800.0
2007-03-14,IEX,26.03,26.19,25.46,25.91,253000.0
2007-03-15,IEX,25.94,26.02,25.71,25.77,164100.0
2007-03-16,IEX,25.72,25.81,25.57,25.73,199500.0
2007-03-19,IEX,25.96,26.19,25.96,26.11,132700.0
2007-03-20,IEX,26.13,26.31,25.97,26.3,143700.0
2007-03-21,IEX,27.55,27.55,26.24,26.66,89300.0
2007-03-22,IEX,26.63,26.77,26.6,26.77,132300.0
2007-03-23,IEX,26.87,26.96,26.71,26.95,219900.0
2007-03-26,IEX,27.02,27.02,26.63,26.78,81300.0
2007-03-27,IEX,26.78,26.78,26.37,26.5,146800.0
2007-03-28,IEX,26.51,26.55,26.13,26.44,577500.0
2007-03-29,IEX,26.185643,26.430466000000003,26.039791,26.310659,530600.0
2007-03-30,IEX,26.69,27.02,26.69,26.83,213700.0
2007-04-02,IEX,26.96,26.96,26.72,26.8,170200.0
2007-04-03,IEX,26.86,26.99,26.71,26.92,160600.0
2007-04-04,IEX,26.92,27.2,26.88,27.1,125000.0
2007-04-05,IEX,27.42,27.71,27.31,27.35,285800.0
2007-04-09,IEX,27.35,27.54,27.2,27.31,132600.0
2007-04-10,IEX,27.32,27.4,26.81,26.85,223500.0
2007-04-11,IEX,26.93,27.0,26.56,26.61,220100.0
2007-04-12,IEX,26.66,26.68,26.47,26.68,430461.0
2007-04-13,IEX,26.68,26.78,26.59,26.74,318783.0
2007-04-16,IEX,26.88,27.32,26.81,27.16,268330.0
2007-04-17,IEX,27.17,27.31,27.04,27.26,558957.0
2007-04-18,IEX,27.27,27.29,26.89,27.17,537604.0
2007-04-19,IEX,26.2,27.66,26.2,27.39,903628.0
2007-04-20,IEX,27.73,28.14,27.73,27.77,723167.0
2007-04-23,IEX,27.77,28.02,27.58,27.65,739229.0
2007-04-24,IEX,27.67,27.73,27.47,27.61,421769.0
2007-04-25,IEX,27.67,27.84,27.38,27.82,550831.0
2007-04-26,IEX,27.82,27.95,27.68,27.8,294974.0
2007-04-27,IEX,27.8,28.04,27.76,27.98,545163.0
2007-04-30,IEX,28.03,28.04,27.77,27.77,460506.0
2007-05-01,IEX,27.77,28.03,27.54,27.72,345805.0
2007-05-02,IEX,27.63,28.32,27.61,28.23,491686.0
2007-05-03,IEX,28.3,28.36,28.05,28.32,463341.0
2007-05-04,IEX,28.35,28.35,28.15,28.31,398526.0
2007-05-07,IEX,28.33,28.56,28.31,28.5,274187.0
2007-05-08,IEX,28.5,28.52,28.18,28.5,325964.0
2007-05-09,IEX,28.5,28.76,28.37,28.76,292328.0
2007-05-10,IEX,28.76,28.81,28.53,28.56,539305.0
2007-05-11,IEX,28.56,28.75,28.49,28.7,357143.0
2007-05-14,IEX,28.72,28.76,28.48,28.62,262472.0
2007-05-15,IEX,28.62,28.79,28.47,28.49,356198.0
2007-05-16,IEX,28.58,28.64,28.32,28.64,399282.0
2007-05-17,IEX,28.64,28.79,28.45,28.71,603930.0
2007-05-18,IEX,28.71,29.17,28.73,28.88,489418.0
2007-05-21,IEX,28.88,28.97,28.74,28.83,277022.0
2007-05-22,IEX,29.76,29.77,28.66,29.02,262530.0
2007-05-23,IEX,29.02,29.19,28.68,28.68,338986.0
2007-05-24,IEX,28.68,28.87,28.24,28.28,252400.0
2007-05-25,IEX,28.12,28.52,28.12,28.47,294400.0
2007-05-29,IEX,29.81,29.83,28.97,29.6,485200.0
2007-05-30,IEX,29.84,29.84,29.36,29.61,455800.0
2007-05-31,IEX,30.06,30.31,29.58,29.92,904800.0
2007-06-01,IEX,30.08,30.43,30.04,30.11,276700.0
2007-06-04,IEX,29.98,30.1,29.91,30.09,256000.0
2007-06-05,IEX,30.1,30.17,29.9,29.95,341900.0
2007-06-06,IEX,29.95,29.95,29.29,29.42,281000.0
2007-06-07,IEX,29.42,29.55,28.91,28.93,258900.0
2007-06-08,IEX,29.03,29.42,29.03,29.41,232300.0
2007-06-11,IEX,29.43,29.83,29.41,29.71,196900.0
2007-06-12,IEX,29.71,29.71,29.2,29.23,262100.0
2007-06-13,IEX,29.36,29.59,29.21,29.54,228700.0
2007-06-14,IEX,29.64,29.83,29.58,29.83,188000.0
2007-06-15,IEX,30.12,30.14,29.76,29.85,329000.0
2007-06-18,IEX,29.93,29.96,29.69,29.92,233500.0
2007-06-19,IEX,29.92,29.92,29.7,29.75,394800.0
2007-06-20,IEX,29.85,29.91,29.53,29.58,278500.0
2007-06-21,IEX,29.64,29.64,28.97,29.37,332300.0
2007-06-22,IEX,29.37,29.71,29.23,29.35,526600.0
2007-06-25,IEX,29.24,29.57,28.87,28.93,519600.0
2007-06-26,IEX,28.93,29.3,28.57,29.23,683000.0
2007-06-27,IEX,29.24,29.83,29.16,29.72,987900.0
2007-06-28,IEX,29.82,30.25,29.81,29.9,553100.0
2007-06-29,IEX,29.91,30.87,29.91,30.59,646900.0
2007-07-02,IEX,30.59,31.07,30.59,30.84,510300.0
2007-07-03,IEX,30.91,31.12,30.91,31.03,223400.0
2007-07-05,IEX,31.18,31.31,30.84,30.96,264400.0
2007-07-06,IEX,31.07,31.22,30.88,31.02,228800.0
2007-07-09,IEX,31.14,31.34,30.96,31.34,331600.0
2007-07-10,IEX,31.27,31.31,30.57,30.59,267000.0
2007-07-11,IEX,30.54,31.07,30.51,30.96,256000.0
2007-07-12,IEX,30.89,31.48,30.87,31.44,571000.0
2007-07-13,IEX,31.45,31.61,31.03,31.47,362600.0
2007-07-16,IEX,31.56,31.76,31.24,31.49,270300.0
2007-07-17,IEX,32.19,32.19,31.53,31.57,110800.0
2007-07-18,IEX,31.29,31.42,31.09,31.32,222800.0
2007-07-19,IEX,31.53,31.82,31.52,31.63,225000.0
2007-07-20,IEX,31.63,31.64,31.05,31.25,196300.0
2007-07-23,IEX,31.29,31.57,31.05,31.28,237500.0
2007-07-24,IEX,31.28,30.8,29.0,30.01,881700.0
2007-07-25,IEX,30.68,30.8,29.38,30.14,732600.0
2007-07-26,IEX,30.14,31.14,28.77,29.4,707500.0
2007-07-27,IEX,29.4,30.0,29.16,29.54,506000.0
2007-07-30,IEX,28.66,29.11,27.47,29.06,648300.0
