Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,IPG,8.167,8.2071,8.1336,8.1804,1868400
2007-01-03,IPG,8.13,8.21,8.03,8.14,3316800
2007-01-04,IPG,8.11,8.22,8.07,8.19,4065600
2007-01-05,IPG,8.16,8.23,8.09,8.16,4632000
2007-01-08,IPG,8.17,8.17,8.1,8.14,5290800
2007-01-09,IPG,8.13,8.24,8.12,8.22,4470000
2007-01-10,IPG,8.29,8.54,8.29,8.5,12303400
2007-01-11,IPG,8.54,8.72,8.51,8.67,9878200
2007-01-12,IPG,8.7,9.18,8.64,8.89,11099000
2007-01-16,IPG,8.97,9.19,8.92,9.18,7726500
2007-01-17,IPG,9.19,9.27,9.13,9.17,9849600
2007-01-18,IPG,9.12,9.22,9.07,9.11,10142100
2007-01-19,IPG,9.11,9.13,8.98,9.08,6714000
2007-01-22,IPG,9.08,9.1,8.94,9.0,5556200
2007-01-23,IPG,9.0,9.09,8.94,8.96,5196000
2007-01-24,IPG,8.98,9.03,8.91,8.92,3194600
2007-01-25,IPG,8.95,8.97,8.8,8.84,4661600
2007-01-26,IPG,8.87,9.0,8.82,8.88,3518900
2007-01-29,IPG,8.83,8.88,8.75,8.76,3386900
2007-01-30,IPG,8.78,8.82,8.72,8.77,3166400
2007-01-31,IPG,8.78,8.82,8.7,8.75,4021200
2007-02-01,IPG,8.77,8.84,8.74,8.82,2344500
2007-02-02,IPG,8.82,8.87,8.75,8.76,2140800
2007-02-05,IPG,8.73,8.79,8.7,8.74,3554100
2007-02-06,IPG,8.77,8.84,8.7,8.76,7774400
2007-02-07,IPG,8.76,8.8,8.71,8.72,4276300
2007-02-08,IPG,8.74,8.76,8.7,8.74,2196000
2007-02-09,IPG,8.73,8.82,8.57,8.59,3327800
2007-02-12,IPG,8.59,8.65,8.4,8.42,4303718
2007-02-13,IPG,8.38,8.4,8.23,8.28,14768133
2007-02-14,IPG,8.29,8.38,8.28,8.34,3592700
2007-02-15,IPG,8.3,8.38,8.24,8.34,3656400
2007-02-16,IPG,8.3,8.41,8.28,8.34,2162400
2007-02-20,IPG,8.54,8.56,8.36,8.5,5208500
2007-02-21,IPG,8.44,8.46,8.39,8.46,2837100
2007-02-22,IPG,8.46,8.57,8.45,8.51,2428400
2007-02-23,IPG,8.48,8.79,8.48,8.76,8832700
2007-02-26,IPG,8.76,8.78,8.69,8.76,4088284
2007-02-27,IPG,8.76,8.77,8.5,8.58,5569100
2007-02-28,IPG,8.56,8.56,8.24,8.37,9405100
2007-03-01,IPG,8.36,8.36,8.16,8.28,6367908
2007-03-02,IPG,8.28,8.32,8.15,8.19,4588300
2007-03-05,IPG,8.13,8.17,8.06,8.09,3046100
2007-03-06,IPG,8.13,8.26,8.05,8.24,6722300
2007-03-07,IPG,8.19,8.22,8.08,8.13,5825900
2007-03-08,IPG,8.15,8.23,8.11,8.17,3294600
2007-03-09,IPG,8.24,8.28,8.18,8.26,2186100
2007-03-12,IPG,8.22,8.4,8.15,8.36,2875700
2007-03-13,IPG,8.31,8.42,8.19,8.21,3904800
2007-03-14,IPG,8.18,8.26,8.11,8.23,6445800
2007-03-15,IPG,8.21,8.4,8.18,8.37,3932603
2007-03-16,IPG,8.38,8.49,8.24,8.26,6922526
2007-03-19,IPG,8.26,8.31,8.26,8.26,3987900
2007-03-20,IPG,8.26,8.36,8.28,8.32,3991274
2007-03-21,IPG,8.32,8.39,8.28,8.37,5611609
2007-03-22,IPG,8.33,8.44,8.33,8.4,7925200
2007-03-23,IPG,8.4,8.41,8.33,8.37,3681911
2007-03-26,IPG,8.34,8.38,8.22,8.26,4013514
2007-03-27,IPG,8.2,8.28,8.2,8.25,7000600
2007-03-28,IPG,8.24,8.27,8.15,8.18,3642533
2007-03-29,IPG,8.18,8.23,8.09,8.17,4283600
2007-03-30,IPG,8.2,8.21,8.14,8.18,4565500
2007-04-02,IPG,8.22,8.22,8.15,8.2,2338054
2007-04-03,IPG,8.2,8.44,8.16,8.2,3388500
2007-04-04,IPG,8.2,8.22,8.05,8.09,9300459
2007-04-05,IPG,8.1,8.16,8.07,8.14,3493900
2007-04-09,IPG,8.14,8.16,8.05,8.15,5212280
2007-04-10,IPG,8.16,8.15,8.1,8.13,3025509
2007-04-11,IPG,8.12,8.16,8.02,8.06,3346665
2007-04-12,IPG,8.06,8.12,8.0,8.11,4771119
2007-04-13,IPG,8.11,8.66,8.11,8.41,10364910
2007-04-16,IPG,8.41,8.76,8.38,8.53,3267650
2007-04-17,IPG,8.51,8.57,8.48,8.56,2436233
2007-04-18,IPG,8.56,9.1,8.6,8.62,5330831
2007-04-19,IPG,8.58,8.6,8.46,8.54,4201619
2007-04-20,IPG,8.66,8.66,8.51,8.59,4696318
2007-04-23,IPG,8.56,8.59,8.54,8.58,2267964
2007-04-24,IPG,8.66,8.66,8.49,8.57,2554439
2007-04-25,IPG,8.61,8.62,8.52,8.6,2541897
2007-04-26,IPG,8.56,8.58,8.44,8.57,2262478
2007-04-27,IPG,8.57,8.62,8.45,8.49,4226539
2007-04-30,IPG,8.48,8.56,8.31,8.43,2522435
2007-05-01,IPG,8.43,8.57,8.41,8.46,4349091
2007-05-02,IPG,8.48,8.5,8.38,8.44,5452472
2007-05-03,IPG,8.45,8.52,8.42,8.48,3036259
2007-05-04,IPG,8.48,8.56,8.47,8.51,2394032
2007-05-07,IPG,8.51,8.58,8.48,8.56,2649148
2007-05-08,IPG,8.52,8.57,8.42,8.5,3150856
2007-05-09,IPG,8.5,8.64,8.43,8.6,3035302
2007-05-10,IPG,8.48,8.38,7.78,7.99,23310822
2007-05-11,IPG,7.99,8.01,7.69,7.83,15171243
2007-05-14,IPG,7.83,7.93,7.71,7.87,8747338
2007-05-15,IPG,7.83,7.89,7.67,7.73,4908135
2007-05-16,IPG,7.77,7.83,7.68,7.8,5817728
2007-05-17,IPG,7.77,7.77,7.69,7.71,6152644
2007-05-18,IPG,7.75,7.81,7.71,7.79,10870662
2007-05-21,IPG,7.78,7.79,7.7,7.73,5787752
2007-05-22,IPG,7.71,7.87,7.68,7.85,10994830
2007-05-23,IPG,7.91,8.0,7.88,7.9,11407339
2007-05-24,IPG,7.9,7.98,7.71,7.74,6069700
2007-05-25,IPG,7.73,7.75,7.71,7.73,2718252
