Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,LH,72.2195,72.6109,71.8182,71.8965,377900
2007-01-03,LH,71.5,72.42,71.15,71.31,1519900
2007-01-04,LH,71.33,72.18,70.97,71.94,1094300
2007-01-05,LH,71.7,71.98,71.42,71.69,1464300
2007-01-08,LH,71.75,73.02,71.21,72.87,1415400
2007-01-09,LH,72.87,72.94,71.48,71.67,1189400
2007-01-10,LH,71.48,71.67,71.33,71.54,937800
2007-01-11,LH,71.49,71.95,71.11,71.47,1118300
2007-01-12,LH,71.47,71.79,71.14,71.21,956900
2007-01-16,LH,71.46,71.95,70.7,70.92,1187100
2007-01-17,LH,70.92,71.22,70.65,71.05,1585900
2007-01-18,LH,71.37,71.71,71.07,71.27,1215900
2007-01-19,LH,71.42,71.66,71.13,71.29,719100
2007-01-22,LH,71.41,71.76,71.27,71.45,748200
2007-01-23,LH,71.28,71.29,70.72,71.1,819100
2007-01-24,LH,71.04,71.38,70.71,71.34,1035800
2007-01-25,LH,71.33,71.4,70.17,70.3,1186000
2007-01-26,LH,70.51,70.67,69.2,69.71,1186500
2007-01-29,LH,69.71,70.63,69.51,70.42,908200
2007-01-30,LH,70.44,71.21,70.42,71.15,790600
2007-01-31,LH,71.06,71.76,70.79,71.64,808500
2007-02-01,LH,71.65,71.71,71.1,71.61,815800
2007-02-02,LH,71.61,72.19,71.32,71.73,565400
2007-02-05,LH,71.49,71.86,70.93,71.04,827400
2007-02-06,LH,71.18,71.62,71.11,71.47,782700
2007-02-07,LH,71.6,72.18,71.5,71.79,795900
2007-02-08,LH,71.88,72.49,71.79,72.26,922000
2007-02-09,LH,72.43,72.67,71.77,72.03,555100
2007-02-12,LH,72.27,72.42,71.86,72.04,592425
2007-02-13,LH,72.24,72.71,72.09,72.41,778287
2007-02-14,LH,72.43,72.85,72.09,72.62,761458
2007-02-15,LH,76.09,78.74,76.09,78.04,5475600
2007-02-16,LH,78.04,79.02,78.03,78.4,1365800
2007-02-20,LH,78.05,78.88,76.63,78.29,1821400
2007-02-21,LH,77.98,78.52,77.78,78.1,666100
2007-02-22,LH,78.25,78.83,78.05,78.28,821500
2007-02-23,LH,78.04,78.47,77.8,78.41,893900
2007-02-26,LH,78.4,78.4,77.79,78.08,620163
2007-02-27,LH,78.04,78.06,76.95,77.06,1875200
2007-02-28,LH,77.07,77.95,76.67,77.73,1404800
2007-03-01,LH,73.16,73.16,68.35,68.45,9507731
2007-03-02,LH,67.99,68.83,65.94,66.69,5958400
2007-03-05,LH,64.44,66.72,64.44,65.31,2889000
2007-03-06,LH,64.77,65.87,63.99,65.46,4419000
2007-03-07,LH,65.54,66.21,65.22,65.81,5701700
2007-03-08,LH,66.2,67.19,66.08,66.8,2906200
2007-03-09,LH,67.31,67.44,66.73,67.07,2689100
2007-03-12,LH,67.07,68.15,66.92,67.89,2402900
2007-03-13,LH,68.27,69.01,67.86,68.63,2749400
2007-03-14,LH,69.02,69.34,67.93,68.53,2435100
2007-03-15,LH,68.53,69.84,68.22,69.67,2108900
2007-03-16,LH,69.73,70.56,68.83,69.12,1965100
2007-03-19,LH,69.12,69.82,68.43,69.55,1130300
2007-03-20,LH,69.56,69.95,69.35,69.45,924200
2007-03-21,LH,69.5,70.24,68.94,69.99,816957
2007-03-22,LH,69.99,70.8,69.83,69.97,1101000
2007-03-23,LH,69.97,70.48,69.71,70.07,677701
2007-03-26,LH,70.23,70.8,69.91,70.77,1080500
2007-03-27,LH,70.58,70.62,70.09,70.36,869300
2007-03-28,LH,70.45,70.64,69.92,70.28,1123807
2007-03-29,LH,70.86,71.08,70.22,71.01,1127340
2007-03-30,LH,71.11,71.62,70.24,70.85,1075199
2007-04-02,LH,70.85,71.38,70.2,70.56,1058128
2007-04-03,LH,70.61,71.07,70.54,71.07,692700
2007-04-04,LH,71.08,71.25,70.85,71.01,713900
2007-04-05,LH,71.07,71.52,70.88,71.41,463800
2007-04-09,LH,71.42,72.22,71.39,71.87,696900
2007-04-10,LH,71.87,72.1,71.58,71.59,837900
2007-04-11,LH,71.75,71.75,70.34,70.63,1127249
2007-04-12,LH,70.64,70.68,69.8,70.57,1147000
2007-04-13,LH,70.73,71.46,70.58,71.32,935700
2007-04-16,LH,71.32,71.47,70.89,71.26,617817
2007-04-17,LH,71.21,71.55,71.09,71.37,1064800
2007-04-18,LH,71.38,71.9,70.97,71.83,1223200
2007-04-19,LH,71.83,71.84,70.97,71.78,723500
2007-04-20,LH,72.19,72.94,71.7,72.26,1035955
2007-04-23,LH,73.72,73.72,71.65,71.8,670700
2007-04-24,LH,71.71,71.9,70.27,70.75,1103800
2007-04-25,LH,71.0,71.0,70.34,70.7,1276600
2007-04-26,LH,73.42,77.96,74.63,77.02,5044483
2007-04-27,LH,77.02,77.2,76.06,76.99,1402576
2007-04-30,LH,76.99,77.52,76.34,77.01,1071780
2007-05-01,LH,76.87,76.95,75.91,76.66,2122510
2007-05-02,LH,76.48,77.69,76.35,76.97,1032222
2007-05-03,LH,77.05,77.12,75.75,75.97,1137444
2007-05-04,LH,76.38,76.58,75.95,76.23,920700
2007-05-07,LH,76.47,77.09,76.37,77.09,734466
2007-05-08,LH,77.09,77.36,76.71,76.9,796700
2007-05-09,LH,76.9,77.28,76.58,77.06,604600
2007-05-10,LH,76.92,76.92,75.72,75.88,975500
2007-05-11,LH,75.89,76.67,75.89,76.45,550900
2007-05-14,LH,76.45,76.57,75.86,75.98,505920
2007-05-15,LH,75.84,76.5,75.52,75.68,638000
2007-05-16,LH,76.19,76.52,75.85,76.28,470500
2007-05-17,LH,76.04,76.51,75.78,76.25,575500
2007-05-18,LH,76.25,76.59,75.9,76.51,490200
2007-05-21,LH,76.7,77.0,76.09,76.86,553750
2007-05-22,LH,76.86,76.91,76.25,76.52,587800
2007-05-23,LH,76.95,77.2,76.67,76.96,389800
2007-05-24,LH,76.9,77.42,76.38,76.66,678800
2007-05-25,LH,76.54,76.96,76.48,76.7,402500
2007-05-29,LH,76.5,77.16,76.37,76.6,483800
2007-05-30,LH,76.5,77.09,76.38,76.78,530100
2007-05-31,LH,76.74,77.09,76.49,76.81,858712
2007-06-01,LH,76.81,77.84,76.78,77.79,603178
2007-06-04,LH,77.41,77.7,77.25,77.51,509200
2007-06-05,LH,77.27,77.51,77.21,77.47,865600
2007-06-06,LH,77.31,77.48,76.27,77.12,842200
2007-06-07,LH,77.12,77.96,75.94,76.19,1101270
2007-06-08,LH,76.08,76.69,75.85,76.32,752300
2007-06-11,LH,76.32,76.84,76.01,76.84,594600
2007-06-12,LH,76.24,77.0,75.97,75.97,1664724
2007-06-13,LH,76.17,77.04,75.79,77.04,1307100
2007-06-14,LH,76.92,77.32,76.68,77.25,546600
2007-06-15,LH,77.4,78.01,77.31,77.96,1031100
2007-06-18,LH,77.97,77.97,77.39,77.65,481600
2007-06-19,LH,77.26,78.02,77.18,78.02,583600
2007-06-20,LH,78.02,78.04,77.28,77.28,675000
2007-06-21,LH,77.13,77.8,76.99,77.5,543519
2007-06-22,LH,77.11,77.54,76.58,76.77,787400
2007-06-25,LH,76.87,77.4,76.17,76.34,584000
2007-06-26,LH,76.4,77.04,76.1,76.29,713300
2007-06-27,LH,76.1,76.43,75.93,76.31,686500
2007-06-28,LH,76.18,77.04,76.1,76.4,506600
2007-06-29,LH,76.42,77.01,76.04,76.34,754900
2007-07-02,LH,76.34,77.28,76.57,77.13,607200
2007-07-03,LH,77.13,77.77,77.06,77.67,280400
2007-07-05,LH,77.68,79.24,77.47,79.03,1355300
2007-07-06,LH,78.92,79.87,78.66,79.41,898200
2007-07-09,LH,79.29,79.39,78.21,78.46,733800
2007-07-10,LH,78.63,78.63,77.18,77.24,930566
2007-07-11,LH,77.6,78.29,77.4,78.29,709100
2007-07-12,LH,78.72,79.21,78.28,78.95,701700
2007-07-13,LH,78.73,79.14,78.33,79.09,281000
2007-07-16,LH,78.95,79.57,78.87,79.25,524000
2007-07-17,LH,79.21,80.3,79.02,79.19,999100
2007-07-18,LH,78.82,79.12,78.07,79.06,1327800
2007-07-19,LH,78.97,79.11,78.21,78.76,747700
2007-07-20,LH,78.75,78.91,77.7,77.85,947400
2007-07-23,LH,78.09,78.28,76.59,76.85,891600
2007-07-24,LH,76.65,77.24,74.57,76.5,2027000
2007-07-25,LH,76.5,76.95,76.22,76.49,1115100
2007-07-26,LH,76.04,76.04,74.03,74.58,1277817
2007-07-27,LH,74.48,74.48,72.33,72.33,887875
2007-07-30,LH,72.16,75.15,71.85,72.73,1024222
2007-07-31,LH,72.73,74.07,71.97,72.04,1336750
2007-08-01,LH,72.04,72.24,69.94,71.47,2246400
2007-08-02,LH,72.77,75.46,72.89,75.25,3406389
2007-08-03,LH,75.15,77.47,74.87,74.87,1890200
2007-08-06,LH,75.26,77.06,75.11,76.93,1382200
2007-08-07,LH,76.93,77.31,75.74,76.16,1627012
2007-08-08,LH,76.27,76.27,73.07,74.67,1622413
2007-08-09,LH,73.5,74.61,70.91,72.66,1728400
2007-08-10,LH,72.09,75.11,70.73,74.25,1296692
2007-08-13,LH,74.15,75.4,74.06,74.69,789700
2007-08-14,LH,74.43,75.3,73.25,73.36,700100
2007-08-15,LH,72.87,74.57,72.65,73.27,662800
2007-08-16,LH,72.97,74.23,70.76,72.03,1585100
2007-08-17,LH,74.14,74.18,71.6,73.41,1125500
2007-08-20,LH,73.75,74.45,73.07,73.35,843400
2007-08-21,LH,72.34,73.88,72.34,73.38,550800
2007-08-22,LH,73.93,74.26,73.55,73.98,662300
2007-08-23,LH,73.91,74.46,72.78,73.42,1092300
2007-08-24,LH,73.26,74.08,73.08,73.99,646700
2007-08-27,LH,73.8,74.35,73.75,73.86,515050
2007-08-28,LH,73.67,73.76,72.02,72.02,791000
2007-08-29,LH,72.24,73.24,72.1,73.24,553700
2007-08-30,LH,74.38,76.46,74.02,75.8,1538300
2007-08-31,LH,76.22,76.45,75.34,75.76,997900
2007-09-04,LH,75.47,76.24,75.43,76.14,546000
2007-09-05,LH,76.14,77.02,75.89,76.89,959500
2007-09-06,LH,77.11,77.49,76.4,76.9,720300
2007-09-07,LH,78.04,78.04,75.83,75.84,942300
2007-09-10,LH,104.22,76.52,75.16,75.5,503300
2007-09-11,LH,75.96,76.57,75.71,76.25,708800
2007-09-12,LH,77.55,77.97,76.35,77.21,667400
2007-09-13,LH,77.8,78.29,77.1,77.56,585200
2007-09-14,LH,77.44,77.75,77.0,77.65,425200
2007-09-17,LH,77.06,77.14,76.21,76.62,684500
2007-09-18,LH,76.69,77.9,76.48,77.63,506600
2007-09-19,LH,77.6,77.89,76.35,76.51,955800
2007-09-20,LH,76.19,76.58,75.99,76.01,704200
2007-09-21,LH,76.67,76.67,75.71,75.71,1607200
2007-09-24,LH,75.64,75.77,74.87,75.04,898600
2007-09-25,LH,74.82,75.33,74.47,74.54,1005800
2007-09-26,LH,74.6,75.4,74.53,75.25,653700
2007-09-27,LH,75.62,75.62,74.25,75.05,653000
2007-09-28,LH,75.21,76.4,75.17,76.31,1068400
2007-10-01,LH,76.74,77.3,76.0,76.28,751800
2007-10-02,LH,76.24,76.55,75.59,75.85,560800
2007-10-03,LH,75.75,75.99,75.21,75.58,556100
2007-10-04,LH,75.68,75.88,74.55,75.06,605400
2007-10-05,LH,75.45,75.85,74.97,75.67,691100
2007-10-08,LH,75.7,76.26,75.6,75.95,451400
2007-10-09,LH,75.96,76.31,75.85,76.25,465100
2007-10-10,LH,76.29,77.01,76.2,76.95,603500
2007-10-11,LH,76.79,77.69,75.13,75.36,772200
2007-10-12,LH,75.35,76.1,75.32,76.02,383161
2007-10-15,LH,76.16,76.32,74.83,75.29,584000
2007-10-16,LH,75.02,75.68,74.52,74.55,462600
2007-10-17,LH,74.92,75.45,74.03,74.4,649100
2007-10-18,LH,74.24,74.84,74.15,74.51,526300
2007-10-19,LH,74.24,74.99,74.18,74.41,600400
2007-10-22,LH,73.65,74.01,73.25,73.81,817700
2007-10-23,LH,74.63,75.81,73.16,75.56,853900
2007-10-24,LH,75.44,75.58,72.99,74.03,1158800
2007-10-25,LH,71.21,70.04,67.41,67.8,10059300
2007-10-26,LH,68.28,68.73,67.64,67.84,2189400
2007-10-29,LH,67.77,67.8,66.1,66.35,4940300
2007-10-30,LH,65.92,67.61,65.73,67.09,2568100
2007-10-31,LH,67.31,67.75,66.05,67.07,1698000
2007-11-01,LH,67.08,68.44,66.07,66.28,3172300
2007-11-02,LH,66.28,66.91,65.82,66.84,2833700
2007-11-05,LH,66.81,67.36,63.53,66.72,1941241
2007-11-06,LH,66.46,67.76,66.46,67.65,1846200
2007-11-07,LH,66.82,67.83,66.68,66.76,1867430
2007-11-08,LH,66.71,67.52,66.31,67.42,1981062
2007-11-09,LH,67.81,67.95,66.38,67.5,1977000
2007-11-12,LH,67.78,67.92,66.97,67.08,2141592
2007-11-13,LH,67.17,67.65,66.69,67.37,1776800
2007-11-14,LH,67.5,68.6,67.39,68.22,2262227
2007-11-15,LH,68.08,69.13,67.69,67.99,1916014
2007-11-16,LH,68.25,68.49,67.67,68.01,1397915
2007-11-19,LH,68.28,69.72,67.13,69.35,2275784
2007-11-20,LH,68.86,69.55,67.92,68.38,1911006
2007-11-21,LH,67.07,68.08,66.85,66.85,1163819
2007-11-22,LH,67.07,68.08,66.85,66.85,1163819
2007-11-23,LH,66.96,68.13,66.96,67.89,555017
2007-11-26,LH,68.58,69.75,68.58,68.75,1979810
2007-11-27,LH,68.74,69.98,68.74,69.89,1662300
2007-11-28,LH,69.72,71.03,69.72,70.81,1312091
2007-11-29,LH,70.23,71.85,70.23,71.64,1183490
2007-11-30,LH,71.79,71.79,70.72,70.89,1227456
2007-12-03,LH,70.68,71.3,69.95,70.07,986425
2007-12-04,LH,69.75,70.4,69.75,69.92,875240
2007-12-05,LH,70.43,70.89,70.08,70.86,1081421
2007-12-06,LH,70.83,71.45,70.3,71.4,756285
2007-12-07,LH,70.83,71.45,70.3,71.4,756285
2007-12-10,LH,71.37,71.85,71.11,71.85,883087
2007-12-11,LH,71.41,72.47,71.41,71.92,1773658
2007-12-12,LH,72.58,72.65,72.05,72.28,1221372
2007-12-13,LH,72.07,73.07,71.93,72.94,876499
2007-12-14,LH,72.97,73.06,72.58,72.77,945710
2007-12-17,LH,72.31,73.54,72.31,72.81,1221400
2007-12-18,LH,73.12,73.3,72.64,73.18,1102400
2007-12-19,LH,73.34,73.35,72.19,72.86,1036300
2007-12-20,LH,73.25,73.78,73.16,73.78,628698
2007-12-21,LH,74.13,74.93,73.9,74.8,1120600
2007-12-24,LH,74.43,75.52,74.43,74.82,415400
2007-12-26,LH,74.66,74.95,74.38,74.82,416800
2007-12-27,LH,74.87,75.06,73.99,74.24,723800
2007-12-28,LH,74.08,74.62,73.56,73.7,368400
2007-12-31,LH,73.8,74.19,73.54,73.68,491400
2008-01-02,LH,73.68,74.23,73.08,73.17,1069800
2008-01-03,LH,73.27,73.89,72.87,73.2,746900
2008-01-04,LH,72.71,73.53,71.55,71.55,1015700
2008-01-07,LH,71.84,73.23,71.58,73.13,1011043
2008-01-08,LH,73.65,74.55,73.34,74.12,1061710
2008-01-09,LH,74.09,76.39,73.77,76.05,1875650
2008-01-10,LH,75.06,77.51,75.06,76.06,1621106
