Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,LLY,31.8689,32.1707,31.8565,32.0968,4311400
2007-01-03,LLY,35.47,35.76,35.11,35.34,10306200
2007-01-04,LLY,35.16,35.51,35.1,35.41,6828700
2007-01-05,LLY,35.52,35.56,35.08,35.19,4114400
2007-01-08,LLY,35.31,35.31,35.0,35.03,3804200
2007-01-09,LLY,35.19,35.24,35.0,35.05,6272400
2007-01-10,LLY,34.89,35.05,34.88,34.94,3400300
2007-01-11,LLY,35.01,35.39,34.94,35.32,4432200
2007-01-12,LLY,35.44,35.79,35.35,35.57,5533100
2007-01-16,LLY,35.71,35.78,35.51,35.76,4181300
2007-01-17,LLY,35.76,35.96,35.53,35.74,5018000
2007-01-18,LLY,35.84,35.99,35.57,35.87,3943000
2007-01-19,LLY,36.05,36.15,35.73,35.82,3837200
2007-01-22,LLY,35.55,35.93,35.52,35.66,5872300
2007-01-23,LLY,35.74,35.81,35.49,35.61,4397700
2007-01-24,LLY,35.67,36.11,35.63,36.07,3934000
2007-01-25,LLY,35.98,36.05,35.74,35.93,5061100
2007-01-26,LLY,35.88,36.15,35.57,35.7,3966100
2007-01-29,LLY,35.78,35.84,35.54,35.74,3472700
2007-01-30,LLY,35.76,35.84,35.57,35.66,2671200
2007-01-31,LLY,35.64,36.77,35.54,36.6,10521700
2007-02-01,LLY,36.96,37.22,36.86,37.04,6648100
2007-02-02,LLY,36.98,37.05,36.77,36.93,4973400
2007-02-05,LLY,36.81,37.01,36.54,36.97,5090500
2007-02-06,LLY,36.93,37.07,36.78,36.95,4486200
2007-02-07,LLY,36.99,37.05,36.75,36.8,4679100
2007-02-08,LLY,36.55,37.01,36.55,36.66,3124600
2007-02-09,LLY,36.66,36.99,36.59,36.68,3591600
2007-02-12,LLY,37.03,37.03,36.68,36.8,3300438
2007-02-13,LLY,37.07,37.15,36.84,37.0,3356625
2007-02-14,LLY,37.06,37.41,36.96,37.39,3773511
2007-02-15,LLY,37.39,37.56,37.32,37.46,3092000
2007-02-16,LLY,37.32,37.52,37.19,37.48,3681000
2007-02-20,LLY,37.51,37.62,37.32,37.47,3228800
2007-02-21,LLY,37.25,37.35,37.06,37.16,3370600
2007-02-22,LLY,37.22,37.22,36.81,36.9,3344100
2007-02-23,LLY,36.81,37.05,36.64,36.95,3379700
2007-02-26,LLY,37.12,37.26,36.98,37.08,3847822
2007-02-27,LLY,36.61,37.16,35.84,36.12,8179900
2007-02-28,LLY,36.12,36.48,35.65,35.85,7685000
2007-03-01,LLY,35.45,35.8,35.38,35.61,6261332
2007-03-02,LLY,35.61,35.57,35.25,35.29,6537300
2007-03-05,LLY,35.09,35.51,34.9,35.19,7572100
2007-03-06,LLY,35.27,35.63,35.14,35.6,5054300
2007-03-07,LLY,35.6,35.74,35.2,35.35,4844600
2007-03-08,LLY,35.52,35.71,35.44,35.69,3297000
2007-03-09,LLY,35.69,36.07,35.7,35.85,5052100
2007-03-12,LLY,35.71,36.15,35.61,35.99,3643200
2007-03-13,LLY,35.7,36.04,35.44,35.49,5432200
2007-03-14,LLY,35.62,35.65,35.0,35.38,5342900
2007-03-15,LLY,35.27,35.5,35.12,35.48,3769600
2007-03-16,LLY,35.55,35.73,35.3,35.57,6181800
2007-03-19,LLY,35.6,35.93,35.52,35.91,3265250
2007-03-20,LLY,35.85,36.04,35.7,35.97,3532300
