Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2016-11-01,LW,29.07,30.88,29.07,30.88,1100
2016-11-03,LW,30.88,30.88,30.88,30.88,1070
2016-11-04,LW,29.97,30.88,29.96,30.43,33778
2016-11-07,LW,30.43,30.44,29.75,29.99,28979
2016-11-08,LW,30.2,30.88,29.58,30.88,214072
2016-11-09,LW,31.79,31.79,28.89,28.92,653083
2016-11-10,LW,29.1,29.38,27.09,27.55,35019076
2016-11-11,LW,27.07,27.33,26.2,27.15,6020148
2016-11-14,LW,26.65,27.64,26.11,27.42,4481917
2016-11-15,LW,26.92,27.88,26.9,27.64,3667256
2016-11-16,LW,27.95,29.1,27.8,28.79,4342310
2016-11-17,LW,28.52,30.03,27.83,29.53,5252133
2016-11-18,LW,29.19,30.06,28.87,29.68,4253380
2016-11-21,LW,29.3,29.52,28.42,28.83,5036677
2016-11-22,LW,28.63,30.11,27.64,29.7,5601830
2016-11-23,LW,29.7,30.4,29.52,29.99,3620409
2016-11-25,LW,29.76,29.77,29.31,29.6,827809
2016-11-28,LW,29.31,30.43,29.22,29.74,1929250
2016-11-29,LW,30.02,30.3,29.72,30.15,2139479
2016-11-30,LW,30.21,31.15,29.97,30.41,2764920
2016-12-01,LW,30.01,30.21,29.23,29.53,2914939
2016-12-02,LW,29.21,30.16,29.07,29.96,1213120
2016-12-05,LW,29.86,30.66,29.75,30.56,2004735
2016-12-06,LW,30.38,30.76,30.16,30.72,1622915
2016-12-07,LW,30.95,31.77,30.88,31.56,3809431
2016-12-08,LW,31.71,32.7,31.44,32.64,2602986
2016-12-09,LW,32.54,33.16,32.34,33.04,1993074
2016-12-12,LW,33.04,33.8,32.98,33.36,1258339
2016-12-13,LW,33.58,33.69,32.4,33.23,1814756
2016-12-14,LW,33.26,33.61,31.76,31.93,3886277
2016-12-15,LW,31.84,32.03,31.02,31.23,1555074
2016-12-16,LW,31.19,32.22,31.14,32.03,3783968
2016-12-19,LW,32.07,32.55,31.13,31.32,1983266
2016-12-20,LW,31.08,31.89,31.06,31.75,944998
2016-12-21,LW,31.46,31.99,31.3,31.81,703934
2016-12-22,LW,31.79,33.26,31.61,33.0,1438479
2016-12-23,LW,33.07,33.67,32.67,33.47,888289
2016-12-27,LW,33.29,34.05,33.25,33.92,822236
2016-12-28,LW,33.83,34.21,33.62,33.82,534220
2016-12-29,LW,33.94,34.48,33.74,34.31,658516
2016-12-30,LW,34.28,34.99,34.22,34.38,773230
2017-01-03,LW,34.25,35.06,33.93,34.05,2006963
2017-01-04,LW,34.22,34.89,33.08,33.59,1712669
2017-01-05,LW,33.59,34.25,33.13,33.26,1099841
2017-01-06,LW,33.08,33.57,32.75,33.45,1367990
2017-01-09,LW,33.43,33.69,32.79,33.51,1333756
2017-01-10,LW,35.23,35.39,32.87,33.46,3712586
2017-01-11,LW,33.33,33.79,32.72,33.51,2185874
2017-01-12,LW,33.33,33.62,32.81,33.57,1235201
2017-01-13,LW,33.51,33.88,33.2,33.81,1010164
2017-01-17,LW,33.73,33.81,33.38,33.51,1907181
2017-01-18,LW,33.38,33.5,33.07,33.28,1214200
2017-01-19,LW,33.42,33.61,33.0,33.57,890406
2017-01-20,LW,33.56,34.12,33.4,33.71,1337042
2017-01-23,LW,33.59,33.99,33.12,33.4,2035285
2017-01-24,LW,33.3,34.22,33.23,34.05,1199629
2017-01-25,LW,34.02,34.33,33.1,33.31,1183305
