Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,MDT,37.8639,38.2194,37.7217,38.0488,3163500
2007-01-03,MDT,36.99,37.33,36.51,36.63,5865100
2007-01-04,MDT,36.63,37.15,36.38,37.07,6067500
2007-01-05,MDT,36.87,37.35,36.76,37.18,4437500
2007-01-08,MDT,37.18,37.76,37.18,37.42,5466200
2007-01-09,MDT,37.6,37.91,37.48,37.52,7599400
2007-01-10,MDT,37.52,37.98,37.2,37.77,4264400
2007-01-11,MDT,37.78,37.87,37.29,37.59,7007500
2007-01-12,MDT,37.71,37.82,37.38,37.43,2856000
2007-01-16,MDT,37.22,38.0,37.22,37.98,4237200
2007-01-17,MDT,37.98,38.05,37.6,37.84,6429200
2007-01-18,MDT,37.88,38.23,37.63,37.72,5383000
2007-01-19,MDT,37.72,37.72,37.03,37.47,7425200
2007-01-22,MDT,37.38,37.56,36.97,37.06,4893600
2007-01-23,MDT,36.97,37.19,36.73,36.81,5485500
2007-01-24,MDT,36.93,37.25,36.83,37.24,3594500
2007-01-25,MDT,37.19,37.5,36.88,37.2,3704700
2007-01-26,MDT,37.28,37.32,36.91,37.03,4445800
2007-01-29,MDT,37.61,37.61,36.6,36.73,4421900
2007-01-30,MDT,36.83,37.08,36.73,37.01,3433200
2007-01-31,MDT,36.86,37.35,36.7,37.24,4247900
2007-02-01,MDT,37.24,37.33,36.93,37.17,5218900
2007-02-02,MDT,37.16,37.49,37.08,37.42,7275300
2007-02-05,MDT,37.42,37.46,37.13,37.15,4502000
2007-02-06,MDT,37.15,37.4,36.92,37.1,3513000
2007-02-07,MDT,37.03,37.15,36.84,37.1,4028900
2007-02-08,MDT,37.21,37.64,37.14,37.56,4388500
2007-02-09,MDT,37.52,37.7,37.33,37.47,3934900
2007-02-12,MDT,37.48,37.63,37.33,37.34,2601847
2007-02-13,MDT,37.34,37.94,37.3,37.92,4498595
2007-02-14,MDT,37.92,38.09,37.76,38.03,4041656
2007-02-15,MDT,37.97,38.06,37.6,37.67,4540800
2007-02-16,MDT,37.52,38.11,37.44,37.72,5728600
2007-02-20,MDT,37.29,38.07,37.28,38.0,6287200
2007-02-21,MDT,36.58,36.63,35.87,36.25,23595000
2007-02-22,MDT,36.16,36.21,35.53,35.71,11122900
2007-02-23,MDT,35.59,35.89,35.43,35.78,5925500
2007-02-26,MDT,35.89,35.89,35.36,35.48,4696993
2007-02-27,MDT,34.36,35.53,34.62,34.8,11248800
2007-02-28,MDT,34.84,35.59,34.8,35.09,14156500
2007-03-01,MDT,35.09,35.52,34.77,34.94,12113451
2007-03-02,MDT,34.87,34.9,34.13,34.25,11056600
2007-03-05,MDT,34.25,34.56,33.79,34.21,11387900
2007-03-06,MDT,34.22,34.68,34.35,34.49,7524600
2007-03-07,MDT,34.5,34.84,34.41,34.55,5912700
2007-03-08,MDT,34.5,35.1,34.69,34.78,5872700
2007-03-09,MDT,34.76,34.89,34.61,34.78,4465600
2007-03-12,MDT,35.13,35.14,34.55,34.59,4712400
2007-03-13,MDT,34.23,34.93,34.22,34.32,6843800
2007-03-14,MDT,34.35,34.68,34.2,34.58,4277500
2007-03-15,MDT,34.48,34.5,34.16,34.37,4289800
2007-03-16,MDT,34.49,34.49,33.84,34.05,7717200
2007-03-19,MDT,34.05,34.28,33.94,34.27,4335700
2007-03-20,MDT,34.25,34.48,33.93,34.39,4276700
2007-03-21,MDT,34.63,34.71,34.23,34.67,5468396
2007-03-22,MDT,34.68,34.82,34.28,34.69,6953500
2007-03-23,MDT,34.69,34.87,34.52,34.78,7294752
2007-03-26,MDT,34.62,34.76,34.13,34.72,7710600
2007-03-27,MDT,34.73,34.69,33.89,33.92,9938200
2007-03-28,MDT,34.07,34.09,33.53,33.91,7313065
2007-03-29,MDT,33.92,34.26,33.83,34.12,6564840
2007-03-30,MDT,34.12,34.41,33.83,34.19,4472625
2007-04-02,MDT,33.56,34.21,33.56,34.05,4349300
2007-04-03,MDT,34.12,34.5,33.9,34.5,7669800
2007-04-04,MDT,34.4,34.63,34.31,34.4,4358400
2007-04-05,MDT,34.4,34.46,34.22,34.31,3121900
2007-04-09,MDT,34.14,34.31,33.96,34.19,4096774
2007-04-10,MDT,34.19,34.72,34.01,34.55,5114100
2007-04-11,MDT,34.58,34.99,34.47,34.93,7899100
2007-04-12,MDT,35.09,35.92,34.96,35.59,10643485
2007-04-13,MDT,35.59,35.71,35.27,35.47,5930704
2007-04-16,MDT,35.49,36.14,35.39,35.9,7668657
2007-04-17,MDT,35.9,36.44,36.1,36.35,5663535
2007-04-18,MDT,36.3,36.36,35.89,36.26,4518892
2007-04-19,MDT,36.26,36.49,36.04,36.14,4977520
2007-04-20,MDT,36.14,36.81,36.16,36.55,6887956
2007-04-23,MDT,36.55,36.95,36.45,36.71,4877444
2007-04-24,MDT,36.88,37.35,36.77,37.22,8075059
2007-04-25,MDT,37.09,37.68,37.04,37.42,9582959
2007-04-26,MDT,37.43,37.94,37.41,37.76,9278000
2007-04-27,MDT,37.76,37.71,37.27,37.43,5012700
2007-04-30,MDT,37.36,37.5,36.95,36.97,6096899
2007-05-01,MDT,36.97,37.83,37.07,37.57,7739455
2007-05-02,MDT,37.55,37.85,37.36,37.75,6719484
2007-05-03,MDT,37.76,37.85,37.34,37.73,3321430
2007-05-04,MDT,37.73,37.71,37.28,37.5,3475014
2007-05-07,MDT,37.67,37.73,37.4,37.48,3470981
2007-05-08,MDT,37.48,37.48,37.15,37.32,3234100
2007-05-09,MDT,37.32,37.71,37.21,37.43,3482776
2007-05-10,MDT,37.44,37.35,36.78,36.83,4624660
2007-05-11,MDT,36.83,37.41,36.81,37.31,5654903
2007-05-14,MDT,37.31,37.56,37.22,37.36,4786090
2007-05-15,MDT,37.43,37.51,36.95,36.95,8172300
2007-05-16,MDT,36.95,37.02,36.28,36.51,8808660
2007-05-17,MDT,36.51,36.35,35.76,35.94,9894550
2007-05-18,MDT,35.94,35.99,35.77,35.79,6686800
2007-05-21,MDT,35.25,35.61,34.92,35.32,14738339
2007-05-22,MDT,35.62,35.65,34.93,35.48,8706000
2007-05-23,MDT,36.95,37.84,36.95,37.0,22145364
2007-05-24,MDT,36.53,37.32,36.67,37.06,7204782
2007-05-25,MDT,36.95,37.29,36.81,37.09,4241256
2007-05-29,MDT,36.83,37.15,36.67,37.02,4648300
2007-05-30,MDT,37.06,37.14,36.63,37.02,4382906
2007-05-31,MDT,37.01,37.22,36.98,37.13,4877812
2007-06-01,MDT,37.16,37.45,37.06,37.27,4509750
2007-06-04,MDT,37.27,37.29,36.79,37.17,3633934
2007-06-05,MDT,37.18,37.17,36.68,36.73,5933760
2007-06-06,MDT,36.73,36.79,36.61,36.7,4355903
2007-06-07,MDT,36.7,36.67,36.04,36.08,6513743
2007-06-08,MDT,36.08,36.56,35.74,36.42,5984754
2007-06-11,MDT,36.42,36.37,36.09,36.1,5160684
2007-06-12,MDT,35.97,36.44,35.97,36.11,5784800
2007-06-13,MDT,36.37,36.47,35.98,36.27,4652400
2007-06-14,MDT,35.9,36.46,35.9,36.3,4936900
2007-06-15,MDT,36.11,36.88,36.11,36.6,6220686
2007-06-18,MDT,36.76,36.8,36.53,36.58,3616600
2007-06-19,MDT,36.58,36.99,36.42,36.76,6138200
2007-06-20,MDT,36.76,36.83,35.93,36.0,8029197
2007-06-21,MDT,36.0,36.32,35.89,36.17,8146751
2007-06-22,MDT,36.17,36.34,35.81,36.04,12731906
2007-06-25,MDT,36.07,36.32,35.7,35.7,6890514
2007-06-26,MDT,35.73,36.42,35.72,36.09,6749314
2007-06-27,MDT,36.09,36.14,35.56,36.09,7961900
2007-06-28,MDT,36.09,36.45,35.83,36.18,4774266
2007-06-29,MDT,36.2,36.28,35.87,36.22,4807206
2007-07-02,MDT,36.22,37.56,35.8,37.27,11371806
2007-07-03,MDT,37.36,37.5,36.88,36.98,3920700
2007-07-05,MDT,36.98,37.13,36.85,37.04,4193826
2007-07-06,MDT,37.13,37.47,36.93,37.34,4383208
2007-07-09,MDT,37.97,37.98,36.99,37.21,3471697
2007-07-10,MDT,37.1,37.29,36.72,36.83,6653580
2007-07-11,MDT,36.65,37.11,36.65,37.01,5049200
2007-07-12,MDT,37.02,37.25,36.77,37.24,4463336
2007-07-13,MDT,36.99,37.09,36.67,36.92,3476480
2007-07-16,MDT,36.69,36.92,36.69,36.72,4945899
2007-07-17,MDT,36.58,36.8,36.34,36.5,5811020
2007-07-18,MDT,36.58,37.27,36.23,36.35,10245531
