Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,MKC,14.3638,14.3933,14.2199,14.2273,491000
2007-01-03,MKC,13.58,13.62,13.48,13.58,770000
2007-01-04,MKC,13.59,13.61,13.44,13.52,585400
2007-01-05,MKC,13.51,13.58,13.41,13.44,464800
2007-01-08,MKC,13.42,13.46,13.24,13.41,683600
2007-01-09,MKC,13.44,13.5,13.42,13.45,596100
2007-01-10,MKC,13.44,13.46,13.36,13.43,359500
2007-01-11,MKC,13.47,13.58,13.43,13.49,459700
2007-01-12,MKC,13.5,13.5,13.39,13.43,531400
2007-01-16,MKC,13.46,13.49,13.43,13.45,752700
2007-01-17,MKC,13.42,13.51,13.38,13.45,438300
2007-01-18,MKC,13.41,13.47,13.14,13.44,419100
2007-01-19,MKC,13.45,13.52,13.4,13.49,445000
2007-01-22,MKC,13.49,13.66,13.48,13.59,429900
2007-01-23,MKC,13.6,13.89,13.57,13.7,883100
2007-01-24,MKC,13.65,13.74,13.24,13.61,527900
2007-01-25,MKC,13.65,13.92,13.62,13.86,760100
2007-01-26,MKC,13.67,13.78,13.6,13.62,532600
2007-01-29,MKC,13.57,13.73,13.52,13.63,470000
2007-01-30,MKC,13.72,13.78,13.63,13.73,435500
2007-01-31,MKC,13.71,13.83,13.64,13.81,417800
2007-02-01,MKC,13.83,13.88,13.77,13.87,324900
2007-02-02,MKC,13.89,13.96,13.83,13.86,335500
2007-02-05,MKC,13.81,13.9,13.77,13.88,322000
2007-02-06,MKC,13.88,13.91,13.81,13.83,307800
2007-02-07,MKC,13.83,13.89,13.79,13.85,262100
2007-02-08,MKC,13.88,13.89,13.76,13.84,325000
2007-02-09,MKC,13.83,13.9,13.77,13.8,256500
2007-02-12,MKC,13.78,13.85,13.74,13.77,201200
2007-02-13,MKC,13.8,13.9,13.77,13.89,168848
2007-02-14,MKC,13.88,13.94,13.83,13.89,269101
2007-02-15,MKC,13.84,13.97,13.83,13.84,335900
2007-02-16,MKC,13.8,13.9,13.79,13.89,431100
2007-02-20,MKC,13.89,13.98,13.8,13.96,257600
2007-02-21,MKC,13.94,13.97,13.8,13.94,250500
2007-02-22,MKC,13.93,13.99,13.88,13.92,217700
2007-02-23,MKC,13.93,13.96,13.88,13.92,203900
2007-02-26,MKC,13.92,14.0,13.89,13.98,187446
2007-02-27,MKC,13.98,13.98,13.44,13.48,730400
2007-02-28,MKC,13.46,13.63,13.42,13.54,577100
2007-03-01,MKC,13.42,13.48,13.16,13.4,657510
2007-03-02,MKC,13.39,13.44,13.26,13.26,437200
2007-03-05,MKC,13.22,13.27,13.1,13.19,516900
