Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,MSI,20.0705,20.3444,20.051,20.1097,10725900
2007-01-03,MSI,116.41,117.6,115.18,115.68,5184904
2007-01-04,MSI,115.23,116.13,114.22,115.57,5042308
2007-01-05,MSI,101.51,108.26,101.23,106.52,31560133
2007-01-08,MSI,106.91,106.97,103.82,104.6,10898618
2007-01-09,MSI,104.38,105.0,102.64,102.69,9922043
2007-01-10,MSI,102.07,102.41,101.51,102.13,7478496
2007-01-11,MSI,102.52,104.27,101.85,102.35,6166200
2007-01-12,MSI,102.69,102.97,100.67,101.29,7902764
2007-01-16,MSI,101.79,102.24,101.29,102.07,5715509
2007-01-17,MSI,102.35,105.11,101.85,103.87,9344839
2007-01-18,MSI,104.6,105.73,103.93,105.22,8850404
2007-01-19,MSI,105.17,109.44,104.55,108.37,13431772
2007-01-22,MSI,108.99,109.05,103.87,105.28,7726746
2007-01-23,MSI,104.6,105.34,103.48,104.21,5504721
2007-01-24,MSI,104.1,105.56,103.76,104.44,5075893
2007-01-25,MSI,105.22,106.35,104.15,104.55,6817214
2007-01-26,MSI,104.1,104.6,102.41,103.37,5043978
2007-01-29,MSI,103.54,103.54,101.91,102.97,7164908
2007-01-30,MSI,108.82,110.4,108.09,110.12,15332220
2007-01-31,MSI,110.12,111.86,108.99,111.63,6063795
2007-02-01,MSI,112.08,112.37,110.12,112.2,6079573
2007-02-02,MSI,111.92,112.08,111.13,111.63,3889104
2007-02-05,MSI,111.13,111.92,110.57,111.75,3371208
2007-02-06,MSI,111.75,112.08,109.61,110.96,6935792
2007-02-07,MSI,111.92,111.97,111.07,111.97,4297918
2007-02-08,MSI,110.96,112.08,110.23,111.69,4257189
2007-02-09,MSI,111.86,111.92,109.44,110.06,4103572
2007-02-12,MSI,109.72,110.28,107.08,107.64,4777875
2007-02-13,MSI,107.47,108.93,107.42,108.77,3470185
2007-02-14,MSI,109.1,109.27,107.87,108.04,4356654
2007-02-15,MSI,108.2,108.99,107.14,108.2,7064764
2007-02-16,MSI,108.09,109.38,107.59,108.32,4247765
2007-02-20,MSI,107.7,107.81,106.8,107.81,3047568
2007-02-21,MSI,106.57,106.91,105.45,106.29,3759810
2007-02-22,MSI,106.4,107.42,106.24,106.63,3030300
2007-02-23,MSI,106.57,107.92,106.12,107.7,3470544
2007-02-26,MSI,108.32,108.6,107.36,108.26,3418733
2007-02-27,MSI,106.63,106.97,102.64,104.6,6208131
2007-02-28,MSI,104.66,105.28,103.37,104.15,3895495
2007-03-01,MSI,104.55,107.81,103.2,105.9,8106502
2007-03-02,MSI,105.9,107.25,104.38,104.83,4409962
2007-03-05,MSI,104.83,105.11,102.8,104.04,3922276
2007-03-06,MSI,105.62,106.74,104.89,105.95,3368516
2007-03-07,MSI,105.11,107.36,104.44,106.91,8327571
2007-03-08,MSI,107.59,107.92,104.31,104.77,6609226
2007-03-09,MSI,105.39,105.45,102.86,103.87,4936044
2007-03-12,MSI,103.87,106.07,103.2,104.27,8748483
2007-03-13,MSI,104.04,104.27,102.35,102.58,6138054
2007-03-14,MSI,102.69,103.65,102.13,103.48,5144355
2007-03-15,MSI,102.86,103.7,102.52,103.03,2771516
2007-03-16,MSI,103.14,103.2,102.19,102.3,5468572
2007-03-19,MSI,102.3,103.37,102.35,102.86,4524013
2007-03-20,MSI,102.41,106.46,102.24,105.84,7650166
2007-03-21,MSI,105.39,106.29,102.97,105.39,7595951
2007-03-22,MSI,99.82,100.72,98.14,98.42,34322209
2007-03-23,MSI,99.37,100.72,98.81,99.82,10357944
2007-03-26,MSI,99.49,101.06,99.43,100.72,5954097
2007-03-27,MSI,100.72,101.12,99.77,99.94,6666674
2007-03-28,MSI,99.54,100.84,99.37,99.71,5903647
2007-03-29,MSI,99.77,100.33,99.21,99.6,7547061
2007-03-30,MSI,99.6,99.99,99.09,99.37,6921809
2007-04-02,MSI,99.37,99.77,98.31,98.76,6610509
2007-04-03,MSI,98.76,99.66,98.53,99.37,4812017
2007-04-04,MSI,100.05,100.61,99.43,99.66,4000088
2007-04-05,MSI,99.66,100.22,98.7,98.92,3435282
2007-04-09,MSI,99.15,99.82,98.42,99.26,2848574
2007-04-10,MSI,99.26,99.77,98.47,99.43,2947872
2007-04-11,MSI,99.54,99.66,98.19,98.36,3750778
2007-04-12,MSI,98.14,98.59,97.46,98.53,4366736
2007-04-13,MSI,99.32,99.94,98.02,99.77,3355607
2007-04-16,MSI,99.82,100.33,99.26,100.22,3376047
2007-04-17,MSI,100.05,101.68,99.77,100.95,5420387
2007-04-18,MSI,100.95,103.7,101.29,102.47,7324682
2007-04-19,MSI,102.47,103.37,101.4,101.68,7045292
2007-04-20,MSI,101.68,102.64,101.46,102.41,4531473
2007-04-23,MSI,102.41,102.8,100.5,100.61,4098744
2007-04-24,MSI,100.61,101.46,98.98,99.21,6421936
2007-04-25,MSI,99.26,101.91,100.22,100.72,8312430
2007-04-26,MSI,100.78,101.06,99.43,100.67,4723925
2007-04-27,MSI,100.39,100.89,98.53,98.81,5911827
2007-04-30,MSI,98.47,99.15,97.41,97.46,4134486
2007-05-01,MSI,97.46,99.49,97.63,98.19,7648689
2007-05-02,MSI,98.98,99.6,98.42,98.76,6423994
2007-05-03,MSI,98.47,100.39,98.53,99.71,8258413
2007-05-04,MSI,100.11,102.58,100.39,101.68,7264452
2007-05-07,MSI,103.2,102.35,99.99,101.68,8032868
2007-05-08,MSI,99.6,100.61,99.15,99.54,8230479
2007-05-09,MSI,99.49,101.17,99.54,100.67,5155678
