Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,NI,5.4591,5.4908,5.4478,5.4591,1678433.219178084
2007-01-03,NI,13.17,13.38,13.17,13.26,1268100.0
2007-01-04,NI,13.26,13.34,13.17,13.21,1053500.0
2007-01-05,NI,13.19,13.19,12.84,12.88,1623600.0
2007-01-08,NI,12.88,13.0,12.77,12.86,1355500.0
2007-01-09,NI,12.87,12.94,12.81,12.9,1681700.0
2007-01-10,NI,12.86,13.03,12.83,12.98,1469000.0
2007-01-11,NI,13.01,13.03,12.92,12.94,1710100.0
2007-01-12,NI,12.95,13.03,12.87,12.89,1642700.0
2007-01-16,NI,12.86,13.0,12.84,12.92,1754100.0
2007-01-17,NI,12.92,12.98,12.85,12.88,1784300.0
2007-01-18,NI,12.88,12.92,12.76,12.79,1456300.0
2007-01-19,NI,12.74,12.78,12.63,12.72,1541000.0
2007-01-22,NI,12.7,12.74,12.59,12.69,1409000.0
2007-01-23,NI,12.69,12.85,12.62,12.8,962000.0
2007-01-24,NI,12.8,12.96,12.79,12.96,883200.0
2007-01-25,NI,13.0,13.13,12.95,13.09,2126000.0
2007-01-26,NI,13.35,13.35,13.05,13.23,1612500.0
2007-01-29,NI,13.3,13.36,13.12,13.14,2006900.0
2007-01-30,NI,13.12,13.2,13.05,13.15,1935600.0
2007-01-31,NI,13.15,13.17,12.98,13.13,2504500.0
2007-02-01,NI,13.13,13.2,13.12,13.19,1614300.0
2007-02-02,NI,13.21,13.25,13.16,13.21,1144200.0
2007-02-05,NI,13.19,13.28,13.11,13.21,817200.0
2007-02-06,NI,13.25,13.35,13.2,13.27,1180200.0
2007-02-07,NI,13.27,13.31,13.22,13.3,888100.0
2007-02-08,NI,13.3,13.47,13.28,13.42,674700.0
2007-02-09,NI,13.42,13.54,13.37,13.43,671500.0
2007-02-12,NI,13.17,13.48,13.17,13.33,1339493.0
2007-02-13,NI,13.4,13.52,13.37,13.46,2038106.0
2007-02-14,NI,13.47,13.65,13.47,13.57,1393254.0
2007-02-15,NI,13.58,13.58,13.47,13.5,991800.0
2007-02-16,NI,13.5,13.53,13.38,13.41,1587600.0
2007-02-20,NI,13.41,13.59,13.34,13.56,1925800.0
2007-02-21,NI,13.51,13.55,13.33,13.42,1266400.0
2007-02-22,NI,13.47,13.48,13.32,13.4,782100.0
2007-02-23,NI,13.56,13.58,13.32,13.41,1145800.0
2007-02-26,NI,13.41,13.68,13.43,13.51,1281814.0
2007-02-27,NI,13.51,13.59,13.11,13.2,1528100.0
2007-02-28,NI,13.24,13.35,13.06,13.12,1666300.0
2007-03-01,NI,12.99,13.25,12.99,13.15,1224118.0
2007-03-02,NI,13.1,13.13,12.9,12.99,3273100.0
2007-03-05,NI,12.94,12.94,12.79,12.85,2211600.0
2007-03-06,NI,12.89,13.07,12.81,13.05,1405800.0
2007-03-07,NI,13.03,13.08,12.9,12.92,1301500.0
2007-03-08,NI,12.99,13.05,12.91,12.93,818380.0
2007-03-09,NI,12.96,13.02,12.9,12.99,803100.0
2007-03-12,NI,12.97,13.13,12.94,13.13,506700.0
2007-03-13,NI,13.05,13.15,12.91,12.93,1171300.0
2007-03-14,NI,12.96,13.03,12.8,12.98,1375500.0
2007-03-15,NI,12.96,13.22,12.92,13.17,1014800.0
2007-03-16,NI,13.2,13.24,13.1,13.11,1240600.0
2007-03-19,NI,13.16,13.25,13.11,13.19,937200.0
2007-03-20,NI,13.21,13.37,13.16,13.35,798200.0
2007-03-21,NI,13.33,13.44,13.24,13.37,1358600.0
