Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,NSC,35.4855,35.8883,35.3936,35.542,2420600
2007-01-03,NSC,34.17,34.52,33.14,33.34,3402600
2007-01-04,NSC,33.48,33.49,32.46,32.78,3983800
2007-01-05,NSC,33.18,33.6,32.93,33.32,4319400
2007-01-08,NSC,33.15,33.42,32.84,33.13,2320300
2007-01-09,NSC,33.2,33.33,32.69,32.89,1879100
2007-01-10,NSC,32.57,32.72,32.11,32.63,2285600
2007-01-11,NSC,32.8,33.35,32.7,33.28,2970900
2007-01-12,NSC,33.35,34.06,33.35,34.06,1922300
2007-01-16,NSC,33.95,35.3,33.95,35.23,4241900
2007-01-17,NSC,35.23,35.28,34.14,34.81,3589900
2007-01-18,NSC,34.88,35.86,34.75,35.55,4186100
2007-01-19,NSC,35.76,36.33,35.38,35.88,3961200
2007-01-22,NSC,35.88,35.88,34.98,35.29,2499000
2007-01-23,NSC,35.13,36.46,34.58,36.39,4794200
2007-01-24,NSC,35.88,35.88,34.11,34.27,6977800
2007-01-25,NSC,34.13,34.19,32.93,33.06,5358800
2007-01-26,NSC,33.05,33.06,32.37,32.51,7968400
2007-01-29,NSC,32.51,32.75,32.0,32.21,7175100
2007-01-30,NSC,32.16,32.42,32.11,32.19,4429000
2007-01-31,NSC,32.18,33.96,32.01,33.78,7908900
2007-02-01,NSC,33.71,34.54,33.64,34.25,5477900
2007-02-02,NSC,34.26,34.93,34.19,34.61,4538600
2007-02-05,NSC,34.39,34.55,33.92,34.01,3206200
2007-02-06,NSC,34.0,34.11,33.73,33.93,4204300
2007-02-07,NSC,34.08,34.63,33.64,33.8,5543300
2007-02-08,NSC,33.78,33.83,33.24,33.34,3328200
2007-02-09,NSC,33.44,33.92,33.14,33.29,3833700
2007-02-12,NSC,33.34,33.47,32.76,32.94,3862586
2007-02-13,NSC,33.16,34.44,33.01,34.29,4902886
2007-02-14,NSC,34.36,35.74,34.25,35.55,5108864
2007-02-15,NSC,35.75,35.84,34.63,35.06,6470300
2007-02-16,NSC,35.01,35.31,34.44,34.82,4386300
2007-02-20,NSC,34.7,35.1,34.45,34.99,2725400
2007-02-21,NSC,34.36,35.64,34.12,35.4,2785900
2007-02-22,NSC,35.44,35.78,34.63,34.82,3988300
2007-02-23,NSC,34.68,34.82,34.16,34.66,2517400
2007-02-26,NSC,34.59,34.59,33.72,33.81,3458608
2007-02-27,NSC,33.3,33.45,31.76,32.21,4749800
2007-02-28,NSC,32.35,32.71,31.98,32.26,3624800
2007-03-01,NSC,32.1,32.25,31.37,31.98,5999537
2007-03-02,NSC,31.98,32.39,31.37,31.53,3942200
2007-03-05,NSC,31.12,31.89,30.87,31.32,3115500
2007-03-06,NSC,31.32,31.99,31.53,31.7,3521100
2007-03-07,NSC,31.7,32.75,31.52,32.44,4583100
2007-03-08,NSC,32.55,33.14,32.46,33.04,3138300
2007-03-09,NSC,33.33,33.45,32.55,33.02,2747394
2007-03-12,NSC,32.89,33.63,32.82,33.34,2846700
2007-03-13,NSC,33.08,33.4,32.49,32.66,4922386
2007-03-14,NSC,32.59,32.95,31.33,32.1,6554900
2007-03-15,NSC,32.1,32.9,32.04,32.6,4982108
2007-03-16,NSC,32.6,33.46,31.86,33.18,6746500
2007-03-19,NSC,33.16,33.46,32.67,33.35,5233800
2007-03-20,NSC,33.35,33.6,33.3,33.42,2819900
2007-03-21,NSC,33.38,33.97,33.29,33.61,5551402
2007-03-22,NSC,33.61,34.11,33.36,33.92,4108985
2007-03-23,NSC,33.92,35.41,33.72,35.36,6854000
2007-03-26,NSC,35.36,35.58,34.39,34.53,4968183
2007-03-27,NSC,34.53,34.53,34.01,34.28,3994900
2007-03-28,NSC,34.29,34.72,34.02,34.04,4351200
2007-03-29,NSC,34.05,34.8,33.8,33.97,5280500
2007-03-30,NSC,34.11,35.2,34.04,34.42,5139300
2007-04-02,NSC,34.42,34.67,34.2,34.4,4100900
2007-04-03,NSC,34.61,34.95,34.4,34.58,3728752
2007-04-04,NSC,34.72,34.9,34.62,34.74,2919500
2007-04-05,NSC,33.82,35.04,33.81,34.68,5934800
2007-04-09,NSC,34.68,36.89,35.72,35.98,7485900
2007-04-10,NSC,35.98,36.41,35.59,35.88,4739790
2007-04-11,NSC,35.95,36.1,35.02,35.28,3968938
2007-04-12,NSC,35.31,37.14,34.82,36.98,7853828
2007-04-13,NSC,36.98,37.42,36.14,36.66,3826868
2007-04-16,NSC,36.91,37.33,36.85,37.31,4578902
2007-04-17,NSC,37.31,37.35,36.58,36.76,3814700
2007-04-18,NSC,36.9,38.08,36.84,37.47,5286828
2007-04-19,NSC,37.72,38.21,36.99,38.04,5315413
2007-04-20,NSC,38.04,38.56,37.98,38.14,2940044
2007-04-23,NSC,38.14,38.19,37.69,37.91,3057400
2007-04-24,NSC,37.59,38.25,37.37,37.8,3050900
2007-04-25,NSC,37.87,38.44,36.59,37.84,5232024
2007-04-26,NSC,37.84,37.84,36.21,36.25,5449058
2007-04-27,NSC,36.19,36.87,35.83,36.48,4781650
2007-04-30,NSC,36.5,36.82,36.22,36.23,4901900
2007-05-01,NSC,36.22,36.67,35.8,35.82,9255516
2007-05-02,NSC,35.82,36.22,35.65,35.76,4445410
2007-05-03,NSC,35.76,37.43,36.08,36.7,3496000
2007-05-04,NSC,36.87,36.95,36.39,36.84,2274378
2007-05-07,NSC,36.89,37.0,36.31,36.46,3142733
2007-05-08,NSC,36.55,37.61,36.42,37.31,5022299
2007-05-09,NSC,37.41,37.62,37.04,37.42,2661555
2007-05-10,NSC,37.42,37.62,36.52,36.89,4137412
2007-05-11,NSC,37.03,37.75,36.74,37.73,4708400
2007-05-14,NSC,37.73,37.9,37.37,37.52,2594800
2007-05-15,NSC,37.58,38.42,37.56,38.17,4641086
2007-05-16,NSC,38.83,38.8,38.36,38.8,4596804
2007-05-17,NSC,38.9,40.18,38.83,39.84,10279405
2007-05-18,NSC,39.84,39.87,39.11,39.71,4083700
2007-05-21,NSC,39.55,39.78,39.15,39.28,3721610
2007-05-22,NSC,39.16,39.32,38.66,39.14,3182838
2007-05-23,NSC,39.14,39.69,39.12,39.39,3683100
2007-05-24,NSC,39.39,39.95,38.89,39.17,2584282
2007-05-25,NSC,39.55,39.86,39.0,39.1,2396325
2007-05-29,NSC,39.23,39.47,38.95,39.37,2636681
2007-05-30,NSC,39.5,39.41,38.92,39.26,3539762
2007-05-31,NSC,39.26,39.87,39.15,39.54,4342931
2007-06-01,NSC,39.54,40.44,39.63,40.06,2810600
2007-06-04,NSC,40.48,40.27,39.83,40.03,1449100
2007-06-05,NSC,40.02,40.21,39.26,39.61,2310700
2007-06-06,NSC,39.62,39.36,38.21,38.62,2696015
2007-06-07,NSC,38.07,38.38,36.93,36.97,5594480
2007-06-08,NSC,36.97,37.81,37.04,37.5,3797545
2007-06-11,NSC,37.5,37.68,37.13,37.23,3496700
2007-06-12,NSC,37.23,37.23,36.49,36.49,3826000
2007-06-13,NSC,36.5,37.47,36.41,37.34,3307300
2007-06-14,NSC,37.34,38.16,37.34,37.86,2866500
2007-06-15,NSC,38.08,38.77,37.99,38.18,4519200
