Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,NTAP,29.9418,30.3579,29.6695,29.7149,2186162
2007-01-03,NTAP,29.96,31.19,29.68,30.47,5806951
2007-01-04,NTAP,30.46,30.51,29.67,30.18,5144686
2007-01-05,NTAP,30.18,30.25,29.57,29.8,3969300
2007-01-08,NTAP,30.25,31.05,30.02,30.69,5274021
2007-01-09,NTAP,30.74,30.84,30.21,30.31,4264848
2007-01-10,NTAP,30.02,30.47,29.79,30.31,2943624
2007-01-11,NTAP,30.33,31.11,30.33,30.56,4112259
2007-01-12,NTAP,30.41,30.63,30.17,30.36,3445971
2007-01-16,NTAP,30.47,30.6,30.02,30.38,3602080
2007-01-17,NTAP,30.28,30.47,29.45,29.67,5357132
2007-01-18,NTAP,29.23,29.59,28.71,28.77,7065310
2007-01-19,NTAP,28.57,28.77,28.03,28.27,7430902
2007-01-22,NTAP,28.24,28.27,27.67,27.84,5873032
2007-01-23,NTAP,27.96,28.82,27.77,28.38,6445852
2007-01-24,NTAP,28.49,29.07,28.42,28.71,4351662
2007-01-25,NTAP,28.65,29.11,28.22,28.34,4764204
2007-01-26,NTAP,28.34,28.44,27.8,28.02,3883104
2007-01-29,NTAP,27.92,28.42,27.61,28.15,3208781
2007-01-30,NTAP,28.32,28.86,27.85,28.74,6538250
2007-01-31,NTAP,28.8,28.87,28.18,28.68,3683099
2007-02-01,NTAP,28.91,29.34,28.25,28.46,4071383
2007-02-02,NTAP,28.57,28.61,28.12,28.48,3011923
2007-02-05,NTAP,28.35,28.76,28.06,28.62,3731042
2007-02-06,NTAP,28.7,28.76,27.93,28.32,3458418
2007-02-07,NTAP,28.48,29.13,28.39,29.08,4143698
2007-02-08,NTAP,29.14,29.28,28.74,29.17,3283578
2007-02-09,NTAP,29.29,29.36,28.65,28.76,2521927
2007-02-12,NTAP,28.77,28.98,28.61,28.8,2629185
2007-02-13,NTAP,28.83,28.92,28.37,28.48,3928392
2007-02-14,NTAP,28.53,29.37,28.26,29.3,6180689
2007-02-15,NTAP,29.39,30.83,29.39,30.74,13994603
2007-02-16,NTAP,30.59,30.76,30.31,30.52,4303327
2007-02-20,NTAP,30.52,30.89,30.33,30.89,5210334
2007-02-21,NTAP,30.73,30.98,30.38,30.59,4629375
2007-02-22,NTAP,30.65,30.79,30.06,30.42,3439555
2007-02-23,NTAP,30.45,30.78,30.27,30.58,3834363
2007-02-26,NTAP,30.78,30.82,30.08,30.25,4059230
2007-02-27,NTAP,29.96,29.96,28.8,28.8,5766911
2007-02-28,NTAP,29.02,29.67,28.61,29.5,6623010
2007-03-01,NTAP,28.8,29.5,28.36,29.1,4150304
2007-03-02,NTAP,29.1,29.18,28.47,28.47,3566766
2007-03-05,NTAP,28.22,28.55,28.05,28.07,3797229
2007-03-06,NTAP,28.25,28.7,28.08,28.46,3618168
2007-03-07,NTAP,28.24,28.39,27.78,27.82,4835890
2007-03-08,NTAP,28.19,29.17,28.11,28.77,5267256
2007-03-09,NTAP,28.97,29.0,28.41,28.75,3215612
2007-03-12,NTAP,28.68,29.4,28.68,29.16,4772119
2007-03-13,NTAP,28.84,29.06,27.56,27.68,8105500
2007-03-14,NTAP,27.83,27.87,27.03,27.69,8376798
2007-03-15,NTAP,27.58,27.93,27.58,27.88,4850886
2007-03-16,NTAP,27.88,28.05,27.58,28.01,4952257
2007-03-19,NTAP,28.1,28.18,27.43,27.74,4677269
2007-03-20,NTAP,27.75,28.18,27.69,28.09,3576232
2007-03-21,NTAP,28.15,28.97,27.75,28.97,6394451
2007-03-22,NTAP,29.14,29.14,28.57,28.72,3193948
2007-03-23,NTAP,29.22,29.6,29.06,29.09,5734709
2007-03-26,NTAP,29.19,29.39,28.79,29.38,2748280
2007-03-27,NTAP,29.25,29.32,28.8,29.0,3588812
2007-03-28,NTAP,28.84,28.93,27.75,27.78,6852988
2007-03-29,NTAP,27.78,28.09,27.54,27.76,4861897
2007-03-30,NTAP,27.84,28.05,27.62,27.86,4618167
2007-04-02,NTAP,27.79,27.9,26.87,27.39,5258327
2007-04-03,NTAP,27.32,27.97,27.17,27.78,5818867
2007-04-04,NTAP,27.64,27.91,27.55,27.65,3147733
2007-04-05,NTAP,27.62,27.85,27.23,27.85,3076549
2007-04-09,NTAP,27.84,28.02,27.46,27.51,3987580
2007-04-10,NTAP,27.5,27.46,26.63,27.17,7792458
2007-04-11,NTAP,27.18,27.22,26.77,26.83,3847240
2007-04-12,NTAP,26.8,27.4,26.46,27.15,4917279
2007-04-13,NTAP,27.09,27.47,26.82,27.39,3804561
2007-04-16,NTAP,27.73,27.81,27.17,27.33,2928320
2007-04-17,NTAP,27.32,27.45,26.81,26.96,3973513
2007-04-18,NTAP,26.9,27.29,26.63,27.06,3551690
2007-04-19,NTAP,27.0,27.16,26.61,26.84,4127229
2007-04-20,NTAP,27.07,27.25,26.48,26.64,6414082
2007-04-23,NTAP,26.77,27.05,26.62,26.89,4171119
2007-04-24,NTAP,27.04,27.5,26.81,27.19,6623525
2007-04-25,NTAP,27.35,27.59,26.99,27.55,5818118
2007-04-26,NTAP,27.26,28.48,27.16,28.41,8342720
2007-04-27,NTAP,28.31,28.85,28.22,28.84,7434140
2007-04-30,NTAP,28.83,28.99,28.35,28.38,4354040
2007-05-01,NTAP,28.36,28.67,27.99,28.28,2988983
2007-05-02,NTAP,28.36,29.06,28.22,28.83,3626066
2007-05-03,NTAP,28.89,29.48,28.91,29.31,4171229
2007-05-04,NTAP,29.31,29.52,28.83,29.11,2958686
2007-05-07,NTAP,29.14,29.18,28.8,28.92,2472629
