Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,OXY,29.9019,29.969,29.6395,29.7981,2955594.612368401
2007-01-03,OXY,31.31,31.33,29.82,29.96,6844700.0
2007-01-04,OXY,29.83,29.83,29.09,29.35,7495700.0
2007-01-05,OXY,29.22,29.4,28.81,29.15,8682000.0
2007-01-08,OXY,29.51,29.62,28.81,29.07,6893700.0
2007-01-09,OXY,28.54,28.63,27.9,28.0,11075500.0
2007-01-10,OXY,27.64,27.86,26.97,27.66,13877600.0
2007-01-11,OXY,27.57,28.37,27.52,27.63,10113900.0
2007-01-12,OXY,27.67,28.6,27.61,28.47,9168300.0
2007-01-16,OXY,28.28,28.44,27.83,27.94,6381300.0
2007-01-17,OXY,28.1,28.6,27.78,28.22,7937100.0
2007-01-18,OXY,28.55,28.7,27.85,27.97,8070600.0
2007-01-19,OXY,28.51,28.81,28.12,28.7,9126700.0
2007-01-22,OXY,29.13,29.17,28.1,28.1,8780300.0
2007-01-23,OXY,28.38,29.22,28.31,28.92,7208200.0
2007-01-24,OXY,29.31,29.71,28.94,29.63,8067700.0
2007-01-25,OXY,29.63,29.77,29.07,29.12,6972700.0
2007-01-26,OXY,29.22,29.53,28.99,29.27,6543800.0
2007-01-29,OXY,29.42,29.48,28.85,28.97,7213800.0
2007-01-30,OXY,29.03,29.56,28.88,29.4,7462200.0
2007-01-31,OXY,29.4,29.98,29.24,29.73,6991500.0
2007-02-01,OXY,29.81,30.21,29.7,30.01,9794700.0
2007-02-02,OXY,30.4,30.46,29.77,30.33,4257900.0
2007-02-05,OXY,30.17,30.43,29.81,29.92,5460800.0
2007-02-06,OXY,30.12,30.14,29.81,29.92,4602500.0
2007-02-07,OXY,29.92,30.19,29.77,29.9,5899200.0
2007-02-08,OXY,29.96,30.49,29.58,30.29,6050600.0
2007-02-09,OXY,30.15,30.42,29.76,29.83,4688500.0
2007-02-12,OXY,29.63,29.68,29.24,29.49,5973522.0
2007-02-13,OXY,29.54,29.97,29.54,29.88,4390737.0
2007-02-14,OXY,29.97,31.08,29.93,30.85,11750493.0
2007-02-15,OXY,30.85,30.96,30.22,30.54,8132800.0
2007-02-16,OXY,30.53,30.87,30.4,30.47,6880800.0
2007-02-20,OXY,30.22,30.46,30.04,30.24,4372100.0
2007-02-21,OXY,30.1,30.83,29.98,30.63,6733400.0
2007-02-22,OXY,30.58,30.8,30.19,30.78,6321000.0
2007-02-23,OXY,30.94,31.17,30.7,30.94,5899800.0
2007-02-26,OXY,30.78,31.26,30.6,30.74,5146430.0
2007-02-27,OXY,30.69,30.69,29.33,29.69,9432300.0
2007-02-28,OXY,29.69,30.04,29.39,29.58,7801100.0
2007-03-01,OXY,29.5,30.1,29.18,29.83,8621964.0
2007-03-02,OXY,29.83,29.81,29.24,29.44,7683800.0
2007-03-05,OXY,29.18,29.48,28.76,28.95,6597600.0
2007-03-06,OXY,29.26,29.45,29.08,29.38,4415300.0
2007-03-07,OXY,29.48,30.4,29.33,29.87,7747400.0
2007-03-08,OXY,30.09,30.18,29.73,29.86,4454300.0
2007-03-09,OXY,30.07,30.16,29.66,29.86,4701000.0
2007-03-12,OXY,29.86,29.82,29.46,29.56,4889300.0
2007-03-13,OXY,29.49,30.0,29.31,29.33,8450300.0
2007-03-14,OXY,29.62,29.89,29.2,29.87,6435707.0
2007-03-15,OXY,29.75,29.8,29.52,29.55,4745600.0
2007-03-16,OXY,29.63,29.64,29.21,29.48,8700800.0
2007-03-19,OXY,29.69,29.9,29.49,29.85,4359198.0
2007-03-20,OXY,29.78,30.15,29.76,30.11,4659100.0
2007-03-21,OXY,30.11,30.53,30.06,30.37,7101400.0
2007-03-22,OXY,30.67,31.16,30.66,30.98,8337466.0
2007-03-23,OXY,30.98,31.34,31.0,31.11,6136057.0
2007-03-26,OXY,31.2,31.46,30.8,31.33,4586602.0
2007-03-27,OXY,31.34,31.68,31.24,31.56,5439405.0
2007-03-28,OXY,31.78,32.25,31.77,32.07,8795549.0
