Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,PPL,16.021,16.0254,15.8876,15.9276,905774.376033284
2007-01-03,PPL,16.72,16.98,16.66,16.85,2144900.0
2007-01-04,PPL,16.86,16.97,16.74,16.76,1163800.0
2007-01-05,PPL,16.71,16.71,16.38,16.47,1140800.0
2007-01-08,PPL,16.42,16.55,16.36,16.43,1123400.0
2007-01-09,PPL,16.49,16.59,16.33,16.5,1481800.0
2007-01-10,PPL,16.43,16.5,16.32,16.44,1178000.0
2007-01-11,PPL,16.48,16.6,16.36,16.42,1443300.0
2007-01-12,PPL,16.45,16.48,16.16,16.21,1707200.0
2007-01-16,PPL,16.17,16.39,16.17,16.26,1263800.0
2007-01-17,PPL,16.26,16.33,16.16,16.19,1216600.0
2007-01-18,PPL,16.13,16.24,16.04,16.09,1346700.0
2007-01-19,PPL,16.13,16.15,15.95,16.09,892400.0
2007-01-22,PPL,16.06,16.19,16.0,16.04,1187600.0
2007-01-23,PPL,16.01,16.27,16.0,16.19,1017600.0
2007-01-24,PPL,16.15,16.35,16.1,16.34,637500.0
2007-01-25,PPL,16.37,16.37,16.25,16.27,808800.0
2007-01-26,PPL,16.24,16.35,16.1,16.3,800700.0
2007-01-29,PPL,16.24,16.33,16.19,16.29,793900.0
2007-01-30,PPL,16.33,16.4,16.28,16.36,597100.0
2007-01-31,PPL,16.37,16.58,16.31,16.49,1197400.0
2007-02-01,PPL,16.46,16.61,16.35,16.59,1680200.0
2007-02-02,PPL,16.4,16.63,16.28,16.54,2242500.0
2007-02-05,PPL,16.56,16.73,16.49,16.67,1212500.0
2007-02-06,PPL,16.71,16.82,16.67,16.8,1221400.0
2007-02-07,PPL,16.8,16.91,16.66,16.8,1396100.0
2007-02-08,PPL,16.79,16.97,16.77,16.97,1990100.0
2007-02-09,PPL,17.0,17.24,16.89,17.1,2173000.0
2007-02-12,PPL,17.08,17.14,16.92,16.96,1228666.0
2007-02-13,PPL,16.96,17.11,16.94,17.11,977478.0
2007-02-14,PPL,17.11,17.3,17.05,17.23,1433503.0
2007-02-15,PPL,17.2,17.24,17.09,17.1,758300.0
2007-02-16,PPL,17.03,17.19,16.92,17.17,1131900.0
2007-02-20,PPL,17.17,17.25,17.1,17.24,775800.0
2007-02-21,PPL,17.18,17.23,17.07,17.15,779600.0
2007-02-22,PPL,17.23,17.26,17.0,17.12,729900.0
2007-02-23,PPL,17.07,17.41,17.04,17.4,1250000.0
2007-02-26,PPL,17.62,18.38,17.62,18.16,3974668.0
2007-02-27,PPL,18.14,18.32,17.61,17.64,3526500.0
2007-02-28,PPL,17.64,17.86,17.61,17.63,1912200.0
2007-03-01,PPL,17.61,17.89,17.35,17.8,1905641.0
2007-03-02,PPL,17.8,17.81,17.54,17.54,1767800.0
2007-03-05,PPL,17.41,17.49,17.23,17.25,2630400.0
2007-03-06,PPL,17.3,17.56,17.26,17.54,1571700.0
2007-03-07,PPL,17.68,17.64,17.38,17.4,1621500.0
2007-03-08,PPL,17.52,17.61,17.47,17.53,1176200.0
2007-03-09,PPL,17.53,17.63,17.45,17.56,857000.0
2007-03-12,PPL,17.56,17.84,17.46,17.83,1764700.0
2007-03-13,PPL,17.73,17.94,17.49,17.5,1856200.0
2007-03-14,PPL,17.55,17.68,17.3,17.63,1695378.0
2007-03-15,PPL,17.63,17.82,17.49,17.75,2130100.0
2007-03-16,PPL,17.81,17.84,17.62,17.63,2024600.0
2007-03-19,PPL,17.77,18.02,17.68,18.01,1998800.0
2007-03-20,PPL,18.01,18.2,17.87,18.18,1492600.0
2007-03-21,PPL,18.16,18.43,18.07,18.4,1827138.0
2007-03-22,PPL,18.04,18.47,18.04,18.31,1667300.0
2007-03-23,PPL,18.33,18.56,18.22,18.52,1315700.0
2007-03-26,PPL,18.5,18.71,18.41,18.71,1231600.0
2007-03-27,PPL,19.03,19.4,18.92,19.22,5259300.0
2007-03-28,PPL,19.18,19.38,19.12,19.17,1574500.0
2007-03-29,PPL,19.17,19.31,19.02,19.26,2063823.0
2007-03-30,PPL,19.31,19.35,18.89,19.1,1858200.0
2007-04-02,PPL,19.14,19.72,19.09,19.66,2900500.0
2007-04-03,PPL,19.82,19.87,19.61,19.85,2191700.0
2007-04-04,PPL,19.85,19.99,19.7,19.93,2297400.0
