Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2012-05-01,PSX,22.68,22.93,21.9,22.02,6879137
2012-05-02,PSX,21.92,21.96,21.26,21.51,11287820
2012-05-03,PSX,21.47,21.5,20.87,21.1,11794167
2012-05-04,PSX,20.74,20.9,20.25,20.28,10880963
2012-05-07,PSX,20.24,20.54,19.66,19.73,12257130
2012-05-08,PSX,19.56,20.44,19.33,20.24,14602517
2012-05-09,PSX,20.04,22.11,19.99,21.84,13991380
2012-05-10,PSX,22.22,22.42,21.19,21.84,8862449
2012-05-11,PSX,21.33,21.61,21.11,21.4,4462784
2012-05-14,PSX,20.97,21.23,20.68,21.06,6398344
2012-05-15,PSX,21.08,21.73,20.88,21.29,6362783
2012-05-16,PSX,21.15,21.78,21.01,21.58,6119700
2012-05-17,PSX,21.44,21.51,20.98,21.02,5850849
2012-05-18,PSX,21.13,21.3,20.83,21.1,7940710
2012-05-21,PSX,21.0,21.74,20.81,21.64,5481256
2012-05-22,PSX,21.43,21.7,21.06,21.26,5415170
2012-05-23,PSX,21.08,21.17,20.76,21.12,5268865
2012-05-24,PSX,21.12,21.14,20.67,20.93,4210378
2012-05-25,PSX,20.85,21.12,20.73,21.04,3217880
2012-05-29,PSX,21.03,21.33,20.75,20.85,3980088
2012-05-30,PSX,20.7,20.73,20.29,20.46,6000530
2012-05-31,PSX,20.34,20.4,19.98,20.19,8098327
2012-06-01,PSX,19.83,20.28,19.75,20.12,5701781
2012-06-04,PSX,19.7,20.3,19.66,19.85,4845298
2012-06-05,PSX,19.75,20.24,19.71,20.1,4046996
2012-06-06,PSX,20.19,21.51,20.05,21.2,8609774
2012-06-07,PSX,21.56,22.02,21.34,21.4,7694514
2012-06-08,PSX,21.29,21.75,21.18,21.59,4302337
2012-06-11,PSX,21.82,22.22,21.67,21.92,5998990
2012-06-12,PSX,21.89,22.68,21.84,22.52,6809855
2012-06-13,PSX,22.37,22.52,21.88,22.03,2876111
2012-06-14,PSX,22.03,22.62,21.72,22.54,4460097
2012-06-15,PSX,22.59,23.47,22.44,23.46,9914292
2012-06-18,PSX,23.11,23.19,22.74,22.76,4254404
2012-06-19,PSX,22.9,23.21,22.68,22.76,4873473
2012-06-20,PSX,22.72,23.43,22.51,23.3,4628528
2012-06-21,PSX,23.33,23.37,22.23,22.51,3489835
2012-06-22,PSX,22.62,23.34,22.21,22.97,4369263
2012-06-25,PSX,22.65,22.65,22.02,22.1,3518598
2012-06-26,PSX,22.06,22.84,21.78,21.9,3274695
2012-06-27,PSX,21.92,22.45,21.12,21.44,3615526
2012-06-28,PSX,21.2,21.78,21.04,21.72,3115829
2012-06-29,PSX,22.04,22.44,21.95,22.35,4599960
2012-07-02,PSX,22.58,23.07,22.43,22.86,3868491
2012-07-03,PSX,22.87,23.28,22.74,23.02,3647467
2012-07-05,PSX,22.74,23.02,22.55,22.72,2711223
2012-07-06,PSX,22.45,22.64,22.13,22.43,1907785
2012-07-09,PSX,22.24,22.7,21.95,22.35,2264549
2012-07-10,PSX,22.5,22.5,21.85,21.97,2972898
2012-07-11,PSX,21.96,22.62,21.75,22.51,2582945
2012-07-12,PSX,22.29,22.31,21.88,22.19,3505596
2012-07-13,PSX,22.6,23.58,22.53,23.49,4801583
2012-07-16,PSX,23.32,24.28,23.23,24.27,4895653
2012-07-17,PSX,24.31,24.74,24.11,24.67,3604306
2012-07-18,PSX,24.64,25.33,24.6,24.94,2839176
2012-07-19,PSX,25.0,25.01,23.99,24.06,3758508
2012-07-20,PSX,23.78,23.95,23.6,23.87,3289930
2012-07-23,PSX,23.51,23.85,23.32,23.67,3245840
2012-07-24,PSX,23.83,23.94,23.4,23.81,2351584
2012-07-25,PSX,24.06,24.26,23.57,23.93,3551211
2012-07-26,PSX,24.17,24.37,24.06,24.31,2951738
2012-07-27,PSX,24.49,24.95,24.26,24.68,6159905
2012-07-30,PSX,24.91,25.45,24.89,25.45,2830879
2012-07-31,PSX,25.51,25.93,25.35,25.41,6958421
2012-08-01,PSX,26.41,27.16,25.54,25.87,6640199
2012-08-02,PSX,25.64,26.41,25.58,25.89,4434735
2012-08-03,PSX,26.09,26.93,26.09,26.81,4515975
2012-08-06,PSX,27.0,27.27,26.88,27.08,3405031
2012-08-07,PSX,27.3,27.6,26.76,26.88,4636760
2012-08-08,PSX,26.77,27.17,26.67,27.14,4002567
2012-08-09,PSX,26.97,27.44,26.95,27.25,2888402
2012-08-10,PSX,27.21,27.33,26.87,27.04,2107632
2012-08-13,PSX,26.94,27.27,26.88,27.14,2213411
2012-08-14,PSX,27.16,27.34,26.9,26.99,2535482
2012-08-15,PSX,27.4,27.48,26.99,27.28,4009437
2012-08-16,PSX,27.39,27.89,27.29,27.83,3862105
2012-08-17,PSX,28.13,29.02,28.03,28.91,5536614
2012-08-20,PSX,28.98,29.37,28.89,29.11,3809871
2012-08-21,PSX,29.32,29.32,28.04,28.08,4469525
2012-08-22,PSX,27.96,28.07,27.32,28.04,4384468
2012-08-23,PSX,28.04,28.14,27.75,27.93,1996903
2012-08-24,PSX,27.81,28.08,27.54,27.96,2562877
2012-08-27,PSX,28.0,28.65,27.69,27.76,3779120
2012-08-28,PSX,27.64,28.71,27.64,28.36,3770767
2012-08-29,PSX,28.32,28.65,28.15,28.37,2674285
2012-08-30,PSX,28.25,28.86,28.13,28.71,2523712
2012-08-31,PSX,28.86,29.06,27.78,28.39,5791145
2012-09-04,PSX,28.44,28.69,28.04,28.66,2620889
2012-09-05,PSX,28.72,28.78,28.0,28.21,2881756
2012-09-06,PSX,28.5,29.56,28.5,29.35,4222973
2012-09-07,PSX,29.39,29.95,29.31,29.92,3458005
2012-09-10,PSX,29.69,30.31,29.69,30.1,4417886
2012-09-11,PSX,30.17,31.16,30.05,30.81,6305249
2012-09-12,PSX,31.19,32.04,31.12,31.28,5269786
2012-09-13,PSX,31.29,31.67,30.67,31.52,5292183
2012-09-14,PSX,31.88,32.59,31.1,31.58,6718832
2012-09-17,PSX,31.21,31.75,31.09,31.19,4835577
2012-09-18,PSX,30.77,30.94,30.04,30.77,6109079
2012-09-19,PSX,30.77,31.5,30.76,30.8,3505452
