Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,PTC,18.11,18.318,17.98,18.02,14604322
2007-01-03,PTC,18.07,18.23,17.34,17.83,3662512
2007-01-04,PTC,17.83,18.06,17.64,18.01,2035028
2007-01-05,PTC,17.97,18.01,17.5,17.72,1586777
2007-01-08,PTC,17.72,18.14,17.61,17.92,2075222
2007-01-09,PTC,17.99,17.99,17.61,17.68,1413104
2007-01-10,PTC,17.57,17.82,17.54,17.71,1424783
2007-01-11,PTC,17.75,18.13,17.69,17.88,1098214
2007-01-12,PTC,17.84,18.06,17.54,17.94,1396731
2007-01-16,PTC,17.93,18.13,17.7,17.8,1147752
2007-01-17,PTC,17.81,17.93,17.63,17.7,1007145
2007-01-18,PTC,17.51,17.75,17.45,17.5,1851360
2007-01-19,PTC,17.5,17.63,17.31,17.47,1470677
2007-01-22,PTC,17.5,17.53,17.28,17.3,1209502
2007-01-23,PTC,17.33,18.07,17.21,17.9,2412427
2007-01-24,PTC,18.39,19.74,18.09,19.18,5992526
2007-01-25,PTC,19.36,19.61,18.8,19.25,2523825
2007-01-26,PTC,19.34,19.94,19.17,19.82,2321116
2007-01-29,PTC,19.76,19.81,19.5,19.72,1631625
2007-01-30,PTC,19.73,20.0,19.39,19.98,1854055
2007-01-31,PTC,19.9,19.98,19.64,19.82,1474198
2007-02-01,PTC,19.95,20.18,19.88,20.0,1227369
2007-02-02,PTC,20.0,20.0,19.82,19.92,928940
2007-02-05,PTC,19.95,19.95,19.7,19.9,1011925
2007-02-06,PTC,19.92,19.95,19.62,19.9,887919
2007-02-07,PTC,19.88,20.0,19.63,19.98,1285083
2007-02-08,PTC,19.92,19.98,19.83,19.91,753926
2007-02-09,PTC,19.85,19.92,19.55,19.64,707379
2007-02-12,PTC,19.8,19.8,19.39,19.62,549869
2007-02-13,PTC,19.73,19.91,19.42,19.89,1065598
2007-02-14,PTC,19.87,20.0,19.73,19.75,937006
2007-02-15,PTC,19.69,19.76,19.49,19.65,1086319
2007-02-16,PTC,19.65,19.65,19.0,19.44,1619906
2007-02-20,PTC,19.32,19.58,19.3,19.44,1711846
2007-02-21,PTC,19.35,19.98,19.31,19.98,1593886
2007-02-22,PTC,19.97,20.56,19.97,20.29,2882368
2007-02-23,PTC,20.21,20.22,19.93,20.08,1341658
2007-02-26,PTC,20.07,20.2,20.04,20.18,1336652
2007-02-27,PTC,19.93,20.06,19.35,19.46,2387741
2007-02-28,PTC,19.48,19.49,18.85,19.07,1606608
2007-03-01,PTC,18.81,19.11,18.5,18.94,1223188
2007-03-02,PTC,18.94,19.01,18.49,18.6,999940
2007-03-05,PTC,18.42,18.85,18.33,18.44,1543139
2007-03-06,PTC,18.46,18.82,18.41,18.73,1263584
2007-03-07,PTC,18.68,18.83,18.52,18.71,1372401
2007-03-08,PTC,18.88,18.94,18.61,18.8,1151251
2007-03-09,PTC,18.87,19.01,18.75,18.85,1299307
2007-03-12,PTC,18.87,19.2,18.77,19.07,790196
2007-03-13,PTC,19.01,19.01,18.65,18.76,1873273
2007-03-14,PTC,18.63,18.96,18.45,18.82,1275613
2007-03-15,PTC,18.86,19.06,18.75,18.82,572559
2007-03-16,PTC,18.75,18.9,18.65,18.8,1415804
2007-03-19,PTC,18.84,18.99,18.78,18.99,1688364
2007-03-20,PTC,18.93,19.36,18.89,19.29,990759
2007-03-21,PTC,19.3,19.8,19.15,19.77,1022189
2007-03-22,PTC,19.8,19.86,19.45,19.83,883119
2007-03-23,PTC,19.74,19.82,19.45,19.57,773288
2007-03-26,PTC,19.56,19.62,19.23,19.54,869391
2007-03-27,PTC,19.42,19.46,19.22,19.33,1388903
2007-03-28,PTC,19.23,19.42,19.16,19.27,1298607
2007-03-29,PTC,19.27,19.41,18.76,19.02,868744
2007-03-30,PTC,19.05,19.16,18.8,19.0,1133209
2007-04-02,PTC,19.05,19.09,18.74,18.91,993309
2007-04-03,PTC,18.92,19.05,18.66,18.7,1520846
2007-04-04,PTC,18.46,18.79,18.4,18.46,1991841
2007-04-05,PTC,18.55,18.74,18.42,18.71,1765957
2007-04-09,PTC,18.75,18.76,18.41,18.66,1068848
2007-04-10,PTC,18.66,19.01,18.65,18.98,1220815
2007-04-11,PTC,19.02,19.05,18.8,18.94,953078
2007-04-12,PTC,18.86,19.33,18.83,19.28,1401729
2007-04-13,PTC,19.2,19.38,19.02,19.28,1954030
2007-04-16,PTC,19.29,19.51,19.18,19.27,1224499
2007-04-17,PTC,19.29,19.27,18.96,19.09,1364012
2007-04-18,PTC,19.06,19.06,18.75,18.88,1303092
2007-04-19,PTC,18.72,19.05,18.54,18.92,868530
2007-04-20,PTC,19.06,19.22,18.93,19.16,951213
2007-04-23,PTC,19.1,19.07,18.71,18.78,2469507
2007-04-24,PTC,18.8,18.96,18.56,18.89,2885928
2007-04-25,PTC,18.5,18.6,17.65,18.34,5208301
2007-04-26,PTC,18.34,18.53,18.29,18.51,1871225
2007-04-27,PTC,18.52,18.56,18.32,18.42,1278540
2007-04-30,PTC,18.39,18.45,17.76,17.77,2148544
2007-05-01,PTC,17.76,17.89,17.56,17.73,1771842
2007-05-02,PTC,17.65,17.98,17.58,17.9,1451034
2007-05-03,PTC,17.88,18.01,17.68,17.89,1374474
2007-05-04,PTC,17.9,18.06,17.73,18.05,1704119
2007-05-07,PTC,18.0,18.1,18.0,18.02,664104
2007-05-08,PTC,18.0,18.06,17.67,18.01,984784
2007-05-09,PTC,17.95,18.1,17.79,18.02,1116349
2007-05-10,PTC,17.95,18.08,17.76,18.01,1891029
2007-05-11,PTC,18.14,18.39,18.0,18.29,896953
2007-05-14,PTC,18.26,18.55,18.09,18.13,1016164
2007-05-15,PTC,18.08,18.36,17.89,17.93,806674
2007-05-16,PTC,18.0,18.27,17.95,18.21,919329
2007-05-17,PTC,18.12,18.17,17.8,17.87,1280537
2007-05-18,PTC,17.87,18.08,17.74,18.04,1195391
2007-05-21,PTC,17.92,18.39,17.91,18.37,1090264
2007-05-22,PTC,18.35,18.81,18.33,18.64,1782469
2007-05-23,PTC,18.64,18.79,18.38,18.4,1455445
2007-05-24,PTC,18.4,18.5,17.82,17.94,1073719
2007-05-25,PTC,17.97,18.14,17.86,17.98,863304
2007-05-29,PTC,18.01,18.14,17.93,18.08,881363
2007-05-30,PTC,18.08,18.26,17.81,18.25,962923
2007-05-31,PTC,18.35,18.68,18.2,18.68,1734243
2007-06-01,PTC,18.7,19.24,18.75,19.07,2181852
2007-06-04,PTC,19.07,19.21,18.95,19.16,1669947
2007-06-05,PTC,19.1,19.4,18.89,19.38,2116511
2007-06-06,PTC,19.38,19.36,19.1,19.18,1285795
2007-06-07,PTC,19.16,19.27,19.0,19.09,1750199
2007-06-08,PTC,19.09,19.3,18.99,19.29,1283910
2007-06-11,PTC,19.21,19.57,19.21,19.44,991212
2007-06-12,PTC,19.44,19.57,19.25,19.31,1094946
2007-06-13,PTC,19.39,19.59,19.31,19.56,1051927
2007-06-14,PTC,19.74,20.02,19.37,19.96,1591528
2007-06-15,PTC,20.06,20.73,20.13,20.56,3165003
