Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,RF,23.6167,23.6668,23.3909,23.4536,1392200
2007-01-03,RF,23.42,23.65,23.27,23.56,4077400
2007-01-04,RF,23.55,23.55,23.32,23.45,4797100
2007-01-05,RF,23.44,23.44,22.9,23.05,2779200
2007-01-08,RF,23.0,23.01,22.68,22.9,1995700
2007-01-09,RF,22.96,23.03,22.7,22.97,2330700
2007-01-10,RF,22.96,23.08,22.86,23.03,2232000
2007-01-11,RF,23.16,23.22,22.97,23.11,1878200
2007-01-12,RF,22.98,23.05,22.8,22.97,1601900
2007-01-16,RF,23.02,23.02,22.74,22.87,1854700
2007-01-17,RF,22.89,22.89,22.5,22.75,2099400
2007-01-18,RF,22.78,23.15,22.74,23.07,3138900
2007-01-19,RF,22.9,23.07,22.52,22.6,3494900
2007-01-22,RF,22.53,22.59,22.28,22.46,2856100
2007-01-23,RF,22.31,22.43,22.16,22.28,3841500
2007-01-24,RF,22.23,22.45,22.22,22.45,2688900
2007-01-25,RF,22.4,22.48,22.26,22.33,2681300
2007-01-26,RF,22.31,22.44,22.25,22.39,2031400
2007-01-29,RF,22.36,22.5,22.31,22.5,2205500
2007-01-30,RF,22.55,22.56,22.37,22.43,1962700
2007-01-31,RF,22.45,22.56,22.29,22.47,2348100
2007-02-01,RF,22.53,22.56,22.37,22.44,3087600
2007-02-02,RF,22.54,22.63,22.45,22.59,1741100
2007-02-05,RF,22.63,22.87,22.56,22.79,2537600
2007-02-06,RF,22.84,23.03,22.77,22.98,2036300
2007-02-07,RF,23.04,23.11,22.93,23.1,1789800
2007-02-08,RF,23.02,23.2,22.89,23.16,3332900
2007-02-09,RF,23.16,23.21,22.95,22.98,2863400
2007-02-12,RF,22.98,23.02,22.85,22.97,2039899
2007-02-13,RF,23.05,23.13,22.92,23.13,1381995
2007-02-14,RF,23.11,23.23,22.99,23.15,1370468
2007-02-15,RF,23.03,23.15,23.02,23.08,1608600
2007-02-16,RF,23.02,23.22,23.02,23.18,2355500
2007-02-20,RF,23.23,23.31,22.97,23.29,1883200
2007-02-21,RF,23.27,23.28,22.98,23.08,2299300
2007-02-22,RF,23.15,23.2,23.07,23.2,2350400
2007-02-23,RF,23.23,23.23,22.85,22.96,1461700
2007-02-26,RF,22.97,23.0,22.61,22.72,2454361
2007-02-27,RF,22.72,22.72,21.88,22.01,3095600
2007-02-28,RF,22.01,22.33,22.0,22.2,3273500
2007-03-01,RF,21.89,22.18,21.37,22.09,2776269
2007-03-02,RF,22.06,22.09,21.81,21.91,3043000
2007-03-05,RF,21.91,21.91,21.49,21.49,3661200
2007-03-06,RF,21.49,22.12,21.6,22.09,2976400
2007-03-07,RF,22.09,22.06,21.75,21.77,2317500
2007-03-08,RF,21.91,22.1,21.75,21.94,1743200
2007-03-09,RF,22.03,22.13,21.91,22.06,1731900
2007-03-12,RF,21.99,22.12,21.83,22.09,1967000
2007-03-13,RF,21.96,21.97,21.26,21.31,7451600
2007-03-14,RF,21.38,21.59,20.96,21.55,4069600
2007-03-15,RF,21.54,21.82,21.51,21.69,2027500
2007-03-16,RF,21.68,21.9,21.57,21.64,3159473
2007-03-19,RF,21.66,21.99,21.66,21.91,1855900
2007-03-20,RF,21.86,22.16,21.81,22.16,1757300
2007-03-21,RF,22.12,22.81,21.98,22.74,3046414
2007-03-22,RF,22.67,22.72,22.46,22.64,2744900
2007-03-23,RF,22.64,22.8,22.51,22.63,1568543
2007-03-26,RF,22.67,22.67,22.3,22.58,1570397
2007-03-27,RF,22.46,22.55,22.3,22.38,1501650
2007-03-28,RF,22.27,22.27,21.89,21.89,2759604
2007-03-29,RF,21.99,22.33,21.99,22.28,2742300
2007-03-30,RF,22.39,22.41,21.91,22.15,2634600
2007-04-02,RF,22.15,22.12,21.62,21.76,3395500
2007-04-03,RF,21.91,22.16,21.85,22.13,2299500
