Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,SJM,30.7304,30.7304,30.5037,30.5226,263900
2007-01-03,SJM,31.07,31.59,31.05,31.59,355000
2007-01-04,SJM,31.43,31.44,31.09,31.12,276900
2007-01-05,SJM,30.55,30.99,30.55,30.95,201000
2007-01-08,SJM,30.87,30.87,30.52,30.66,270100
2007-01-09,SJM,30.59,30.75,30.5,30.69,108700
2007-01-10,SJM,30.58,30.61,30.41,30.45,161800
2007-01-11,SJM,30.51,30.98,30.51,30.87,289400
2007-01-12,SJM,30.77,30.89,30.47,30.55,179800
2007-01-16,SJM,30.57,30.78,30.36,30.37,179900
2007-01-17,SJM,30.23,30.64,30.12,30.43,233200
2007-01-18,SJM,30.41,30.5,30.18,30.22,227300
2007-01-19,SJM,30.14,30.46,30.13,30.27,189300
2007-01-22,SJM,30.31,30.43,30.06,30.08,207000
2007-01-23,SJM,29.95,30.44,29.84,30.37,451700
2007-01-24,SJM,30.43,30.56,30.31,30.56,155900
2007-01-25,SJM,30.44,30.57,30.37,30.54,160200
2007-01-26,SJM,30.56,30.63,29.84,30.02,238400
2007-01-29,SJM,29.97,30.73,29.96,30.52,190500
2007-01-30,SJM,30.36,30.62,30.26,30.38,280400
2007-01-31,SJM,30.39,30.55,30.2,30.43,128600
2007-02-01,SJM,30.45,30.65,30.42,30.65,110100
2007-02-02,SJM,30.65,30.9,30.63,30.83,91800
2007-02-05,SJM,30.73,30.79,30.5,30.79,193800
2007-02-06,SJM,30.79,30.95,30.72,30.91,105400
2007-02-07,SJM,30.89,30.95,30.75,30.86,183100
2007-02-08,SJM,30.8,31.0,30.79,30.94,127600
2007-02-09,SJM,30.93,30.97,30.75,30.92,93100
2007-02-12,SJM,30.91,31.12,30.88,31.01,276164
2007-02-13,SJM,30.98,31.4,30.8,31.31,177720
2007-02-14,SJM,31.29,31.46,31.29,31.41,131100
2007-02-15,SJM,31.41,31.51,31.0,31.14,217800
2007-02-16,SJM,31.16,32.48,30.26,31.84,1034900
2007-02-20,SJM,31.74,33.38,31.58,33.09,572500
2007-02-21,SJM,32.74,32.79,32.23,32.43,297800
2007-02-22,SJM,32.42,32.68,31.96,32.63,244500
2007-02-23,SJM,32.52,32.86,32.25,32.58,307200
2007-02-26,SJM,32.64,32.74,32.5,32.67,137000
2007-02-27,SJM,32.28,32.67,31.98,32.03,246800
2007-02-28,SJM,32.03,32.35,31.9,31.92,309800
2007-03-01,SJM,31.72,32.8,31.58,32.69,437100
2007-03-02,SJM,32.69,32.69,32.23,32.32,232100
2007-03-05,SJM,32.16,32.23,31.67,31.7,357900
2007-03-06,SJM,31.83,32.05,31.74,31.78,364900
2007-03-07,SJM,31.78,31.94,31.38,31.71,254000
2007-03-08,SJM,31.87,32.04,31.85,32.04,134000
2007-03-09,SJM,32.16,32.18,31.79,32.0,133200
2007-03-12,SJM,32.01,32.45,32.01,32.36,238000
2007-03-13,SJM,32.23,32.38,31.91,31.96,146000
2007-03-14,SJM,31.99,32.21,31.72,31.98,158400
2007-03-15,SJM,31.92,32.22,31.92,32.19,127700
2007-03-16,SJM,32.19,32.31,32.0,32.12,148300
2007-03-19,SJM,32.22,32.31,32.14,32.22,89200
2007-03-20,SJM,32.12,32.77,32.12,32.77,156200
2007-03-21,SJM,33.19,33.37,32.67,33.28,151600
2007-03-22,SJM,33.29,33.46,33.12,33.31,142600
2007-03-23,SJM,33.37,33.44,33.21,33.3,129000
2007-03-26,SJM,33.22,33.51,33.19,33.48,139300
2007-03-27,SJM,33.49,33.46,33.04,33.11,170700
2007-03-28,SJM,34.08,34.79,33.46,34.44,617800
2007-03-29,SJM,34.68,34.74,34.38,34.51,239200
2007-03-30,SJM,34.49,34.79,34.25,34.36,198700
2007-04-02,SJM,34.51,35.02,34.51,34.94,244500
2007-04-03,SJM,34.94,35.65,35.06,35.45,262700
2007-04-04,SJM,35.45,35.64,35.12,35.2,270600
2007-04-05,SJM,35.12,35.44,35.06,35.34,132100
2007-04-09,SJM,35.35,35.44,35.15,35.21,120300
2007-04-10,SJM,35.18,35.58,35.18,35.5,171000
2007-04-11,SJM,35.43,35.75,35.25,35.69,144400
2007-04-12,SJM,35.36,36.24,35.35,36.13,311100
2007-04-13,SJM,36.13,37.01,36.12,36.65,477400
2007-04-16,SJM,36.65,36.76,36.3,36.38,276900
2007-04-17,SJM,36.38,36.27,35.89,36.21,377700
2007-04-18,SJM,36.22,36.34,35.95,36.14,270900
2007-04-19,SJM,35.98,35.98,35.64,35.8,243000
2007-04-20,SJM,35.8,36.42,35.9,36.42,230700
2007-04-23,SJM,36.38,36.55,36.18,36.44,172500
2007-04-24,SJM,36.35,36.52,36.25,36.27,121000
2007-04-25,SJM,36.27,36.47,36.18,36.34,179200
2007-04-26,SJM,36.28,36.44,36.18,36.27,123900
2007-04-27,SJM,36.24,36.43,36.05,36.15,163800
2007-04-30,SJM,36.22,36.47,35.95,35.97,287500
2007-05-01,SJM,35.97,36.57,35.93,36.43,201000
2007-05-02,SJM,36.38,36.72,36.35,36.6,173400
2007-05-03,SJM,36.57,36.72,36.37,36.64,233800
2007-05-04,SJM,36.65,37.34,36.54,37.34,420200
2007-05-07,SJM,37.89,37.59,37.27,37.55,242700
2007-05-08,SJM,37.44,37.68,37.41,37.54,179300
2007-05-09,SJM,37.48,37.56,37.27,37.3,234760
2007-05-10,SJM,37.18,37.18,36.47,36.56,264000
