Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,SPGI,58.1724,58.5643,57.8913,57.9509,541400
2007-01-03,SPGI,63.09,63.88,61.66,62.19,2078100
2007-01-04,SPGI,62.24,62.93,61.78,61.91,1991200
2007-01-05,SPGI,61.65,62.16,61.41,61.93,1319600
2007-01-08,SPGI,61.75,62.01,61.33,61.74,1226600
2007-01-09,SPGI,61.86,62.31,61.58,62.0,1038500
2007-01-10,SPGI,62.01,63.03,61.56,62.82,1078500
2007-01-11,SPGI,63.03,64.19,62.93,64.17,1374500
2007-01-12,SPGI,63.81,64.06,62.8,62.93,1074600
2007-01-16,SPGI,63.12,64.1,63.08,63.75,1392600
2007-01-17,SPGI,63.88,64.1,63.45,63.72,980300
2007-01-18,SPGI,64.19,64.87,64.04,64.37,1671400
2007-01-19,SPGI,64.38,64.38,63.56,64.07,1119000
2007-01-22,SPGI,63.83,63.89,62.97,63.33,1401400
2007-01-23,SPGI,63.15,63.31,62.5,62.83,1819100
2007-01-24,SPGI,62.85,63.81,62.85,63.41,1050600
2007-01-25,SPGI,63.39,63.39,60.26,61.52,2666700
2007-01-26,SPGI,63.04,63.75,61.68,61.95,2709100
2007-01-29,SPGI,61.96,62.43,61.82,61.84,1712100
2007-01-30,SPGI,62.01,62.17,61.12,61.36,2219400
2007-01-31,SPGI,61.47,62.36,61.26,62.18,3615300
2007-02-01,SPGI,62.27,63.04,62.08,62.93,1433200
2007-02-02,SPGI,62.73,63.29,62.24,62.39,1852100
2007-02-05,SPGI,62.47,63.07,62.1,62.79,1118600
2007-02-06,SPGI,62.74,63.68,62.67,63.19,1304900
2007-02-07,SPGI,63.07,63.77,62.96,63.72,1092700
2007-02-08,SPGI,63.72,64.76,63.64,64.65,1788600
2007-02-09,SPGI,64.54,64.73,63.3,63.38,1189900
2007-02-12,SPGI,63.39,63.79,62.29,62.29,1162917
2007-02-13,SPGI,62.29,62.66,62.1,62.66,1716513
2007-02-14,SPGI,62.65,63.1,62.4,63.1,1407046
2007-02-15,SPGI,63.28,63.28,62.64,62.75,962100
2007-02-16,SPGI,62.72,63.58,62.62,63.57,1342700
2007-02-20,SPGI,63.18,63.62,62.97,63.6,1563500
2007-02-21,SPGI,63.37,63.66,62.84,63.64,1145600
2007-02-22,SPGI,63.17,63.18,62.4,62.9,2218400
2007-02-23,SPGI,62.68,62.68,61.53,61.91,2718200
2007-02-26,SPGI,61.37,61.39,60.33,60.67,4018312
2007-02-27,SPGI,59.91,60.69,58.19,59.23,4483600
2007-02-28,SPGI,59.1,60.35,59.09,59.85,2672900
2007-03-01,SPGI,58.77,60.24,58.36,60.01,2462674
2007-03-02,SPGI,60.01,60.02,59.28,59.47,2541200
2007-03-05,SPGI,58.98,59.78,58.22,58.94,2526400
2007-03-06,SPGI,58.94,59.73,58.53,59.67,2128100
2007-03-07,SPGI,59.67,59.76,59.15,59.31,1522700
2007-03-08,SPGI,59.61,60.13,58.94,59.68,956000
2007-03-09,SPGI,60.19,60.19,59.49,60.06,1463500
2007-03-12,SPGI,59.77,59.88,59.14,59.37,1885400
2007-03-13,SPGI,59.51,59.51,57.26,57.34,4303900
2007-03-14,SPGI,57.55,57.83,56.6,57.63,4214600
2007-03-15,SPGI,57.64,58.53,57.61,58.34,2486300
2007-03-16,SPGI,58.34,58.77,58.01,58.33,2892600
2007-03-19,SPGI,58.56,59.02,58.49,58.8,1334500
2007-03-20,SPGI,58.96,59.85,58.75,59.66,2413100
2007-03-21,SPGI,59.71,60.65,59.4,60.6,2468486
2007-03-22,SPGI,60.6,60.64,60.03,60.48,2330100
