Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,TDG,12.9844,12.9844,12.8051,12.8439,19200
2007-01-03,TDG,10.9,10.96,10.36,10.41,62200
2007-01-04,TDG,10.41,10.91,10.4,10.9,25200
2007-01-05,TDG,10.86,10.86,10.42,10.58,39400
2007-01-08,TDG,10.53,10.67,10.47,10.65,19600
2007-01-09,TDG,10.61,10.63,10.42,10.51,28700
2007-01-10,TDG,10.57,10.57,10.31,10.39,43400
2007-01-11,TDG,10.38,10.94,10.38,10.83,75700
2007-01-12,TDG,10.86,10.98,10.86,10.98,38000
2007-01-16,TDG,11.0,11.02,10.89,10.98,59900
2007-01-17,TDG,10.95,10.98,10.88,10.93,26000
2007-01-18,TDG,10.88,10.96,10.85,10.95,21300
2007-01-19,TDG,10.94,11.16,10.88,11.06,58000
2007-01-22,TDG,10.96,10.98,10.88,10.88,46700
2007-01-23,TDG,10.86,10.99,10.86,10.94,34700
2007-01-24,TDG,12.25,12.46,11.57,12.29,338300
2007-01-25,TDG,12.29,12.74,12.26,12.46,197800
2007-01-26,TDG,12.3,12.44,12.24,12.42,96500
2007-01-29,TDG,12.52,13.37,12.46,13.17,193400
2007-01-30,TDG,13.17,13.24,13.06,13.11,87800
2007-01-31,TDG,13.12,13.32,13.05,13.05,47500
2007-02-01,TDG,13.06,13.1,12.72,12.9,46200
2007-02-02,TDG,12.91,12.99,12.87,12.9,33700
2007-02-05,TDG,12.93,12.99,12.85,12.9,78400
2007-02-06,TDG,12.87,12.92,12.8,12.87,45700
2007-02-07,TDG,12.84,12.91,12.72,12.81,64800
2007-02-08,TDG,12.77,12.95,12.76,12.94,71800
2007-02-09,TDG,12.95,13.18,12.91,13.09,45200
2007-02-12,TDG,13.4,13.5,13.17,13.36,124000
2007-02-13,TDG,13.42,13.89,13.42,13.82,67900
2007-02-14,TDG,13.83,13.88,13.74,13.74,55600
2007-02-15,TDG,13.7,13.84,13.63,13.63,40300
2007-02-16,TDG,13.63,13.68,13.5,13.62,42900
2007-02-20,TDG,13.64,13.75,13.58,13.63,39500
2007-02-21,TDG,13.54,13.7,13.36,13.45,55300
2007-02-22,TDG,13.44,13.44,13.13,13.3,87900
2007-02-23,TDG,13.27,13.66,13.15,13.64,55700
2007-02-26,TDG,13.73,13.99,13.73,13.88,79100
2007-02-27,TDG,13.81,13.92,13.24,13.27,99900
2007-02-28,TDG,13.27,13.32,13.03,13.07,120800
2007-03-01,TDG,13.07,13.43,12.83,13.14,250900
2007-03-02,TDG,13.11,13.45,13.04,13.27,74000
2007-03-05,TDG,13.24,13.24,12.5,12.78,88600
2007-03-06,TDG,12.87,12.96,12.74,12.83,136400
2007-03-07,TDG,12.81,12.83,12.63,12.73,74900
2007-03-08,TDG,12.77,12.91,12.67,12.87,39200
2007-03-09,TDG,12.91,13.36,12.9,13.22,57400
2007-03-12,TDG,13.18,13.28,12.66,13.11,37400
2007-03-13,TDG,13.07,13.32,13.0,13.14,66300
2007-03-14,TDG,13.17,13.27,13.11,13.21,43200
2007-03-15,TDG,13.19,13.32,13.14,13.32,62200
2007-03-16,TDG,13.32,13.49,13.24,13.39,116900
2007-03-19,TDG,13.43,13.84,13.36,13.77,43100
2007-03-20,TDG,13.71,13.91,13.7,13.73,56000
2007-03-21,TDG,13.75,14.12,13.68,14.12,40300
2007-03-22,TDG,14.14,14.58,14.12,14.48,34700
2007-03-23,TDG,14.48,15.03,14.43,14.96,69400
2007-03-26,TDG,14.93,15.25,14.83,15.12,56100
2007-03-27,TDG,15.2,15.22,14.57,14.75,95600
2007-03-28,TDG,14.71,14.92,14.57,14.74,107300
2007-03-29,TDG,14.81,14.81,14.39,14.69,57200
2007-03-30,TDG,14.69,14.99,14.61,14.91,46500
2007-04-02,TDG,14.92,15.39,14.9,15.23,53300
2007-04-03,TDG,15.27,15.99,15.27,15.89,45600
2007-04-04,TDG,15.93,15.93,15.45,15.54,59200
2007-04-05,TDG,15.54,15.82,15.45,15.77,20300
2007-04-09,TDG,15.81,15.86,15.45,15.65,110700
2007-04-10,TDG,15.59,15.65,15.52,15.62,56300
2007-04-11,TDG,15.82,15.84,15.43,15.73,51400
2007-04-12,TDG,15.65,15.82,15.65,15.78,23500
2007-04-13,TDG,15.81,15.97,15.76,15.96,18500
2007-04-16,TDG,16.01,16.36,15.97,16.32,32400
2007-04-17,TDG,16.31,16.32,16.03,16.06,19500
2007-04-18,TDG,16.02,16.06,15.54,15.6,48200
2007-04-19,TDG,15.6,15.65,15.5,15.59,39700
2007-04-20,TDG,15.78,15.8,15.6,15.75,54100
2007-04-23,TDG,15.61,15.84,15.31,15.54,102800
2007-04-24,TDG,15.54,15.54,15.09,15.42,76000
2007-04-25,TDG,15.44,15.51,15.04,15.43,72300
2007-04-26,TDG,15.41,15.83,15.41,15.61,74700
2007-04-27,TDG,15.63,15.88,15.47,15.88,55300
2007-04-30,TDG,15.86,15.86,15.27,15.52,246000
2007-05-01,TDG,15.52,15.52,15.09,15.43,110700
2007-05-02,TDG,15.43,15.66,15.33,15.49,111100
2007-05-03,TDG,15.51,15.54,15.06,15.08,66800
2007-05-04,TDG,15.14,15.4,15.11,15.39,55200
2007-05-07,TDG,15.38,15.46,15.15,15.32,33300
2007-05-08,TDG,15.29,15.35,15.05,15.35,48900
2007-05-09,TDG,15.31,15.33,15.15,15.33,38300
2007-05-10,TDG,15.29,15.29,14.89,14.89,48000
2007-05-11,TDG,14.89,15.07,14.86,14.98,25500
2007-05-14,TDG,14.96,15.32,14.89,15.27,100000
2007-05-15,TDG,15.29,15.56,15.24,15.45,74000
2007-05-16,TDG,15.45,15.51,15.22,15.29,102100
2007-05-17,TDG,15.24,15.24,14.66,14.71,112100
2007-05-18,TDG,14.71,14.8,14.57,14.77,92000
2007-05-21,TDG,14.67,14.67,14.34,14.55,289400
2007-05-22,TDG,14.75,14.83,14.48,14.51,2507500
2007-05-23,TDG,14.55,14.64,14.5,14.59,758400
2007-05-24,TDG,14.57,14.63,14.19,14.26,599500
2007-05-25,TDG,14.32,14.44,14.04,14.36,329200
2007-05-29,TDG,14.32,14.68,14.32,14.62,161600
2007-05-30,TDG,14.55,14.73,14.39,14.7,276700
2007-05-31,TDG,14.89,15.2,14.83,15.14,342800
2007-06-01,TDG,15.22,15.41,15.18,15.41,210400
2007-06-04,TDG,15.38,15.45,15.19,15.45,262800
2007-06-05,TDG,15.4,15.9,15.35,15.83,295100
2007-06-06,TDG,15.75,15.75,15.49,15.65,212000
2007-06-07,TDG,15.61,15.61,15.31,15.55,176900
2007-06-08,TDG,15.55,15.8,15.52,15.7,154100
2007-06-11,TDG,15.64,15.65,15.53,15.63,115400
2007-06-12,TDG,15.63,15.79,15.61,15.67,170400
2007-06-13,TDG,15.7,16.32,15.7,16.17,168300
2007-06-14,TDG,16.18,16.38,16.09,16.21,242200
2007-06-15,TDG,16.43,16.7,16.43,16.62,321200
2007-06-18,TDG,16.67,16.76,16.57,16.67,208900
2007-06-19,TDG,16.68,17.39,16.67,17.38,282600
2007-06-20,TDG,17.48,17.87,16.94,16.98,386200
2007-06-21,TDG,16.98,17.37,16.97,17.11,206800
2007-06-22,TDG,17.13,17.17,16.65,16.93,210200
