Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,USB,22.305,22.3603,22.1576,22.2374,4974400
2007-01-03,USB,21.5,21.92,21.5,21.84,7697500
2007-01-04,USB,21.84,21.89,21.69,21.86,5411800
2007-01-05,USB,21.86,21.86,21.56,21.6,5748100
2007-01-08,USB,21.56,21.86,21.43,21.53,5752100
2007-01-09,USB,21.58,21.67,21.35,21.52,6548600
2007-01-10,USB,21.52,21.58,21.37,21.5,6539100
2007-01-11,USB,21.5,21.59,21.39,21.44,5669100
2007-01-12,USB,21.5,21.54,21.41,21.47,6357000
2007-01-16,USB,21.5,21.63,21.28,21.59,6492700
2007-01-17,USB,21.55,21.72,21.49,21.6,10835200
2007-01-18,USB,21.56,21.6,21.14,21.48,7356600
2007-01-19,USB,21.56,21.57,21.32,21.41,7405500
2007-01-22,USB,21.41,21.45,21.29,21.31,5054700
2007-01-23,USB,21.29,21.38,21.25,21.38,5978700
2007-01-24,USB,21.44,21.55,21.37,21.45,6349300
2007-01-25,USB,21.45,21.49,21.29,21.3,7038000
2007-01-26,USB,21.34,21.53,21.34,21.46,7377200
2007-01-29,USB,21.44,21.54,21.37,21.37,5947000
2007-01-30,USB,21.37,21.37,21.26,21.34,4123000
2007-01-31,USB,21.29,21.51,21.21,21.5,7359000
2007-02-01,USB,21.5,21.5,21.38,21.49,13333600
2007-02-02,USB,21.49,21.64,21.49,21.63,5366900
2007-02-05,USB,21.57,21.63,21.44,21.57,5457200
2007-02-06,USB,21.57,21.79,21.54,21.75,9015400
2007-02-07,USB,21.75,21.77,21.68,21.75,6290600
2007-02-08,USB,21.74,21.74,21.65,21.7,4590400
2007-02-09,USB,21.7,21.78,21.61,21.64,4615700
2007-02-12,USB,21.63,21.79,21.63,21.75,4240925
2007-02-13,USB,21.99,21.99,21.75,21.89,5336777
2007-02-14,USB,21.89,21.92,21.78,21.86,6937191
2007-02-15,USB,22.1,22.1,21.82,21.95,5147100
2007-02-16,USB,22.1,22.11,21.91,22.11,7535800
2007-02-20,USB,21.98,22.25,21.98,22.15,6348200
2007-02-21,USB,22.1,22.18,22.02,22.12,4818900
2007-02-22,USB,22.13,22.18,22.08,22.13,4560400
2007-02-23,USB,22.18,22.18,21.86,22.07,6839800
2007-02-26,USB,22.1,22.13,21.87,22.01,4984714
2007-02-27,USB,22.21,22.21,21.0,21.5,10727900
2007-02-28,USB,21.55,21.69,21.41,21.54,10320700
2007-03-01,USB,21.43,21.61,21.29,21.48,11364874
2007-03-02,USB,21.48,21.66,21.34,21.37,8038800
2007-03-05,USB,21.37,21.86,21.2,21.22,10577000
2007-03-06,USB,21.22,21.51,21.29,21.5,10634800
2007-03-07,USB,21.51,21.58,21.36,21.42,6922700
2007-03-08,USB,21.42,21.63,21.44,21.47,6581400
2007-03-09,USB,21.55,21.59,21.42,21.46,5452600
2007-03-12,USB,21.4,21.57,21.38,21.54,5937500
2007-03-13,USB,21.44,21.45,21.08,21.14,10012200
2007-03-14,USB,21.54,21.25,20.77,21.08,13022700
2007-03-15,USB,21.02,21.35,20.99,21.26,8637507
2007-03-16,USB,21.25,21.43,21.14,21.2,11041100
2007-03-19,USB,21.29,21.45,21.24,21.39,4772300
2007-03-20,USB,21.41,21.54,21.35,21.49,5307900
2007-03-21,USB,21.47,21.8,21.39,21.76,8877155
2007-03-22,USB,21.76,21.84,21.63,21.74,7075518
2007-03-23,USB,21.74,21.83,21.63,21.69,4706100
2007-03-26,USB,21.74,21.78,21.54,21.75,7632850
2007-03-27,USB,21.69,21.73,21.44,21.5,7864700
2007-03-28,USB,21.62,21.66,21.22,21.23,10213500
2007-03-29,USB,21.36,21.47,21.23,21.38,6355434
2007-03-30,USB,21.43,21.64,21.14,21.36,6838468
2007-04-02,USB,21.36,21.39,21.08,21.17,7942400
2007-04-03,USB,21.31,21.48,21.29,21.39,6307864
2007-04-04,USB,21.39,21.44,21.17,21.19,7450200
2007-04-05,USB,21.2,21.25,21.09,21.2,6799845
2007-04-09,USB,21.2,21.22,21.11,21.18,4859205
2007-04-10,USB,21.18,21.32,21.14,21.25,6554659
2007-04-11,USB,21.26,21.26,21.01,21.06,8320736
2007-04-12,USB,20.98,21.04,20.82,21.01,10512987
2007-04-13,USB,21.01,21.13,20.87,21.05,8178347
2007-04-16,USB,21.05,21.37,21.09,21.31,8635395
2007-04-17,USB,21.32,21.31,21.03,21.11,10361143
2007-04-18,USB,21.11,21.11,20.9,21.01,9195928
2007-04-19,USB,20.95,21.06,20.85,20.97,9338940
2007-04-20,USB,20.97,21.41,20.97,21.1,12443381
2007-04-23,USB,21.1,21.11,20.96,20.97,7964944
2007-04-24,USB,21.07,21.25,20.78,20.84,10338646
2007-04-25,USB,20.97,21.17,20.84,21.11,7729942
2007-04-26,USB,21.5,21.42,20.98,21.1,10170797
2007-04-27,USB,20.81,21.16,20.76,21.1,5128328
2007-04-30,USB,21.11,21.19,20.97,20.98,9289209
2007-05-01,USB,20.98,21.01,20.84,21.0,9047428
2007-05-02,USB,20.92,21.1,20.76,21.07,6335645
2007-05-03,USB,21.08,21.14,20.91,20.98,7802248
2007-05-04,USB,21.06,21.15,20.99,21.06,5159227
2007-05-07,USB,21.08,21.28,21.08,21.14,5831758
2007-05-08,USB,21.15,21.2,21.04,21.15,6356800
2007-05-09,USB,21.15,21.31,21.09,21.26,7371197
2007-05-10,USB,21.25,21.25,21.0,21.01,6851051
2007-05-11,USB,21.07,21.19,21.04,21.17,5351903
2007-05-14,USB,21.17,21.23,20.98,21.01,6764910
2007-05-15,USB,21.09,21.23,21.05,21.09,7047117
2007-05-16,USB,21.19,21.23,21.01,21.12,8047750
2007-05-17,USB,21.12,21.14,21.03,21.09,4561100
2007-05-18,USB,21.09,21.31,21.11,21.24,7733024
2007-05-21,USB,21.44,21.3,21.1,21.12,8252671
2007-05-22,USB,21.1,21.13,20.95,21.02,9185849
2007-05-23,USB,21.04,21.14,20.98,20.99,8465056
2007-05-24,USB,21.19,21.31,20.86,20.87,8162341
2007-05-25,USB,20.92,21.04,20.92,21.0,4749600
2007-05-29,USB,21.05,21.11,21.0,21.05,5729945
2007-05-30,USB,21.05,21.23,21.03,21.2,6317044
2007-05-31,USB,21.23,21.3,21.04,21.12,6569543
2007-06-01,USB,21.12,21.24,21.09,21.15,7192797
2007-06-04,USB,21.15,21.19,21.04,21.08,7978908
2007-06-05,USB,21.08,21.11,20.93,21.07,8397659
2007-06-06,USB,21.03,21.08,20.9,20.95,7414408
2007-06-07,USB,20.95,21.09,20.78,20.78,11519301
