Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,WEC,14.576,14.6066,14.4842,14.5209,683400
2007-01-03,WEC,14.11,14.23,14.07,14.2,431500
2007-01-04,WEC,14.2,14.23,14.11,14.2,306800
2007-01-05,WEC,13.98,14.2,13.9,13.91,336700
2007-01-08,WEC,13.88,13.88,13.77,13.78,481500
2007-01-09,WEC,13.76,13.78,13.66,13.74,451200
2007-01-10,WEC,13.7,13.8,13.68,13.75,721000
2007-01-11,WEC,13.78,13.93,13.76,13.81,222000
2007-01-12,WEC,13.85,13.89,13.78,13.82,256500
2007-01-16,WEC,13.86,13.99,13.86,13.88,399700
2007-01-17,WEC,13.87,13.88,13.8,13.84,317500
2007-01-18,WEC,13.79,13.85,13.58,13.75,290100
2007-01-19,WEC,13.76,13.8,13.67,13.79,310500
2007-01-22,WEC,13.81,13.81,13.7,13.75,240800
2007-01-23,WEC,13.75,13.75,13.66,13.71,487900
2007-01-24,WEC,13.69,13.79,13.69,13.78,370800
2007-01-25,WEC,13.71,13.76,13.67,13.69,468000
2007-01-26,WEC,13.7,13.72,13.53,13.62,748200
2007-01-29,WEC,13.62,13.67,13.59,13.66,459400
2007-01-30,WEC,13.64,13.84,13.64,13.76,432000
2007-01-31,WEC,13.73,13.83,13.66,13.8,312700
2007-02-01,WEC,13.81,13.95,13.78,13.93,459100
2007-02-02,WEC,13.96,14.0,13.9,13.95,346000
2007-02-05,WEC,13.93,14.08,13.85,14.07,622500
2007-02-06,WEC,14.04,14.22,14.02,14.18,493500
2007-02-07,WEC,14.22,14.31,14.15,14.27,591800
2007-02-08,WEC,14.28,14.4,14.28,14.3,782900
2007-02-09,WEC,14.31,14.34,14.21,14.24,373200
2007-02-12,WEC,14.28,14.34,14.25,14.27,420961
2007-02-13,WEC,14.32,14.34,14.3,14.34,313400
2007-02-14,WEC,14.36,14.47,14.35,14.46,507292
2007-02-15,WEC,14.45,14.45,14.36,14.4,293200
2007-02-16,WEC,14.4,14.42,14.33,14.4,149800
2007-02-20,WEC,14.39,14.45,14.34,14.44,285200
2007-02-21,WEC,14.41,14.43,14.29,14.35,201500
2007-02-22,WEC,14.34,14.42,14.31,14.42,164600
2007-02-23,WEC,14.39,14.6,14.39,14.58,396000
2007-02-26,WEC,14.7,14.92,14.65,14.69,537000
2007-02-27,WEC,14.61,14.61,14.28,14.36,427700
2007-02-28,WEC,14.34,14.42,14.18,14.28,470900
2007-03-01,WEC,14.27,14.54,14.22,14.51,719800
2007-03-02,WEC,14.51,14.51,14.19,14.23,559600
2007-03-05,WEC,14.15,14.24,14.04,14.04,598100
2007-03-06,WEC,14.06,14.18,14.04,14.12,444200
2007-03-07,WEC,14.13,14.16,14.0,14.08,417000
2007-03-08,WEC,14.15,14.22,14.13,14.2,440700
2007-03-09,WEC,14.2,14.3,14.18,14.27,406900
2007-03-12,WEC,14.25,14.37,14.22,14.35,159200
2007-03-13,WEC,14.3,14.34,14.11,14.15,325800
2007-03-14,WEC,14.19,14.28,14.08,14.21,490300
2007-03-15,WEC,14.19,14.39,14.17,14.38,313000
2007-03-16,WEC,14.38,14.39,14.22,14.24,384800
2007-03-19,WEC,14.31,14.39,14.29,14.37,190400
2007-03-20,WEC,14.36,14.54,14.3,14.54,263700
2007-03-21,WEC,14.51,14.58,14.45,14.56,951500
2007-03-22,WEC,14.57,14.59,14.45,14.59,516800
2007-03-23,WEC,14.59,14.7,14.51,14.64,447400
2007-03-26,WEC,14.66,14.69,14.6,14.66,396700
2007-03-27,WEC,14.66,14.65,14.56,14.63,296800
2007-03-28,WEC,14.6,14.66,14.51,14.58,463200
2007-03-29,WEC,14.64,14.64,14.44,14.53,520000
2007-03-30,WEC,14.52,14.6,14.33,14.45,517400
2007-04-02,WEC,14.46,14.64,14.46,14.62,688400
2007-04-03,WEC,14.67,14.75,14.62,14.72,283200
2007-04-04,WEC,14.73,14.78,14.62,14.73,501900
2007-04-05,WEC,14.71,14.75,14.69,14.72,207100
2007-04-09,WEC,14.71,14.74,14.67,14.68,348900
2007-04-10,WEC,14.67,14.87,14.64,14.84,576300
2007-04-11,WEC,14.84,14.89,14.8,14.87,600200
2007-04-12,WEC,14.84,14.88,14.78,14.84,421000
2007-04-13,WEC,14.87,14.87,14.79,14.81,165800
2007-04-16,WEC,14.85,14.88,14.8,14.82,254000
2007-04-17,WEC,14.81,14.89,14.78,14.89,270800
2007-04-18,WEC,14.88,14.89,14.75,14.78,653800
2007-04-19,WEC,14.68,14.79,14.65,14.73,272000
2007-04-20,WEC,14.76,14.86,14.73,14.81,351600
2007-04-23,WEC,14.76,14.87,14.72,14.76,447200
2007-04-24,WEC,14.78,14.8,14.54,14.73,780400
2007-04-25,WEC,14.76,14.84,14.71,14.83,603300
2007-04-26,WEC,14.83,14.89,14.78,14.78,267400
2007-04-27,WEC,14.76,14.77,14.68,14.71,302285
2007-04-30,WEC,14.73,14.76,14.53,14.53,348300
2007-05-01,WEC,14.53,14.58,14.47,14.53,1255400
2007-05-02,WEC,14.5,14.6,14.45,14.58,1001100
2007-05-03,WEC,14.58,14.69,14.57,14.65,750300
2007-05-04,WEC,14.66,14.68,14.61,14.63,751200
2007-05-07,WEC,14.63,14.65,14.61,14.62,873700
2007-05-08,WEC,14.55,14.64,14.53,14.59,690500
2007-05-09,WEC,14.56,14.64,14.56,14.6,391800
2007-05-10,WEC,14.6,14.6,14.38,14.41,675900
2007-05-11,WEC,14.43,14.52,14.43,14.49,432900
2007-05-14,WEC,14.63,14.72,14.57,14.65,1089600
2007-05-15,WEC,14.65,14.82,14.65,14.71,946300
2007-05-16,WEC,14.69,14.84,14.66,14.76,760900
2007-05-17,WEC,14.75,14.82,14.67,14.8,807300
2007-05-18,WEC,14.82,14.85,14.78,14.8,340100
2007-05-21,WEC,14.81,14.82,14.7,14.76,425000
2007-05-22,WEC,14.73,14.84,14.65,14.8,1246900
2007-05-23,WEC,14.84,14.95,14.56,14.58,548200
2007-05-24,WEC,14.57,14.6,14.19,14.21,659100
2007-05-25,WEC,14.24,14.34,14.06,14.13,771900
2007-05-29,WEC,14.19,14.33,14.18,14.26,692800
2007-05-30,WEC,14.22,14.4,14.14,14.37,562500
2007-05-31,WEC,14.43,14.54,14.4,14.5,917300
2007-06-01,WEC,14.52,14.59,14.4,14.49,719525
2007-06-04,WEC,14.46,14.49,14.36,14.42,541200
2007-06-05,WEC,14.37,14.42,14.2,14.28,780200
2007-06-06,WEC,14.28,14.22,13.97,14.03,608900
2007-06-07,WEC,14.0,14.0,13.53,13.56,1013535
2007-06-08,WEC,13.56,13.64,13.48,13.58,1101400
2007-06-11,WEC,13.55,13.74,13.52,13.62,487000
2007-06-12,WEC,13.59,13.62,13.42,13.42,654500
2007-06-13,WEC,13.47,13.63,13.45,13.6,595700
2007-06-14,WEC,13.6,13.68,13.53,13.56,581200
2007-06-15,WEC,13.7,13.77,13.62,13.65,798700
2007-06-18,WEC,13.65,13.73,13.48,13.5,455000
2007-06-19,WEC,13.47,13.54,13.37,13.5,601500
2007-06-20,WEC,13.49,13.55,13.2,13.22,714900
2007-06-21,WEC,13.22,13.39,13.15,13.33,780500
2007-06-22,WEC,13.22,13.44,13.22,13.25,1567000
2007-06-25,WEC,13.25,13.4,13.17,13.21,575700
2007-06-26,WEC,13.33,13.45,13.15,13.17,774139
2007-06-27,WEC,13.11,13.29,13.02,13.29,711090
2007-06-28,WEC,13.3,13.41,13.24,13.3,794000
2007-06-29,WEC,13.29,13.32,13.1,13.24,1079800
2007-07-02,WEC,13.28,13.37,13.24,13.35,766181
2007-07-03,WEC,13.35,13.42,13.25,13.3,687800
2007-07-05,WEC,13.33,13.33,13.1,13.22,451800
2007-07-06,WEC,13.24,13.24,13.07,13.14,494100
2007-07-09,WEC,13.14,13.19,13.11,13.15,630500
2007-07-10,WEC,13.08,13.1,12.92,12.94,992200
2007-07-11,WEC,12.96,13.04,12.89,12.95,660200
2007-07-12,WEC,12.95,13.11,13.01,13.1,625900
2007-07-13,WEC,13.08,13.29,13.08,13.28,477700
2007-07-16,WEC,13.27,13.37,13.17,13.19,643200
2007-07-17,WEC,13.18,13.23,13.1,13.12,612100
2007-07-18,WEC,13.12,13.29,13.07,13.28,597800
2007-07-19,WEC,13.41,13.61,13.37,13.55,768400
2007-07-20,WEC,13.53,13.71,13.47,13.5,954000
2007-07-23,WEC,13.56,13.69,13.49,13.53,631900
2007-07-24,WEC,13.31,13.5,13.25,13.27,1239099
2007-07-25,WEC,13.38,13.47,13.21,13.35,1087250
2007-07-26,WEC,13.19,13.54,13.03,13.12,1097700
2007-07-27,WEC,13.12,13.18,12.85,12.85,463600
2007-07-30,WEC,12.75,12.87,12.65,12.78,712900
2007-07-31,WEC,12.87,13.07,12.83,12.85,1896820
2007-08-01,WEC,12.84,13.16,12.81,13.07,2051740
2007-08-02,WEC,13.07,13.47,13.07,13.44,1544000
2007-08-03,WEC,13.46,13.52,12.95,12.95,969900
2007-08-06,WEC,12.77,13.36,12.77,13.36,963000
2007-08-07,WEC,13.27,13.59,13.2,13.53,857800
2007-08-08,WEC,13.56,13.64,12.86,13.49,1506594
2007-08-09,WEC,13.07,13.59,12.91,12.94,1597300
2007-08-10,WEC,12.85,13.05,12.59,12.83,1705400
2007-08-13,WEC,12.89,13.19,12.86,12.99,1102900
2007-08-14,WEC,13.01,13.07,12.84,12.92,781600
2007-08-15,WEC,12.89,13.07,12.56,12.6,745900
2007-08-16,WEC,12.54,12.83,12.37,12.69,1602800
2007-08-17,WEC,13.32,13.32,12.64,12.92,1064800
2007-08-20,WEC,12.94,13.04,12.79,12.93,489200
2007-08-21,WEC,12.87,13.07,12.83,13.0,521500
2007-08-22,WEC,13.03,13.15,12.92,13.07,382600
2007-08-23,WEC,13.1,13.26,13.0,13.11,498500
2007-08-24,WEC,13.1,13.29,13.04,13.29,382200
2007-08-27,WEC,13.24,13.25,12.95,12.98,572700
2007-08-28,WEC,12.95,13.1,12.82,12.83,555800
2007-08-29,WEC,12.83,13.24,12.88,13.22,706200
2007-08-30,WEC,13.22,13.37,13.06,13.31,1092500
2007-08-31,WEC,13.48,13.48,13.22,13.35,710400
2007-09-04,WEC,13.52,13.8,13.48,13.7,1342600
2007-09-05,WEC,13.65,13.66,13.47,13.58,1251700
2007-09-06,WEC,13.64,13.74,13.52,13.73,1016700
2007-09-07,WEC,13.53,13.63,13.37,13.46,1098600
2007-09-10,WEC,13.53,13.54,13.29,13.34,724600
2007-09-11,WEC,13.37,13.41,13.27,13.41,928200
2007-09-12,WEC,13.39,13.45,13.31,13.34,581932
2007-09-13,WEC,13.38,13.44,13.23,13.25,473300
2007-09-14,WEC,13.25,13.33,13.11,13.3,766000
2007-09-17,WEC,13.28,13.3,13.18,13.22,608000
2007-09-18,WEC,13.31,13.43,13.24,13.42,469600
2007-09-19,WEC,13.48,13.74,13.45,13.65,797500
2007-09-20,WEC,13.61,13.67,13.47,13.52,543800
2007-09-21,WEC,13.59,13.72,13.59,13.68,832100
2007-09-24,WEC,13.65,13.69,13.54,13.6,446300
2007-09-25,WEC,13.57,13.68,13.55,13.59,456600
2007-09-26,WEC,13.68,13.73,13.54,13.66,430100
2007-09-27,WEC,13.71,13.71,13.57,13.69,382500
2007-09-28,WEC,13.68,13.78,13.56,13.56,777900
2007-10-01,WEC,13.56,13.76,13.52,13.75,658500
2007-10-02,WEC,13.77,13.79,13.6,13.62,469900
2007-10-03,WEC,13.59,13.69,13.55,13.66,451800
2007-10-04,WEC,13.72,13.87,13.69,13.86,641900
2007-10-05,WEC,13.94,13.97,13.8,13.87,421400
2007-10-08,WEC,13.82,13.86,13.69,13.72,555200
2007-10-09,WEC,13.78,13.93,13.76,13.93,859900
2007-10-10,WEC,13.93,13.98,13.82,13.82,472800
2007-10-11,WEC,13.86,13.93,13.7,13.79,765500
2007-10-12,WEC,13.78,13.95,13.77,13.89,562000
2007-10-15,WEC,13.92,13.97,13.74,13.83,805200
2007-10-16,WEC,13.84,13.86,13.78,13.78,682000
2007-10-17,WEC,13.86,13.92,13.61,13.74,665700
2007-10-18,WEC,13.72,13.84,13.7,13.77,498800
2007-10-19,WEC,13.76,13.85,13.5,13.5,1656200
2007-10-22,WEC,13.42,13.67,13.36,13.63,663000
2007-10-23,WEC,13.77,13.81,13.54,13.6,526300
2007-10-24,WEC,13.56,13.78,13.56,13.76,999800
2007-10-25,WEC,13.82,13.96,13.78,13.96,549700
2007-10-26,WEC,13.96,14.22,13.96,14.13,628300
2007-10-29,WEC,14.2,14.29,14.15,14.22,1510700
2007-10-30,WEC,14.12,14.28,13.96,14.19,860800
2007-10-31,WEC,14.26,14.52,14.22,14.42,1055200
2007-11-01,WEC,14.34,14.59,14.24,14.4,1134800
2007-11-02,WEC,14.51,14.57,14.34,14.4,878500
2007-11-05,WEC,14.36,14.52,14.27,14.42,811209
2007-11-06,WEC,14.44,14.48,14.26,14.31,1231007
2007-11-07,WEC,14.16,14.28,14.06,14.08,976500
2007-11-08,WEC,14.15,14.38,14.09,14.26,1729992
2007-11-09,WEC,14.23,14.3,14.07,14.19,1109100
2007-11-12,WEC,14.2,14.22,14.08,14.13,1178611
2007-11-13,WEC,14.22,14.22,13.99,14.15,918000
2007-11-14,WEC,14.16,14.24,14.07,14.08,1130500
2007-11-15,WEC,14.03,14.29,13.99,14.23,871700
2007-11-16,WEC,14.26,14.3,14.11,14.24,956936
2007-11-19,WEC,14.12,14.35,14.1,14.29,822466
2007-11-20,WEC,14.35,14.53,14.3,14.47,1204500
2007-11-21,WEC,14.4,14.56,14.28,14.43,1008700
2007-11-22,WEC,14.4,14.56,14.28,14.43,1008700
2007-11-23,WEC,14.49,14.54,14.42,14.43,330244
2007-11-26,WEC,14.43,14.7,14.43,14.49,1402663
2007-11-27,WEC,14.53,14.66,14.44,14.62,1266829
2007-11-28,WEC,14.7,14.94,14.63,14.88,1128009
2007-11-29,WEC,14.81,14.9,14.5,14.59,2313169
2007-11-30,WEC,14.54,14.62,14.27,14.49,3311966
2007-12-03,WEC,14.38,14.61,14.37,14.53,1695310
2007-12-04,WEC,14.4,14.77,14.4,14.74,1136077
2007-12-05,WEC,14.9,15.0,14.79,14.99,1106602
2007-12-06,WEC,14.729188,14.732166,14.571354,14.69643,254600
2007-12-07,WEC,14.94,14.98,14.81,14.94,612701
2007-12-10,WEC,15.06,15.08,14.99,15.06,629000
2007-12-11,WEC,15.07,15.12,14.8,14.81,738300
2007-12-12,WEC,15.12,15.13,14.79,14.88,685420
2007-12-13,WEC,14.8,15.02,14.75,15.02,592200
2007-12-14,WEC,14.93,14.98,14.79,14.79,712200
2007-12-17,WEC,14.75,14.82,14.65,14.71,786492
2007-12-18,WEC,14.81,14.99,14.75,14.93,936708
2007-12-19,WEC,14.87,15.11,14.85,15.0,1467722
2007-12-20,WEC,15.08,15.14,14.98,15.09,818200
2007-12-21,WEC,15.29,15.29,14.93,14.98,744060
2007-12-24,WEC,14.99,15.07,14.93,15.04,220600
2007-12-26,WEC,15.01,15.03,14.84,14.88,370400
2007-12-27,WEC,14.88,14.97,14.82,14.86,411700
2007-12-28,WEC,14.94,14.94,14.76,14.85,320300
2007-12-31,WEC,14.86,14.92,14.73,14.75,538906
2008-01-02,WEC,14.66,14.71,14.38,14.47,597879
2008-01-03,WEC,14.5,14.53,14.3,14.31,543600
2008-01-04,WEC,14.15,14.47,14.15,14.38,613200
2008-01-07,WEC,14.42,14.84,14.41,14.8,1165200
2008-01-08,WEC,14.83,15.02,14.79,14.85,1043400
2008-01-09,WEC,14.81,14.93,14.64,14.79,865903
2008-01-10,WEC,14.73,14.86,14.49,14.57,890800
2008-01-11,WEC,14.44,14.61,14.41,14.51,697441
2008-01-14,WEC,14.59,14.6,14.37,14.42,546500
2008-01-15,WEC,14.27,14.64,14.27,14.49,1551100
2008-01-16,WEC,14.47,14.73,14.47,14.59,1359586
2008-01-17,WEC,14.62,14.62,14.07,14.07,943677
2008-01-18,WEC,14.12,14.32,13.9,14.02,1498096
2008-01-22,WEC,13.49,13.91,13.49,13.69,1309525
2008-01-23,WEC,13.63,13.91,13.56,13.8,1763000
2008-01-24,WEC,13.83,13.83,13.5,13.54,2440609
2008-01-25,WEC,13.61,13.67,13.32,13.33,1414351
2008-01-28,WEC,13.32,13.62,13.32,13.58,1091295
2008-01-29,WEC,13.65,13.8,13.58,13.68,704276
2008-01-30,WEC,13.62,13.93,13.57,13.64,602415
2008-01-31,WEC,13.51,13.84,13.44,13.79,752700
2008-02-01,WEC,13.78,13.93,13.66,13.92,695900
2008-02-04,WEC,13.87,14.23,13.82,14.13,586482
2008-02-05,WEC,14.07,14.38,13.92,13.94,1125496
2008-02-06,WEC,14.0,14.16,13.96,14.0,1124220
2008-02-07,WEC,13.94,14.0,13.83,13.95,908500
2008-02-08,WEC,13.93,14.07,13.83,13.92,661984
2008-02-11,WEC,13.95,13.97,13.82,13.88,679500
2008-02-12,WEC,14.01,14.05,13.84,13.98,1080466
2008-02-13,WEC,14.07,14.07,13.78,13.85,817700
2008-02-14,WEC,13.89,14.0,13.62,13.69,432400
2008-02-15,WEC,13.61,13.69,13.54,13.66,601410
2008-02-19,WEC,13.78,13.82,13.62,13.67,437200
2008-02-20,WEC,13.57,13.66,13.39,13.62,655810
2008-02-21,WEC,13.66,13.76,13.42,13.44,742850
2008-02-22,WEC,13.46,13.66,13.42,13.66,618900
2008-02-25,WEC,13.46,13.66,13.42,13.66,618900
2008-02-26,WEC,13.6,13.72,13.5,13.68,480000
2008-02-27,WEC,13.68,13.72,13.38,13.4,647419
2008-02-28,WEC,13.32,13.46,13.13,13.4,623680
2008-02-29,WEC,13.28,13.33,13.15,13.29,1493123
2008-03-03,WEC,13.31,13.42,13.22,13.41,960100
2008-03-04,WEC,13.24,13.59,13.22,13.43,1113100
2008-03-05,WEC,13.44,13.49,13.28,13.43,747300
2008-03-06,WEC,13.34,13.39,13.22,13.24,785700
2008-03-07,WEC,13.15,13.27,13.03,13.22,626300
2008-03-10,WEC,13.16,13.3,13.1,13.2,809360
2008-03-11,WEC,13.47,13.47,13.14,13.28,842104
2008-03-12,WEC,13.35,13.4,13.16,13.16,720200
2008-03-13,WEC,13.06,13.2,12.99,13.16,1181200
2008-03-14,WEC,13.24,13.26,12.98,13.11,848500
2008-03-17,WEC,13.08,13.19,12.79,13.11,1407500
2008-03-18,WEC,13.34,13.39,13.15,13.34,829818
2008-03-19,WEC,13.38,13.6,13.17,13.17,961245
2008-03-20,WEC,13.19,13.31,13.02,13.26,737800
2008-03-24,WEC,13.27,13.32,12.99,13.07,914900
2008-03-25,WEC,13.05,13.23,13.01,13.16,726200
2008-03-26,WEC,12.9,13.23,12.86,13.17,1766235
2008-03-27,WEC,13.22,13.43,13.17,13.37,1188267
