Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,WY,15.1656,15.2837,15.1334,15.1656,2356407.748319998
2007-01-03,WY,40.8,41.86,40.79,41.65,2331400.0
2007-01-04,WY,41.19,41.56,40.91,41.23,1960700.0
2007-01-05,WY,41.25,41.34,40.86,41.1,1506300.0
2007-01-08,WY,40.62,41.55,40.62,41.46,1117300.0
2007-01-09,WY,41.51,41.56,40.81,41.25,1430600.0
2007-01-10,WY,41.02,41.62,40.66,41.0,1188200.0
2007-01-11,WY,41.08,42.07,40.95,41.62,1890900.0
2007-01-12,WY,41.54,42.09,41.52,41.94,1942700.0
2007-01-16,WY,41.79,41.93,41.46,41.88,1252300.0
2007-01-17,WY,41.62,41.75,40.88,41.44,1837300.0
2007-01-18,WY,41.3,41.73,41.1,41.37,1447000.0
2007-01-19,WY,42.19,43.13,41.94,42.66,3783600.0
2007-01-22,WY,42.46,42.79,42.09,42.16,1738800.0
2007-01-23,WY,42.48,43.15,42.4,42.9,2428000.0
2007-01-24,WY,42.9,43.2,42.68,43.07,3052400.0
2007-01-25,WY,42.98,43.23,42.82,42.96,1886600.0
2007-01-26,WY,43.03,43.28,42.74,43.17,1844800.0
2007-01-29,WY,43.17,43.98,43.05,43.27,3285200.0
2007-01-30,WY,43.27,43.43,42.9,42.99,2199900.0
2007-01-31,WY,43.12,43.57,42.99,43.44,1642300.0
2007-02-01,WY,43.61,43.93,43.24,43.77,1457300.0
2007-02-02,WY,44.47,44.86,43.9,44.32,2953100.0
2007-02-05,WY,44.77,45.38,44.68,45.31,4187100.0
2007-02-06,WY,45.18,45.74,45.18,45.74,3277900.0
2007-02-07,WY,45.64,45.99,45.33,45.91,2930100.0
2007-02-08,WY,45.81,46.16,45.45,45.75,5454900.0
2007-02-09,WY,45.17,46.31,44.89,45.26,5128100.0
2007-02-12,WY,45.18,45.43,44.85,45.43,4981054.0
2007-02-13,WY,45.64,47.17,45.64,46.89,5218307.0
2007-02-14,WY,46.34,47.29,46.15,47.24,5595185.0
2007-02-15,WY,46.92,47.78,46.76,47.72,4690800.0
2007-02-16,WY,48.26,48.33,46.15,48.09,6589500.0
2007-02-20,WY,47.81,48.09,47.7,47.98,4679100.0
2007-02-21,WY,47.44,48.45,47.27,48.4,8028600.0
2007-02-22,WY,48.65,48.81,47.66,48.11,6847100.0
2007-02-23,WY,48.11,48.11,47.45,47.64,7586300.0
2007-02-26,WY,47.64,50.44,48.66,49.82,10813516.0
2007-02-27,WY,49.52,50.44,48.36,49.09,13548000.0
2007-02-28,WY,48.94,49.89,48.94,49.76,16971100.0
2007-03-01,WY,49.76,50.01,48.94,49.81,16174069.0
2007-03-02,WY,49.81,50.41,49.23,49.92,10388400.0
2007-03-05,WY,48.95,50.33,48.95,49.09,5211700.0
2007-03-06,WY,49.41,50.19,49.24,49.93,16194800.0
2007-03-07,WY,48.97,49.21,48.13,48.74,11443900.0
2007-03-08,WY,48.07,49.04,47.53,47.78,4343500.0
2007-03-09,WY,47.93,48.24,47.27,47.59,3080800.0
2007-03-12,WY,47.62,47.75,46.67,46.85,3739000.0
2007-03-13,WY,46.34,46.45,45.79,45.81,6222800.0
2007-03-14,WY,45.81,47.49,44.71,45.66,7437600.0
2007-03-15,WY,45.76,46.6,45.76,46.09,3796700.0
2007-03-16,WY,45.9,46.48,45.74,45.87,3394500.0
2007-03-19,WY,45.84,46.07,45.35,45.65,3273400.0
2007-03-20,WY,45.41,45.7,45.03,45.24,3747992.0
2007-03-21,WY,45.44,45.93,44.55,45.46,5985500.0
2007-03-22,WY,45.9,46.34,44.9,44.99,3894682.0
2007-03-23,WY,44.99,45.84,44.45,45.21,3650145.0
2007-03-26,WY,45.18,45.21,44.08,44.85,3506751.0
2007-03-27,WY,44.19,44.37,43.75,44.0,3607100.0
2007-03-28,WY,43.79,43.85,42.91,43.32,4550500.0
2007-03-29,WY,43.81,43.81,42.9,43.23,2158100.0
2007-03-30,WY,43.23,44.14,42.98,43.29,2443300.0
2007-04-02,WY,43.67,43.67,42.96,43.41,2580695.0
2007-04-03,WY,43.67,44.49,43.51,44.32,2497700.0
2007-04-04,WY,44.32,44.73,44.11,44.43,2440000.0
2007-04-05,WY,44.2,44.25,43.88,43.88,1432488.0
2007-04-09,WY,44.14,44.31,43.86,44.14,1565700.0
2007-04-10,WY,44.11,44.43,44.0,44.01,947800.0
2007-04-11,WY,44.19,44.22,43.21,43.26,1645101.0
2007-04-12,WY,43.26,43.62,43.21,43.56,2082810.0
2007-04-13,WY,43.87,44.06,43.66,44.03,1663444.0
2007-04-16,WY,44.03,46.02,43.98,45.81,4813198.0
2007-04-17,WY,45.99,45.99,44.78,45.02,2672594.0
2007-04-18,WY,44.97,45.26,44.66,44.88,2283306.0
2007-04-19,WY,44.85,44.85,44.1,44.27,1700622.0
2007-04-20,WY,44.56,44.89,44.4,44.89,3166305.0
2007-04-23,WY,45.03,45.14,44.46,44.65,2076786.0
2007-04-24,WY,44.71,44.76,44.06,44.33,1722252.0
2007-04-25,WY,44.54,44.89,44.32,44.8,1778079.0
2007-04-26,WY,44.74,47.2,44.42,47.06,5273100.0
2007-04-27,WY,47.06,47.2,46.0,47.12,2901137.0
2007-04-30,WY,46.83,46.87,45.86,45.88,2464300.0
2007-05-01,WY,45.89,46.16,45.05,45.7,2856250.0
2007-05-02,WY,45.71,46.44,45.66,46.3,1683138.0
2007-05-03,WY,46.3,46.57,45.54,45.61,2741418.0
2007-05-04,WY,46.98,49.52,47.85,48.22,7270537.0
2007-05-07,WY,48.22,48.53,47.62,47.94,2320750.0
2007-05-08,WY,47.94,48.02,47.61,47.77,1961300.0
2007-05-09,WY,47.74,48.11,47.56,47.94,2249900.0
2007-05-10,WY,47.71,47.93,46.98,47.16,1890800.0
2007-05-11,WY,47.16,47.69,47.03,47.47,924000.0
2007-05-14,WY,47.47,47.48,46.86,47.27,1683000.0
2007-05-15,WY,47.17,47.28,46.43,46.71,2347000.0
2007-05-16,WY,46.92,46.92,46.2,46.36,2227700.0
2007-05-17,WY,46.2,46.82,46.2,46.64,1178100.0
2007-05-18,WY,46.64,46.87,46.61,46.77,1103500.0
2007-05-21,WY,46.83,47.72,46.69,46.96,2961150.0
2007-05-22,WY,47.11,47.24,46.79,46.89,1275550.0
2007-05-23,WY,46.89,47.21,46.44,46.48,1050175.0
2007-05-24,WY,46.44,47.26,46.11,46.15,1349075.0
2007-05-25,WY,46.15,46.72,46.12,46.66,900400.0
2007-05-29,WY,46.62,47.1,46.47,46.8,942000.0
2007-05-30,WY,46.52,47.26,46.37,47.25,1422725.0
2007-05-31,WY,47.45,48.18,47.45,47.83,2154200.0
2007-06-01,WY,47.83,48.32,47.27,48.06,1736800.0
2007-06-04,WY,47.8,48.18,47.3,48.11,1406100.0
2007-06-05,WY,48.11,48.03,47.38,48.01,1287900.0
2007-06-06,WY,47.94,47.94,47.34,47.51,1104700.0
2007-06-07,WY,47.33,47.63,46.72,46.72,1646000.0
2007-06-08,WY,46.72,47.67,46.43,47.63,1028300.0
2007-06-11,WY,47.63,47.53,46.81,47.08,1976100.0
2007-06-12,WY,47.08,47.31,46.69,46.85,1471200.0
2007-06-13,WY,47.15,47.86,46.91,47.86,1385000.0
2007-06-14,WY,47.86,48.58,47.49,47.74,1424200.0
