Date,Symbol,Fully_Adjusted_Open,Fully_Adjusted_High,Fully_Adjusted_Low,Fully_Adjusted_Close,Fully_Adjusted_Volume
2006-12-29,XOM,43.9093,44.0405,43.4475,43.6927,12633200
2007-01-03,XOM,42.1,42.11,40.58,40.92,30512200
2007-01-04,XOM,40.77,40.8,39.87,40.15,31109200
2007-01-05,XOM,40.0,40.51,39.87,40.44,24697000
2007-01-08,XOM,40.79,40.99,39.67,40.11,25984800
2007-01-09,XOM,39.67,40.21,39.44,39.8,27060200
2007-01-10,XOM,39.65,40.36,39.0,39.19,30572500
2007-01-11,XOM,39.19,40.22,39.07,39.19,29182400
2007-01-12,XOM,39.32,40.14,39.31,40.12,24438800
2007-01-16,XOM,40.03,40.11,39.34,39.55,25450500
2007-01-17,XOM,39.47,40.09,39.43,40.01,31292400
2007-01-18,XOM,40.04,40.38,39.3,39.73,23584000
2007-01-19,XOM,40.03,40.65,39.86,40.6,23913600
2007-01-22,XOM,40.65,40.72,40.03,40.25,21929600
2007-01-23,XOM,40.61,41.36,40.56,41.13,29017000
2007-01-24,XOM,41.13,41.4,40.72,41.35,19786300
2007-01-25,XOM,41.2,41.37,40.5,40.59,22630200
2007-01-26,XOM,40.79,41.13,40.55,40.64,20507100
2007-01-29,XOM,40.65,40.91,40.19,40.41,17370600
2007-01-30,XOM,40.55,41.18,40.49,41.07,21591100
2007-01-31,XOM,41.07,41.25,40.57,40.91,24254200
2007-02-01,XOM,41.18,41.56,40.75,41.45,25169900
2007-02-02,XOM,41.41,41.84,41.1,41.71,24300700
2007-02-05,XOM,41.77,41.89,41.44,41.78,18169700
2007-02-06,XOM,41.88,41.94,41.43,41.66,16222400
2007-02-07,XOM,41.8,42.07,41.32,41.46,18128600
2007-02-08,XOM,41.18,41.93,41.16,41.84,18743800
2007-02-09,XOM,41.84,41.98,41.53,41.7,17734200
2007-02-12,XOM,41.54,41.62,41.21,41.36,16574615
2007-02-13,XOM,41.47,41.86,41.35,41.83,15843024
2007-02-14,XOM,42.08,42.13,41.57,41.91,17648965
2007-02-15,XOM,41.69,41.85,41.42,41.77,17874400
2007-02-16,XOM,41.72,41.88,41.59,41.74,18331200
2007-02-20,XOM,41.5,41.61,41.19,41.51,15841200
2007-02-21,XOM,41.42,41.73,41.16,41.46,17890400
2007-02-22,XOM,41.37,41.7,41.14,41.62,17165900
2007-02-23,XOM,41.74,41.88,41.6,41.7,17364700
2007-02-26,XOM,41.87,42.19,41.72,41.8,17803537
2007-02-27,XOM,41.52,41.71,39.57,39.82,34978200
2007-02-28,XOM,39.82,40.8,39.46,39.74,55738200
2007-03-01,XOM,39.31,39.96,38.84,39.36,39441662
2007-03-02,XOM,39.36,39.5,38.43,38.81,27456100
2007-03-05,XOM,38.45,39.27,38.26,38.8,33097500
2007-03-06,XOM,38.8,39.37,38.92,39.36,26657400
2007-03-07,XOM,39.36,40.39,39.12,39.72,31566000
2007-03-08,XOM,40.0,40.02,39.47,39.83,27405800
2007-03-09,XOM,39.83,40.13,39.31,39.43,28671000
2007-03-12,XOM,39.25,39.58,39.2,39.29,20152000
2007-03-13,XOM,39.01,39.67,38.66,38.76,27378900
2007-03-14,XOM,38.86,39.37,38.61,39.37,30053900
