Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2013-01-02,ABBV,34.92,35.4,34.1,35.12,13767989
2013-01-03,ABBV,35.0,35.0,34.16,34.83,16739208
2013-01-04,ABBV,34.62,34.89,34.25,34.39,21372638
2013-01-07,ABBV,34.15,35.45,34.15,34.46,17897117
2013-01-08,ABBV,34.29,34.64,33.36,33.71,17863398
2013-01-09,ABBV,33.61,33.95,33.61,33.9,18800666
2013-01-10,ABBV,33.66,34.0,33.33,34.0,15660776
2013-01-11,ABBV,33.59,33.9,33.35,33.85,11191446
2013-01-14,ABBV,34.01,34.25,33.8,34.09,11584901
2013-01-15,ABBV,33.71,34.72,33.71,34.6,13042596
2013-01-16,ABBV,34.47,35.54,34.45,35.54,16512683
2013-01-17,ABBV,35.75,36.7,35.75,36.42,14426261
2013-01-18,ABBV,36.43,37.32,36.04,37.32,17844118
2013-01-21,ABBV,36.43,37.32,36.04,37.32,17844118
2013-01-22,ABBV,36.98,37.25,35.93,36.42,15809670
2013-01-23,ABBV,36.91,37.84,36.5,37.8,10981870
2013-01-24,ABBV,37.79,38.52,37.23,37.46,11327544
2013-01-25,ABBV,37.52,37.84,36.64,37.6,8938685
2013-01-28,ABBV,37.65,37.87,36.71,36.89,7140026
2013-01-29,ABBV,36.71,37.46,36.25,37.31,8839042
2013-01-30,ABBV,36.81,37.52,36.81,36.93,10842451
2013-01-31,ABBV,36.84,36.93,36.27,36.69,10720870
2013-02-01,ABBV,36.84,37.2,36.52,37.18,9528042
2013-02-04,ABBV,36.64,37.3,36.55,37.28,6347915
2013-02-05,ABBV,37.42,37.73,37.18,37.2,7284674
2013-02-06,ABBV,36.96,37.28,36.86,37.14,5738899
2013-02-07,ABBV,37.57,37.57,35.8,36.42,9874217
2013-02-08,ABBV,36.37,36.42,35.83,36.25,13859010
2013-02-11,ABBV,36.13,36.18,35.75,35.85,6032057
2013-02-12,ABBV,35.77,35.9,35.2,35.42,7473991
2013-02-13,ABBV,35.42,35.57,35.15,35.27,4860053
2013-02-14,ABBV,35.05,36.73,35.01,36.57,7570052
2013-02-15,ABBV,36.93,37.81,36.93,37.58,13296886
2013-02-18,ABBV,36.93,37.81,36.93,37.58,13296886
2013-02-19,ABBV,37.54,38.33,37.11,38.19,8292612
2013-02-20,ABBV,38.16,39.13,37.61,38.61,8096330
2013-02-21,ABBV,38.49,39.02,38.19,38.78,7261136
2013-02-22,ABBV,38.79,38.85,38.14,38.46,4490835
2013-02-25,ABBV,38.54,38.61,37.37,37.37,4665671
2013-02-26,ABBV,37.6,37.6,36.96,37.09,4462936
2013-02-27,ABBV,36.97,36.98,36.4,36.73,12238463
2013-02-28,ABBV,36.66,37.14,36.5,36.92,10322499
2013-03-01,ABBV,36.8,38.07,36.55,37.81,8929379
2013-03-04,ABBV,37.53,38.25,37.53,38.24,5420719
2013-03-05,ABBV,38.45,38.57,37.29,37.51,6650310
2013-03-06,ABBV,37.56,37.86,37.37,37.74,5489700
2013-03-07,ABBV,37.65,38.01,37.44,37.49,4442420
2013-03-08,ABBV,37.64,37.65,37.16,37.34,4114897
2013-03-11,ABBV,37.25,38.15,37.08,37.67,4614351
2013-03-12,ABBV,37.7,38.3,37.05,37.17,6524031
2013-03-13,ABBV,37.2,37.59,37.04,37.17,3710541
2013-03-14,ABBV,37.43,37.59,36.86,37.56,9864532
2013-03-15,ABBV,37.44,38.54,37.28,38.5,12208850
2013-03-18,ABBV,38.05,38.49,37.99,38.16,5179092
2013-03-19,ABBV,38.25,38.4,37.84,38.36,5108398
2013-03-20,ABBV,38.5,39.19,38.41,39.06,7073266
