Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,AOS,6.35,6.38,6.26,6.26,1148399.9999999995
2007-01-03,AOS,6.29,6.29,6.13,6.18,537500.0
2007-01-04,AOS,6.18,6.18,6.06,6.15,275000.0
2007-01-05,AOS,6.01,6.14,6.01,6.04,248900.0
2007-01-08,AOS,6.03,6.07,5.98,6.05,209300.0
2007-01-09,AOS,6.03,6.07,5.96,6.06,258600.0
2007-01-10,AOS,6.01,6.02,5.94,6.02,266000.0
2007-01-11,AOS,6.03,6.07,6.0,6.07,260100.0
2007-01-12,AOS,6.05,6.07,5.99,6.07,132900.0
2007-01-16,AOS,6.07,6.08,5.98,6.01,275600.0
2007-01-17,AOS,5.99,6.07,5.99,6.04,124600.0
2007-01-18,AOS,6.03,6.09,5.99,6.0,260000.0
2007-01-19,AOS,6.02,6.02,5.92,6.0,218100.0
2007-01-22,AOS,6.57,6.79,6.28,6.38,1429100.0
2007-01-23,AOS,6.38,6.44,6.3,6.39,530300.0
2007-01-24,AOS,6.41,6.52,6.38,6.48,351300.0
2007-01-25,AOS,6.5,6.5,6.28,6.31,370900.0
2007-01-26,AOS,6.31,6.43,6.31,6.41,172800.0
2007-01-29,AOS,6.39,6.43,6.34,6.37,165000.0
2007-01-30,AOS,6.4,6.43,6.33,6.41,170800.0
2007-01-31,AOS,6.4,6.44,6.32,6.39,142800.0
2007-02-01,AOS,6.39,6.52,6.38,6.49,492700.0
2007-02-02,AOS,6.5,6.56,6.44,6.54,305600.0
2007-02-05,AOS,6.48,6.5,6.36,6.4,211400.0
2007-02-06,AOS,6.38,6.41,6.29,6.39,165600.0
2007-02-07,AOS,6.39,6.51,6.36,6.5,154000.0
2007-02-08,AOS,6.49,6.51,6.45,6.48,255900.0
2007-02-09,AOS,6.48,6.51,6.41,6.45,156200.0
2007-02-12,AOS,6.45,6.48,6.34,6.41,110716.0
2007-02-13,AOS,6.41,6.43,6.35,6.43,110800.0
2007-02-14,AOS,6.44,6.48,6.41,6.42,248491.0
2007-02-15,AOS,6.41,6.49,6.34,6.38,295400.0
2007-02-16,AOS,6.38,6.43,6.31,6.41,167100.0
2007-02-20,AOS,6.4,6.68,6.37,6.66,349800.0
2007-02-21,AOS,6.64,6.74,6.62,6.69,350200.0
2007-02-22,AOS,6.71,6.74,6.66,6.69,245600.0
2007-02-23,AOS,6.69,6.75,6.65,6.72,210900.0
2007-02-26,AOS,6.73,6.75,6.68,6.69,248700.0
2007-02-27,AOS,6.37,6.58,6.37,6.42,405200.0
2007-02-28,AOS,6.42,6.49,6.36,6.44,311000.0
2007-03-01,AOS,6.33,6.45,6.3,6.4,247225.0
2007-03-02,AOS,6.33,6.38,6.28,6.32,239100.0
2007-03-05,AOS,6.29,6.38,6.22,6.26,343200.0
2007-03-06,AOS,6.31,6.39,6.19,6.36,400600.0
2007-03-07,AOS,6.37,6.66,6.35,6.54,379800.0
2007-03-08,AOS,6.58,6.63,6.44,6.47,380600.0
2007-03-09,AOS,6.49,6.52,6.42,6.48,382600.0
2007-03-12,AOS,6.48,6.57,6.45,6.53,360500.0
2007-03-13,AOS,6.5,6.5,6.33,6.33,223800.0
2007-03-14,AOS,6.33,6.37,6.27,6.35,201500.0
2007-03-15,AOS,6.35,6.38,6.32,6.36,89400.0
2007-03-16,AOS,6.36,6.34,6.25,6.27,231500.0
2007-03-19,AOS,6.34,6.36,6.29,6.35,377100.0
2007-03-20,AOS,6.36,6.38,6.33,6.38,207300.0
2007-03-21,AOS,6.42,6.55,6.36,6.55,230200.0
2007-03-22,AOS,6.53,6.54,6.47,6.49,125700.0
2007-03-23,AOS,6.49,6.51,6.45,6.47,121500.0
2007-03-26,AOS,6.47,6.49,6.34,6.46,193200.0
2007-03-27,AOS,6.44,6.46,6.38,6.43,292200.0
2007-03-28,AOS,6.4,6.44,6.34,6.4,292100.0
2007-03-29,AOS,6.43,6.43,6.37,6.42,208400.0
2007-03-30,AOS,6.42,6.43,6.32,6.37,258600.0
2007-04-02,AOS,6.37,6.38,6.32,6.37,243500.0
2007-04-03,AOS,6.37,6.49,6.4,6.47,243400.0
2007-04-04,AOS,6.46,6.46,6.4,6.42,141000.0
2007-04-05,AOS,6.42,6.44,6.37,6.38,242500.0
2007-04-09,AOS,6.38,6.43,6.33,6.42,263100.0
2007-04-10,AOS,6.41,6.46,6.4,6.45,137500.0
2007-04-11,AOS,6.45,6.47,6.37,6.4,394300.0
2007-04-12,AOS,6.37,6.46,6.35,6.44,282400.0
2007-04-13,AOS,6.43,6.44,6.33,6.39,444100.0
2007-04-16,AOS,6.4,6.56,6.4,6.55,285900.0
2007-04-17,AOS,6.56,6.57,6.38,6.45,338300.0
2007-04-18,AOS,6.78,6.89,6.48,6.49,1792700.0
2007-04-19,AOS,6.42,6.42,6.26,6.27,860700.0
2007-04-20,AOS,6.27,6.38,6.3,6.36,296900.0
2007-04-23,AOS,6.37,6.37,6.27,6.3,220600.0
2007-04-24,AOS,6.32,6.36,6.28,6.36,302000.0
2007-04-25,AOS,6.39,6.44,6.37,6.42,350100.0
2007-04-26,AOS,6.41,6.43,6.33,6.41,188400.0
2007-04-27,AOS,6.41,6.42,6.33,6.39,271700.0
2007-04-30,AOS,6.39,6.42,6.34,6.35,349300.0
2007-05-01,AOS,6.38,6.4,6.26,6.35,297800.0
2007-05-02,AOS,6.38,6.48,6.34,6.43,185900.0
2007-05-03,AOS,6.43,6.45,6.33,6.43,182200.0
2007-05-04,AOS,6.47,6.48,6.41,6.48,272800.0
2007-05-07,AOS,6.5,6.54,6.46,6.54,240600.0
2007-05-08,AOS,6.51,6.63,6.45,6.62,416300.0
2007-05-09,AOS,6.58,6.67,6.46,6.64,395100.0
2007-05-10,AOS,6.6,6.6,6.4,6.44,212300.0
2007-05-11,AOS,6.44,6.53,6.42,6.5,157900.0
2007-05-14,AOS,6.49,6.49,6.38,6.41,161100.0
2007-05-15,AOS,6.4,6.52,6.38,6.43,274500.0
2007-05-16,AOS,6.44,6.5,6.41,6.49,113600.0
2007-05-17,AOS,6.46,6.47,6.38,6.45,124000.0
2007-05-18,AOS,6.45,6.55,6.43,6.51,116600.0
2007-05-21,AOS,6.5,6.58,6.48,6.54,163300.0
2007-05-22,AOS,6.52,6.54,6.47,6.52,340200.0
2007-05-23,AOS,6.53,6.62,6.53,6.55,305600.0
2007-05-24,AOS,6.55,6.6,6.41,6.44,333650.0
2007-05-25,AOS,6.48,6.49,6.4,6.43,145900.0
2007-05-29,AOS,6.45,6.53,6.45,6.52,157700.0
2007-05-30,AOS,6.48,6.55,6.43,6.55,161400.0
2007-05-31,AOS,6.53,6.6,6.52,6.55,210800.0
2007-06-01,AOS,6.59,6.84,6.58,6.84,484600.0
2007-06-04,AOS,6.82,6.88,6.73,6.81,291300.0
2007-06-05,AOS,6.79,6.79,6.72,6.76,193400.0
2007-06-06,AOS,6.71,6.71,6.63,6.68,187600.0
2007-06-07,AOS,6.66,6.67,6.57,6.58,260800.0
2007-06-08,AOS,6.57,6.57,6.47,6.52,316200.0
2007-06-11,AOS,6.49,6.59,6.46,6.54,169200.0
2007-06-12,AOS,6.51,6.59,6.5,6.56,248500.0
2007-06-13,AOS,6.59,6.66,6.57,6.64,249200.0
2007-06-14,AOS,6.64,6.74,6.63,6.72,166500.0
2007-06-15,AOS,6.85,6.88,6.76,6.79,245700.0
2007-06-18,AOS,6.8,6.84,6.73,6.78,334400.0
2007-06-19,AOS,6.73,6.78,6.72,6.74,228000.0
2007-06-20,AOS,6.74,6.78,6.72,6.74,213000.0
2007-06-21,AOS,6.72,6.78,6.64,6.75,138100.0
2007-06-22,AOS,6.72,6.72,6.64,6.72,421400.0
2007-06-25,AOS,6.69,6.79,6.66,6.69,154800.0
2007-06-26,AOS,6.7,6.73,6.58,6.64,273800.0
2007-06-27,AOS,6.6,6.67,6.55,6.66,196900.0
2007-06-28,AOS,6.66,6.76,6.66,6.71,104100.0
2007-06-29,AOS,6.72,6.74,6.59,6.65,166900.0
2007-07-02,AOS,6.68,6.8,6.67,6.8,134400.0
2007-07-03,AOS,6.78,6.85,6.77,6.83,74600.0
2007-07-05,AOS,6.83,6.83,6.74,6.82,186800.0
2007-07-06,AOS,6.83,6.9,6.79,6.89,160600.0
2007-07-09,AOS,6.87,7.03,6.86,7.02,214900.0
2007-07-10,AOS,6.97,7.09,6.95,7.04,372700.0
2007-07-11,AOS,7.04,7.07,6.97,7.03,287000.0
2007-07-12,AOS,7.03,7.17,7.02,7.17,359100.0
