Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,BG,73.0,73.33,72.42,72.51,620300
2007-01-03,BG,72.51,72.51,71.16,71.6,656600
2007-01-04,BG,71.5,72.47,70.95,71.21,1149900
2007-01-05,BG,71.08,71.09,69.91,70.13,821400
2007-01-08,BG,71.0,72.31,70.24,71.35,704100
2007-01-09,BG,71.35,72.41,70.94,71.28,649600
2007-01-10,BG,70.85,71.08,70.16,70.75,501700
2007-01-11,BG,70.82,71.48,70.68,71.17,629100
2007-01-12,BG,71.0,71.68,70.55,71.13,834000
2007-01-16,BG,71.05,76.0,71.0,75.87,1960800
2007-01-17,BG,75.85,75.97,74.16,74.7,1109400
2007-01-18,BG,74.31,74.68,74.0,74.6,573300
2007-01-19,BG,74.5,75.17,74.13,75.05,786100
2007-01-22,BG,75.0,75.5,74.65,75.25,666800
2007-01-23,BG,75.15,77.38,74.95,76.38,1335000
2007-01-24,BG,75.85,75.87,75.25,75.52,916100
2007-01-25,BG,75.52,76.45,75.18,75.62,863800
2007-01-26,BG,75.66,76.25,75.66,75.91,764700
2007-01-29,BG,76.0,77.3,75.99,76.62,785200
2007-01-30,BG,76.5,76.51,75.76,76.28,608600
2007-01-31,BG,76.76,77.2,76.63,76.95,828300
2007-02-01,BG,77.0,79.85,76.94,79.65,1758900
2007-02-02,BG,78.5,78.5,77.25,78.2,1285800
2007-02-05,BG,79.2,79.25,78.06,78.51,1247600
2007-02-06,BG,78.3,78.46,77.89,78.25,1115500
2007-02-07,BG,78.0,78.82,77.6,78.29,1365100
2007-02-08,BG,79.5,80.5,78.24,79.75,2518700
2007-02-09,BG,81.25,81.49,79.55,80.17,1296700
2007-02-12,BG,80.02,80.13,78.95,79.7,884072
2007-02-13,BG,79.71,80.05,79.42,79.75,876802
2007-02-14,BG,80.15,80.55,79.86,79.92,887769
2007-02-15,BG,79.9,81.1,79.84,80.45,1085900
2007-02-16,BG,80.5,80.85,80.17,80.56,554900
2007-02-20,BG,81.3,83.8,80.84,83.52,1850300
2007-02-21,BG,83.12,85.56,82.94,85.18,1675500
2007-02-22,BG,85.5,85.68,84.25,85.26,1477400
2007-02-23,BG,84.99,85.0,84.01,84.3,581900
2007-02-26,BG,84.5,85.49,83.57,84.24,627678
2007-02-27,BG,82.35,83.61,76.5,78.96,2171300
2007-02-28,BG,78.8,79.71,78.1,79.27,1133300
2007-03-01,BG,78.0,80.69,77.1,80.52,1340652
2007-03-02,BG,79.6,79.6,76.81,76.97,1288900
2007-03-05,BG,74.91,76.28,74.51,75.02,967000
2007-03-06,BG,75.85,77.02,75.67,76.73,943600
2007-03-07,BG,76.74,78.04,75.93,76.3,990600
2007-03-08,BG,76.95,78.13,76.85,77.84,777700
2007-03-09,BG,78.0,78.83,77.65,78.34,442450
2007-03-12,BG,78.35,79.0,77.64,78.55,991600
2007-03-13,BG,78.55,79.06,75.57,75.69,706200
2007-03-14,BG,75.5,76.22,73.71,75.71,1324800
2007-03-15,BG,75.55,76.99,75.5,76.75,637000
2007-03-16,BG,76.75,77.32,75.88,75.88,931700
2007-03-19,BG,75.88,76.5,75.1,75.75,758000
2007-03-20,BG,75.7,77.9,75.58,77.8,813800
2007-03-21,BG,78.0,80.69,77.52,79.61,1357200
2007-03-22,BG,80.48,80.8,79.28,79.35,443500
2007-03-23,BG,79.1,79.97,79.09,79.89,510500
2007-03-26,BG,79.88,81.75,79.75,81.75,1064000
2007-03-27,BG,81.51,81.68,80.07,80.28,562800
2007-03-28,BG,80.78,81.8,80.52,81.61,554500
2007-03-29,BG,82.0,82.99,81.28,82.24,623148
2007-03-30,BG,82.95,83.75,81.51,82.22,1069901
2007-04-02,BG,82.22,83.86,82.1,83.69,914300
2007-04-03,BG,81.39,82.52,76.39,81.4,6319400
2007-04-04,BG,81.41,81.35,78.47,78.81,1992500
2007-04-05,BG,78.82,79.15,76.56,77.09,1976100
2007-04-09,BG,77.27,77.46,76.51,76.81,951900
2007-04-10,BG,77.0,77.29,76.45,76.9,824300
2007-04-11,BG,76.9,77.33,76.62,77.0,1069678
2007-04-12,BG,76.95,77.15,76.3,76.56,760800
2007-04-13,BG,76.4,76.79,75.35,76.1,896139
2007-04-16,BG,76.21,76.58,73.89,74.77,2247502
2007-04-17,BG,74.77,75.76,74.0,75.5,1924345
2007-04-18,BG,75.25,75.96,75.0,75.78,930800
2007-04-19,BG,74.94,76.9,74.55,76.74,1127300
2007-04-20,BG,77.54,79.23,77.02,77.55,1192022
2007-04-23,BG,77.55,79.43,76.86,78.92,951800
2007-04-24,BG,78.92,78.99,78.25,78.54,859000
2007-04-25,BG,79.2,79.54,78.0,78.7,1156500
2007-04-26,BG,78.4,78.54,74.75,77.79,3527305
2007-04-27,BG,77.74,77.91,76.6,77.09,972650
2007-04-30,BG,77.09,77.43,75.76,75.76,869900
2007-05-01,BG,75.48,75.56,74.4,75.34,1101148
2007-05-02,BG,75.53,76.74,75.17,76.23,848900
2007-05-03,BG,76.24,76.43,75.56,76.26,400700
2007-05-04,BG,76.3,76.5,75.32,76.36,521400
2007-05-07,BG,75.76,76.81,75.35,75.6,501900
2007-05-08,BG,75.35,76.0,74.8,74.95,750000
2007-05-09,BG,74.91,75.03,74.22,74.63,960400
2007-05-10,BG,74.63,75.04,71.88,72.24,1718000
2007-05-11,BG,72.25,73.38,72.1,73.25,972700
2007-05-14,BG,73.25,73.54,71.6,71.81,1085603
2007-05-15,BG,71.66,73.35,70.97,72.23,1267200
2007-05-16,BG,72.49,75.01,72.38,74.86,1840400
2007-05-17,BG,74.87,75.96,74.81,75.7,1265600
2007-05-18,BG,75.71,79.72,76.44,79.72,2273000
2007-05-21,BG,79.73,79.72,78.66,79.17,1665900
2007-05-22,BG,79.72,80.68,79.02,79.57,1404800
2007-05-23,BG,79.58,81.0,79.53,79.72,850700
2007-05-24,BG,79.73,80.28,78.23,78.55,1022800
2007-05-25,BG,78.95,79.06,78.04,78.13,603000
2007-05-29,BG,78.18,78.18,77.0,77.66,662500
2007-05-30,BG,77.67,78.77,76.42,78.29,1158500
2007-05-31,BG,78.2,78.57,77.32,78.12,851300
2007-06-01,BG,78.13,78.88,77.38,78.59,1063900
2007-06-04,BG,78.5,78.61,76.48,76.85,980400
2007-06-05,BG,76.86,77.86,76.49,76.91,830850
2007-06-06,BG,76.92,76.55,74.86,75.16,1106800
2007-06-07,BG,74.75,75.58,73.66,73.78,811500
2007-06-08,BG,73.78,75.22,73.0,75.03,645100
2007-06-11,BG,74.64,77.27,74.85,76.87,979075
2007-06-12,BG,76.87,77.74,76.47,77.11,1433800
2007-06-13,BG,77.11,79.73,77.73,79.63,1467590
2007-06-14,BG,80.0,82.25,79.96,80.94,1446400
2007-06-15,BG,81.5,82.04,80.9,81.46,731100
2007-06-18,BG,81.53,82.59,81.39,81.89,1037700
2007-06-19,BG,81.3,81.62,80.7,81.41,870100
2007-06-20,BG,81.41,82.6,80.98,81.28,643200
2007-06-21,BG,81.29,81.65,79.71,81.42,669500
2007-06-22,BG,81.0,83.71,79.82,81.52,6571100
2007-06-25,BG,81.51,81.51,79.42,79.87,1070200
2007-06-26,BG,79.88,81.3,79.6,80.42,1099100
2007-06-27,BG,80.43,80.25,78.61,80.11,958300
2007-06-28,BG,80.12,82.5,80.31,82.11,1160400
2007-06-29,BG,82.12,84.75,81.82,84.5,1579800
2007-07-02,BG,84.51,86.64,84.5,86.55,1532200
2007-07-03,BG,86.56,87.33,85.5,87.3,515200
2007-07-05,BG,87.3,87.71,84.5,84.91,1077800
2007-07-06,BG,85.85,88.28,85.61,87.17,1243605
2007-07-09,BG,87.17,88.06,85.85,86.41,1010900
2007-07-10,BG,86.41,86.36,83.85,84.0,1418930
2007-07-11,BG,83.64,84.9,83.5,84.1,888600
2007-07-12,BG,84.1,84.8,83.99,84.5,714100
2007-07-13,BG,84.5,84.98,83.68,84.7,1055700
2007-07-16,BG,84.75,85.15,84.15,84.96,758200
2007-07-17,BG,84.96,86.42,84.3,84.36,949900
2007-07-18,BG,84.44,84.85,83.06,84.19,831400
2007-07-19,BG,84.13,86.8,84.13,86.64,947700
2007-07-20,BG,86.64,86.91,84.95,85.74,1157200
2007-07-23,BG,86.2,86.44,84.64,86.15,868500
2007-07-24,BG,85.37,86.62,85.08,86.0,998890
2007-07-25,BG,85.85,86.35,84.71,85.08,1290100
2007-07-26,BG,87.72,94.63,86.35,88.99,6141700
2007-07-27,BG,88.99,90.46,86.85,88.32,2307900
2007-07-30,BG,88.32,91.26,88.3,90.24,1841700
2007-07-31,BG,90.24,93.63,90.27,90.61,1777600
2007-08-01,BG,90.61,92.1,89.55,90.46,1883221
2007-08-02,BG,90.65,95.12,90.41,94.23,1896100
2007-08-03,BG,94.28,94.62,92.0,92.17,1239250
2007-08-06,BG,92.17,92.91,90.95,92.72,1532390
2007-08-07,BG,92.73,93.74,91.8,91.94,1588500
2007-08-08,BG,93.36,93.54,91.07,91.46,1367100
2007-08-09,BG,91.46,91.5,84.0,89.87,2030300
2007-08-10,BG,89.87,89.82,86.79,87.88,1587400
2007-08-13,BG,89.01,89.68,86.53,86.79,931100
2007-08-14,BG,86.79,88.51,85.23,85.23,810400
2007-08-15,BG,84.75,87.33,84.55,84.8,1110000
2007-08-16,BG,82.0,84.63,80.73,81.0,1723700
2007-08-17,BG,82.9,84.73,82.29,83.13,1174498
2007-08-20,BG,80.73,86.02,80.73,84.2,623760
2007-08-21,BG,84.3,86.81,84.01,86.24,1217300
2007-08-22,BG,87.52,87.87,86.79,87.68,864000
2007-08-23,BG,87.6,87.9,86.28,86.67,714600
2007-08-24,BG,86.75,88.45,86.33,88.34,623200
2007-08-27,BG,87.35,89.23,86.83,88.35,468600
2007-08-28,BG,88.35,88.3,85.99,86.52,619100
2007-08-29,BG,86.52,87.42,86.31,87.32,335300
2007-08-30,BG,86.5,90.6,86.47,89.88,761300
2007-08-31,BG,91.34,91.75,90.7,91.44,950500
2007-09-04,BG,92.13,94.13,91.91,93.59,1382500
2007-09-05,BG,92.49,93.17,91.91,92.47,709600
2007-09-06,BG,92.47,94.0,92.37,92.88,715700
2007-09-07,BG,92.87,92.95,90.88,91.74,784100
2007-09-10,BG,91.83,96.7,91.37,95.07,1464300
2007-09-11,BG,95.07,98.9,95.07,96.96,1722300
2007-09-12,BG,96.89,98.15,95.72,98.01,958400
2007-09-13,BG,98.01,98.43,96.67,97.21,904000
2007-09-14,BG,97.21,97.26,95.56,97.05,485700
2007-09-17,BG,97.05,97.68,95.72,96.6,366000
2007-09-18,BG,97.42,100.5,95.98,99.75,1542400
2007-09-19,BG,100.99,101.1,99.79,100.08,1018500
2007-09-20,BG,100.0,100.45,98.5,99.18,777300
2007-09-21,BG,100.0,104.65,99.53,102.52,1846500
2007-09-24,BG,103.14,104.14,100.6,101.59,1099800
2007-09-25,BG,101.59,103.33,100.24,103.08,802600
2007-09-26,BG,104.0,105.82,102.05,103.07,960937
2007-09-27,BG,103.27,105.59,103.27,105.38,998400
2007-09-28,BG,104.75,107.76,104.75,107.45,1675200
2007-10-01,BG,107.45,108.93,106.75,108.35,1021000
2007-10-02,BG,109.08,110.42,102.96,105.1,2069200
2007-10-03,BG,105.2,105.83,102.57,102.8,1398000
2007-10-04,BG,103.2,103.55,101.67,102.44,1449000
2007-10-05,BG,103.5,104.61,101.85,102.19,783100
2007-10-08,BG,102.5,103.75,102.2,103.31,818400
2007-10-09,BG,104.0,106.55,102.45,105.44,1029800
2007-10-10,BG,104.5,109.18,104.16,107.17,1016300
2007-10-11,BG,109.32,108.24,103.04,104.08,1171100
2007-10-12,BG,104.55,106.5,103.64,103.82,683400
2007-10-15,BG,103.9,103.9,102.59,103.5,569600
2007-10-16,BG,102.95,108.34,102.59,107.7,1202300
2007-10-17,BG,106.79,109.53,105.14,106.59,1017400
2007-10-18,BG,105.0,108.39,104.74,107.37,818500
2007-10-19,BG,107.56,107.76,105.71,106.01,666200
2007-10-22,BG,105.92,105.92,102.37,104.64,1025300
2007-10-23,BG,105.59,109.46,105.21,109.17,894500
2007-10-24,BG,109.16,112.19,107.91,112.05,1214300
2007-10-25,BG,119.0,122.0,112.03,116.75,4146400
2007-10-26,BG,115.0,116.4,113.95,114.9,1256800
2007-10-29,BG,115.62,115.85,114.24,115.15,888800
2007-10-30,BG,115.15,119.0,112.94,114.09,778700
2007-10-31,BG,114.09,115.23,112.5,115.19,880650
2007-11-01,BG,112.89,111.31,102.2,103.11,4165500
2007-11-02,BG,103.95,103.99,100.64,103.66,3738000
2007-11-05,BG,103.45,104.03,102.1,103.02,1458029
2007-11-06,BG,103.69,107.97,103.15,107.97,2114310
2007-11-07,BG,107.47,109.08,105.7,106.65,1650250
2007-11-08,BG,107.54,110.38,106.0,110.06,1821870
2007-11-09,BG,110.99,111.94,107.6,109.86,1440650
2007-11-12,BG,109.19,111.0,102.25,103.15,1442102
2007-11-13,BG,106.0,110.56,104.82,110.03,1592273
2007-11-14,BG,111.14,111.98,107.74,107.9,1100344
2007-11-15,BG,107.05,107.98,105.05,106.94,816100
2007-11-16,BG,108.0,110.15,106.38,110.02,840100
2007-11-19,BG,108.68,109.03,105.0,107.5,1606910
2007-11-20,BG,108.0,109.44,106.5,108.97,1205550
2007-11-21,BG,107.53,110.0,106.61,108.65,660700
2007-11-22,BG,107.53,110.0,106.61,108.65,660700
2007-11-23,BG,109.88,110.7,105.35,106.02,487725
2007-11-26,BG,105.53,109.58,105.5,107.8,952351
2007-11-27,BG,108.67,109.27,106.27,109.27,941330
2007-11-28,BG,110.72,116.86,109.33,116.3,1883600
2007-11-29,BG,117.1,117.1,111.09,113.45,1565205
2007-11-30,BG,114.75,115.0,110.21,112.34,1219780
