Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,CAH,64.76,64.76,64.18,64.43,938800
2007-01-03,CAH,64.18,65.0,63.7,64.02,2220400
2007-01-04,CAH,64.02,64.36,63.32,63.96,1468400
2007-01-05,CAH,63.9,64.23,63.61,63.93,2431100
2007-01-08,CAH,63.89,64.26,63.77,64.15,1741500
2007-01-09,CAH,64.2,64.44,63.88,64.0,1391600
2007-01-10,CAH,63.92,64.63,63.79,64.55,1555400
2007-01-11,CAH,64.72,65.52,64.61,65.17,1308200
2007-01-12,CAH,65.21,66.98,65.1,66.92,2217400
2007-01-16,CAH,66.91,68.01,66.7,67.54,2053300
2007-01-17,CAH,67.05,69.22,66.93,69.11,2944400
2007-01-18,CAH,68.89,69.49,68.55,69.11,1992000
2007-01-19,CAH,69.29,69.75,69.02,69.44,2813400
2007-01-22,CAH,70.98,70.98,69.16,69.26,2665500
2007-01-23,CAH,69.9,69.99,69.21,69.48,2033300
2007-01-24,CAH,69.48,70.25,69.48,70.03,2588700
2007-01-25,CAH,71.0,73.34,71.0,72.42,6365400
2007-01-26,CAH,71.0,72.33,70.97,71.43,3099000
2007-01-29,CAH,71.0,71.13,70.56,70.86,2692100
2007-01-30,CAH,70.98,72.0,70.86,71.97,2695500
2007-01-31,CAH,71.63,71.63,70.85,71.42,2184700
2007-02-01,CAH,71.35,71.76,71.23,71.68,1764600
2007-02-02,CAH,71.51,72.2,71.51,71.8,1153400
2007-02-05,CAH,71.5,71.94,71.34,71.7,1285500
2007-02-06,CAH,71.6,71.74,71.03,71.28,1601900
2007-02-07,CAH,71.15,73.0,70.83,71.1,1191900
2007-02-08,CAH,70.8,71.45,70.75,71.28,1324700
2007-02-09,CAH,71.05,71.83,71.0,71.25,1576500
2007-02-12,CAH,70.95,71.27,70.61,70.62,1324538
2007-02-13,CAH,70.95,72.36,70.87,72.24,2365891
2007-02-14,CAH,72.08,72.77,72.07,72.45,1509870
2007-02-15,CAH,72.54,72.9,72.3,72.72,1227200
2007-02-16,CAH,72.4,73.1,72.37,72.73,1401700
2007-02-20,CAH,72.94,72.94,72.0,72.38,1335800
2007-02-21,CAH,72.2,72.72,72.12,72.36,1340400
2007-02-22,CAH,72.5,72.74,72.1,72.39,1343200
2007-02-23,CAH,72.0,72.59,71.46,72.44,1470400
2007-02-26,CAH,72.27,72.5,72.0,72.19,1173232
2007-02-27,CAH,72.19,72.19,69.54,70.37,2476900
2007-02-28,CAH,69.9,70.7,69.5,70.11,2146200
2007-03-01,CAH,69.5,70.78,69.17,70.67,2380303
2007-03-02,CAH,70.4,70.6,69.57,69.57,1596300
2007-03-05,CAH,69.35,70.3,69.24,69.39,1436000
2007-03-06,CAH,69.39,71.06,69.75,70.98,2075900
2007-03-07,CAH,70.6,71.02,70.52,70.63,1967300
2007-03-08,CAH,70.88,72.15,70.75,71.69,3232100
2007-03-09,CAH,71.85,72.59,71.85,72.33,2328800
2007-03-12,CAH,72.3,72.67,71.78,71.88,1512600
2007-03-13,CAH,70.35,71.52,70.02,70.09,2496900
2007-03-14,CAH,70.4,70.79,69.26,70.0,3253500
2007-03-15,CAH,70.0,71.0,69.7,70.17,1876200
2007-03-16,CAH,70.21,71.07,70.21,70.86,2547600
2007-03-19,CAH,71.34,72.3,71.27,72.08,1503600
2007-03-20,CAH,72.08,72.62,71.81,72.47,1345097
2007-03-21,CAH,72.05,72.87,71.91,72.6,2162600
2007-03-22,CAH,72.6,72.71,72.17,72.26,1803000
2007-03-23,CAH,72.26,72.88,72.26,72.42,1557300
2007-03-26,CAH,72.13,72.87,71.6,72.77,1797100
2007-03-27,CAH,72.77,72.73,71.99,72.57,1548900
2007-03-28,CAH,72.21,72.5,71.72,71.89,1481400
2007-03-29,CAH,71.89,72.71,71.92,72.51,1936300
2007-03-30,CAH,72.5,72.99,71.6,72.95,1618000
2007-04-02,CAH,72.95,73.3,72.54,73.11,1731630
2007-04-03,CAH,73.21,73.94,73.14,73.62,1925000
2007-04-04,CAH,73.62,74.0,73.48,74.0,2283400
2007-04-05,CAH,73.72,74.61,73.72,74.53,1784603
2007-04-09,CAH,74.53,74.09,73.15,73.28,1295400
2007-04-10,CAH,73.11,73.32,72.35,73.06,2145000
2007-04-11,CAH,73.13,74.19,72.7,73.66,2162696
2007-04-12,CAH,73.66,74.35,73.0,74.22,1847900
2007-04-13,CAH,76.11,76.11,73.96,74.27,1786345
2007-04-16,CAH,74.27,74.59,74.13,74.28,1268854
2007-04-17,CAH,74.15,74.84,74.11,74.5,1194800
2007-04-18,CAH,74.3,74.52,73.75,74.26,1634400
2007-04-19,CAH,73.55,74.7,73.55,74.62,1708696
2007-04-20,CAH,74.72,76.08,74.22,74.66,2214967
2007-04-23,CAH,74.67,76.15,74.35,74.87,1166485
2007-04-24,CAH,75.25,75.5,74.63,75.28,3752285
2007-04-25,CAH,75.26,75.45,74.47,75.08,2453400
2007-04-26,CAH,75.2,74.76,69.55,71.15,9133800
2007-04-27,CAH,71.55,70.99,69.95,70.58,5703906
2007-04-30,CAH,70.6,70.66,69.95,69.95,2315100
2007-05-01,CAH,70.25,70.29,69.71,70.19,2032700
2007-05-02,CAH,71.5,71.5,70.1,71.08,1968900
2007-05-03,CAH,71.12,71.42,70.83,70.88,1352373
2007-05-04,CAH,70.88,71.37,70.55,70.75,2088200
2007-05-07,CAH,70.99,71.46,70.87,70.97,1729303
2007-05-08,CAH,70.75,70.81,69.97,70.39,2637118
2007-05-09,CAH,69.93,70.95,69.93,70.44,2047418
2007-05-10,CAH,70.08,70.27,69.41,69.43,2666598
2007-05-11,CAH,69.3,69.65,68.71,69.07,2673478
2007-05-14,CAH,69.02,69.55,68.43,69.19,2175800
2007-05-15,CAH,69.42,70.4,69.15,69.7,1801600
2007-05-16,CAH,70.2,71.18,70.07,70.81,2016100
2007-05-17,CAH,70.55,70.99,70.41,70.87,1302100
2007-05-18,CAH,70.87,71.9,70.87,71.77,2080574
2007-05-21,CAH,71.64,71.89,71.4,71.77,1513100
2007-05-22,CAH,71.59,72.0,71.33,71.86,1251800
2007-05-23,CAH,71.9,72.55,71.88,72.3,1483900
2007-05-24,CAH,72.05,72.48,71.8,71.97,1332300
2007-05-25,CAH,72.2,72.79,71.75,72.31,1337200
2007-05-29,CAH,72.11,72.97,72.04,72.66,1432700
2007-05-30,CAH,72.5,72.85,72.11,72.74,1936000
2007-05-31,CAH,72.8,72.98,72.2,72.46,2502800
2007-06-01,CAH,72.46,73.0,72.58,72.94,1452900
2007-06-04,CAH,72.35,72.9,72.35,72.67,1275900
2007-06-05,CAH,72.55,72.69,71.96,72.45,1568200
2007-06-06,CAH,72.05,72.73,71.97,72.37,1343000
2007-06-07,CAH,72.37,73.0,72.22,72.22,2943050
2007-06-08,CAH,72.22,72.43,71.77,72.3,1645300
2007-06-11,CAH,72.0,72.49,71.67,71.93,1214392
2007-06-12,CAH,71.93,72.06,71.1,71.1,1811400
2007-06-13,CAH,71.6,71.77,70.29,70.75,2985386
2007-06-14,CAH,70.47,70.79,70.25,70.26,2598200
2007-06-15,CAH,70.26,70.93,69.94,69.95,5121800
2007-06-18,CAH,69.95,70.53,69.79,70.01,2350000
2007-06-19,CAH,70.04,70.69,70.01,70.58,1705800
2007-06-20,CAH,70.58,71.08,70.15,70.15,1672800
2007-06-21,CAH,70.15,70.81,69.7,70.74,1683700
2007-06-22,CAH,70.51,70.61,69.6,69.62,2172900
2007-06-25,CAH,69.37,70.37,69.34,69.56,1707686
2007-06-26,CAH,69.76,70.47,69.31,69.43,2245800
2007-06-27,CAH,69.63,70.33,69.31,70.26,2218500
2007-06-28,CAH,70.5,70.98,70.34,70.64,2105700
2007-06-29,CAH,70.87,70.93,70.23,70.64,1920400
2007-07-02,CAH,70.65,70.77,69.91,70.04,2473700
2007-07-03,CAH,70.03,70.22,69.82,69.88,1374900
2007-07-05,CAH,69.64,70.01,69.64,69.94,1625800
2007-07-06,CAH,69.94,70.03,68.87,69.88,1677100
2007-07-09,CAH,69.77,70.03,69.62,69.94,1471500
2007-07-10,CAH,69.8,69.85,68.78,68.85,2099137
2007-07-11,CAH,68.66,68.95,68.21,68.87,2136100
2007-07-12,CAH,68.81,70.4,68.64,70.24,2102325
2007-07-13,CAH,70.24,70.53,69.9,70.35,1198700
2007-07-16,CAH,70.35,71.15,70.02,70.91,1808900
2007-07-17,CAH,70.77,71.53,70.77,71.28,1401707
2007-07-18,CAH,70.9,70.96,69.87,70.44,1568650
2007-07-19,CAH,69.76,69.92,68.84,69.33,1788400
2007-07-20,CAH,69.32,69.5,68.32,68.35,1875544
2007-07-23,CAH,68.85,69.0,68.15,68.29,1170900
2007-07-24,CAH,67.69,68.37,67.28,67.38,2099900
2007-07-25,CAH,67.58,67.98,67.13,67.5,1576588
2007-07-26,CAH,67.1,67.16,65.26,65.62,3457449
2007-07-27,CAH,65.62,65.65,64.96,65.4,2540921
2007-07-30,CAH,65.4,66.14,65.0,66.1,2124060
2007-07-31,CAH,66.18,66.95,65.67,65.73,2303157
2007-08-01,CAH,65.73,67.0,65.33,66.81,2104897
2007-08-02,CAH,66.65,67.11,66.2,66.57,1452311
2007-08-03,CAH,66.57,67.55,66.0,66.02,2280490
2007-08-06,CAH,66.02,68.65,65.66,68.51,2947701
2007-08-07,CAH,68.51,68.98,67.67,68.43,2000100
2007-08-08,CAH,67.97,70.0,67.02,69.14,2529200
2007-08-09,CAH,70.0,69.93,66.57,66.91,3579952
2007-08-10,CAH,66.89,68.22,66.13,67.84,2788770
2007-08-13,CAH,67.8,68.94,67.17,68.77,1982700
2007-08-14,CAH,69.02,69.37,67.58,67.69,1691500
2007-08-15,CAH,67.05,68.78,67.05,67.26,1249300
2007-08-16,CAH,67.26,68.85,66.23,67.67,2440630
2007-08-17,CAH,69.56,69.29,67.82,69.21,2846100
2007-08-20,CAH,70.09,70.12,67.99,69.25,1159700
2007-08-21,CAH,68.9,69.55,68.78,69.16,1115954
2007-08-22,CAH,69.8,70.05,69.0,69.86,1521600
2007-08-23,CAH,71.19,71.19,68.78,69.5,1880200
2007-08-24,CAH,69.15,69.77,68.85,69.75,954400
2007-08-27,CAH,69.35,69.99,69.27,69.76,961475
2007-08-28,CAH,69.58,69.76,69.19,69.23,1487900
2007-08-29,CAH,69.25,69.52,69.0,69.46,1373000
2007-08-30,CAH,68.9,69.33,68.26,68.36,2316400
2007-08-31,CAH,68.85,69.13,67.88,68.38,1983200
2007-09-04,CAH,68.38,68.82,68.0,68.22,1447900
2007-09-05,CAH,67.8,67.93,67.14,67.5,3838200
2007-09-06,CAH,68.0,68.34,67.27,67.3,2739100
2007-09-07,CAH,66.71,67.66,66.71,67.01,1750200
2007-09-10,CAH,66.9,67.09,66.44,66.66,1298100
2007-09-11,CAH,66.94,67.87,66.74,67.69,1458600
2007-09-12,CAH,67.7,68.0,67.23,67.4,1206600
2007-09-13,CAH,67.91,68.43,67.72,67.96,988900
2007-09-14,CAH,67.66,67.73,64.37,64.67,4975000
2007-09-17,CAH,64.67,65.2,63.86,64.38,2477800
2007-09-18,CAH,64.57,65.43,64.53,65.06,2503790
2007-09-19,CAH,65.4,65.84,64.7,65.66,2129500
2007-09-20,CAH,65.49,65.86,64.3,64.4,3903500
2007-09-21,CAH,64.0,64.68,62.96,63.1,4160000
2007-09-24,CAH,63.02,63.6,62.92,63.37,2402300
2007-09-25,CAH,63.36,63.5,63.01,63.34,1712800
2007-09-26,CAH,63.39,63.39,62.59,62.83,3065800
2007-09-27,CAH,62.7,63.13,62.52,62.83,2746092
2007-09-28,CAH,62.75,62.95,62.42,62.53,2785900
2007-10-01,CAH,62.95,63.23,61.91,62.04,4304400
2007-10-02,CAH,62.0,62.15,61.92,62.14,2476100
2007-10-03,CAH,62.14,62.13,61.66,61.9,3767900
2007-10-04,CAH,62.0,62.67,61.8,62.19,2990000
2007-10-05,CAH,62.43,63.37,62.26,63.32,1849500
2007-10-08,CAH,63.64,64.63,63.9,64.57,2680000
2007-10-09,CAH,65.41,66.25,65.41,65.65,3447200
2007-10-10,CAH,65.69,66.32,65.55,66.2,1715000
2007-10-11,CAH,66.4,66.67,64.9,65.04,2167100
2007-10-12,CAH,65.3,65.63,64.57,65.32,1821900
2007-10-15,CAH,65.43,65.5,64.43,64.73,1934600
2007-10-16,CAH,64.6,64.79,64.2,64.64,1880300
2007-10-17,CAH,65.0,65.16,64.44,64.97,1648900
2007-10-18,CAH,64.92,65.3,64.76,64.95,1389800
2007-10-19,CAH,64.7,65.12,64.43,64.56,2701400
2007-10-22,CAH,64.31,65.07,64.01,64.75,2904100
2007-10-23,CAH,65.09,65.09,64.36,65.01,1470400
2007-10-24,CAH,64.81,65.11,64.13,64.9,2513200
2007-10-25,CAH,64.86,65.49,64.68,65.0,1809400
2007-10-26,CAH,65.5,65.69,64.6,65.55,1400600
2007-10-29,CAH,66.67,67.63,65.98,66.74,2806600
