Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,CI,43.9533,44.2167,43.8567,43.8567,1128300.0000000012
2007-01-03,CI,44.27,44.33,43.52,43.93,736800.0
2007-01-04,CI,43.92,43.92,42.93,43.1,1027700.0
2007-01-05,CI,42.9,42.97,42.4,42.79,957700.0
2007-01-08,CI,42.71,43.0,42.37,42.88,893900.0
2007-01-09,CI,42.34,43.2,42.34,42.65,630800.0
2007-01-10,CI,42.46,43.03,42.33,42.91,457800.0
2007-01-11,CI,42.91,43.55,42.75,43.52,767900.0
2007-01-12,CI,43.46,43.74,43.35,43.59,462600.0
2007-01-16,CI,43.43,43.76,43.33,43.58,514500.0
2007-01-17,CI,43.6,43.91,43.4,43.84,713900.0
2007-01-18,CI,42.94,43.55,42.82,43.15,970700.0
2007-01-19,CI,43.36,43.49,43.06,43.31,666800.0
2007-01-22,CI,43.31,43.58,42.91,43.01,670600.0
2007-01-23,CI,43.01,43.61,42.79,43.54,576500.0
2007-01-24,CI,43.16,43.21,42.42,43.18,1681300.0
2007-01-25,CI,43.18,43.66,43.15,43.28,641700.0
2007-01-26,CI,43.33,43.42,43.12,43.31,736500.0
2007-01-29,CI,43.56,43.95,43.41,43.7,863800.0
2007-01-30,CI,43.68,44.15,43.53,44.11,819600.0
2007-01-31,CI,44.11,44.32,43.79,44.13,752600.0
2007-02-01,CI,44.2,44.9,43.99,44.86,838900.0
2007-02-02,CI,44.81,45.0,44.6,44.65,651400.0
2007-02-05,CI,44.8,45.32,44.78,45.17,1009700.0
2007-02-06,CI,45.2,45.8,45.04,45.7,1166900.0
2007-02-07,CI,46.79,47.46,45.81,46.65,2694700.0
2007-02-08,CI,46.5,46.88,46.26,46.39,778300.0
2007-02-09,CI,46.4,46.63,45.81,45.99,634100.0
2007-02-12,CI,45.88,46.67,45.88,46.64,930351.0
2007-02-13,CI,46.93,47.07,46.52,47.04,963791.0
2007-02-14,CI,47.04,47.63,46.94,47.6,1173290.0
2007-02-15,CI,47.41,48.13,47.33,47.96,904600.0
2007-02-16,CI,47.73,48.07,47.69,47.97,1054100.0
2007-02-20,CI,48.23,48.62,48.04,48.51,1001400.0
2007-02-21,CI,48.18,48.48,48.13,48.19,688300.0
2007-02-22,CI,48.36,48.65,48.19,48.33,1097100.0
2007-02-23,CI,48.31,48.31,47.85,47.96,835900.0
2007-02-26,CI,47.58,47.68,47.1,47.53,696481.0
2007-02-27,CI,48.9,48.9,45.73,46.28,978200.0
2007-02-28,CI,46.1,47.66,46.0,47.5,1505000.0
2007-03-01,CI,47.35,47.73,46.6,47.56,1303138.0
2007-03-02,CI,47.89,47.89,47.0,47.0,1058400.0
2007-03-05,CI,46.68,46.89,46.35,46.37,1093300.0
2007-03-06,CI,46.66,46.84,46.31,46.63,1253100.0
2007-03-07,CI,46.63,47.13,46.33,46.62,874200.0
2007-03-08,CI,46.75,47.2,46.51,46.69,772000.0
2007-03-09,CI,46.77,47.09,46.57,46.65,2090010.0
2007-03-12,CI,46.65,47.08,46.4,46.69,2595914.0
2007-03-13,CI,46.36,46.66,45.69,45.69,3400894.0
2007-03-14,CI,45.85,46.58,45.7,46.37,4194702.0
2007-03-15,CI,46.22,47.03,46.15,46.96,3173431.0
2007-03-16,CI,47.25,47.53,47.01,47.44,5413661.0
2007-03-19,CI,47.65,48.14,47.46,47.98,2625918.0
2007-03-20,CI,47.98,48.44,47.69,48.3,2850303.0
2007-03-21,CI,48.19,49.04,47.94,48.93,2657198.0
2007-03-22,CI,48.87,49.09,48.56,48.58,3220559.0
2007-03-23,CI,48.58,48.95,48.4,48.8,2391625.0
2007-03-26,CI,48.59,49.11,48.37,49.03,1573891.0
2007-03-27,CI,48.76,48.84,47.92,48.59,3048197.0
2007-03-28,CI,48.39,48.53,47.88,48.22,2062241.0
2007-03-29,CI,48.22,48.47,47.17,47.25,3706352.0
2007-03-30,CI,47.33,47.75,47.16,47.55,2329148.0
2007-04-02,CI,47.71,48.07,47.63,47.98,2383019.0
2007-04-03,CI,48.15,48.98,48.13,48.9,2153527.0
2007-04-04,CI,49.15,49.2,48.26,49.15,2292372.0
2007-04-05,CI,48.86,49.38,48.44,49.2,2071497.0
2007-04-09,CI,49.2,49.49,49.05,49.22,1738723.0
2007-04-10,CI,49.03,49.66,48.99,49.51,2398979.0
2007-04-11,CI,49.37,49.46,48.6,48.96,2465688.0
2007-04-12,CI,48.96,48.89,48.23,48.74,2093489.0
2007-04-13,CI,48.93,49.7,48.76,49.64,2473667.0
2007-04-16,CI,49.7,50.69,49.57,50.45,3076080.0
2007-04-17,CI,50.45,50.93,50.27,50.68,2921481.0
2007-04-18,CI,50.62,51.09,50.5,50.66,3478455.0
2007-04-19,CI,49.91,50.26,49.7,50.0,3127533.0
2007-04-20,CI,50.0,50.87,50.33,50.75,2267475.0
2007-04-23,CI,50.92,51.23,50.53,50.87,1917970.0
2007-04-24,CI,50.73,51.09,50.44,50.91,2502075.0
2007-04-25,CI,50.46,51.15,49.9,51.13,4578998.0
2007-04-26,CI,51.33,51.66,50.6,51.26,6610597.0
2007-04-27,CI,51.29,51.54,50.82,51.47,1896744.0
2007-04-30,CI,51.64,52.23,51.49,51.86,3542777.0
2007-05-01,CI,52.19,52.25,51.6,51.73,2826601.0
2007-05-02,CI,51.04,52.93,50.01,51.27,6820373.0
2007-05-03,CI,51.64,52.86,51.23,52.79,5204772.0
2007-05-04,CI,52.98,54.13,52.73,53.63,3772538.0
2007-05-07,CI,53.99,54.16,53.3,53.79,2971350.0
2007-05-08,CI,53.65,54.67,53.61,54.5,3091286.0
2007-05-09,CI,54.14,54.28,53.8,53.85,4482285.0
2007-05-10,CI,53.66,54.18,53.54,53.9,2210648.0
2007-05-11,CI,53.97,54.53,53.54,54.49,1846154.0
2007-05-14,CI,54.61,54.99,54.38,54.79,2407916.0
2007-05-15,CI,54.79,55.73,54.56,54.57,3142036.0
2007-05-16,CI,55.16,55.37,54.82,54.91,2902011.0
2007-05-17,CI,55.0,55.35,54.52,55.22,2781041.0
2007-05-18,CI,55.22,55.65,54.92,55.55,1754810.0
2007-05-21,CI,55.1,55.17,54.2,54.51,4268752.0
2007-05-22,CI,54.51,54.82,54.12,54.51,2650814.0
2007-05-23,CI,54.51,54.84,54.27,54.27,2636511.0
2007-05-24,CI,54.27,54.82,54.26,54.34,3102936.0
2007-05-25,CI,54.83,55.26,54.66,55.02,2744973.0
2007-05-29,CI,54.86,56.46,54.86,56.33,3766996.0
2007-05-30,CI,55.76,56.02,55.72,55.81,2764938.0
2007-05-31,CI,55.73,56.22,55.67,55.87,2709224.0
2007-06-01,CI,55.87,56.2,55.83,56.16,1826045.0
2007-06-04,CI,56.16,57.61,55.93,56.01,2521864.0
2007-06-05,CI,56.36,56.87,55.71,56.06,2657061.0
2007-06-06,CI,56.06,56.68,55.45,55.74,3343345.0
2007-06-07,CI,55.34,55.95,54.5,54.72,2752897.0
2007-06-08,CI,54.71,54.9,54.23,54.9,2021300.0
2007-06-11,CI,54.9,55.31,54.62,54.78,1958540.0
2007-06-12,CI,54.38,54.98,54.34,54.41,2184800.0
2007-06-13,CI,54.41,54.7,53.08,53.83,3708650.0
2007-06-14,CI,53.83,54.15,53.48,53.91,2127775.0
2007-06-15,CI,55.0,55.0,53.9,54.46,2514000.0
2007-06-18,CI,54.8,55.52,54.55,54.62,1508966.0
2007-06-19,CI,54.62,55.44,54.9,55.3,2415600.0
2007-06-20,CI,55.51,55.69,53.93,53.95,1960560.0
2007-06-21,CI,53.95,54.47,53.39,54.05,1925100.0
2007-06-22,CI,53.61,53.88,52.97,52.98,3493800.0
2007-06-25,CI,52.99,53.52,52.33,52.38,2171300.0
2007-06-26,CI,52.4,52.72,51.85,52.22,2317200.0
2007-06-27,CI,52.6,52.9,51.19,52.81,1645000.0
2007-06-28,CI,52.81,53.2,52.39,52.76,1858400.0
2007-06-29,CI,52.76,53.25,51.92,52.22,1716200.0
2007-07-02,CI,52.22,54.03,52.07,53.87,2000000.0
2007-07-03,CI,54.13,54.41,53.45,53.5,864100.0
2007-07-05,CI,55.04,55.04,53.27,54.08,1444800.0
2007-07-06,CI,53.87,54.7,53.61,54.28,1645500.0
2007-07-09,CI,54.45,54.6,53.99,54.08,1231000.0
2007-07-10,CI,53.54,54.66,53.2,53.2,1910300.0
2007-07-11,CI,53.35,54.05,53.33,53.76,1490400.0
2007-07-12,CI,53.75,54.54,53.59,54.42,1681800.0
2007-07-13,CI,54.25,54.31,53.58,53.89,1379121.0
2007-07-16,CI,53.89,54.11,53.62,53.91,1245100.0
2007-07-17,CI,54.22,54.22,53.51,53.73,1517200.0
2007-07-18,CI,54.05,54.68,53.52,54.0,1844500.0
2007-07-19,CI,54.0,54.26,53.51,53.52,1930600.0
2007-07-20,CI,53.55,53.55,52.24,52.37,2645800.0
2007-07-23,CI,50.86,53.79,50.86,53.52,1948500.0
2007-07-24,CI,53.29,54.14,52.95,53.07,1957669.0
2007-07-25,CI,53.06,53.36,52.0,52.41,2559700.0
2007-07-26,CI,52.21,52.34,50.91,51.64,2369001.0
2007-07-27,CI,51.5,51.67,50.16,50.19,2042400.0
2007-07-30,CI,50.71,52.43,50.3,52.25,2938000.0
2007-07-31,CI,52.75,52.87,51.62,51.64,2263100.0
2007-08-01,CI,51.6,50.0,46.31,48.89,4693707.0
2007-08-02,CI,49.33,51.28,49.23,50.75,3089200.0
2007-08-03,CI,48.57,50.6,47.87,47.87,3622350.0
2007-08-06,CI,47.87,48.85,47.81,48.8,2906038.0
2007-08-07,CI,48.39,50.0,47.5,47.98,3252254.0
2007-08-08,CI,48.92,49.39,46.56,46.9,4291813.0
2007-08-09,CI,46.9,47.35,45.11,45.11,4390600.0
2007-08-10,CI,44.8,48.42,43.01,47.4,4591433.0
2007-08-13,CI,46.87,49.84,46.87,48.49,2973200.0
2007-08-14,CI,48.88,49.27,47.76,47.97,2554996.0
2007-08-15,CI,47.97,48.87,47.22,47.24,2126637.0
2007-08-16,CI,46.64,47.54,45.13,46.66,2805753.0
2007-08-17,CI,47.79,48.4,46.83,47.65,2856382.0
2007-08-20,CI,48.13,49.44,46.19,48.75,1958800.0
