Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,CMCSA,14.2,14.33,14.0833,14.11,14796587.99999999
2007-01-03,CMCSA,14.13,14.3,13.95,14.22,54885750.0
2007-01-04,CMCSA,14.23,14.38,14.2,14.35,52822767.0
2007-01-05,CMCSA,14.32,14.35,14.11,14.18,35553036.0
2007-01-08,CMCSA,14.13,14.27,14.02,14.16,42805597.0
2007-01-09,CMCSA,14.19,14.28,14.02,14.25,44573944.0
2007-01-10,CMCSA,14.11,14.31,14.08,14.3,38409963.0
2007-01-11,CMCSA,14.3,14.35,14.24,14.32,42140597.0
2007-01-12,CMCSA,14.38,14.71,14.37,14.7,70173293.0
2007-01-16,CMCSA,14.74,14.96,14.68,14.82,58211048.0
2007-01-17,CMCSA,14.75,15.02,14.75,14.92,56903401.0
2007-01-18,CMCSA,14.92,15.09,14.89,15.03,38004830.0
2007-01-19,CMCSA,14.98,15.03,14.81,14.87,41795112.0
2007-01-22,CMCSA,14.85,15.04,14.82,14.93,38744760.0
2007-01-23,CMCSA,14.88,14.98,14.76,14.84,29703679.0
2007-01-24,CMCSA,14.91,15.03,14.85,15.0,50835319.0
2007-01-25,CMCSA,14.95,14.97,14.46,14.5,61712042.0
2007-01-26,CMCSA,14.51,14.66,14.37,14.43,43427258.0
2007-01-29,CMCSA,14.43,14.75,14.37,14.61,40507171.0
2007-01-30,CMCSA,14.68,14.68,14.48,14.57,28899950.0
2007-01-31,CMCSA,14.45,14.88,14.45,14.78,49488368.0
2007-02-01,CMCSA,14.61,14.73,14.03,14.31,108778931.0
2007-02-02,CMCSA,14.31,14.42,14.29,14.36,52635692.0
2007-02-05,CMCSA,14.33,14.34,14.16,14.21,43801094.0
2007-02-06,CMCSA,14.26,14.28,14.02,14.15,43990079.0
2007-02-07,CMCSA,14.16,14.33,14.06,14.18,42434114.0
2007-02-08,CMCSA,14.2,14.2,13.74,13.81,68475845.0
2007-02-09,CMCSA,13.88,13.91,13.48,13.61,68994921.0
2007-02-12,CMCSA,13.62,13.67,13.23,13.33,70535510.0
2007-02-13,CMCSA,13.36,13.74,13.3,13.67,61652539.0
2007-02-14,CMCSA,13.68,13.88,13.67,13.79,42792746.0
2007-02-15,CMCSA,13.76,13.8,13.63,13.78,29247862.0
2007-02-16,CMCSA,13.71,13.9,13.64,13.88,43096085.0
2007-02-20,CMCSA,13.81,13.85,13.69,13.82,44173902.0
2007-02-21,CMCSA,13.73,13.94,13.72,13.9,35442494.0
2007-02-22,CMCSA,13.93,13.96,13.56,13.72,14652825.0
2007-02-23,CMCSA,13.63,13.7,13.4,13.56,18221193.0
2007-02-26,CMCSA,13.6,13.65,13.12,13.23,21267856.0
2007-02-27,CMCSA,13.14,13.14,12.46,12.65,32639133.0
2007-02-28,CMCSA,12.64,12.93,12.52,12.86,25078825.0
2007-03-01,CMCSA,12.57,12.97,12.37,12.77,25002784.0
2007-03-02,CMCSA,12.77,12.86,12.58,12.72,20193151.0
2007-03-05,CMCSA,12.6,12.8,12.56,12.65,26124512.0
2007-03-06,CMCSA,12.76,13.11,12.61,12.94,24771432.0
2007-03-07,CMCSA,12.86,13.04,12.78,12.89,18709008.0
2007-03-08,CMCSA,13.02,13.08,12.91,13.02,13334379.0
2007-03-09,CMCSA,13.12,13.21,13.0,13.06,12519344.0
2007-03-12,CMCSA,13.06,13.13,12.9,13.09,10392373.0
2007-03-13,CMCSA,12.95,13.03,12.75,12.89,20045976.0
2007-03-14,CMCSA,12.87,12.94,12.63,12.91,17378951.0
2007-03-15,CMCSA,12.96,12.96,12.79,12.86,13296943.0
2007-03-16,CMCSA,12.86,12.88,12.69,12.72,19873768.0
2007-03-19,CMCSA,12.72,12.96,12.75,12.95,11693794.0
2007-03-20,CMCSA,12.97,13.19,12.84,13.14,13596496.0
2007-03-21,CMCSA,13.11,13.43,13.01,13.43,15143135.0
2007-03-22,CMCSA,13.48,13.5,13.3,13.37,10597168.0
2007-03-23,CMCSA,13.37,13.5,13.24,13.26,11483712.0
2007-03-26,CMCSA,13.22,13.25,13.04,13.15,13619992.0
2007-03-27,CMCSA,13.14,13.17,12.97,13.04,10586838.0
2007-03-28,CMCSA,12.9,13.01,12.84,12.88,17594592.0
2007-03-29,CMCSA,13.02,13.04,12.76,12.93,14890951.0
2007-03-30,CMCSA,12.93,13.0,12.84,12.97,12946237.0
2007-04-02,CMCSA,13.0,13.01,12.8,12.87,10399912.0
2007-04-03,CMCSA,12.92,13.2,12.88,13.12,17403273.0
2007-04-04,CMCSA,13.05,13.2,13.04,13.18,14373575.0
2007-04-05,CMCSA,13.18,13.33,13.1,13.3,10155658.0
2007-04-09,CMCSA,13.3,13.38,13.17,13.23,7612627.0
2007-04-10,CMCSA,13.22,13.39,13.14,13.36,12419694.0
2007-04-11,CMCSA,13.61,13.92,13.46,13.71,27350738.0
2007-04-12,CMCSA,13.75,13.96,13.6,13.94,14197063.0
2007-04-13,CMCSA,13.94,14.17,13.95,14.09,14775314.0
2007-04-16,CMCSA,14.51,14.17,13.88,13.95,15215391.0
2007-04-17,CMCSA,13.88,14.08,13.89,14.0,10423094.0
2007-04-18,CMCSA,13.96,13.99,13.78,13.91,9174808.0
2007-04-19,CMCSA,13.81,13.84,13.7,13.78,8985576.0
2007-04-20,CMCSA,13.8,14.05,13.74,13.96,17697367.0
2007-04-23,CMCSA,13.99,14.06,13.74,13.82,11468100.0
2007-04-24,CMCSA,14.0,13.9,13.63,13.77,12835277.0
2007-04-25,CMCSA,13.74,14.1,13.72,14.04,20279735.0
2007-04-26,CMCSA,14.0,14.22,13.54,13.55,33586035.0
2007-04-27,CMCSA,13.72,13.63,13.3,13.46,24590877.0
2007-04-30,CMCSA,13.51,13.58,13.32,13.33,25318774.0
2007-05-01,CMCSA,13.33,13.6,13.13,13.35,21970919.0
2007-05-02,CMCSA,13.44,13.79,13.5,13.57,25934984.0
2007-05-03,CMCSA,13.63,13.74,13.55,13.62,18012029.0
2007-05-04,CMCSA,13.67,13.72,13.37,13.45,17756199.0
2007-05-07,CMCSA,13.48,13.56,13.35,13.37,13271783.0
2007-05-08,CMCSA,13.35,13.38,13.17,13.22,22712872.0
2007-05-09,CMCSA,13.22,13.19,13.06,13.14,24061798.0
2007-05-10,CMCSA,13.07,13.13,13.0,13.0,14342666.0
2007-05-11,CMCSA,13.02,13.27,12.98,13.21,14422696.0
2007-05-14,CMCSA,13.11,13.43,13.19,13.29,14345623.0
2007-05-15,CMCSA,13.33,13.57,13.28,13.29,20933176.0
2007-05-16,CMCSA,13.37,13.61,13.36,13.6,16775622.0
2007-05-17,CMCSA,13.53,13.55,13.45,13.45,12325921.0
2007-05-18,CMCSA,13.45,13.82,13.4,13.77,19867904.0
2007-05-21,CMCSA,13.8,13.99,13.73,13.77,15499881.0
2007-05-22,CMCSA,13.77,13.77,13.62,13.68,14306856.0
2007-05-23,CMCSA,13.68,13.88,13.6,13.66,11675398.0
2007-05-24,CMCSA,13.66,13.75,13.4,13.43,19097398.0
2007-05-25,CMCSA,13.46,13.68,13.44,13.62,12391730.0
2007-05-29,CMCSA,13.63,13.62,13.39,13.54,13797743.0
2007-05-30,CMCSA,13.35,13.75,13.41,13.73,15467913.0
2007-05-31,CMCSA,13.74,13.88,13.62,13.71,18273390.0
2007-06-01,CMCSA,13.71,13.75,13.61,13.68,11567916.0
2007-06-04,CMCSA,13.63,13.64,13.46,13.52,13241933.0
2007-06-05,CMCSA,13.55,13.58,13.29,13.55,16486141.0
2007-06-06,CMCSA,13.48,13.54,13.38,13.39,15088643.0
2007-06-07,CMCSA,13.4,13.39,12.91,13.09,31579218.0
2007-06-08,CMCSA,13.09,13.22,12.95,13.16,22017199.0
2007-06-11,CMCSA,13.15,13.24,13.06,13.19,13458020.0
2007-06-12,CMCSA,13.14,13.31,13.07,13.07,22457240.0
2007-06-13,CMCSA,13.09,13.44,13.04,13.44,21138765.0
2007-06-14,CMCSA,13.64,13.78,13.35,13.76,29889472.0
2007-06-15,CMCSA,13.76,14.16,13.9,13.99,37314550.0
2007-06-18,CMCSA,14.0,14.06,13.95,13.99,16064862.0
2007-06-19,CMCSA,13.96,14.07,13.87,14.05,25213565.0
2007-06-20,CMCSA,14.05,14.42,14.05,14.09,25694556.0
2007-06-21,CMCSA,14.09,14.24,13.88,14.2,18155569.0
2007-06-22,CMCSA,14.15,14.2,13.88,13.88,23911926.0
2007-06-25,CMCSA,13.9,14.05,13.77,13.85,12616885.0
2007-06-26,CMCSA,13.9,14.13,13.79,13.91,16621670.0
2007-06-27,CMCSA,13.76,13.98,13.76,13.96,17343765.0
2007-06-28,CMCSA,13.98,14.13,13.86,14.03,14314218.0
2007-06-29,CMCSA,14.04,14.23,13.95,14.06,14900090.0
2007-07-02,CMCSA,14.09,14.25,14.12,14.22,12001874.0
2007-07-03,CMCSA,14.29,14.31,14.12,14.29,6886583.0
2007-07-05,CMCSA,14.25,14.27,14.13,14.23,14033282.0
2007-07-06,CMCSA,14.23,14.35,14.23,14.29,11467502.0
2007-07-09,CMCSA,14.21,14.26,14.07,14.14,14359800.0
2007-07-10,CMCSA,14.12,14.04,13.79,13.8,22879229.0
2007-07-11,CMCSA,13.79,13.88,13.73,13.88,18096952.0
2007-07-12,CMCSA,13.89,13.96,13.77,13.86,18157384.0
2007-07-13,CMCSA,13.87,14.05,13.8,13.98,20947598.0
2007-07-16,CMCSA,14.0,14.05,13.8,13.82,14611887.0
2007-07-17,CMCSA,13.87,14.11,13.84,14.09,16222138.0
2007-07-18,CMCSA,14.1,14.54,14.02,14.51,29513679.0
2007-07-19,CMCSA,14.57,14.71,14.3,14.48,19215619.0
2007-07-20,CMCSA,14.47,14.52,14.26,14.29,20448510.0
2007-07-23,CMCSA,14.35,14.55,14.35,14.43,19199688.0
2007-07-24,CMCSA,14.38,14.5,14.1,14.15,22337781.0
2007-07-25,CMCSA,14.25,14.39,14.08,14.27,23367366.0
2007-07-26,CMCSA,14.0,13.8,13.2,13.61,54497260.0
2007-07-27,CMCSA,13.65,13.75,13.32,13.33,25286413.0
2007-07-30,CMCSA,13.47,13.62,13.06,13.61,21270538.0
2007-07-31,CMCSA,13.63,13.74,13.13,13.13,25813920.0
2007-08-01,CMCSA,13.03,13.09,12.76,13.04,40079140.0
2007-08-02,CMCSA,13.03,13.14,12.72,12.9,25924318.0
2007-08-03,CMCSA,12.8,13.03,12.78,12.79,24351662.0
2007-08-06,CMCSA,12.57,12.97,12.57,12.96,23097443.0
2007-08-07,CMCSA,12.87,13.17,12.68,12.94,19913139.0
2007-08-08,CMCSA,13.0,13.1,12.55,12.86,38901758.0
2007-08-09,CMCSA,12.63,12.8,12.32,12.53,30838079.0
2007-08-10,CMCSA,12.48,12.82,12.1,12.72,29162877.0
2007-08-13,CMCSA,12.72,12.95,12.68,12.88,18981670.0
2007-08-14,CMCSA,12.93,12.94,12.54,12.75,22982315.0
2007-08-15,CMCSA,12.63,12.94,12.53,12.54,25059015.0
2007-08-16,CMCSA,12.51,12.74,12.13,12.49,30278177.0
2007-08-17,CMCSA,12.94,12.91,12.39,12.63,36047110.0
2007-08-20,CMCSA,12.57,12.7,12.28,12.31,23447547.0
2007-08-21,CMCSA,12.46,12.49,12.18,12.26,23681927.0
2007-08-22,CMCSA,12.25,12.5,12.26,12.5,31370325.0
2007-08-23,CMCSA,12.54,12.74,12.54,12.73,20237955.0
2007-08-24,CMCSA,12.69,12.82,12.6,12.74,11835798.0
2007-08-27,CMCSA,12.88,13.04,12.84,12.92,14297524.0
2007-08-28,CMCSA,12.9,12.92,12.45,12.46,18061362.0
2007-08-29,CMCSA,12.59,12.91,12.45,12.87,19569165.0
2007-08-30,CMCSA,12.84,12.97,12.67,12.77,14978789.0
2007-08-31,CMCSA,12.91,13.13,12.87,13.04,14366366.0
2007-09-04,CMCSA,13.24,13.14,12.91,12.97,16922137.0
2007-09-05,CMCSA,12.93,12.96,12.76,12.88,13056905.0
2007-09-06,CMCSA,12.88,12.97,12.77,12.84,12615942.0
2007-09-07,CMCSA,12.75,12.69,12.43,12.5,20883171.0
2007-09-10,CMCSA,12.51,12.65,12.36,12.55,13657794.0
2007-09-11,CMCSA,12.63,12.77,12.54,12.74,16606417.0
2007-09-12,CMCSA,12.71,12.81,12.6,12.61,21072237.0
2007-09-13,CMCSA,12.28,12.78,12.57,12.62,16370253.0
2007-09-14,CMCSA,12.58,12.62,12.46,12.59,16711106.0
2007-09-17,CMCSA,12.55,12.53,12.29,12.45,18324019.0
2007-09-18,CMCSA,12.52,12.54,12.31,12.5,31574508.0
2007-09-19,CMCSA,12.5,12.62,12.04,12.16,58390511.0
2007-09-20,CMCSA,12.15,12.1,11.81,11.86,41496766.0
2007-09-21,CMCSA,11.86,12.09,11.81,11.94,42354231.0
2007-09-24,CMCSA,12.0,12.08,11.8,11.84,37103437.0
2007-09-25,CMCSA,11.76,12.05,11.54,12.04,37769100.0
2007-09-26,CMCSA,12.13,12.24,12.07,12.16,25650246.0
2007-09-27,CMCSA,12.22,12.29,12.1,12.13,21176708.0
