Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,DHI,26.6,26.95,26.49,26.49,2061100
2007-01-03,DHI,26.29,26.71,25.71,26.04,4627000
2007-01-04,DHI,26.07,26.58,25.73,25.98,2648400
2007-01-05,DHI,26.15,26.25,25.69,25.84,2945700
2007-01-08,DHI,25.84,25.88,25.05,25.39,4056200
2007-01-09,DHI,25.55,25.75,25.34,25.47,2716300
2007-01-10,DHI,25.25,25.62,25.17,25.43,2882100
2007-01-11,DHI,25.45,26.07,25.39,25.97,2538500
2007-01-12,DHI,25.97,26.54,25.93,26.4,3409200
2007-01-16,DHI,26.6,26.74,25.96,26.35,5385700
2007-01-17,DHI,26.54,27.25,26.54,26.97,4949800
2007-01-18,DHI,26.95,27.36,26.83,27.09,3207300
2007-01-19,DHI,27.32,27.7,26.91,27.53,4137800
2007-01-22,DHI,27.53,27.62,26.83,27.13,2686000
2007-01-23,DHI,27.75,29.38,27.75,28.37,11517700
2007-01-24,DHI,28.23,28.85,27.9,28.75,4538400
2007-01-25,DHI,28.76,28.96,28.01,28.25,4829700
2007-01-26,DHI,28.35,28.5,27.58,27.82,4389500
2007-01-29,DHI,27.77,28.19,27.7,27.9,2286600
2007-01-30,DHI,28.1,28.28,27.77,27.82,2886600
2007-01-31,DHI,27.87,29.18,27.77,29.06,6846000
2007-02-01,DHI,29.22,30.31,29.12,29.9,7078000
2007-02-02,DHI,29.93,31.13,29.93,30.86,6089300
2007-02-05,DHI,30.87,30.9,29.93,30.35,3472300
2007-02-06,DHI,30.15,30.25,29.64,29.97,4070800
2007-02-07,DHI,30.18,30.18,29.47,29.64,3099200
2007-02-08,DHI,29.05,29.2,28.61,28.65,5145500
2007-02-09,DHI,28.66,28.8,27.74,28.05,3809600
2007-02-12,DHI,28.05,28.33,27.25,27.33,4715348
2007-02-13,DHI,27.48,28.1,27.45,27.86,3145991
2007-02-14,DHI,27.87,28.53,27.84,28.18,2947734
2007-02-15,DHI,28.23,28.55,28.19,28.29,2397600
2007-02-16,DHI,28.24,28.28,27.52,28.21,2412700
2007-02-20,DHI,28.15,28.7,28.01,28.47,4022300
2007-02-21,DHI,28.15,28.36,27.53,28.08,3078200
2007-02-22,DHI,28.26,28.26,27.12,27.32,3694200
2007-02-23,DHI,27.36,27.46,26.73,27.02,3651000
2007-02-26,DHI,27.02,27.26,26.56,26.83,2965955
2007-02-27,DHI,26.83,26.33,25.37,25.71,7248700
2007-02-28,DHI,25.71,25.84,25.05,25.36,5183100
2007-03-01,DHI,25.04,25.83,24.51,25.67,6259201
2007-03-02,DHI,25.68,25.77,25.25,25.31,5365400
2007-03-05,DHI,24.9,24.91,24.18,24.25,8617400
2007-03-06,DHI,24.25,24.98,24.32,24.56,5389500
2007-03-07,DHI,24.56,24.99,24.43,24.55,6695300
2007-03-08,DHI,24.56,25.07,24.53,24.78,5654800
2007-03-09,DHI,24.78,24.99,24.2,24.42,5618900
2007-03-12,DHI,24.31,24.35,23.02,23.17,9941200
2007-03-13,DHI,23.17,23.05,22.02,22.31,10604700
2007-03-14,DHI,22.31,22.99,22.03,22.8,8785400
2007-03-15,DHI,22.6,23.3,22.55,22.95,5100500
2007-03-16,DHI,23.09,23.38,22.78,22.83,5098495
2007-03-19,DHI,22.95,23.32,22.83,22.87,4512700
2007-03-20,DHI,22.88,23.07,22.55,22.85,4291472
2007-03-21,DHI,22.76,23.88,22.67,23.63,5726700
2007-03-22,DHI,23.64,24.12,23.35,23.52,5013000
2007-03-23,DHI,23.52,24.07,23.23,23.32,3836650
2007-03-26,DHI,23.39,23.43,22.66,22.79,5168300
2007-03-27,DHI,22.92,22.57,22.01,22.48,6862660
2007-03-28,DHI,22.37,22.29,21.81,22.05,8526500
2007-03-29,DHI,22.25,22.39,21.79,22.08,7181450
2007-03-30,DHI,22.0,22.34,21.81,22.0,5493600
2007-04-02,DHI,22.16,22.2,21.58,21.67,5717200
2007-04-03,DHI,21.76,22.2,21.58,21.79,6952300
2007-04-04,DHI,21.79,21.81,21.54,21.62,3484000
2007-04-05,DHI,21.61,22.08,21.45,22.01,4821379
2007-04-09,DHI,22.01,22.09,21.64,22.04,5635600
2007-04-10,DHI,22.0,22.16,21.51,21.7,7081630
2007-04-11,DHI,21.69,21.7,21.0,21.33,4973822
2007-04-12,DHI,21.33,21.96,21.02,21.87,5057528
2007-04-13,DHI,21.87,21.97,21.25,21.47,4860096
