Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,D,41.97,42.0,41.615,41.92,2298800
2007-01-03,D,41.85,42.0,41.45,41.83,2358000
2007-01-04,D,41.73,41.94,41.48,41.72,1733200
2007-01-05,D,41.72,41.72,40.97,41.12,2775200
2007-01-08,D,41.1,41.3,40.9,40.94,1949100
2007-01-09,D,40.94,40.95,40.53,40.87,2169200
2007-01-10,D,40.8,40.85,40.59,40.75,1843600
2007-01-11,D,40.75,40.8,40.28,40.44,2744900
2007-01-12,D,40.38,40.48,39.84,40.0,3108800
2007-01-16,D,40.05,40.27,40.0,40.02,1598200
2007-01-17,D,40.02,40.16,39.88,40.05,1376800
2007-01-18,D,40.13,40.23,40.0,40.16,1718000
2007-01-19,D,40.26,40.41,40.12,40.38,1075700
2007-01-22,D,40.33,40.5,40.05,40.26,1411500
2007-01-23,D,40.26,40.45,40.15,40.42,1960900
2007-01-24,D,41.31,41.44,40.92,41.02,4002800
2007-01-25,D,40.92,41.34,40.85,40.94,1452200
2007-01-26,D,40.55,41.13,40.55,41.03,1078000
2007-01-29,D,41.14,41.14,40.86,40.96,1427000
2007-01-30,D,41.01,41.21,40.91,41.2,1095300
2007-01-31,D,41.01,41.64,40.91,41.48,2156800
2007-02-01,D,41.75,42.3,41.48,42.09,2225600
2007-02-02,D,42.9,43.55,42.46,43.27,5295900
2007-02-05,D,43.22,43.67,43.09,43.26,2389700
2007-02-06,D,43.41,43.67,43.22,43.57,2272600
2007-02-07,D,43.58,43.65,43.39,43.49,1475300
2007-02-08,D,43.56,43.83,43.52,43.74,1583800
2007-02-09,D,43.74,43.95,43.61,43.73,1977900
2007-02-12,D,43.74,43.99,43.67,43.77,1070234
2007-02-13,D,43.95,44.0,42.35,43.41,7431683
2007-02-14,D,43.5,43.78,43.35,43.41,2133503
2007-02-15,D,43.45,43.52,43.21,43.4,1077000
2007-02-16,D,43.28,43.41,43.18,43.28,1510000
2007-02-20,D,43.18,43.19,42.9,43.15,2179900
2007-02-21,D,42.61,42.88,42.5,42.7,2096500
2007-02-22,D,42.58,42.8,42.4,42.67,1239300
2007-02-23,D,42.65,42.97,42.59,42.84,1175100
2007-02-26,D,42.67,44.15,43.21,43.7,3580794
2007-02-27,D,43.5,43.65,42.29,42.59,2838700
2007-02-28,D,42.59,43.05,42.37,42.77,2961900
2007-03-01,D,42.77,43.02,42.37,42.8,1885407
2007-03-02,D,42.73,42.84,42.5,42.5,1651200
2007-03-05,D,42.37,42.5,41.85,41.91,3064700
2007-03-06,D,41.91,42.38,41.99,42.34,1992600
2007-03-07,D,42.1,42.66,42.05,42.42,1691300
2007-03-08,D,42.56,42.6,42.18,42.24,1899800
2007-03-09,D,42.41,42.49,42.05,42.3,1524400
2007-03-12,D,42.3,42.88,42.08,42.87,1264700
2007-03-13,D,42.77,43.08,42.24,42.37,2001800
2007-03-14,D,42.38,42.54,41.83,42.35,2209300
2007-03-15,D,42.35,42.77,42.15,42.71,1920600
2007-03-16,D,42.83,43.06,42.45,42.48,2225300
2007-03-19,D,42.7,43.23,42.65,43.1,1878400
2007-03-20,D,43.11,43.83,42.88,43.83,2054400
2007-03-21,D,43.84,44.48,43.61,44.33,2221300
2007-03-22,D,44.34,44.38,44.01,44.3,1397200
2007-03-23,D,44.31,44.5,44.06,44.45,1332344
2007-03-26,D,44.42,44.71,43.97,44.66,1500400
2007-03-27,D,44.66,44.63,44.33,44.56,1333700
2007-03-28,D,44.44,44.57,44.2,44.28,1916995
2007-03-29,D,44.28,44.58,44.22,44.56,1510300
2007-03-30,D,44.56,44.59,43.77,44.38,1925300
2007-04-02,D,44.38,45.13,44.37,45.0,1776100
2007-04-03,D,45.01,45.1,44.72,44.99,1240500
2007-04-04,D,44.78,45.33,44.75,44.78,1074800
2007-04-05,D,44.79,45.13,44.72,45.07,1199075
2007-04-09,D,45.08,45.41,45.03,45.1,958400
2007-04-10,D,45.0,45.23,44.78,45.21,1071500
2007-04-11,D,44.99,45.3,44.91,44.94,1574734
2007-04-12,D,44.95,45.04,44.41,44.77,1046648
2007-04-13,D,45.2,45.2,44.41,44.57,936300
2007-04-16,D,44.57,44.77,44.33,44.75,1903900
2007-04-17,D,44.58,44.67,44.4,44.63,1455200
2007-04-18,D,44.63,44.58,44.12,44.37,2124949
2007-04-19,D,44.37,44.79,44.1,44.54,2049484
2007-04-20,D,44.97,45.54,44.85,45.43,3695681
2007-04-23,D,45.43,45.97,45.42,45.81,2173490
2007-04-24,D,45.81,45.92,45.6,45.77,1100800
2007-04-25,D,45.95,46.26,45.81,46.21,2030544
2007-04-26,D,46.21,46.34,46.05,46.16,1443784
2007-04-27,D,46.16,46.13,45.7,45.77,1424186
2007-04-30,D,46.81,46.81,45.59,45.6,2415509
2007-05-01,D,45.99,46.23,45.53,46.12,2432457
2007-05-02,D,46.26,46.26,45.63,46.02,3042400
2007-05-03,D,45.61,45.87,45.36,45.57,1824200
2007-05-04,D,45.57,45.7,45.24,45.41,1157210
2007-05-07,D,45.41,45.49,45.1,45.22,1786997
2007-05-08,D,45.13,45.21,44.72,44.85,2137570
2007-05-09,D,44.85,45.19,44.84,45.09,1554334
2007-05-10,D,44.97,45.17,44.57,44.58,1277033
2007-05-11,D,44.8,45.27,44.76,45.27,1386810
2007-05-14,D,45.45,45.58,45.13,45.23,1256213
2007-05-15,D,45.65,45.83,45.05,45.06,1901000
2007-05-16,D,45.06,45.45,45.03,45.37,1157088
2007-05-17,D,45.33,45.33,44.98,45.16,884500
2007-05-18,D,45.16,45.58,45.24,45.53,1614000
2007-05-21,D,46.46,46.46,45.3,45.52,1030650
2007-05-22,D,45.64,45.68,45.09,45.13,1175000
2007-05-23,D,45.11,45.29,44.51,44.59,1289783
2007-05-24,D,44.5,44.65,43.29,43.44,2077372
2007-05-25,D,43.52,43.8,42.8,43.28,2269625
2007-05-29,D,43.53,43.97,43.5,43.87,1700563
2007-05-30,D,43.51,43.84,43.12,43.81,1741473
2007-05-31,D,44.0,44.34,43.77,44.3,2156100
2007-06-01,D,44.3,44.64,43.7,43.82,2774100
2007-06-04,D,44.9,44.43,43.53,43.94,3287921
2007-06-05,D,43.78,43.81,43.02,43.17,2539505
2007-06-06,D,43.04,43.22,41.84,42.18,4531462
2007-06-07,D,42.04,43.17,40.78,40.86,3916472
2007-06-08,D,40.86,41.55,40.69,41.23,2896287
2007-06-11,D,41.25,42.14,41.25,41.76,2343151
2007-06-12,D,41.88,41.63,40.98,41.01,2306000
2007-06-13,D,41.2,42.37,41.2,42.34,2887200
2007-06-14,D,42.34,42.73,42.23,42.4,2766800
2007-06-15,D,42.75,43.17,42.69,42.81,2927830
2007-06-18,D,42.82,42.92,42.15,42.3,1871102
2007-06-19,D,42.25,42.3,41.76,42.0,2108300
2007-06-20,D,42.24,42.24,40.96,41.05,2516300
2007-06-21,D,41.05,41.33,40.76,41.03,2390899
2007-06-22,D,40.95,40.96,40.02,40.27,2452100
2007-06-25,D,40.42,41.23,40.33,40.7,2511600
2007-06-26,D,40.8,41.22,40.58,40.58,2371800
2007-06-27,D,40.58,41.78,40.43,41.77,2397600
2007-06-28,D,43.75,44.24,43.02,43.02,5099497
2007-06-29,D,43.02,43.52,42.78,43.16,3611770
2007-07-02,D,43.16,43.88,43.15,43.42,2911639
2007-07-03,D,43.42,43.53,43.05,43.34,1220100
2007-07-05,D,43.28,43.4,42.95,43.31,2827800
2007-07-06,D,43.23,43.27,42.98,43.09,2024400
2007-07-09,D,43.13,43.45,43.05,43.28,1441600
2007-07-10,D,43.25,43.79,43.15,43.23,3023400
2007-07-11,D,43.23,43.73,43.08,43.66,1807300
2007-07-12,D,43.66,44.26,43.53,44.24,1978600
2007-07-13,D,43.94,44.51,43.94,44.3,2302928
2007-07-16,D,44.06,44.51,44.01,44.19,3978294
2007-07-17,D,44.19,44.34,43.89,44.05,2533725
2007-07-18,D,43.98,44.09,43.65,43.87,4219900
2007-07-19,D,43.87,44.28,43.82,44.12,2735734
2007-07-20,D,44.08,44.22,43.55,43.59,2805500
2007-07-23,D,43.99,44.01,43.42,43.54,1723200
2007-07-24,D,43.27,43.6,42.45,42.49,2489100
2007-07-25,D,42.7,42.94,42.16,42.86,3183400
2007-07-26,D,42.6,42.8,41.27,41.84,3952300
2007-07-27,D,41.84,42.2,41.09,41.09,3320900
