Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,EL,20.585,20.7,20.41,20.41,905600
2007-01-03,EL,20.5,20.68,20.32,20.55,978400
2007-01-04,EL,20.55,20.68,20.3,20.55,687500
2007-01-05,EL,20.46,20.6,20.25,20.29,862600
2007-01-08,EL,20.23,20.25,19.76,20.09,1627800
2007-01-09,EL,20.23,20.34,20.02,20.21,1012300
2007-01-10,EL,20.1,20.3,20.05,20.26,333700
2007-01-11,EL,20.36,20.45,20.3,20.4,457600
2007-01-12,EL,20.45,20.73,20.41,20.47,835600
2007-01-16,EL,20.57,20.7,20.48,20.66,604300
2007-01-17,EL,20.57,20.59,20.27,20.4,884700
2007-01-18,EL,20.46,20.57,20.2,20.27,1013400
2007-01-19,EL,20.32,20.5,20.27,20.47,660400
2007-01-22,EL,20.35,20.5,20.15,20.26,497800
2007-01-23,EL,20.26,20.32,20.11,20.16,659400
2007-01-24,EL,20.46,20.71,20.44,20.61,1054700
2007-01-25,EL,20.54,20.7,20.34,20.39,691700
2007-01-26,EL,20.37,20.48,20.22,20.27,914700
2007-01-29,EL,20.21,20.57,20.21,20.38,574100
2007-01-30,EL,20.36,20.73,20.31,20.66,1579600
2007-01-31,EL,22.85,24.07,22.59,23.75,7785800
2007-02-01,EL,23.5,23.82,23.31,23.73,3080500
2007-02-02,EL,23.62,23.68,22.84,23.07,2582400
2007-02-05,EL,22.97,23.43,22.94,23.31,2085600
2007-02-06,EL,23.5,23.63,23.21,23.25,1579200
2007-02-07,EL,23.3,23.34,22.93,22.93,1566800
2007-02-08,EL,22.96,23.22,22.87,23.13,1042200
2007-02-09,EL,23.11,23.73,23.11,23.32,2261500
2007-02-12,EL,23.37,23.5,23.14,23.21,1181603
2007-02-13,EL,23.34,23.39,23.2,23.32,731124
2007-02-14,EL,23.52,23.74,23.43,23.57,1235027
2007-02-15,EL,23.48,23.86,23.38,23.76,1406000
2007-02-16,EL,23.77,24.36,23.66,23.88,1264000
2007-02-20,EL,23.83,24.14,23.57,24.11,873900
2007-02-21,EL,24.05,24.09,23.52,23.52,1214900
2007-02-22,EL,23.52,23.7,23.14,23.35,1344000
2007-02-23,EL,23.45,23.79,23.41,23.68,864600
2007-02-26,EL,23.86,23.88,23.57,23.66,1022220
2007-02-27,EL,23.66,24.0,22.8,22.88,2522300
2007-02-28,EL,23.38,24.05,22.96,23.93,2297500
2007-03-01,EL,23.5,23.65,23.2,23.45,2491989
2007-03-02,EL,23.29,23.51,22.96,22.96,1327300
2007-03-05,EL,22.8,23.48,22.7,23.02,1516300
2007-03-06,EL,23.02,23.7,23.03,23.59,2447500
2007-03-07,EL,23.52,23.86,23.38,23.5,17372600
2007-03-08,EL,23.71,24.06,23.48,24.04,2032900
2007-03-09,EL,24.16,24.28,23.68,23.81,1680300
2007-03-12,EL,23.77,24.71,23.77,24.66,2433300
2007-03-13,EL,24.57,24.57,24.13,24.21,1361400
2007-03-14,EL,24.34,24.36,23.82,24.13,1598600
2007-03-15,EL,24.15,24.2,23.79,23.95,1851700
2007-03-16,EL,23.93,24.05,23.77,23.92,3206400
2007-03-19,EL,24.05,24.14,23.83,24.0,990900
2007-03-20,EL,23.96,24.44,23.95,24.41,994900
2007-03-21,EL,24.39,24.74,24.29,24.63,1373035
2007-03-22,EL,25.06,25.06,24.53,24.73,914300
