Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2019-03-19,FOXA,41.55,41.7,39.84,40.34,10118472
2019-03-20,FOXA,40.49,40.81,38.24,38.62,15683238
2019-03-21,FOXA,39.0,40.07,38.75,40.02,12751732
2019-03-22,FOXA,39.93,39.99,37.69,38.72,10897994
2019-03-25,FOXA,38.89,38.96,37.39,37.44,9338926
2019-03-26,FOXA,37.65,38.28,37.51,37.54,6287100
2019-03-27,FOXA,37.52,37.91,36.76,36.92,5578118
2019-03-28,FOXA,36.85,37.15,36.34,36.4,5326238
2019-03-29,FOXA,36.55,36.91,36.15,36.71,5895347
2019-04-01,FOXA,36.91,37.15,36.71,36.85,5311201
2019-04-02,FOXA,36.96,37.18,35.9,36.28,6704831
2019-04-03,FOXA,36.37,36.56,35.9,36.08,8393708
2019-04-04,FOXA,36.2,36.8,36.01,36.76,4908406
2019-04-05,FOXA,36.79,37.85,36.69,37.68,7344894
2019-04-08,FOXA,37.6,37.68,37.27,37.47,3393260
2019-04-09,FOXA,37.42,37.65,37.17,37.31,5725894
2019-04-10,FOXA,37.33,37.53,36.36,36.48,4828362
2019-04-11,FOXA,36.57,37.16,35.99,37.09,4791432
2019-04-12,FOXA,37.15,37.62,36.47,37.53,6368477
2019-04-15,FOXA,37.46,37.57,36.99,37.53,3927062
2019-04-16,FOXA,37.67,37.85,37.47,37.75,5721982
2019-04-17,FOXA,37.87,38.85,37.76,38.84,7603795
2019-04-18,FOXA,38.91,39.0,38.43,38.44,4737418
2019-04-22,FOXA,38.36,38.44,37.62,37.7,7675316
2019-04-23,FOXA,37.79,38.39,37.63,38.08,6328827
2019-04-24,FOXA,37.95,38.31,37.8,37.96,5323550
2019-04-25,FOXA,37.98,38.2,37.54,38.15,5309675
2019-04-26,FOXA,38.08,38.53,37.9,38.48,5297417
2019-04-29,FOXA,38.54,39.52,38.31,39.2,6885177
2019-04-30,FOXA,39.19,39.33,38.47,38.99,5044352
2019-05-01,FOXA,39.12,39.49,38.66,39.4,5149829
2019-05-02,FOXA,39.23,39.47,37.08,37.28,11495855
2019-05-03,FOXA,37.41,37.75,37.12,37.47,4809763
2019-05-06,FOXA,37.17,37.99,36.96,37.92,4801609
2019-05-07,FOXA,37.58,37.81,37.12,37.26,6053297
2019-05-08,FOXA,37.34,37.7,36.85,37.42,8635285
2019-05-09,FOXA,38.5,39.25,37.51,38.5,15210152
2019-05-10,FOXA,38.64,38.75,37.44,38.53,6742528
2019-05-13,FOXA,37.77,38.68,37.73,37.97,5604035
2019-05-14,FOXA,38.05,38.52,37.87,37.89,6198619
2019-05-15,FOXA,37.7,37.97,37.57,37.71,2975433
2019-05-16,FOXA,37.91,38.08,36.7,36.74,8705008
2019-05-17,FOXA,36.56,37.59,36.55,37.32,5507954
2019-05-20,FOXA,37.18,37.64,37.0,37.14,3670004
2019-05-21,FOXA,37.26,38.0,37.1,37.69,4668608
2019-05-22,FOXA,37.66,37.76,37.05,37.12,3431178
2019-05-23,FOXA,36.82,37.08,36.63,36.91,4431862
2019-05-24,FOXA,37.05,37.2,36.85,36.92,2878988
2019-05-28,FOXA,36.97,37.34,36.51,36.64,4380381
2019-05-29,FOXA,36.5,36.65,35.79,35.79,3691294
2019-05-30,FOXA,35.88,36.16,35.15,35.22,4730387
2019-05-31,FOXA,34.97,35.27,34.7,35.23,6706125
2019-06-03,FOXA,35.05,35.3,33.78,34.24,7665044
2019-06-04,FOXA,34.52,35.25,34.15,34.48,8058934
2019-06-05,FOXA,34.62,34.98,34.28,34.36,6240649
2019-06-06,FOXA,34.66,34.66,33.98,34.12,5288296
2019-06-07,FOXA,34.18,34.44,34.0,34.01,4226794
2019-06-10,FOXA,34.05,34.4,33.9,34.03,5620499
2019-06-11,FOXA,34.23,34.41,34.01,34.18,3166916
2019-06-12,FOXA,34.2,35.1,34.16,35.05,4426934
2019-06-13,FOXA,35.17,35.5,34.96,35.29,4384777
2019-06-14,FOXA,35.24,35.5,34.93,35.24,4362353
2019-06-17,FOXA,35.42,36.33,35.34,36.13,7195391
2019-06-18,FOXA,36.45,37.05,36.08,36.19,4938850
2019-06-19,FOXA,36.26,36.42,35.68,35.99,4790143
2019-06-20,FOXA,36.38,36.48,35.56,35.58,5916524
2019-06-21,FOXA,35.61,37.3,35.31,36.18,11402191
2019-06-24,FOXA,36.01,36.07,35.6,35.8,5280111
2019-06-25,FOXA,35.78,35.86,35.14,35.34,7204375
2019-06-26,FOXA,35.79,36.1,35.33,35.47,4297292
2019-06-27,FOXA,35.53,36.33,35.2,35.99,5083896
2019-06-28,FOXA,35.98,36.76,35.81,36.64,10930138
2019-07-01,FOXA,36.46,36.99,35.74,35.92,6407228
2019-07-02,FOXA,36.01,36.62,35.92,36.59,3599546
2019-07-03,FOXA,36.6,36.82,36.27,36.35,3160332
2019-07-05,FOXA,36.24,36.8,36.08,36.6,1981977
2019-07-08,FOXA,36.53,36.67,36.08,36.13,1644620
2019-07-09,FOXA,36.03,36.27,35.82,36.02,2379561
2019-07-10,FOXA,36.19,36.43,36.08,36.14,2400697
2019-07-11,FOXA,36.17,36.35,35.85,36.29,2986996
2019-07-12,FOXA,36.46,37.04,36.1,36.96,2755739
2019-07-15,FOXA,37.03,37.16,36.64,37.01,2861593
2019-07-16,FOXA,36.93,37.11,36.63,36.69,2721520
2019-07-17,FOXA,36.73,36.76,36.11,36.17,5740483
2019-07-18,FOXA,36.17,36.72,35.96,36.55,5313845
2019-07-19,FOXA,36.7,36.74,36.14,36.43,4402023
2019-07-22,FOXA,36.51,36.61,36.06,36.1,7865704
2019-07-23,FOXA,36.19,36.39,35.84,36.22,5573558
2019-07-24,FOXA,36.13,36.86,36.13,36.6,5980591
2019-07-25,FOXA,36.63,37.34,36.63,37.17,3251722
2019-07-26,FOXA,37.29,37.8,37.08,37.21,2669100
2019-07-29,FOXA,37.16,37.57,37.07,37.51,2130637
2019-07-30,FOXA,37.35,37.98,37.32,37.82,2971835
2019-07-31,FOXA,37.67,37.69,36.81,37.32,5280629
2019-08-01,FOXA,37.25,37.49,36.73,36.89,3280662
2019-08-02,FOXA,36.73,36.96,36.33,36.63,2419011
2019-08-05,FOXA,36.47,36.56,35.77,36.05,4517227
2019-08-06,FOXA,36.16,36.6,35.93,36.45,3366690
2019-08-07,FOXA,35.89,37.15,35.8,37.04,4657381
2019-08-08,FOXA,37.22,37.25,35.0,35.13,9539872
2019-08-09,FOXA,35.11,35.65,34.98,35.4,4234434
2019-08-12,FOXA,34.84,35.59,34.8,34.95,4172864
2019-08-13,FOXA,34.84,35.59,34.8,35.06,2940835
2019-08-14,FOXA,34.7,34.75,33.38,33.69,7489849
2019-08-15,FOXA,33.88,34.09,32.73,32.75,7043951
2019-08-16,FOXA,33.0,33.3,32.67,32.99,3256831
2019-08-19,FOXA,33.32,34.02,33.29,33.87,3915125
2019-08-20,FOXA,33.83,34.05,33.52,33.59,2810834
