Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,GPN,23.475,23.495,23.125,23.15,774000
2007-01-03,GPN,23.2,24.07,23.07,23.89,1052200
2007-01-04,GPN,23.2,24.57,23.2,24.52,1305400
2007-01-05,GPN,22.1,22.25,19.88,20.55,9122300
2007-01-08,GPN,21.05,21.05,20.27,20.5,2292800
2007-01-09,GPN,20.32,20.45,19.5,20.05,6178300
2007-01-10,GPN,20.05,20.18,19.82,20.05,1615400
2007-01-11,GPN,20.29,20.29,19.11,19.39,3017600
2007-01-12,GPN,19.39,19.55,19.19,19.32,2735200
2007-01-16,GPN,19.36,19.63,19.21,19.27,1641100
2007-01-17,GPN,19.27,19.46,19.2,19.26,1409700
2007-01-18,GPN,19.27,19.58,19.2,19.24,905200
2007-01-19,GPN,19.45,19.5,19.01,19.2,773700
2007-01-22,GPN,19.2,19.3,18.94,19.04,892400
2007-01-23,GPN,19.1,19.32,18.9,19.2,1011400
2007-01-24,GPN,19.2,19.25,18.8,18.93,1131700
2007-01-25,GPN,19.0,19.03,18.71,18.91,1221100
2007-01-26,GPN,18.97,19.02,18.69,18.82,1026300
2007-01-29,GPN,18.84,18.98,18.75,18.86,947500
2007-01-30,GPN,18.88,18.89,18.74,18.85,1063600
2007-01-31,GPN,18.85,19.07,18.71,18.88,1761200
2007-02-01,GPN,18.89,19.54,18.89,19.52,1894100
2007-02-02,GPN,19.48,19.59,19.38,19.45,1149400
2007-02-05,GPN,19.43,19.54,19.16,19.52,1093300
2007-02-06,GPN,19.54,19.54,19.3,19.36,816100
2007-02-07,GPN,19.45,19.72,19.32,19.54,1042100
2007-02-08,GPN,19.75,20.02,19.6,19.66,1630500
2007-02-09,GPN,19.68,19.82,19.51,19.68,734700
2007-02-12,GPN,19.72,19.83,19.64,19.79,660830
2007-02-13,GPN,19.79,19.93,19.39,19.55,1021551
2007-02-14,GPN,19.58,19.75,19.25,19.4,1454419
2007-02-15,GPN,19.45,19.78,19.41,19.76,1170200
2007-02-16,GPN,19.74,19.9,19.61,19.82,845900
2007-02-20,GPN,19.86,20.17,19.69,20.0,1254900
2007-02-21,GPN,19.93,20.1,19.88,19.93,833000
2007-02-22,GPN,20.0,20.09,19.59,19.81,646100
2007-02-23,GPN,19.74,19.84,19.5,19.55,1029000
2007-02-26,GPN,19.68,19.8,19.41,19.5,717100
2007-02-27,GPN,19.23,19.34,18.7,18.8,1084800
2007-02-28,GPN,18.83,19.29,18.82,19.23,956800
