Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,HAL,31.0,31.25,30.93,31.05,8338200
2007-01-03,HAL,30.9,30.9,29.52,29.87,24096500
2007-01-04,HAL,29.87,29.91,29.16,29.23,26764500
2007-01-05,HAL,29.07,29.4,28.6,29.0,24986800
2007-01-08,HAL,29.37,29.45,28.76,28.96,14498200
2007-01-09,HAL,28.65,28.89,28.26,28.71,21721100
2007-01-10,HAL,28.55,28.66,27.65,28.36,22158900
2007-01-11,HAL,28.3,28.89,28.12,28.27,29727300
2007-01-12,HAL,28.49,29.2,28.36,29.12,18747000
2007-01-16,HAL,29.01,29.14,28.49,28.8,17308200
2007-01-17,HAL,28.8,29.24,28.7,29.06,19323000
2007-01-18,HAL,28.9,29.34,28.4,28.63,16814200
2007-01-19,HAL,29.03,29.45,28.69,29.37,23210400
2007-01-22,HAL,29.64,29.82,29.21,29.32,18328800
2007-01-23,HAL,29.57,30.03,29.55,29.73,28704100
2007-01-24,HAL,29.68,30.4,29.53,30.15,18006400
2007-01-25,HAL,30.1,30.23,29.52,29.74,18232100
2007-01-26,HAL,29.5,29.99,29.05,29.15,37832400
2007-01-29,HAL,29.15,29.26,28.71,28.76,17002200
2007-01-30,HAL,28.93,29.4,28.9,29.32,19602300
2007-01-31,HAL,29.12,29.61,29.04,29.54,16391800
2007-02-01,HAL,29.71,29.83,29.38,29.62,14681400
2007-02-02,HAL,29.72,29.93,29.45,29.75,14288900
2007-02-05,HAL,30.05,30.07,29.82,29.82,12187500
2007-02-06,HAL,30.13,30.13,29.66,29.89,11207500
2007-02-07,HAL,30.0,30.03,29.53,29.64,15436100
2007-02-08,HAL,29.69,29.81,29.35,29.72,14130900
2007-02-09,HAL,29.79,30.25,29.59,29.91,13999400
2007-02-12,HAL,29.77,29.77,29.46,29.73,12729950
2007-02-13,HAL,29.82,30.9,29.78,30.65,23708188
2007-02-14,HAL,30.61,30.9,30.27,30.7,14867706
2007-02-15,HAL,30.49,30.49,29.98,30.38,15577900
2007-02-16,HAL,30.27,30.49,30.0,30.05,14589300
2007-02-20,HAL,29.85,30.07,29.7,30.04,9240000
2007-02-21,HAL,30.04,30.4,29.7,30.27,13488700
2007-02-22,HAL,30.36,31.59,30.1,31.51,21031000
2007-02-23,HAL,31.65,32.05,31.52,31.55,16112800
2007-02-26,HAL,31.77,32.3,31.77,31.9,15935027
2007-02-27,HAL,32.17,32.0,30.61,30.73,24623900
2007-02-28,HAL,30.97,31.37,30.85,30.92,23642300
2007-03-01,HAL,30.89,31.77,30.18,31.34,19825720
2007-03-02,HAL,31.34,31.65,30.81,30.98,18974300
2007-03-05,HAL,30.48,31.1,30.24,30.28,15681700
2007-03-06,HAL,30.64,31.19,30.57,30.97,16040300
2007-03-07,HAL,30.98,31.9,30.86,31.45,28396500
2007-03-08,HAL,31.45,31.95,31.29,31.73,26882000
2007-03-09,HAL,32.09,32.3,31.6,32.02,25185560
2007-03-12,HAL,32.02,32.3,31.83,32.19,13734200
2007-03-13,HAL,32.19,32.72,31.77,31.8,22850500
2007-03-14,HAL,31.83,32.14,31.26,31.83,23224045
2007-03-15,HAL,32.0,32.3,31.73,32.14,13461300
2007-03-16,HAL,32.14,32.37,31.8,32.06,19246686
2007-03-19,HAL,32.06,32.68,32.26,32.4,17106116
2007-03-20,HAL,32.3,32.56,29.58,30.5,99393371
2007-03-21,HAL,30.6,30.86,30.22,30.69,38952996
2007-03-22,HAL,30.86,30.9,30.25,30.75,27729298
2007-03-23,HAL,30.75,31.25,30.73,31.08,31638973
2007-03-26,HAL,31.25,31.4,30.79,31.37,33136696
2007-03-27,HAL,31.37,31.37,30.9,31.04,57905440
2007-03-28,HAL,31.04,31.36,30.85,31.31,36192987
2007-03-29,HAL,31.31,32.36,31.14,32.04,39963180
2007-03-30,HAL,32.06,32.2,31.5,31.74,19336390
2007-04-02,HAL,31.8,32.39,31.66,32.27,32974720
2007-04-03,HAL,33.01,32.95,32.27,32.76,46994712
2007-04-04,HAL,32.74,32.93,32.4,32.84,20005608
2007-04-05,HAL,32.85,33.18,32.2,32.94,16593100
2007-04-09,HAL,32.95,33.05,32.43,32.6,17990577
2007-04-10,HAL,32.65,32.92,32.48,32.86,17475483
2007-04-11,HAL,32.9,33.4,32.32,32.45,27268880
2007-04-12,HAL,32.62,32.79,32.05,32.72,21359467
2007-04-13,HAL,32.73,32.84,32.5,32.67,12818198
2007-04-16,HAL,32.67,32.99,32.49,32.91,24165858
2007-04-17,HAL,32.91,33.07,32.27,32.58,23266854
2007-04-18,HAL,32.4,32.64,32.0,32.36,16355352
2007-04-19,HAL,32.11,32.25,31.84,32.02,14740609
2007-04-20,HAL,32.5,32.5,31.37,31.65,24321903
2007-04-23,HAL,31.79,31.85,31.48,31.51,17726056
2007-04-24,HAL,31.5,31.62,30.99,31.09,21463498
2007-04-25,HAL,31.45,31.94,30.99,31.54,29464920
2007-04-26,HAL,32.37,32.22,31.44,31.63,27471902
2007-04-27,HAL,31.8,32.14,31.42,31.75,25420056
2007-04-30,HAL,31.98,32.4,31.69,31.77,29050252
2007-05-01,HAL,31.99,31.83,31.0,31.39,25349368
2007-05-02,HAL,31.4,32.02,31.39,31.93,21863984
2007-05-03,HAL,32.0,32.45,31.83,32.27,17872038
2007-05-04,HAL,32.27,32.7,32.11,32.28,21488117
2007-05-07,HAL,32.12,32.3,31.99,32.26,13193213
2007-05-08,HAL,32.22,32.52,31.75,32.37,13762084
2007-05-09,HAL,32.33,33.28,32.22,33.15,26265070
2007-05-10,HAL,33.19,33.43,32.75,32.81,19913194
2007-05-11,HAL,32.81,33.69,32.78,33.56,18384442
2007-05-14,HAL,33.56,34.21,33.45,34.07,20323310
2007-05-15,HAL,33.69,34.52,33.75,34.02,14888924
2007-05-16,HAL,34.41,35.73,34.02,35.59,44054439
2007-05-17,HAL,35.45,36.53,35.39,36.35,26328210
2007-05-18,HAL,36.4,36.75,35.88,36.46,24187568
2007-05-21,HAL,36.6,37.18,36.15,36.71,21517784
2007-05-22,HAL,37.0,37.2,36.22,36.3,19793359
2007-05-23,HAL,36.5,37.14,36.3,36.69,17141620
2007-05-24,HAL,36.68,37.04,35.61,35.9,21477435
2007-05-25,HAL,36.1,36.27,35.89,36.12,12687500
2007-05-29,HAL,36.13,36.2,35.51,35.79,14418502
2007-05-30,HAL,35.72,36.22,35.0,36.1,20696641
2007-05-31,HAL,36.1,36.39,35.77,35.95,13286753
2007-06-01,HAL,35.98,36.33,35.8,35.83,11196127
2007-06-04,HAL,35.84,36.54,35.49,36.44,18096683
2007-06-05,HAL,36.53,36.65,36.01,36.33,12728283
2007-06-06,HAL,36.11,36.33,35.55,35.79,13926168
2007-06-07,HAL,35.77,35.99,34.94,35.03,18041781
2007-06-08,HAL,34.72,35.39,34.55,35.24,13823539
2007-06-11,HAL,35.42,35.58,34.9,35.26,9175755
2007-06-12,HAL,35.02,35.21,34.58,34.68,13897066
2007-06-13,HAL,34.75,35.75,34.72,35.5,19890060
2007-06-14,HAL,35.65,36.61,35.75,36.26,14342649
2007-06-15,HAL,36.4,36.67,36.26,36.37,15027955
2007-06-18,HAL,35.95,36.37,35.5,35.92,17502003
2007-06-19,HAL,35.88,36.74,35.73,36.2,15508335
2007-06-20,HAL,36.33,36.39,35.11,35.19,20174159
2007-06-21,HAL,35.45,35.97,35.13,35.9,17286478
2007-06-22,HAL,35.95,36.02,35.06,35.72,23021244
2007-06-25,HAL,35.55,35.47,34.76,35.06,20328944
2007-06-26,HAL,35.1,35.09,34.23,34.43,17055329
2007-06-27,HAL,34.35,34.97,33.77,34.81,20081686
2007-06-28,HAL,34.76,35.33,34.35,34.52,12674068
2007-06-29,HAL,34.94,35.05,34.27,34.5,12990252
2007-07-02,HAL,34.78,35.06,34.4,34.95,9291281
2007-07-03,HAL,34.9,35.1,34.76,34.86,5497111
2007-07-05,HAL,35.0,35.0,33.8,34.5,22365048
2007-07-06,HAL,34.58,35.03,34.53,34.86,11204179
2007-07-09,HAL,35.0,35.22,34.86,35.09,10299542
2007-07-10,HAL,35.06,35.34,34.7,34.97,12705432
2007-07-11,HAL,34.59,34.67,34.16,34.42,16341700
2007-07-12,HAL,34.55,35.05,34.42,34.99,18933131
2007-07-13,HAL,34.98,35.68,34.8,35.51,20736552
2007-07-16,HAL,35.53,35.67,34.92,35.43,13869413
