Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,HRL,9.435,9.45,9.335,9.335,828000
2007-01-03,HRL,9.38,9.63,9.38,9.54,334100
2007-01-04,HRL,9.54,9.54,9.42,9.46,177400
2007-01-05,HRL,9.3,9.43,9.26,9.39,197600
2007-01-08,HRL,9.38,9.41,9.31,9.35,180500
2007-01-09,HRL,9.36,9.38,9.27,9.28,271400
2007-01-10,HRL,9.24,9.34,9.23,9.32,259400
2007-01-11,HRL,9.36,9.47,9.36,9.45,150400
2007-01-12,HRL,9.47,9.51,9.39,9.41,190300
2007-01-16,HRL,9.45,9.49,9.31,9.34,208500
2007-01-17,HRL,9.32,9.39,9.3,9.35,184500
2007-01-18,HRL,9.37,9.43,9.31,9.31,151800
2007-01-19,HRL,9.29,9.43,9.29,9.42,154800
2007-01-22,HRL,9.4,9.43,9.37,9.4,175700
2007-01-23,HRL,9.4,9.47,9.35,9.4,152900
2007-01-24,HRL,9.41,9.49,9.4,9.46,98500
2007-01-25,HRL,9.46,9.48,9.42,9.46,246400
2007-01-26,HRL,9.46,9.46,9.29,9.34,219400
2007-01-29,HRL,9.34,9.41,9.32,9.34,255800
2007-01-30,HRL,9.34,9.41,9.31,9.4,111300
2007-01-31,HRL,9.38,9.49,9.34,9.47,260300
2007-02-01,HRL,9.47,9.48,9.37,9.48,214300
2007-02-02,HRL,9.48,9.48,9.41,9.46,154000
2007-02-05,HRL,9.45,9.45,9.35,9.4,206100
2007-02-06,HRL,9.44,9.49,9.39,9.49,207600
2007-02-07,HRL,9.49,9.52,9.42,9.52,196200
2007-02-08,HRL,9.51,9.51,9.45,9.49,111800
2007-02-09,HRL,9.49,9.53,9.43,9.5,206300
2007-02-12,HRL,9.5,9.51,9.45,9.5,238989
2007-02-13,HRL,9.53,9.63,9.5,9.63,174287
2007-02-14,HRL,9.63,9.74,9.63,9.74,285622
2007-02-15,HRL,9.74,9.79,9.64,9.78,398800
2007-02-16,HRL,9.63,9.69,9.49,9.52,468400
2007-02-20,HRL,9.51,9.53,9.35,9.47,442400
2007-02-21,HRL,9.43,9.53,9.42,9.51,219500
2007-02-22,HRL,9.49,9.51,9.32,9.35,260700
2007-02-23,HRL,9.35,9.35,9.27,9.33,198500
2007-02-26,HRL,9.33,9.39,9.28,9.39,273500
2007-02-27,HRL,9.28,9.31,9.1,9.16,290900
2007-02-28,HRL,9.16,9.21,9.12,9.12,386300
2007-03-01,HRL,9.08,9.22,9.06,9.2,264736
2007-03-02,HRL,9.19,9.19,9.08,9.11,263200
2007-03-05,HRL,9.09,9.13,9.05,9.07,238100
2007-03-06,HRL,9.07,9.19,9.08,9.16,233300
2007-03-07,HRL,9.16,9.16,9.09,9.1,189000
2007-03-08,HRL,9.14,9.19,9.13,9.18,153300
2007-03-09,HRL,9.2,9.22,9.12,9.14,186500
2007-03-12,HRL,9.16,9.24,9.14,9.24,159800
2007-03-13,HRL,9.2,9.2,9.08,9.1,215000
2007-03-14,HRL,9.09,9.16,9.01,9.12,228200
2007-03-15,HRL,9.21,9.27,9.18,9.2,202300
2007-03-16,HRL,9.21,9.25,9.15,9.17,196900
2007-03-19,HRL,9.2,9.2,9.13,9.17,157300
2007-03-20,HRL,9.15,9.23,9.12,9.22,137600
2007-03-21,HRL,9.42,9.42,9.18,9.31,119900
2007-03-22,HRL,9.53,9.53,9.29,9.32,302800
2007-03-23,HRL,9.33,9.39,9.33,9.36,129400
2007-03-26,HRL,9.37,9.37,9.28,9.33,114400
2007-03-27,HRL,9.27,9.32,9.23,9.27,217500
2007-03-28,HRL,9.26,9.33,9.23,9.28,228200
2007-03-29,HRL,9.34,9.35,9.26,9.28,327700
2007-03-30,HRL,9.3,9.36,9.26,9.3,250800
2007-04-02,HRL,9.32,9.39,9.31,9.39,458500
2007-04-03,HRL,9.39,9.49,9.4,9.46,277300
2007-04-04,HRL,9.46,9.49,9.36,9.39,354600
2007-04-05,HRL,9.38,9.41,9.35,9.38,153100
2007-04-09,HRL,9.38,9.4,9.27,9.27,296500
2007-04-10,HRL,9.28,9.36,9.28,9.31,311700
2007-04-11,HRL,9.32,9.35,9.28,9.33,299700
2007-04-12,HRL,9.32,9.41,9.3,9.4,176700
2007-04-13,HRL,9.41,9.43,9.37,9.41,188800
2007-04-16,HRL,9.41,9.42,9.39,9.42,201800
2007-04-17,HRL,9.41,9.44,9.37,9.41,313300
2007-04-18,HRL,9.38,9.38,9.33,9.34,142300
2007-04-19,HRL,9.29,9.4,9.27,9.37,251500
2007-04-20,HRL,9.43,9.49,9.39,9.47,183300
2007-04-23,HRL,9.45,9.53,9.45,9.51,163300
2007-04-24,HRL,9.56,9.57,9.5,9.54,191500
2007-04-25,HRL,9.58,9.59,9.51,9.57,198700
2007-04-26,HRL,9.57,9.59,9.52,9.56,112300
2007-04-27,HRL,9.55,9.56,9.51,9.54,88600
2007-04-30,HRL,9.57,9.62,9.52,9.52,154500
2007-05-01,HRL,9.54,9.58,9.48,9.57,160700
2007-05-02,HRL,9.56,9.68,9.53,9.61,239000
2007-05-03,HRL,9.64,9.65,9.55,9.58,132800
2007-05-04,HRL,9.6,9.6,9.54,9.56,109200
2007-05-07,HRL,9.57,9.63,9.57,9.63,81700
2007-05-08,HRL,9.6,9.63,9.57,9.63,166700
2007-05-09,HRL,9.59,9.64,9.57,9.59,124600
2007-05-10,HRL,9.59,9.59,9.43,9.44,139300
2007-05-11,HRL,9.48,9.54,9.46,9.51,127700
2007-05-14,HRL,9.46,9.54,9.46,9.46,234400
2007-05-15,HRL,9.46,9.53,9.39,9.39,307100
2007-05-16,HRL,9.4,9.68,9.4,9.68,317400
2007-05-17,HRL,9.68,9.7,9.6,9.68,317600
2007-05-18,HRL,9.71,9.81,9.68,9.8,208604
2007-05-21,HRL,9.78,9.88,9.77,9.87,344400
2007-05-22,HRL,9.86,9.9,9.82,9.84,290800
2007-05-23,HRL,9.9,9.97,9.78,9.83,282100
2007-05-24,HRL,9.59,9.68,9.35,9.38,1173900
2007-05-25,HRL,9.38,9.38,9.08,9.21,798800
