Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2014-08-11,HUBB,120.4,120.4,118.11,118.22,185339
2014-08-13,HUBB,119.04,120.13,118.64,119.27,114600
2014-08-15,HUBB,120.55,121.1,118.75,120.1,198271
2014-08-19,HUBB,121.82,122.28,120.78,122.25,153420
2014-08-21,HUBB,122.39,123.06,121.55,121.67,121843
2014-08-25,HUBB,122.0,122.43,121.39,122.17,67041
2014-08-29,HUBB,120.76,121.55,120.08,120.9,98748
2014-09-08,HUBB,119.52,120.12,118.98,119.86,152532
2014-09-09,HUBB,119.62,120.55,118.46,119.0,116428
2014-09-10,HUBB,119.32,120.11,118.6,119.69,131653
2014-09-15,HUBB,119.0,119.78,117.56,118.97,79776
2014-09-16,HUBB,120.04,124.86,119.36,124.18,643727
2014-09-23,HUBB,123.73,124.36,122.67,123.55,230912
2014-09-24,HUBB,123.18,123.96,122.27,123.45,222570
2014-09-26,HUBB,121.34,122.59,121.04,122.04,147817
2014-10-03,HUBB,122.03,123.39,122.03,122.59,252849
2014-10-06,HUBB,122.91,123.27,120.84,121.26,163993
2014-10-10,HUBB,109.83,109.83,106.0,106.9,592821
2014-10-16,HUBB,100.02,104.6,99.71,103.82,542158
2014-10-29,HUBB,108.32,110.06,107.83,109.04,382476
2015-12-24,HUBB,100.1,102.44,99.6,101.42,457187
2015-12-28,HUBB,101.0,101.62,99.78,101.61,282558
2015-12-29,HUBB,102.15,104.06,101.69,103.0,277944
2015-12-30,HUBB,102.37,104.47,102.37,103.3,245745
2015-12-31,HUBB,102.45,103.51,101.04,101.04,201713
2016-01-04,HUBB,100.08,102.89,99.2,101.98,429180
2016-01-05,HUBB,102.15,102.62,100.15,100.3,371778
2016-01-06,HUBB,99.01,100.0,98.16,98.74,299525
2016-01-07,HUBB,96.01,97.19,93.92,95.0,609895
2016-01-08,HUBB,95.5,96.99,94.27,94.91,384058
2016-01-11,HUBB,94.8,94.83,91.6,91.98,559301
2016-01-12,HUBB,92.85,93.69,91.53,92.28,486183
2016-01-13,HUBB,92.74,93.47,88.88,89.02,390671
2016-01-14,HUBB,89.59,90.86,88.32,90.68,372598
2016-01-15,HUBB,88.78,89.38,87.06,89.07,354523
2016-01-19,HUBB,89.92,90.03,87.78,88.49,214552
2016-01-20,HUBB,87.07,87.94,85.09,86.76,411451
2016-01-21,HUBB,87.08,88.87,86.42,87.25,347743
2016-01-22,HUBB,88.79,89.99,86.56,88.45,422187
2016-01-25,HUBB,87.96,88.49,86.5,86.74,248809
2016-01-26,HUBB,87.13,88.83,86.16,87.76,466507
2016-01-27,HUBB,87.59,88.67,86.23,86.29,502346
2016-01-28,HUBB,83.16,88.91,83.16,88.4,554249
2016-01-29,HUBB,87.92,90.71,87.33,90.43,732020
2016-02-01,HUBB,89.56,90.42,88.36,90.1,347562
2016-02-02,HUBB,89.25,89.58,87.84,87.96,302188
2016-02-03,HUBB,88.84,90.14,86.73,89.75,288010
2016-02-04,HUBB,89.7,92.58,89.7,91.88,567298
2016-02-05,HUBB,91.71,93.34,90.0,90.19,310639
2016-02-08,HUBB,89.25,90.06,88.38,89.87,360584
2016-02-09,HUBB,88.83,91.05,88.41,89.96,314354
2016-02-10,HUBB,90.54,90.76,89.41,89.8,241478
2016-02-11,HUBB,88.13,90.31,86.56,89.36,199069
2016-02-12,HUBB,90.02,90.77,88.13,89.94,335213
2016-02-16,HUBB,91.36,92.97,90.54,92.39,355080
2016-02-17,HUBB,93.09,94.47,92.78,93.05,325404
2016-02-18,HUBB,93.69,93.96,92.1,92.91,381180
2016-02-19,HUBB,92.45,93.61,92.04,93.55,235124
2016-02-22,HUBB,94.6,96.0,93.9,95.72,260557
2016-02-23,HUBB,95.09,96.16,94.63,96.07,507773
2016-02-24,HUBB,94.94,96.83,94.61,96.69,454062
2016-02-25,HUBB,96.69,98.02,95.73,97.84,217542
2016-02-26,HUBB,98.12,99.55,97.92,98.86,212862
2016-02-29,HUBB,99.09,100.17,98.67,99.36,371726
2016-03-01,HUBB,100.32,101.29,99.25,100.82,295250
2016-03-02,HUBB,100.46,102.2,100.46,102.08,246070
2016-03-03,HUBB,101.88,102.61,101.41,101.56,414462
2016-03-04,HUBB,101.65,102.03,100.83,101.07,561622
2016-03-07,HUBB,100.62,101.84,100.25,101.83,444906
2016-03-08,HUBB,101.26,101.65,99.87,99.9,229582
2016-03-09,HUBB,100.16,100.63,98.86,99.07,234734
2016-03-10,HUBB,99.56,99.86,98.57,99.76,199996
2016-03-11,HUBB,100.7,101.15,99.8,100.56,184763
2016-03-14,HUBB,100.03,100.13,99.3,99.73,186867
2016-03-15,HUBB,98.65,100.45,97.74,100.41,230578
2016-03-16,HUBB,100.02,101.96,99.34,101.32,257139
2016-03-17,HUBB,101.74,102.92,101.32,102.48,361330
2016-03-18,HUBB,102.29,104.25,102.07,103.0,782886
2016-03-21,HUBB,102.41,103.58,102.41,102.77,254254
2016-03-22,HUBB,102.7,103.01,102.13,102.51,275332
2016-03-23,HUBB,102.27,102.55,100.89,100.93,185588
2016-03-24,HUBB,99.89,101.44,98.93,100.96,223519
2016-03-28,HUBB,101.31,102.11,100.27,101.94,224391
2016-03-29,HUBB,101.4,103.82,101.01,103.56,244058
