Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,INCY,5.78,5.98,5.7221,5.84,512255
2007-01-03,INCY,5.86,6.2,5.84,6.02,909569
2007-01-04,INCY,6.0,6.2,5.92,6.19,698395
2007-01-05,INCY,6.13,6.19,5.96,6.04,564796
2007-01-08,INCY,6.41,6.49,6.23,6.36,1503004
2007-01-09,INCY,6.45,7.08,6.45,7.06,2166345
2007-01-10,INCY,7.0,7.01,6.6,6.83,2405654
2007-01-11,INCY,6.87,7.18,6.87,7.12,1341512
2007-01-12,INCY,7.13,7.33,7.09,7.32,843328
2007-01-16,INCY,7.42,7.5,7.17,7.23,662162
2007-01-17,INCY,7.17,7.32,7.16,7.18,624950
2007-01-18,INCY,7.15,7.28,7.04,7.11,693489
2007-01-19,INCY,7.08,7.22,6.87,7.16,528006
2007-01-22,INCY,7.17,7.38,6.99,7.32,746291
2007-01-23,INCY,7.3,7.38,7.2,7.31,615505
2007-01-24,INCY,7.36,7.58,7.32,7.42,977596
2007-01-25,INCY,7.42,7.5,7.25,7.3,1280802
2007-01-26,INCY,7.33,7.38,7.18,7.31,860124
2007-01-29,INCY,7.31,7.48,7.26,7.44,546452
2007-01-30,INCY,7.42,7.48,7.26,7.34,1110305
2007-01-31,INCY,7.32,7.48,7.26,7.43,538804
2007-02-01,INCY,7.46,7.5,7.25,7.45,429691
2007-02-02,INCY,7.45,7.7,7.45,7.58,723022
2007-02-05,INCY,7.59,7.6,7.31,7.34,920756
2007-02-06,INCY,7.35,7.47,7.15,7.35,765832
2007-02-07,INCY,7.38,7.44,7.22,7.27,732515
2007-02-08,INCY,7.24,7.36,7.15,7.26,719938
2007-02-09,INCY,7.24,7.37,7.12,7.22,830236
2007-02-12,INCY,7.22,7.25,6.97,7.09,672475
2007-02-13,INCY,7.14,7.17,7.0,7.16,547674
2007-02-14,INCY,7.21,7.29,7.13,7.17,724535
2007-02-15,INCY,7.13,7.18,6.86,6.94,1483624
2007-02-16,INCY,6.92,6.95,6.8,6.89,1166281
2007-02-20,INCY,6.85,7.02,6.77,7.0,745406
2007-02-21,INCY,6.95,6.99,6.82,6.97,878098
2007-02-22,INCY,6.94,7.03,6.86,6.93,701967
2007-02-23,INCY,6.91,6.97,6.8,6.82,619941
2007-02-26,INCY,6.82,7.31,6.82,7.21,1446022
2007-02-27,INCY,7.21,7.27,6.48,6.57,2427163
2007-02-28,INCY,6.57,6.59,6.34,6.41,1916991
2007-03-01,INCY,6.32,6.51,6.1,6.35,1184919
2007-03-02,INCY,6.35,6.33,5.97,6.03,1209759
2007-03-05,INCY,6.0,6.2,5.99,6.01,1176058
2007-03-06,INCY,6.08,6.34,6.04,6.3,766328
2007-03-07,INCY,6.28,6.3,6.13,6.15,982381
2007-03-08,INCY,6.22,6.35,6.18,6.22,639298
2007-03-09,INCY,6.29,6.44,6.24,6.39,544256
2007-03-12,INCY,6.33,6.39,6.21,6.31,628665
2007-03-13,INCY,6.34,6.39,6.03,6.04,760596
2007-03-14,INCY,6.01,6.22,6.0,6.22,695741
2007-03-15,INCY,6.23,6.29,6.1,6.22,427922
2007-03-16,INCY,6.21,6.32,6.09,6.11,847708
2007-03-19,INCY,6.16,6.48,6.16,6.48,682414
2007-03-20,INCY,6.44,6.54,6.36,6.5,672550
2007-03-21,INCY,6.53,6.66,6.46,6.66,717479
2007-03-22,INCY,6.69,6.72,6.54,6.55,784653
2007-03-23,INCY,6.57,6.82,6.57,6.77,556416
2007-03-26,INCY,6.74,6.75,6.46,6.49,392591
2007-03-27,INCY,6.45,6.5,6.4,6.49,293139
2007-03-28,INCY,6.43,6.52,6.24,6.45,1004086
2007-03-29,INCY,6.51,6.56,6.31,6.54,510192
2007-03-30,INCY,6.68,6.73,6.55,6.59,686027
2007-04-02,INCY,6.63,6.75,6.61,6.68,616288
2007-04-03,INCY,6.72,6.79,6.66,6.68,662823
2007-04-04,INCY,6.53,6.78,6.52,6.53,730480
2007-04-05,INCY,6.5,6.83,6.46,6.8,680510
2007-04-09,INCY,6.8,8.11,6.7,7.71,1810534
2007-04-10,INCY,7.7,7.81,7.45,7.58,3622492
2007-04-11,INCY,7.58,7.7,7.25,7.3,1995967
2007-04-12,INCY,7.39,7.67,7.33,7.64,2332917
2007-04-13,INCY,7.65,7.75,7.57,7.75,997151
2007-04-16,INCY,7.78,8.03,7.71,7.92,1877526
2007-04-17,INCY,7.9,8.03,7.77,7.81,754328
2007-04-18,INCY,7.8,7.93,7.75,7.83,449979
2007-04-19,INCY,7.78,7.96,7.64,7.83,594459
2007-04-20,INCY,7.99,8.0,7.85,7.9,565446
