Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,JBHT,20.87,21.01,20.65,20.77,1166488
2007-01-03,JBHT,21.68,22.8,21.55,22.42,4279412
2007-01-04,JBHT,22.33,23.26,22.33,23.15,2842679
2007-01-05,JBHT,23.0,23.13,22.49,22.67,1905349
2007-01-08,JBHT,22.75,22.94,22.47,22.78,1522223
2007-01-09,JBHT,22.81,23.54,22.78,23.43,2159972
2007-01-10,JBHT,23.43,23.43,23.06,23.2,1345635
2007-01-11,JBHT,23.25,23.53,22.87,22.96,2564653
2007-01-12,JBHT,23.03,23.61,22.97,23.61,1541570
2007-01-16,JBHT,23.7,23.95,23.48,23.84,1060887
2007-01-17,JBHT,23.85,24.03,23.69,23.88,1277499
2007-01-18,JBHT,23.78,23.93,23.76,23.88,2033091
2007-01-19,JBHT,24.01,24.18,23.81,24.01,1240343
2007-01-22,JBHT,24.37,25.09,24.1,24.35,2510659
2007-01-23,JBHT,23.98,24.28,23.53,24.05,1718635
2007-01-24,JBHT,23.99,24.38,23.71,24.16,2123745
2007-01-25,JBHT,24.1,24.1,23.5,23.57,1630011
2007-01-26,JBHT,23.6,23.67,23.0,23.35,1472266
2007-01-29,JBHT,23.31,24.16,23.15,23.89,4389340
2007-01-30,JBHT,23.89,24.58,23.9,24.55,3359050
2007-01-31,JBHT,24.55,25.24,24.25,25.13,3388457
2007-02-01,JBHT,25.22,25.6,24.95,25.3,2373431
2007-02-02,JBHT,25.15,25.23,24.84,25.04,3121330
2007-02-05,JBHT,25.1,25.1,24.66,24.72,1788699
2007-02-06,JBHT,24.79,25.13,24.75,25.08,2073196
2007-02-07,JBHT,25.02,25.42,25.02,25.39,2381032
2007-02-08,JBHT,25.26,25.6,25.2,25.53,2895888
2007-02-09,JBHT,25.56,25.6,25.2,25.37,1657426
2007-02-12,JBHT,25.22,25.82,25.22,25.8,2201282
2007-02-13,JBHT,25.9,26.68,25.63,26.65,4186335
2007-02-14,JBHT,26.69,26.74,26.14,26.55,3104796
2007-02-15,JBHT,26.5,26.92,26.39,26.9,2246851
2007-02-16,JBHT,26.96,26.96,26.57,26.72,1416115
2007-02-20,JBHT,26.65,27.37,26.47,27.31,2509768
2007-02-21,JBHT,27.15,27.71,26.91,27.56,2267588
2007-02-22,JBHT,27.67,28.14,27.42,27.86,2241401
2007-02-23,JBHT,27.85,28.13,27.47,28.07,2167639
2007-02-26,JBHT,28.08,28.08,26.99,27.12,2308336
2007-02-27,JBHT,26.89,26.94,26.15,26.25,2561833
2007-02-28,JBHT,26.25,26.71,25.83,26.56,2209494
2007-03-01,JBHT,26.26,26.81,25.8,26.39,2015867
2007-03-02,JBHT,26.3,26.4,25.8,25.81,1868780
2007-03-05,JBHT,25.72,25.75,25.21,25.31,1869522
2007-03-06,JBHT,25.4,25.79,25.17,25.45,2491040
2007-03-07,JBHT,25.45,26.17,25.35,26.06,2049513
2007-03-08,JBHT,26.35,26.36,25.8,25.88,1337672
2007-03-09,JBHT,26.11,26.45,26.05,26.44,1589829
2007-03-12,JBHT,26.34,26.71,26.33,26.6,1378248
2007-03-13,JBHT,26.5,26.57,25.52,25.68,1601958
2007-03-14,JBHT,25.51,25.57,24.64,25.28,2104694
2007-03-15,JBHT,25.04,25.78,25.04,25.73,2157129
2007-03-16,JBHT,25.73,25.87,25.37,25.49,1146217
2007-03-19,JBHT,25.52,25.8,25.33,25.79,1022387
2007-03-20,JBHT,25.86,26.34,25.61,26.34,1332016
2007-03-21,JBHT,26.26,26.51,25.8,26.49,1187680
