Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,JKHY,21.75,21.78,21.37,21.4,270193
2007-01-03,JKHY,21.56,21.89,21.16,21.37,566978
2007-01-04,JKHY,21.37,21.76,21.08,21.64,388708
2007-01-05,JKHY,21.5,21.56,21.1,21.38,517221
2007-01-08,JKHY,21.39,21.66,21.19,21.55,366422
2007-01-09,JKHY,21.5,21.62,21.26,21.47,420305
2007-01-10,JKHY,21.31,21.61,21.25,21.61,306623
2007-01-11,JKHY,21.55,21.85,21.49,21.67,360333
2007-01-12,JKHY,21.58,21.75,21.53,21.62,475562
2007-01-16,JKHY,21.62,21.78,21.42,21.46,448810
2007-01-17,JKHY,21.41,21.65,21.38,21.41,260089
2007-01-18,JKHY,21.2,21.42,21.1,21.15,371465
2007-01-19,JKHY,21.08,21.2,20.79,21.15,530872
2007-01-22,JKHY,21.09,21.17,20.79,20.97,273631
2007-01-23,JKHY,20.97,21.22,20.92,21.17,249580
2007-01-24,JKHY,21.2,21.47,21.18,21.46,249418
2007-01-25,JKHY,21.49,21.49,20.57,20.95,640187
2007-01-26,JKHY,20.88,21.17,20.65,21.1,446909
2007-01-29,JKHY,21.13,21.44,21.11,21.3,407202
2007-01-30,JKHY,21.3,21.43,21.25,21.35,307668
2007-01-31,JKHY,21.27,21.48,21.09,21.34,530417
2007-02-01,JKHY,21.44,21.5,21.22,21.41,426628
2007-02-02,JKHY,21.5,21.59,21.42,21.55,243660
2007-02-05,JKHY,21.45,21.71,21.31,21.63,458612
2007-02-06,JKHY,21.63,22.12,21.58,22.06,676413
2007-02-07,JKHY,22.24,22.59,22.07,22.54,724180
2007-02-08,JKHY,22.51,23.0,22.34,22.72,930216
2007-02-09,JKHY,22.72,22.96,22.68,22.88,739649
2007-02-12,JKHY,22.95,23.52,22.87,23.32,921806
2007-02-13,JKHY,23.5,23.62,23.23,23.41,590817
2007-02-14,JKHY,23.52,24.06,23.44,23.9,941107
2007-02-15,JKHY,23.86,24.0,23.64,23.84,724246
2007-02-16,JKHY,23.84,24.08,23.54,23.95,857081
2007-02-20,JKHY,23.88,24.24,23.82,24.18,625178
2007-02-21,JKHY,24.18,24.3,23.95,24.18,550503
2007-02-22,JKHY,24.23,24.32,24.07,24.31,683294
2007-02-23,JKHY,24.27,24.56,24.18,24.49,689694
2007-02-26,JKHY,24.6,24.67,24.19,24.27,617082
