Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,LDOS,71.12,71.6,70.68,71.16,294350
2007-01-03,LDOS,17.87,18.2,17.79,18.18,1764300
2007-01-04,LDOS,18.25,18.33,17.9,18.09,983100
2007-01-05,LDOS,17.7,18.08,17.52,17.55,1129600
2007-01-08,LDOS,17.55,17.67,17.33,17.66,1248200
2007-01-09,LDOS,17.55,17.73,17.41,17.68,1981400
2007-01-10,LDOS,17.77,17.97,17.6,17.78,1082500
2007-01-11,LDOS,17.78,18.5,17.74,17.94,2122200
2007-01-12,LDOS,17.92,18.38,17.71,17.75,1405600
2007-01-16,LDOS,17.75,17.78,17.51,17.67,1245500
2007-01-17,LDOS,17.61,18.08,17.6,17.99,1461900
2007-01-18,LDOS,17.63,17.8,17.39,17.41,2037000
2007-01-19,LDOS,17.38,17.68,16.98,17.68,2358400
2007-01-22,LDOS,17.76,18.13,17.68,18.07,2356400
2007-01-23,LDOS,18.02,18.39,17.8,18.25,1317200
2007-01-24,LDOS,18.05,18.41,17.83,18.28,1830600
2007-01-25,LDOS,18.32,18.39,18.14,18.34,1946800
2007-01-26,LDOS,18.25,18.58,18.18,18.44,1746600
2007-01-29,LDOS,18.43,18.57,18.32,18.51,1243300
2007-01-30,LDOS,18.57,18.84,18.35,18.67,1192900
2007-01-31,LDOS,18.85,18.92,18.46,18.55,2626700
2007-02-01,LDOS,18.5,18.59,17.87,18.15,4144600
2007-02-02,LDOS,18.16,18.47,18.12,18.44,1897100
2007-02-05,LDOS,18.4,18.64,18.28,18.56,1254300
2007-02-06,LDOS,18.59,18.6,18.46,18.5,883800
2007-02-07,LDOS,18.5,18.55,18.21,18.27,1223400
2007-02-08,LDOS,18.25,18.7,18.25,18.68,1455300
2007-02-09,LDOS,18.75,18.8,18.33,18.48,768900
2007-02-12,LDOS,18.48,18.5,17.95,17.99,1695641
2007-02-13,LDOS,18.15,18.3,17.81,17.99,1366862
2007-02-14,LDOS,18.1,18.23,17.96,18.15,1027450
2007-02-15,LDOS,18.3,18.35,18.15,18.17,774200
2007-02-16,LDOS,18.18,18.33,18.12,18.33,462500
2007-02-20,LDOS,18.33,18.6,18.05,18.51,659700
2007-02-21,LDOS,18.47,18.73,18.33,18.36,727900
2007-02-22,LDOS,18.11,18.66,18.01,18.36,882300
2007-02-23,LDOS,18.42,18.44,18.25,18.26,382900
2007-02-26,LDOS,18.53,18.8,18.48,18.49,1395411
2007-02-27,LDOS,18.23,18.46,17.93,18.05,1174500
2007-02-28,LDOS,17.91,18.2,17.9,18.03,1371200
2007-03-01,LDOS,18.03,18.2,17.72,17.99,898842
2007-03-02,LDOS,17.9,18.08,17.57,17.64,1443500
2007-03-05,LDOS,17.55,17.91,17.52,17.67,1079800
2007-03-06,LDOS,17.77,17.97,17.7,17.92,626000
2007-03-07,LDOS,17.93,17.99,17.75,17.84,407500
2007-03-08,LDOS,17.93,17.97,17.51,17.75,1276800
2007-03-09,LDOS,17.7,17.89,17.5,17.8,655900
2007-03-12,LDOS,17.81,17.92,17.72,17.75,1430700
2007-03-13,LDOS,17.67,17.76,17.5,17.53,639200
2007-03-14,LDOS,17.5,17.64,17.35,17.64,563700
2007-03-15,LDOS,17.75,17.9,17.71,17.88,693400
2007-03-16,LDOS,17.89,18.18,17.87,18.14,1263854
2007-03-19,LDOS,18.01,18.31,17.94,18.22,670900
2007-03-20,LDOS,18.23,18.25,17.98,18.0,711800
2007-03-21,LDOS,18.01,18.09,17.9,17.95,1215300
2007-03-22,LDOS,17.97,18.02,17.86,18.01,1047000
2007-03-23,LDOS,18.0,18.01,17.85,17.9,1012700
