Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2007-01-03,L,41.5,41.8,41.14,41.23,933800
2007-01-05,L,40.55,40.68,40.29,40.37,1235600
2007-01-08,L,40.3,40.46,40.21,40.37,982900
2007-01-10,L,41.19,41.52,41.06,41.43,1817000
2007-01-11,L,41.66,42.33,41.66,42.0,1538600
2007-01-12,L,42.0,42.5,41.95,42.26,1069700
2007-01-16,L,42.27,42.4,41.8,42.25,794000
2007-01-18,L,42.36,42.69,41.99,42.05,1040000
2007-01-19,L,42.33,42.93,42.33,42.44,1114800
2007-01-22,L,42.56,42.67,42.07,42.24,734300
2007-01-23,L,42.24,42.59,42.11,42.35,732100
2007-01-24,L,42.44,42.64,42.19,42.5,1066600
2007-01-25,L,42.42,42.79,42.03,42.08,899600
2007-01-26,L,42.1,42.51,42.03,42.43,929600
2007-01-29,L,42.44,42.93,42.3,42.77,1341000
2007-01-31,L,42.93,43.62,42.88,43.46,1323300
2007-02-01,L,43.6,44.11,43.5,44.04,1114700
2007-02-02,L,44.27,44.27,43.51,43.58,1111400
2007-02-05,L,43.49,44.01,43.49,43.92,714300
2007-02-06,L,44.05,44.22,43.74,43.92,827100
2007-02-07,L,44.1,44.25,43.56,43.71,1068700
2007-02-08,L,43.58,44.2,43.23,43.86,1392200
2007-02-09,L,44.2,44.22,42.59,42.84,2131400
2007-02-12,L,42.85,44.2,42.65,43.46,1931500
2007-02-13,L,43.55,44.6,43.55,44.56,1214300
2007-02-14,L,44.17,44.37,43.77,44.05,1367000
2007-02-15,L,43.9,44.48,43.89,44.32,1091900
2007-02-16,L,44.14,44.34,43.95,44.01,1051400
2007-02-20,L,44.15,44.25,43.83,44.0,1339500
2007-02-21,L,43.94,44.23,43.84,44.09,1073100
2007-02-22,L,44.24,44.34,44.07,44.17,719700
2007-02-23,L,44.24,44.34,44.07,44.17,719700
2007-02-26,L,44.1,44.19,43.64,43.89,1148000
2007-02-27,L,43.67,43.82,42.38,42.54,1551200
2007-02-28,L,42.54,43.78,42.54,43.44,1526700
2007-03-01,L,43.1,43.55,42.46,43.41,1078600
2007-03-02,L,43.34,43.46,42.52,42.53,1367800
2007-03-05,L,42.37,42.78,42.22,42.26,1319300
2007-03-06,L,42.65,43.29,42.44,43.28,1162800
2007-03-07,L,43.12,43.5,42.9,43.17,1291900
2007-03-08,L,43.74,43.96,43.5,43.73,1056800
2007-03-09,L,44.11,44.19,43.6,43.9,728500
2007-03-12,L,43.95,44.07,43.79,44.02,1016900
2007-03-13,L,43.7,44.09,43.49,43.49,1442700
2007-03-14,L,43.57,43.8,42.76,43.59,1402400
2007-03-15,L,43.29,44.12,43.12,43.87,1235900
2007-03-16,L,44.0,44.12,43.61,43.7,1845900
2007-03-20,L,44.66,45.19,44.61,45.16,1244100
2007-03-21,L,45.17,45.93,45.04,45.93,1060800
2007-03-22,L,46.23,46.32,45.71,45.79,945700
2007-03-23,L,45.96,46.29,45.79,45.96,661900
2007-03-26,L,45.96,46.17,45.31,45.81,628700
2007-03-27,L,45.59,45.8,45.44,45.48,574500
2007-03-28,L,45.49,45.64,45.05,45.4,691500
2007-03-29,L,45.96,46.1,45.4,45.77,841800
2007-03-30,L,45.73,45.94,44.95,45.43,1001200
2007-04-02,L,45.6,46.21,45.47,46.15,966300
2007-04-03,L,46.45,46.85,46.4,46.74,908600
2007-04-04,L,46.96,46.96,46.55,46.71,774800
2007-04-05,L,46.71,46.95,46.39,46.81,588400
2007-04-09,L,47.2,47.28,46.58,46.63,660200
2007-04-10,L,46.63,46.89,46.57,46.67,712100
2007-04-11,L,46.73,46.91,46.11,46.22,1019700
2007-04-12,L,45.96,46.37,45.8,46.32,795700
2007-04-13,L,46.47,46.62,46.34,46.54,588200
2007-04-16,L,46.72,47.2,46.72,47.05,571000
2007-04-17,L,47.05,47.41,46.99,47.06,617100
2007-04-18,L,46.82,47.0,46.67,46.72,998100
2007-04-19,L,46.55,46.73,46.06,46.11,1324800
2007-04-23,L,46.36,46.6,46.06,46.1,787300
2007-04-24,L,46.3,46.3,45.61,46.15,1084400
2007-04-25,L,46.48,47.34,46.42,47.15,850000
2007-04-26,L,47.2,47.28,46.9,46.94,731900
2007-04-27,L,46.83,47.2,46.43,46.64,1116400
2007-04-30,L,47.47,47.89,47.25,47.32,1365700
2007-05-01,L,47.5,47.65,46.83,47.38,1012500
2007-05-02,L,47.28,47.81,47.28,47.72,798400
2007-05-03,L,47.97,48.13,47.75,48.05,680300
2007-05-04,L,48.3,48.3,47.73,47.93,578100
2007-05-07,L,48.08,48.47,48.08,48.34,533700
2007-05-08,L,48.34,48.4,47.78,48.39,692800
2007-05-09,L,48.39,48.64,48.11,48.62,709900
2007-05-10,L,48.4,48.44,47.96,48.0,559500
2007-05-11,L,48.11,48.57,48.1,48.56,667900
2007-05-14,L,48.7,48.9,48.5,48.65,972500
2007-05-15,L,48.81,49.23,48.76,49.04,1136700
2007-05-16,L,49.4,49.59,48.99,49.59,942200
2007-05-17,L,49.57,49.95,49.18,49.83,886300
2007-05-18,L,50.07,50.1,49.76,50.09,1199900
2007-05-21,L,50.08,50.6,50.01,50.59,1302700
2007-05-22,L,50.86,51.03,50.69,50.91,949400
2007-05-23,L,50.9,51.23,50.75,50.96,918000
2007-05-24,L,50.96,51.18,50.48,50.49,953400
2007-05-25,L,50.74,51.03,50.67,50.95,533200
2007-05-29,L,51.19,51.4,50.72,51.02,715400
2007-05-30,L,50.95,51.19,50.62,51.1,948600
2007-05-31,L,51.31,51.5,50.91,51.03,907100
2007-06-01,L,51.26,51.34,50.89,51.02,917200
2007-06-04,L,51.12,52.36,51.12,52.35,1037300
2007-06-05,L,52.37,52.37,51.44,51.54,1314100
2007-06-06,L,51.6,51.7,51.22,51.5,1672000
2007-06-07,L,51.21,51.4,49.96,50.01,1597400
2007-06-08,L,49.69,50.87,49.66,50.87,1191500
2007-06-11,L,50.87,51.7,50.76,51.61,1106800
2007-06-12,L,51.38,51.61,51.0,51.0,1015000
2007-06-13,L,51.52,52.15,51.36,52.14,1401600
2007-06-14,L,52.26,53.03,52.26,52.93,1237100
2007-06-15,L,53.22,53.39,52.79,52.85,1715000
2007-06-18,L,53.2,53.37,52.82,52.9,881100
2007-06-19,L,52.94,53.26,52.78,53.01,1079000
2007-06-20,L,53.35,53.46,51.69,51.7,933000
2007-06-21,L,51.7,52.43,51.52,52.43,1006200
2007-06-22,L,52.41,52.57,51.88,52.07,1576800
2007-06-25,L,52.51,52.83,51.84,52.15,1022300
2007-06-26,L,52.3,52.35,51.02,51.19,1315300
2007-06-27,L,50.75,51.49,50.68,51.45,974800
2007-06-28,L,51.46,51.46,50.7,50.8,1105900
2007-06-29,L,51.0,51.45,50.63,50.98,1230900
2007-07-02,L,51.25,52.06,51.25,52.0,920500
2007-07-05,L,52.64,52.64,51.56,51.87,859200
2007-07-06,L,51.88,52.16,51.62,52.06,585500
2007-07-09,L,52.24,52.24,51.74,52.01,620800
2007-07-10,L,51.61,51.84,50.76,50.81,1303300
2007-07-12,L,51.32,51.74,51.18,51.67,717200
2007-07-13,L,51.55,51.97,51.47,51.86,516800
2007-07-16,L,51.8,51.89,51.09,51.09,875100
2007-07-17,L,51.01,51.12,50.6,50.71,842100
2007-07-18,L,50.71,50.71,50.04,50.61,1434000
2007-07-19,L,51.0,51.34,50.82,51.14,712600
2007-07-20,L,51.12,51.18,50.31,51.12,2052200
2007-07-23,L,52.0,52.2,51.23,51.63,1203700
2007-07-24,L,51.35,51.41,50.22,50.33,1406000
2007-07-25,L,50.7,50.9,49.73,50.71,1680400
2007-07-26,L,50.25,50.63,48.75,49.48,1893800
2007-07-27,L,49.15,49.66,47.6,47.6,1782700
2007-07-30,L,43.59,46.91,43.48,46.75,3579500
2007-07-31,L,47.39,48.69,47.33,47.4,1935900
2007-08-01,L,47.27,47.74,46.43,47.54,1871200
2007-08-02,L,47.57,48.12,46.72,47.36,1418700
2007-08-03,L,47.24,47.39,44.81,44.95,2446500
2007-08-06,L,45.2,46.31,44.28,46.21,2560300
2007-08-07,L,45.68,46.42,45.1,45.69,1927000
2007-08-08,L,45.86,46.31,45.01,45.97,2010600
2007-08-09,L,45.08,45.46,43.62,43.62,2947900
2007-08-10,L,43.05,44.74,42.45,44.3,2257200
2007-08-13,L,46.2,47.2,45.57,45.7,1488000
2007-08-14,L,45.8,46.67,44.17,44.2,1643200
2007-08-15,L,44.28,46.13,44.18,44.82,1642300
2007-08-16,L,44.69,44.9,42.59,44.59,2307400
2007-08-17,L,46.24,47.6,45.16,46.45,2231800
2007-08-20,L,46.67,46.78,45.23,45.78,1092900
2007-08-21,L,45.6,46.04,45.01,45.69,927600
2007-08-22,L,46.11,47.49,46.0,47.38,1116500
2007-08-24,L,47.5,48.37,47.11,48.25,1012300
2007-08-27,L,47.99,48.23,47.62,47.62,714400
2007-08-28,L,47.3,47.5,45.99,46.02,1220900
2007-08-29,L,46.17,47.06,45.9,47.05,1201800
2007-08-30,L,46.69,46.93,45.94,46.03,1112200
2007-08-31,L,46.47,47.31,46.24,47.01,1457700
2007-09-04,L,46.63,48.16,46.18,47.76,1523800
2007-09-05,L,47.39,47.49,46.98,47.2,1058600
2007-09-06,L,47.34,47.42,46.17,46.6,1173700
2007-09-07,L,46.37,46.69,45.95,46.02,1035300
2007-09-10,L,46.14,46.55,45.26,45.63,1452600
2007-09-11,L,45.62,46.03,45.24,45.82,990200
2007-09-12,L,45.78,45.82,45.29,45.48,790200
2007-09-13,L,45.92,45.98,45.36,45.55,813700
2007-09-14,L,45.36,45.79,45.21,45.57,781200
2007-09-17,L,45.3,45.68,45.14,45.53,649200
2007-09-18,L,45.65,46.98,45.44,46.9,1393600
2007-09-19,L,47.32,47.48,47.04,47.34,893100
2007-09-20,L,47.38,47.38,46.79,46.84,666000
2007-09-21,L,47.39,47.74,47.08,47.62,1900300
2007-09-24,L,47.55,47.85,47.48,47.64,1433700
2007-09-25,L,47.48,47.54,47.15,47.44,1118000
2007-09-26,L,47.67,47.9,47.14,47.86,1043400
2007-09-27,L,48.13,48.26,47.82,48.25,627500
2007-09-28,L,48.41,48.85,48.15,48.35,947600
2007-10-01,L,48.5,49.22,48.43,49.15,1167800
2007-10-02,L,49.15,49.29,48.8,49.13,1093800
2007-10-03,L,49.0,49.31,48.87,49.21,832600
2007-10-04,L,49.44,49.65,49.15,49.59,644500
2007-10-05,L,49.97,50.0,49.27,49.67,813300
2007-10-08,L,49.67,49.85,49.11,49.15,744400
2007-10-09,L,49.37,49.77,49.17,49.61,774400
2007-10-10,L,49.54,49.63,49.07,49.54,754700
2007-10-11,L,49.9,50.65,49.66,50.05,1110800
2007-10-12,L,50.1,50.29,49.76,50.12,579200
2007-10-15,L,50.04,50.52,49.17,49.46,858200
2007-10-16,L,49.46,49.6,48.93,49.35,846400
2007-10-17,L,49.84,49.92,49.2,49.6,1308800
2007-10-18,L,49.47,50.1,49.22,49.85,757400
2007-10-19,L,49.45,49.61,48.83,48.84,1586100
2007-10-22,L,48.43,49.83,48.25,49.76,1076500
2007-10-23,L,49.94,50.11,49.39,50.05,1024900
