Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,MAS,26.6834,26.975,26.3388,26.3918,2298552.088834403
2007-01-03,MAS,29.85,30.07,29.09,29.28,3141500.0
2007-01-04,MAS,29.3,29.39,28.95,29.26,2805500.0
2007-01-05,MAS,29.2,29.31,29.0,29.25,2293800.0
2007-01-08,MAS,29.25,29.25,28.99,29.14,2707200.0
2007-01-09,MAS,29.2,29.75,29.05,29.7,2697200.0
2007-01-10,MAS,29.6,29.8,29.4,29.78,3537600.0
2007-01-11,MAS,29.78,30.22,29.76,30.06,2064300.0
2007-01-12,MAS,29.98,30.38,29.83,30.28,3632500.0
2007-01-16,MAS,30.76,31.0,30.71,30.9,5259800.0
2007-01-17,MAS,30.9,31.23,30.76,31.09,5787300.0
2007-01-18,MAS,30.9,31.15,30.73,30.92,3638400.0
2007-01-19,MAS,31.15,31.91,30.89,31.88,4166000.0
2007-01-22,MAS,31.95,31.95,31.29,31.35,3029700.0
2007-01-23,MAS,31.34,31.71,31.34,31.43,3663800.0
2007-01-24,MAS,31.44,31.74,31.35,31.67,1691700.0
2007-01-25,MAS,31.68,31.8,31.22,31.24,2003500.0
2007-01-26,MAS,31.34,31.36,30.81,30.9,2423700.0
2007-01-29,MAS,30.91,31.17,30.77,30.97,1877100.0
2007-01-30,MAS,31.0,31.2,30.9,31.04,1600500.0
2007-01-31,MAS,31.02,32.06,31.01,31.99,3662300.0
2007-02-01,MAS,32.0,34.04,31.96,33.62,6737900.0
2007-02-02,MAS,33.57,34.72,33.4,33.93,7344600.0
2007-02-05,MAS,33.95,34.0,32.89,33.1,4342700.0
2007-02-06,MAS,33.1,33.13,32.4,32.7,4761900.0
2007-02-07,MAS,32.7,32.83,32.5,32.63,2384100.0
2007-02-08,MAS,32.6,32.6,32.15,32.15,3240300.0
2007-02-09,MAS,32.23,32.37,31.9,31.97,2273200.0
2007-02-12,MAS,31.94,32.11,31.66,31.87,1953831.0
2007-02-13,MAS,32.0,32.12,31.65,31.81,3650889.0
2007-02-14,MAS,30.25,31.74,30.01,31.7,6074041.0
2007-02-15,MAS,31.65,31.75,31.11,31.18,4213300.0
2007-02-16,MAS,31.18,31.34,30.67,31.17,4036100.0
2007-02-20,MAS,31.18,31.48,31.02,31.32,2763900.0
2007-02-21,MAS,31.07,31.39,30.81,31.15,2186400.0
2007-02-22,MAS,31.3,31.36,30.56,30.71,3335700.0
2007-02-23,MAS,30.75,30.85,30.48,30.54,2328200.0
2007-02-26,MAS,30.6,30.76,30.12,30.31,3022052.0
2007-02-27,MAS,29.87,30.13,29.64,30.07,4308600.0
2007-02-28,MAS,30.01,30.16,29.64,29.83,4540700.0
2007-03-01,MAS,29.85,29.8,29.0,29.46,4083039.0
2007-03-02,MAS,29.47,29.48,28.9,28.92,3843600.0
2007-03-05,MAS,28.6,29.02,28.46,28.46,3697500.0
2007-03-06,MAS,28.46,28.88,28.49,28.64,3951800.0
2007-03-07,MAS,28.4,28.85,28.36,28.41,4718400.0
2007-03-08,MAS,28.59,28.97,28.46,28.7,3512700.0
2007-03-09,MAS,28.75,28.81,28.1,28.15,3501100.0
2007-03-12,MAS,28.16,28.17,27.8,27.95,4445600.0
2007-03-13,MAS,27.75,27.99,27.65,27.87,5179800.0
2007-03-14,MAS,27.85,28.52,27.56,28.41,8768100.0
2007-03-15,MAS,28.23,28.48,27.77,27.88,4330541.0
2007-03-16,MAS,27.95,28.16,27.4,27.52,4222060.0
2007-03-19,MAS,27.57,27.99,27.57,27.79,3429000.0
2007-03-20,MAS,27.93,28.42,27.8,28.13,4050200.0
2007-03-21,MAS,28.1,28.6,28.06,28.54,3305600.0
2007-03-22,MAS,0.22,28.73,27.9,28.3,4053500.0
2007-03-23,MAS,28.3,28.53,27.98,27.98,4096600.0
2007-03-26,MAS,28.08,28.2,27.57,27.95,5423100.0
2007-03-27,MAS,27.83,27.86,27.41,27.8,5475600.0
2007-03-28,MAS,27.72,27.72,27.08,27.08,8039637.0
2007-03-29,MAS,27.44,27.62,27.0,27.23,5639080.0
2007-03-30,MAS,27.34,27.71,27.2,27.4,4203200.0
2007-04-02,MAS,27.29,27.44,26.74,26.82,4764199.0
2007-04-03,MAS,26.55,27.13,26.55,27.02,4363300.0
2007-04-04,MAS,27.02,27.27,27.01,27.04,2879800.0
2007-04-05,MAS,27.04,27.26,26.95,27.18,2515700.0
2007-04-09,MAS,27.2,27.28,26.83,26.89,2803200.0
2007-04-10,MAS,26.89,27.06,26.61,26.62,2824150.0
2007-04-11,MAS,26.67,26.78,26.5,26.6,3556050.0
2007-04-12,MAS,26.5,26.78,26.26,26.73,3335881.0
2007-04-13,MAS,26.73,26.98,26.55,26.87,3676523.0
2007-04-16,MAS,26.95,27.12,26.66,26.89,3168051.0
2007-04-17,MAS,27.45,27.45,27.02,27.31,3746844.0
2007-04-18,MAS,27.19,27.62,26.93,27.23,4077184.0
2007-04-19,MAS,27.05,27.35,26.84,27.12,3453607.0
2007-04-20,MAS,27.36,27.7,27.33,27.61,5572782.0
2007-04-23,MAS,27.61,27.92,27.51,27.62,3278800.0
2007-04-24,MAS,27.71,27.79,27.22,27.59,3500681.0
2007-04-25,MAS,27.71,27.91,27.48,27.64,4465997.0
2007-04-26,MAS,27.64,28.29,27.36,28.14,8601916.0
2007-04-27,MAS,28.16,28.16,27.7,27.82,3494426.0
2007-04-30,MAS,27.83,27.96,27.21,27.21,4545593.0
2007-05-01,MAS,27.22,31.58,29.21,29.8,14481647.0
2007-05-02,MAS,29.81,29.9,29.41,29.77,9356191.0
2007-05-03,MAS,29.8,30.18,29.77,30.0,7127900.0
2007-05-04,MAS,30.01,30.82,29.51,30.5,4954251.0
2007-05-07,MAS,30.85,30.93,30.36,30.71,3963490.0
2007-05-08,MAS,30.72,30.99,30.22,30.37,4038400.0
2007-05-09,MAS,30.44,30.61,30.17,30.33,4345332.0
2007-05-10,MAS,30.28,30.28,29.64,29.73,4274383.0
2007-05-11,MAS,29.74,29.93,29.4,29.59,5021141.0
2007-05-14,MAS,29.59,29.93,29.6,29.79,3893100.0
2007-05-15,MAS,29.79,30.04,29.14,29.16,4124900.0
2007-05-16,MAS,29.17,29.44,28.87,29.15,3572729.0
2007-05-17,MAS,29.08,29.36,29.0,29.21,2772100.0
2007-05-18,MAS,29.21,29.65,29.2,29.64,2724500.0
2007-05-21,MAS,29.65,30.21,29.45,30.03,4917953.0
2007-05-22,MAS,30.0,30.33,29.93,30.12,3639300.0
2007-05-23,MAS,30.13,30.53,30.12,30.24,2990840.0
2007-05-24,MAS,30.25,30.88,30.09,30.4,3814200.0
2007-05-25,MAS,30.64,30.72,29.72,29.89,3683180.0
2007-05-29,MAS,29.97,30.2,29.66,29.75,3806768.0
2007-05-30,MAS,29.76,29.94,29.43,29.88,3029400.0
2007-05-31,MAS,29.88,30.31,29.85,30.21,2462830.0
2007-06-01,MAS,30.21,30.36,29.36,29.44,4527900.0
2007-06-04,MAS,29.44,30.2,29.31,30.16,3411600.0
2007-06-05,MAS,30.16,30.13,29.69,29.94,4832100.0
2007-06-06,MAS,29.94,29.79,28.92,28.97,6052000.0
2007-06-07,MAS,29.94,29.94,28.07,28.13,8028400.0
2007-06-08,MAS,28.13,28.77,27.93,28.7,3798849.0
2007-06-11,MAS,28.6,28.95,28.31,28.78,2187100.0
2007-06-12,MAS,28.78,28.61,28.18,28.33,3146520.0
2007-06-13,MAS,28.42,28.87,28.4,28.85,3207000.0
2007-06-14,MAS,28.85,29.22,28.75,29.08,3298200.0
2007-06-15,MAS,29.16,29.84,29.16,29.31,3892900.0
2007-06-18,MAS,29.42,29.53,29.05,29.21,2387300.0
2007-06-19,MAS,29.17,29.33,28.87,29.22,1892600.0
2007-06-20,MAS,29.22,29.54,28.62,28.63,1885710.0
2007-06-21,MAS,28.63,28.82,28.3,28.71,2822200.0
2007-06-22,MAS,28.71,28.77,28.18,28.34,4265212.0
2007-06-25,MAS,28.43,28.6,27.95,28.13,2990300.0
2007-06-26,MAS,28.18,28.31,27.6,27.6,2409200.0
2007-06-27,MAS,27.38,28.1,27.3,27.98,3164125.0
2007-06-28,MAS,27.98,28.24,27.74,28.0,2149346.0
2007-06-29,MAS,28.11,28.5,27.89,28.47,4198384.0
2007-07-02,MAS,28.91,29.0,28.5,28.65,3847497.0
2007-07-03,MAS,28.51,28.7,28.18,28.29,1565101.0
2007-07-05,MAS,28.5,28.56,28.23,28.39,1747129.0
2007-07-06,MAS,28.3,28.86,28.16,28.69,2155200.0
2007-07-09,MAS,28.76,28.78,27.99,28.08,3425100.0
2007-07-10,MAS,27.97,28.0,27.41,27.45,2822000.0
2007-07-11,MAS,27.45,27.83,27.13,27.83,2928700.0
2007-07-12,MAS,27.83,28.38,27.83,28.37,3524148.0
2007-07-13,MAS,28.42,28.65,28.24,28.38,2856200.0
2007-07-16,MAS,28.24,28.43,27.96,28.02,1920800.0
2007-07-17,MAS,27.99,28.61,27.95,28.37,2054500.0
2007-07-18,MAS,28.29,28.42,27.53,27.86,3145100.0
2007-07-19,MAS,27.86,28.28,27.71,27.86,1847900.0
2007-07-20,MAS,27.75,27.85,27.36,27.53,3025552.0
2007-07-23,MAS,27.53,27.87,27.34,27.38,2522200.0
2007-07-24,MAS,27.38,27.42,26.72,26.79,3824385.0
2007-07-25,MAS,26.95,27.01,26.11,26.44,3292414.0
2007-07-26,MAS,26.0,26.3,25.48,26.03,6000562.0
2007-07-27,MAS,26.03,26.12,25.42,25.88,5636845.0
2007-07-30,MAS,25.86,26.2,25.12,25.77,3784726.0
2007-07-31,MAS,26.72,28.66,26.72,27.21,8021739.0
2007-08-01,MAS,27.21,27.72,26.34,27.26,5862898.0
2007-08-02,MAS,27.26,28.14,27.26,27.99,6734009.0
2007-08-03,MAS,27.99,28.17,26.95,26.96,5484214.0
2007-08-06,MAS,26.96,27.51,25.88,27.51,5539693.0
2007-08-07,MAS,27.51,28.19,27.17,27.75,4644500.0
2007-08-08,MAS,28.11,28.15,27.66,28.04,4405300.0
2007-08-09,MAS,27.6,27.75,25.96,26.03,6498585.0
2007-08-10,MAS,26.0,26.54,25.58,25.78,3247600.0
2007-08-13,MAS,26.0,27.44,25.88,26.64,4053100.0
2007-08-14,MAS,26.25,26.67,25.86,25.87,4037416.0
2007-08-15,MAS,25.99,26.08,24.68,24.77,4275999.0
2007-08-16,MAS,24.77,25.82,24.02,25.63,5370200.0
2007-08-17,MAS,26.17,27.72,25.22,26.3,5813100.0
2007-08-20,MAS,26.85,26.85,26.14,26.62,2747000.0
