Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2018-12-07,MRNA,22.0,22.75,18.51,18.6,12995569
2018-12-10,MRNA,18.9,19.44,18.0,18.8,4233345
2018-12-11,MRNA,20.55,20.66,17.99,18.01,3435271
2018-12-12,MRNA,18.55,19.48,18.02,18.68,2590873
2018-12-13,MRNA,19.25,19.29,18.68,18.76,1608629
2018-12-14,MRNA,18.75,18.88,18.25,18.32,746412
2018-12-17,MRNA,18.33,18.47,16.9,17.0,1581242
2018-12-18,MRNA,17.1,17.25,16.25,17.0,1621904
2018-12-19,MRNA,16.86,17.37,16.0,16.18,941528
2018-12-20,MRNA,16.0,16.14,14.75,15.5,2365203
2018-12-21,MRNA,15.4,15.5,13.95,14.47,2063235
2018-12-24,MRNA,14.32,14.32,13.75,14.03,665427
2018-12-26,MRNA,14.15,14.31,13.03,13.52,1817977
2018-12-27,MRNA,13.49,14.95,13.27,14.65,1769545
2018-12-28,MRNA,14.72,14.85,13.82,14.15,929098
2018-12-31,MRNA,14.24,15.3,14.21,15.27,994726
2019-01-02,MRNA,14.93,15.45,14.51,15.33,2318094
2019-01-03,MRNA,15.49,16.08,15.2,15.5,1588921
2019-01-04,MRNA,16.0,17.5,15.89,16.96,1652033
2019-01-07,MRNA,17.54,17.94,16.18,16.27,1585442
2019-01-08,MRNA,17.35,17.47,16.05,16.95,1892977
2019-01-09,MRNA,17.2,17.25,16.15,16.33,1187350
2019-01-10,MRNA,16.36,16.51,16.0,16.48,487284
2019-01-11,MRNA,16.6,17.06,16.53,17.0,580570
2019-01-14,MRNA,17.0,17.06,16.72,16.74,612922
2019-01-15,MRNA,17.0,17.0,16.41,16.59,468080
2019-01-16,MRNA,16.8,16.95,16.26,16.26,272804
2019-01-17,MRNA,16.05,16.53,16.05,16.31,315678
2019-01-18,MRNA,16.46,16.8,16.25,16.69,629965
2019-01-22,MRNA,16.62,16.63,15.35,15.56,637008
2019-01-23,MRNA,15.59,15.92,14.76,14.79,652602
2019-01-24,MRNA,14.9,15.2,14.64,14.64,452909
2019-01-25,MRNA,14.8,14.92,14.4,14.91,942270
2019-01-28,MRNA,14.84,14.84,14.45,14.45,656524
2019-01-29,MRNA,14.46,14.88,14.45,14.63,592755
2019-01-30,MRNA,14.72,15.54,14.65,15.13,758899
2019-01-31,MRNA,15.24,17.48,15.24,16.6,2259191
2019-02-01,MRNA,16.8,17.01,15.9,16.22,617271
2019-02-04,MRNA,16.22,16.49,15.95,16.27,297821
2019-02-05,MRNA,16.29,17.49,16.21,17.18,652724
2019-02-06,MRNA,17.25,18.39,17.11,18.14,1016165
2019-02-07,MRNA,17.95,18.07,17.04,17.05,527579
2019-02-08,MRNA,17.1,18.15,17.1,17.99,685755
2019-02-11,MRNA,17.99,18.65,17.75,18.17,597966
2019-02-12,MRNA,18.21,18.76,17.6,18.69,753128
2019-02-13,MRNA,18.99,19.22,18.3,18.53,1333533
2019-02-14,MRNA,18.64,19.96,18.63,19.66,1091396
2019-02-15,MRNA,19.94,21.47,19.7,21.44,2087409
2019-02-19,MRNA,21.51,21.51,20.05,20.83,1204705
2019-02-20,MRNA,21.12,21.24,19.13,19.92,1160160
2019-02-21,MRNA,19.74,19.98,18.88,19.34,822625
2019-02-22,MRNA,19.35,20.04,19.35,19.88,567612
2019-02-25,MRNA,20.54,22.3,19.83,21.65,1917872
2019-02-26,MRNA,21.6,24.4,21.56,23.7,2522800
2019-02-27,MRNA,23.37,23.83,21.53,22.1,1553011
2019-02-28,MRNA,22.45,23.03,22.05,22.6,511289
2019-03-01,MRNA,23.09,23.39,21.64,22.27,867388
2019-03-04,MRNA,22.47,22.8,20.52,21.12,1134144
2019-03-05,MRNA,21.18,21.49,20.29,21.37,1086443
2019-03-06,MRNA,21.4,22.05,20.06,20.65,1061369
2019-03-07,MRNA,20.42,21.16,19.61,20.59,1018084
2019-03-08,MRNA,20.37,21.08,19.9,20.93,631133
2019-03-11,MRNA,20.99,20.99,19.97,20.43,915642
2019-03-12,MRNA,20.52,20.89,19.12,19.26,1627932
2019-03-13,MRNA,19.3,20.25,19.23,19.97,756588
2019-03-14,MRNA,19.92,21.0,19.92,20.82,883581
2019-03-15,MRNA,20.99,22.19,20.89,21.82,2686871
2019-03-18,MRNA,21.74,22.22,21.22,22.18,1245672
2019-03-19,MRNA,22.47,22.6,20.18,20.35,976101
2019-03-20,MRNA,20.41,20.98,19.9,20.0,985298
2019-03-21,MRNA,20.0,20.25,19.21,19.34,860506
2019-03-22,MRNA,19.38,19.7,18.75,19.0,579495
2019-03-25,MRNA,19.0,19.59,18.21,19.4,671669
2019-03-26,MRNA,19.61,19.94,19.24,19.9,393884
2019-03-27,MRNA,20.08,20.08,18.89,19.27,602641
2019-03-28,MRNA,19.3,19.74,19.0,19.66,453586
2019-03-29,MRNA,19.87,20.8,19.47,20.35,660854
2019-04-01,MRNA,20.54,20.91,20.04,20.59,547566
2019-04-02,MRNA,20.68,20.68,19.54,19.7,546568
2019-04-03,MRNA,19.92,21.67,19.81,21.33,909317
2019-04-04,MRNA,21.12,23.18,21.04,23.08,1705896
2019-04-05,MRNA,23.8,26.23,22.66,25.96,1978459
2019-04-08,MRNA,25.9,29.79,25.6,27.23,2673297
2019-04-09,MRNA,27.3,28.4,26.31,26.82,1051702
2019-04-10,MRNA,26.9,27.74,26.5,26.8,639414
2019-04-11,MRNA,26.82,26.99,24.26,25.73,1030056
2019-04-12,MRNA,26.0,26.05,24.27,24.61,708634
2019-04-15,MRNA,24.99,25.94,24.62,25.84,636494
2019-04-16,MRNA,26.0,26.22,23.65,23.78,964841
2019-04-17,MRNA,24.0,24.12,22.31,23.5,918561
2019-04-18,MRNA,23.47,23.55,22.43,22.51,736355
2019-04-22,MRNA,22.7,23.99,22.51,23.63,494149
2019-04-23,MRNA,23.73,24.98,23.73,24.7,617759
2019-04-24,MRNA,24.8,25.76,24.29,25.76,702199
2019-04-25,MRNA,25.76,26.72,25.43,25.74,603274
2019-04-26,MRNA,25.83,27.3,25.69,26.26,593558
2019-04-29,MRNA,26.28,27.2,24.97,25.14,1057858
2019-04-30,MRNA,25.28,26.03,25.0,26.03,620718
2019-05-01,MRNA,26.31,27.09,25.87,26.4,1121529
2019-05-02,MRNA,26.33,28.49,26.19,28.34,1079697
2019-05-03,MRNA,28.89,28.95,26.85,27.2,837921
2019-05-06,MRNA,26.38,27.81,26.25,27.1,667204
2019-05-07,MRNA,27.18,27.26,24.16,24.55,1061288
2019-05-08,MRNA,23.7,26.0,23.53,23.54,1023854
2019-05-09,MRNA,23.5,24.0,22.75,23.26,523118
2019-05-10,MRNA,23.04,24.93,22.8,24.92,536230
2019-05-13,MRNA,24.46,24.77,23.23,24.43,491784
2019-05-14,MRNA,24.5,24.89,23.57,23.59,473926
2019-05-15,MRNA,23.46,23.84,22.81,23.12,847323
2019-05-16,MRNA,23.5,24.05,23.15,23.46,536569
2019-05-17,MRNA,23.31,23.43,21.68,23.08,1275232
2019-05-20,MRNA,22.85,23.6,22.55,22.6,553004
2019-05-21,MRNA,22.65,23.16,22.43,22.7,475913
2019-05-22,MRNA,22.65,22.77,21.93,22.0,569589
2019-05-23,MRNA,21.75,21.94,21.01,21.38,739551
2019-05-24,MRNA,21.56,22.0,21.41,21.83,743997
2019-05-28,MRNA,22.3,22.46,21.44,21.54,616013
2019-05-29,MRNA,21.71,21.9,21.16,21.7,490742
2019-05-30,MRNA,21.84,21.9,21.05,21.49,361293
2019-05-31,MRNA,21.16,21.38,20.74,20.78,443530
2019-06-03,MRNA,20.79,20.99,18.82,19.85,1031947
2019-06-04,MRNA,19.76,20.74,19.23,19.47,1077687
2019-06-05,MRNA,19.2,19.2,17.2,17.7,5046143
2019-06-06,MRNA,17.83,18.92,17.61,17.94,6066383
2019-06-07,MRNA,17.71,18.4,17.3,17.52,1892799
2019-06-10,MRNA,17.85,17.99,15.67,15.67,2574686
2019-06-11,MRNA,16.09,16.88,15.75,16.0,5614358
2019-06-12,MRNA,16.11,16.36,15.62,16.3,2042477
2019-06-13,MRNA,16.42,17.59,16.05,16.16,1607294
2019-06-14,MRNA,16.25,16.68,15.32,15.4,2080053
2019-06-17,MRNA,15.54,15.85,15.28,15.77,1220436
2019-06-18,MRNA,15.9,16.19,15.58,15.74,1120185
2019-06-19,MRNA,15.75,16.3,15.37,15.5,2831087
2019-06-20,MRNA,15.85,15.94,14.86,15.18,1605381
2019-06-21,MRNA,15.2,15.32,14.5,14.7,2115818
2019-06-24,MRNA,14.41,14.69,14.02,14.04,1327256
2019-06-25,MRNA,14.11,14.25,13.65,13.77,1936251
2019-06-26,MRNA,13.92,14.18,13.65,13.7,1112795
2019-06-27,MRNA,13.5,14.4,13.5,14.34,1724611
2019-06-28,MRNA,14.41,14.64,14.11,14.64,1657027
2019-07-01,MRNA,14.86,15.08,14.47,14.73,1135482
2019-07-02,MRNA,14.71,14.71,14.0,14.4,1202267
2019-07-03,MRNA,14.5,15.33,14.4,15.31,954475
2019-07-05,MRNA,15.47,15.47,14.83,14.96,970638
2019-07-08,MRNA,14.89,14.9,14.14,14.29,938422
2019-07-09,MRNA,14.31,14.85,14.15,14.85,739829
2019-07-10,MRNA,14.94,15.22,14.05,14.48,1770209
2019-07-11,MRNA,14.56,14.7,14.12,14.44,1135170
2019-07-12,MRNA,14.27,14.48,14.06,14.2,1084328
2019-07-15,MRNA,14.28,14.46,14.0,14.32,727620
2019-07-16,MRNA,14.32,14.47,14.0,14.14,1111014
2019-07-17,MRNA,14.17,14.59,14.0,14.03,1202450
2019-07-18,MRNA,14.09,14.28,13.9,14.26,756865
2019-07-19,MRNA,14.29,14.4,14.01,14.11,1042632
2019-07-22,MRNA,14.22,14.32,13.91,14.05,1058910
2019-07-23,MRNA,14.06,14.13,13.12,13.6,2053347
2019-07-24,MRNA,13.75,14.52,13.47,14.47,1167362
2019-07-25,MRNA,14.51,14.65,13.5,13.51,895579
2019-07-26,MRNA,13.59,14.18,13.36,14.12,669060
2019-07-29,MRNA,14.17,14.33,13.56,13.69,1049628
2019-07-30,MRNA,13.61,13.76,13.29,13.4,929543
2019-07-31,MRNA,13.42,13.51,13.04,13.1,1087643
2019-08-01,MRNA,13.2,13.4,12.71,13.01,1502334
2019-08-02,MRNA,13.0,13.04,12.4,12.73,1180381
2019-08-05,MRNA,12.55,12.69,12.2,12.26,1038153
2019-08-06,MRNA,12.5,12.87,11.9,12.29,2007725
2019-08-07,MRNA,12.26,14.5,11.54,12.85,3003267
2019-08-08,MRNA,12.91,13.3,12.3,13.19,1500881
2019-08-09,MRNA,13.14,13.55,12.97,13.33,745194
2019-08-12,MRNA,13.0,13.22,12.76,13.02,780306
2019-08-13,MRNA,13.0,13.39,12.76,13.3,558994
2019-08-14,MRNA,13.08,13.22,12.5,12.74,1362976
2019-08-15,MRNA,12.72,12.95,12.47,12.67,1162846
2019-08-16,MRNA,12.85,13.24,12.79,13.16,1105105
2019-08-19,MRNA,13.25,13.5,13.02,13.4,1955457
2019-08-20,MRNA,13.87,14.65,13.6,14.15,3367012
2019-08-21,MRNA,14.25,14.41,13.76,14.29,1417709
2019-08-22,MRNA,14.37,14.43,14.04,14.16,1023419
2019-08-23,MRNA,14.08,14.36,13.83,13.88,1501049
2019-08-26,MRNA,14.01,15.38,14.0,14.97,3153425
2019-08-27,MRNA,15.17,15.5,14.12,14.51,2720189
2019-08-28,MRNA,14.51,15.04,14.38,14.82,1451650
