Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,MRO,28.1677,28.3073,27.9613,28.0766,5041004.878048783
2007-01-03,MRO,45.75,45.75,43.43,43.67,5556900.0
2007-01-04,MRO,43.5,43.5,42.02,42.12,6417200.0
2007-01-05,MRO,42.13,43.19,42.0,42.96,5662700.0
2007-01-08,MRO,43.5,43.88,42.54,43.37,4088400.0
2007-01-09,MRO,42.48,43.48,42.03,42.91,5290400.0
2007-01-10,MRO,42.46,42.8,41.75,42.45,4802500.0
2007-01-11,MRO,42.23,43.45,41.5,41.72,5335300.0
2007-01-12,MRO,42.2,43.51,41.85,43.38,4499700.0
2007-01-16,MRO,42.9,43.55,42.35,42.59,3620800.0
2007-01-17,MRO,42.74,43.44,42.59,43.01,3630300.0
2007-01-18,MRO,42.67,43.76,41.89,42.59,4245000.0
2007-01-19,MRO,42.85,43.59,42.57,43.59,3167900.0
2007-01-22,MRO,43.77,44.09,43.27,43.74,3606700.0
2007-01-23,MRO,43.94,45.25,43.94,45.11,3913100.0
2007-01-24,MRO,44.91,45.39,44.05,45.38,3436300.0
2007-01-25,MRO,44.88,45.35,44.05,44.43,2729900.0
2007-01-26,MRO,44.6,45.05,44.21,44.41,2435900.0
2007-01-29,MRO,44.41,44.8,43.45,43.6,5062500.0
2007-01-30,MRO,43.9,44.77,43.9,44.66,2618100.0
2007-01-31,MRO,44.35,45.22,44.0,45.17,3277200.0
2007-02-01,MRO,44.83,45.82,44.44,45.45,5052200.0
2007-02-02,MRO,45.55,45.63,44.42,44.81,3338300.0
2007-02-05,MRO,44.94,45.28,44.81,45.09,2563700.0
2007-02-06,MRO,45.33,45.46,44.38,44.77,2327900.0
2007-02-07,MRO,44.73,45.45,44.34,44.63,2987100.0
2007-02-08,MRO,44.94,46.28,44.79,46.09,4581300.0
2007-02-09,MRO,45.98,46.47,45.42,45.56,2631100.0
2007-02-12,MRO,45.38,45.65,44.77,45.01,2498854.0
2007-02-13,MRO,45.51,46.23,45.33,46.2,2360918.0
2007-02-14,MRO,46.2,46.75,46.01,46.4,2767152.0
2007-02-15,MRO,46.03,46.48,45.34,45.63,2838000.0
2007-02-16,MRO,45.3,45.73,45.26,45.52,2619100.0
2007-02-20,MRO,45.2,45.26,44.67,45.2,2352400.0
2007-02-21,MRO,45.07,46.12,45.03,45.91,3217000.0
2007-02-22,MRO,46.1,46.42,45.59,46.06,3012600.0
2007-02-23,MRO,46.21,46.77,46.13,46.3,2243400.0
2007-02-26,MRO,46.39,47.07,46.3,46.38,2297818.0
2007-02-27,MRO,45.87,46.74,44.39,44.89,4744700.0
2007-02-28,MRO,44.94,45.72,44.92,45.36,4116400.0
2007-03-01,MRO,44.9,46.16,44.3,45.56,3679281.0
2007-03-02,MRO,45.33,45.56,44.5,44.62,2968200.0
2007-03-05,MRO,43.93,44.93,43.77,44.59,4330000.0
2007-03-06,MRO,44.59,45.63,44.91,45.52,2860700.0
2007-03-07,MRO,45.52,47.35,45.38,46.51,4228600.0
2007-03-08,MRO,46.83,47.41,46.52,47.08,4187300.0
2007-03-09,MRO,47.25,47.56,46.94,47.37,3725300.0
2007-03-12,MRO,46.85,47.17,46.51,46.76,3423100.0
2007-03-13,MRO,46.7,47.35,45.82,45.92,3449700.0
2007-03-14,MRO,46.46,46.7,45.31,46.7,4766200.0
2007-03-15,MRO,47.2,47.53,46.75,46.95,5414800.0
2007-03-16,MRO,47.15,47.2,46.33,46.65,4314700.0
2007-03-19,MRO,46.65,47.75,46.88,47.75,4726006.0
2007-03-20,MRO,47.69,49.0,47.49,49.0,5359600.0
2007-03-21,MRO,49.62,49.74,48.7,49.62,4770706.0
2007-03-22,MRO,50.08,51.65,49.63,50.73,6211973.0
2007-03-23,MRO,50.73,51.4,50.4,50.56,4164950.0
2007-03-26,MRO,50.77,51.48,50.26,51.28,4282992.0
2007-03-27,MRO,51.28,51.73,50.92,51.2,4013878.0
2007-03-28,MRO,51.48,51.7,50.88,51.15,4237600.0
2007-03-29,MRO,51.54,51.73,50.82,50.93,4475434.0
2007-03-30,MRO,51.06,51.06,49.38,49.41,4642893.0
2007-04-02,MRO,49.49,50.45,49.48,50.23,3819063.0
2007-04-03,MRO,49.38,50.5,49.0,50.36,3309700.0
2007-04-04,MRO,50.36,51.2,49.85,51.0,4938951.0
2007-04-05,MRO,51.4,51.61,51.0,51.4,3132600.0
2007-04-09,MRO,51.43,52.12,50.77,50.97,4127100.0
2007-04-10,MRO,51.25,51.38,50.1,50.68,4599800.0
2007-04-11,MRO,50.55,51.5,50.35,50.67,4058747.0
2007-04-12,MRO,51.01,51.49,50.53,51.23,3669624.0
2007-04-13,MRO,51.48,51.72,50.66,50.99,3713036.0
2007-04-16,MRO,51.01,51.39,50.42,51.1,2796728.0
2007-04-17,MRO,51.24,51.4,49.55,49.97,4093992.0
2007-04-18,MRO,49.97,50.76,49.71,50.66,4976884.0
2007-04-19,MRO,50.44,50.65,49.91,50.26,2879966.0
2007-04-20,MRO,50.22,50.34,49.45,50.27,4921542.0
2007-04-23,MRO,50.27,50.88,49.98,50.19,3390100.0
2007-04-24,MRO,50.19,50.38,49.65,49.89,2781368.0
2007-04-25,MRO,50.48,51.74,49.96,51.27,5429800.0
2007-04-26,MRO,51.75,52.25,51.17,51.6,4177250.0
2007-04-27,MRO,51.41,51.82,51.05,51.4,2762617.0
2007-04-30,MRO,51.67,52.2,50.77,50.77,3146638.0
2007-05-01,MRO,50.83,51.51,50.38,50.63,4491554.0
2007-05-02,MRO,50.71,51.17,50.24,51.17,3452550.0
2007-05-03,MRO,50.8,52.05,50.47,51.79,3693386.0
2007-05-04,MRO,52.1,52.75,51.6,52.2,3578927.0
2007-05-07,MRO,51.95,52.34,51.69,52.2,2186988.0
2007-05-08,MRO,52.2,52.8,51.81,52.71,3605500.0
2007-05-09,MRO,52.55,53.45,52.2,53.26,4029511.0
2007-05-10,MRO,53.26,53.88,52.16,52.77,4001140.0
2007-05-11,MRO,52.77,53.87,52.9,53.7,3343755.0
2007-05-14,MRO,53.75,54.62,53.75,54.46,12576058.0
2007-05-15,MRO,54.76,56.11,54.56,55.73,16850261.0
2007-05-16,MRO,55.52,55.98,54.91,55.88,13579230.0
2007-05-17,MRO,55.76,57.2,55.69,56.73,10131282.0
2007-05-18,MRO,56.73,57.4,56.37,57.26,10895190.0
2007-05-21,MRO,57.26,58.54,57.45,58.03,14395310.0
2007-05-22,MRO,58.5,59.06,58.16,58.16,12247134.0
2007-05-23,MRO,58.16,59.61,58.25,58.92,12723937.0
2007-05-24,MRO,58.92,59.94,58.28,58.5,15630509.0
2007-05-25,MRO,59.42,59.8,59.1,59.8,9026767.0
2007-05-29,MRO,59.64,60.12,58.98,59.45,11155343.0
2007-05-30,MRO,59.45,61.23,59.19,61.05,11748852.0
2007-05-31,MRO,61.2,62.38,61.15,61.91,14703197.0
2007-06-01,MRO,62.1,63.48,61.94,63.38,11912121.0
2007-06-04,MRO,63.11,64.39,62.92,64.19,9343497.0
2007-06-05,MRO,63.92,63.98,63.01,63.63,12178029.0
2007-06-06,MRO,63.63,63.59,62.08,62.49,11491401.0
2007-06-07,MRO,62.27,63.68,61.7,61.74,13104462.0
2007-06-08,MRO,61.74,62.76,61.35,62.73,9341674.0
2007-06-11,MRO,62.73,62.95,62.0,62.46,8562977.0
2007-06-12,MRO,62.46,62.73,61.45,61.48,9502975.0
2007-06-13,MRO,62.1,63.09,61.75,63.05,8041868.0
2007-06-14,MRO,63.05,64.53,63.33,64.5,8661384.0
2007-06-15,MRO,64.75,66.33,64.7,66.25,14785652.0
2007-06-18,MRO,66.25,67.04,65.64,65.69,9625799.0
2007-06-19,MRO,66.0,65.29,64.25,64.69,6587600.0
2007-06-20,MRO,64.69,65.75,61.78,61.78,8251038.0
2007-06-21,MRO,61.78,63.39,62.0,63.25,5913805.0
2007-06-22,MRO,63.0,63.3,61.62,62.12,5456565.0
2007-06-25,MRO,61.82,62.92,61.18,62.1,6116886.0
2007-06-26,MRO,63.5,63.5,60.33,60.51,5159788.0
2007-06-27,MRO,60.51,60.0,58.04,59.89,8021058.0
2007-06-28,MRO,59.89,61.24,59.72,59.74,4274298.0
2007-06-29,MRO,60.65,61.25,59.63,59.96,5282180.0
2007-07-02,MRO,59.96,61.23,60.07,61.2,4454517.0
2007-07-03,MRO,62.2,63.09,61.9,62.97,4257402.0
2007-07-05,MRO,63.3,63.77,61.93,62.75,5144360.0
2007-07-06,MRO,63.45,63.71,62.87,63.59,3338077.0
2007-07-09,MRO,64.01,64.1,63.0,63.9,4845777.0
2007-07-10,MRO,63.5,64.51,62.75,64.06,7662408.0
2007-07-11,MRO,64.06,63.85,62.4,62.87,5052400.0
2007-07-12,MRO,63.0,64.03,62.87,63.77,6048466.0
2007-07-13,MRO,64.0,65.2,63.64,65.04,4342801.0
2007-07-16,MRO,65.57,65.21,62.56,63.2,4733541.0
2007-07-17,MRO,63.68,64.29,61.97,62.13,7291523.0
2007-07-18,MRO,61.76,63.78,61.35,63.48,6891411.0
2007-07-19,MRO,63.65,64.53,62.85,63.1,5648028.0
2007-07-20,MRO,62.77,63.11,60.88,61.26,6693765.0
2007-07-23,MRO,62.11,62.11,59.45,61.23,6234700.0
2007-07-24,MRO,60.11,60.69,57.75,58.06,8773335.0
2007-07-25,MRO,59.0,59.62,57.25,59.42,5854796.0
2007-07-26,MRO,59.33,59.03,55.25,56.95,7583367.0
2007-07-27,MRO,56.9,57.39,53.58,55.15,8309063.0
