Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2008-02-19,PM,0.01,0.01,0.01,0.01,800
2008-02-22,PM,0.01,0.01,0.01,0.01,400
2008-02-25,PM,0.01,0.01,0.01,0.01,400
2008-02-29,PM,0.01,0.09,0.01,0.02,35000
2008-03-05,PM,0.01,0.01,0.01,0.01,1500
2008-04-07,PM,0.09,0.09,0.09,0.09,600
2008-05-29,PM,50.96,52.16,50.93,52.02,7386930
2008-05-30,PM,52.07,52.99,51.81,52.66,7047703
2008-06-02,PM,52.15,52.7,51.92,52.11,8668152
2008-06-03,PM,52.1,52.62,51.67,51.67,6552599
2008-06-04,PM,51.69,52.27,51.5,51.95,6407338
2008-06-24,PM,50.25,51.54,50.05,51.17,8976573
2008-06-25,PM,51.45,52.75,51.25,51.77,10334063
2008-06-26,PM,51.1,51.54,50.15,50.15,12055219
2008-06-27,PM,50.11,50.25,49.22,49.83,15397691
2008-06-30,PM,49.8,50.16,48.84,49.39,9972527
2008-07-01,PM,49.03,50.59,48.73,50.39,11092010
2008-07-02,PM,50.47,51.07,49.87,50.6,7959918
2008-07-03,PM,50.57,51.51,50.29,51.47,5152703
2008-07-07,PM,51.47,52.33,51.1,51.85,8395711
2008-07-08,PM,51.73,54.0,51.56,53.77,13978341
2008-07-09,PM,53.72,54.43,53.25,54.0,10411228
2008-07-10,PM,53.89,53.99,52.71,53.44,11581010
2008-07-11,PM,52.93,53.84,52.25,53.37,6588410
2008-07-14,PM,53.26,53.89,52.75,53.56,8298864
2008-07-15,PM,52.89,53.87,52.32,53.3,8306503
2008-07-16,PM,52.77,53.37,51.73,52.92,6909923
2008-07-17,PM,53.2,53.2,50.9,50.96,10317456
2008-07-18,PM,51.1,51.47,50.12,50.72,9560065
2008-07-21,PM,50.82,50.99,50.25,50.48,4370886
2008-07-22,PM,50.25,52.1,50.06,52.05,8927352
2008-07-23,PM,52.59,52.59,50.89,51.47,7943816
2008-07-24,PM,51.4,53.09,51.4,52.46,8717578
2008-07-25,PM,52.27,53.55,52.27,53.05,8066096
2008-07-28,PM,52.78,53.25,52.34,52.62,5130935
2008-07-29,PM,52.74,53.41,52.63,53.34,7257595
2008-07-30,PM,53.56,54.02,52.67,53.37,7355739
2008-07-31,PM,53.37,53.79,51.34,51.65,10498748
2008-08-01,PM,51.75,52.6,51.75,52.08,6718437
2008-08-04,PM,52.1,54.08,51.28,53.72,8963024
2008-08-05,PM,53.7,55.54,53.6,55.2,12884406
2008-08-06,PM,54.86,56.15,54.71,55.53,12660873
2008-08-07,PM,55.13,55.31,54.3,54.64,9282180
2008-08-08,PM,54.5,55.5,54.5,55.21,9266126
2008-08-11,PM,54.7,55.75,54.64,55.75,9724381
2008-08-12,PM,55.61,56.26,55.52,55.95,6690312
2008-08-13,PM,55.86,55.99,55.37,55.54,7810150
2008-08-14,PM,55.24,55.77,54.94,55.47,5723108
2008-08-15,PM,55.51,55.7,55.25,55.57,6561219
2008-08-18,PM,55.66,55.7,54.91,55.01,5743210
2008-08-19,PM,54.76,55.19,54.45,54.51,5712429
2008-08-20,PM,54.55,54.7,54.07,54.61,4411468
2008-08-21,PM,54.2,55.05,53.55,54.82,4693083
2008-08-22,PM,55.0,55.53,54.41,55.53,4342580
2008-08-25,PM,55.3,55.66,54.56,54.87,4400191
2008-08-26,PM,54.79,55.1,54.21,54.64,6994939
2008-08-27,PM,54.75,54.89,53.71,54.1,5459010
2008-08-28,PM,54.01,54.26,53.55,53.92,5426494
2008-08-29,PM,53.76,54.46,53.66,53.7,6060066
2008-09-02,PM,53.75,55.32,53.7,54.81,8835610
2008-09-03,PM,54.75,55.48,54.0,54.07,8237032
2008-09-04,PM,54.0,54.2,53.21,53.37,7825839
2008-09-05,PM,53.35,54.21,53.24,54.0,7810786
2008-09-08,PM,54.0,55.4,53.69,54.98,16614550
2008-09-09,PM,55.03,55.73,54.78,54.78,11238237
2008-09-10,PM,54.9,55.18,54.32,54.62,9203100
2008-09-11,PM,54.28,54.81,53.75,54.81,8566665
2008-09-12,PM,54.39,54.65,53.25,53.68,8564240
2008-09-15,PM,53.14,54.12,52.82,52.82,10481939
2008-09-16,PM,51.97,54.25,49.46,53.77,15648750
2008-09-17,PM,53.49,53.49,48.06,48.98,22145841
2008-09-18,PM,49.72,52.75,49.72,50.0,22622079
2008-09-19,PM,52.17,52.44,50.0,51.42,16822281
2008-09-22,PM,50.81,51.98,49.59,50.03,8992222
2008-09-23,PM,49.89,50.8,49.25,49.25,8219017
2008-09-24,PM,49.54,50.19,48.95,49.79,9164747
2008-09-25,PM,49.99,52.0,49.66,51.61,12454942
2008-09-26,PM,50.76,51.38,50.01,50.9,9315856
2008-09-29,PM,50.69,50.89,46.8,46.8,14648279
2008-09-30,PM,48.1,49.75,47.69,48.1,14356721
2008-10-01,PM,47.96,50.82,47.35,50.78,11719098
2008-10-02,PM,50.39,51.95,48.75,49.08,11218627
2008-10-03,PM,49.9,51.78,49.45,49.67,12270876
2008-10-06,PM,48.44,49.5,44.0,46.12,25422316
2008-10-07,PM,47.65,47.8,43.72,44.36,14792418
2008-10-08,PM,41.95,45.27,41.37,43.05,18701885
2008-10-09,PM,43.8,45.0,38.45,39.0,17785015
2008-10-10,PM,37.01,45.0,33.3,39.74,29162667
2008-10-13,PM,42.0,46.0,41.46,44.99,19808174
2008-10-14,PM,46.87,46.96,42.19,44.04,18449985
2008-10-15,PM,43.87,44.5,39.7,40.82,14562250
2008-10-16,PM,41.15,43.88,39.4,43.01,17460671
2008-10-17,PM,42.79,45.48,42.41,43.3,14269846
2008-10-20,PM,43.77,45.09,43.0,43.39,11162466
2008-10-21,PM,43.09,43.89,41.67,42.16,9769749
2008-10-22,PM,42.5,43.37,40.3,40.83,14755569
2008-10-23,PM,41.17,43.72,40.0,42.96,11903147
2008-10-24,PM,39.88,41.5,39.0,40.5,13534976
2008-10-27,PM,40.02,40.25,38.87,39.06,11106624
2008-10-28,PM,40.26,42.98,38.27,42.58,15862080
2008-10-29,PM,42.46,43.83,38.21,41.55,12468531
2008-10-30,PM,42.78,43.43,40.75,42.8,8336870
2008-10-31,PM,42.44,44.32,41.87,43.47,11920069
2008-11-03,PM,43.23,43.35,42.46,42.61,6143108
2008-11-04,PM,43.75,44.94,43.4,44.75,9858401
2008-11-05,PM,43.93,46.47,43.51,44.02,10003905
2008-11-06,PM,43.51,44.0,40.36,40.88,11733191
2008-11-07,PM,41.15,42.88,41.01,42.2,6935635
2008-11-10,PM,42.88,43.27,41.3,42.11,6312144
2008-11-11,PM,41.8,42.27,40.32,41.32,6880294
2008-11-12,PM,41.0,41.0,38.75,39.1,13245195
2008-11-13,PM,38.58,39.89,37.01,39.84,16385029
2008-11-14,PM,39.4,39.66,38.0,38.41,15140841
2008-11-17,PM,37.17,39.98,37.16,38.35,10499798
2008-11-18,PM,38.3,39.0,36.59,38.55,16243016
2008-11-19,PM,38.31,38.76,36.23,36.64,13955630
2008-11-20,PM,36.22,39.43,36.05,36.63,19557686
2008-11-21,PM,37.48,38.37,36.0,38.26,19190736
2008-11-24,PM,38.99,43.24,38.24,41.83,19287060
2008-11-25,PM,42.28,43.31,40.42,41.2,18246307
2008-11-26,PM,40.43,42.56,39.82,42.5,8657925
2008-11-28,PM,42.33,42.95,41.65,42.16,4652663
2008-12-01,PM,40.91,41.64,39.38,39.68,11709660
2008-12-02,PM,40.35,40.59,39.1,40.03,12697292
2008-12-03,PM,39.0,41.95,39.0,41.61,9148638
2008-12-04,PM,41.2,41.95,40.41,40.86,10659992
2008-12-05,PM,40.28,42.4,39.97,42.36,11547970
2008-12-08,PM,43.25,43.5,41.75,42.66,10048188
2008-12-09,PM,41.8,42.4,41.78,41.97,12248616
2008-12-10,PM,41.95,42.69,41.42,42.3,10514527
2008-12-11,PM,41.91,42.74,41.51,41.95,10587340
2008-12-12,PM,40.75,41.71,40.2,41.36,8789913
2008-12-15,PM,41.05,41.9,40.12,41.54,10763013
2008-12-16,PM,41.14,41.6,40.0,41.02,16539841
2008-12-17,PM,40.5,42.81,40.5,42.03,12533045
2008-12-18,PM,42.23,42.98,41.59,41.96,13240597
2008-12-19,PM,42.42,42.99,41.73,41.85,23860950
2008-12-22,PM,41.91,42.27,41.44,42.17,9734284
2008-12-23,PM,41.36,42.81,41.35,41.73,7624874
2008-12-24,PM,41.98,42.58,41.4,42.42,2736369
2008-12-26,PM,42.58,42.93,42.25,42.46,2911472
2008-12-29,PM,42.5,43.17,42.02,43.16,10158935
2008-12-30,PM,43.39,44.15,43.01,43.91,8737622
2008-12-31,PM,43.93,44.5,43.31,43.51,7886032
2009-01-02,PM,43.47,45.0,43.28,44.12,7250848
2009-01-05,PM,43.79,44.73,43.51,44.47,6636890
2009-01-06,PM,44.47,45.02,42.93,43.24,14052205
2009-01-07,PM,43.07,43.65,42.37,42.7,9346063
2009-01-08,PM,42.57,42.89,42.0,42.7,8733293
2009-01-09,PM,42.86,43.33,42.11,42.32,8594552
2009-01-12,PM,42.31,43.03,41.65,41.83,8829012
2009-01-13,PM,41.89,42.8,41.63,42.19,9938287
2009-01-14,PM,41.44,41.74,40.66,41.56,10077919
2009-01-15,PM,41.33,41.94,40.7,41.48,9437298
2009-01-16,PM,41.93,42.45,40.94,42.12,9670333
2009-01-19,PM,41.93,42.45,40.94,42.12,9670333
2009-01-20,PM,41.98,42.86,41.33,41.48,9878806
2009-01-21,PM,42.03,42.03,40.4,41.41,10609149
2009-01-22,PM,41.1,41.22,40.4,40.96,9756687
2009-01-23,PM,40.53,41.44,39.75,41.22,9972296
2009-01-26,PM,41.32,42.38,40.88,41.13,9751447
2009-01-27,PM,41.28,41.82,40.02,40.15,11807416
2009-01-28,PM,40.81,40.84,39.6,39.99,9369876
2009-01-29,PM,39.71,40.2,38.66,38.75,9528927
2009-01-30,PM,38.97,39.01,36.99,37.15,19185071
2009-02-02,PM,36.68,37.73,36.65,37.41,11974750
2009-02-03,PM,37.98,38.65,37.47,38.32,11845392
2009-02-04,PM,38.51,38.71,35.15,36.78,20295115
2009-02-05,PM,36.11,37.3,35.82,37.26,14638192
2009-02-06,PM,37.21,37.46,36.52,36.83,12785984
2009-02-09,PM,36.75,37.03,36.53,36.72,8707000
2009-02-10,PM,36.65,36.9,35.9,36.04,12692075
2009-02-11,PM,36.31,36.56,35.95,36.37,10400090
2009-02-12,PM,36.01,36.47,35.8,36.15,11929907
2009-02-13,PM,36.09,36.26,35.68,35.99,11326356
2009-02-17,PM,35.32,35.4,34.5,34.73,12751810
2009-02-18,PM,34.96,35.63,34.79,35.4,13314057
2009-02-19,PM,35.82,36.04,35.41,35.91,9861164
2009-02-20,PM,35.29,35.92,35.25,35.63,13236041
2009-02-23,PM,36.07,36.07,35.03,35.11,10778706
2009-02-24,PM,35.34,35.34,34.6,34.9,12551535
2009-02-25,PM,34.78,35.2,34.51,34.8,26323837
2009-02-26,PM,35.08,35.45,34.2,34.21,10911188
2009-02-27,PM,33.66,34.11,33.42,33.47,13863043
2009-03-02,PM,32.79,33.5,32.53,32.75,16291105
2009-03-03,PM,32.61,33.05,32.25,32.34,14968956
2009-03-04,PM,32.61,33.72,32.6,33.49,14920360
2009-03-05,PM,32.79,33.1,32.04,32.95,16889600
2009-03-06,PM,33.19,33.45,32.51,33.34,15376098
2009-03-09,PM,33.0,34.28,32.96,34.07,12549250
2009-03-10,PM,34.59,34.59,33.36,34.05,11028537
