Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,PNW,50.54,50.7,50.31,50.69,421300
2007-01-03,PNW,50.69,51.67,50.41,51.51,788500
2007-01-04,PNW,51.52,51.65,51.22,51.6,513500
2007-01-05,PNW,51.5,51.52,50.29,50.46,400100
2007-01-08,PNW,50.28,50.75,50.11,50.63,526900
2007-01-09,PNW,50.64,50.71,49.96,50.13,763700
2007-01-10,PNW,50.1,50.42,50.01,50.28,263600
2007-01-11,PNW,50.28,50.85,50.2,50.27,315300
2007-01-12,PNW,50.29,50.54,49.79,49.84,617800
2007-01-16,PNW,49.91,50.23,49.8,49.91,466400
2007-01-17,PNW,50.05,50.1,49.72,49.89,389600
2007-01-18,PNW,49.78,50.03,49.57,49.81,529400
2007-01-19,PNW,49.91,50.46,49.85,50.45,314900
2007-01-22,PNW,50.45,50.83,50.23,50.72,617600
2007-01-23,PNW,50.79,51.08,50.6,50.91,719500
2007-01-24,PNW,51.06,51.35,50.83,51.27,391100
2007-01-25,PNW,51.32,51.32,50.5,50.55,483000
2007-01-26,PNW,50.6,50.72,50.36,50.59,542800
2007-01-29,PNW,50.59,51.0,50.52,50.75,492800
2007-01-30,PNW,50.22,50.22,48.9,49.12,1384200
2007-01-31,PNW,49.12,49.27,48.09,48.79,1486100
2007-02-01,PNW,48.71,48.75,48.13,48.35,1173500
2007-02-02,PNW,48.36,48.83,48.36,48.7,871100
2007-02-05,PNW,48.74,48.89,48.31,48.48,640000
2007-02-06,PNW,48.49,48.67,48.48,48.64,574600
2007-02-07,PNW,48.64,48.68,48.28,48.4,541700
2007-02-08,PNW,48.49,48.54,48.18,48.29,995100
2007-02-09,PNW,48.29,48.39,47.92,48.2,583700
2007-02-12,PNW,48.32,48.32,47.87,47.92,461716
2007-02-13,PNW,48.06,48.14,47.89,48.08,693908
2007-02-14,PNW,48.03,48.23,48.01,48.09,489547
2007-02-15,PNW,48.1,48.14,47.85,48.03,580400
2007-02-16,PNW,47.91,48.17,47.8,48.15,749000
2007-02-20,PNW,48.18,48.43,48.06,48.42,1339600
2007-02-21,PNW,48.42,48.46,47.95,48.08,557500
2007-02-22,PNW,48.23,48.38,47.78,47.93,439100
2007-02-23,PNW,47.93,48.02,47.58,48.02,811700
2007-02-26,PNW,48.02,49.05,48.22,48.65,787100
2007-02-27,PNW,48.59,48.6,47.3,47.6,860600
2007-02-28,PNW,47.54,47.65,47.21,47.42,962000
2007-03-01,PNW,47.42,48.15,46.88,47.72,875801
2007-03-02,PNW,47.72,47.85,47.2,47.33,627300
2007-03-05,PNW,47.25,47.26,46.43,46.68,772600
2007-03-06,PNW,46.86,47.14,46.51,47.11,880597
2007-03-07,PNW,47.11,47.25,46.69,46.72,458800
2007-03-08,PNW,46.83,47.14,46.52,46.57,649400
2007-03-09,PNW,46.62,47.12,46.5,46.82,646800
2007-03-12,PNW,46.84,47.63,46.84,47.56,491800
2007-03-13,PNW,47.55,47.74,46.75,46.85,725500
2007-03-14,PNW,47.02,47.29,46.57,47.23,766200
2007-03-15,PNW,47.19,47.69,47.1,47.46,523700
2007-03-16,PNW,47.57,47.64,46.94,47.0,834400
2007-03-19,PNW,47.13,47.49,47.0,47.23,639200
2007-03-20,PNW,47.09,48.07,47.0,48.07,507400
2007-03-21,PNW,48.07,48.61,47.66,48.42,721200
2007-03-22,PNW,48.42,48.48,47.82,47.92,1058500
2007-03-23,PNW,47.92,48.41,47.81,48.32,860800
2007-03-26,PNW,48.24,48.55,48.07,48.25,691600
2007-03-27,PNW,48.28,48.6,48.05,48.51,568800
2007-03-28,PNW,48.33,48.86,48.32,48.45,556300
2007-03-29,PNW,48.67,48.82,48.23,48.62,531800
2007-03-30,PNW,48.65,48.89,47.75,48.25,783100
2007-04-02,PNW,48.14,49.4,48.14,49.27,661500
2007-04-03,PNW,49.28,49.64,49.13,49.3,555400
2007-04-04,PNW,49.35,49.57,49.19,49.37,570200
2007-04-05,PNW,49.37,49.56,49.16,49.5,475200
2007-04-09,PNW,49.43,49.71,49.43,49.61,621900
2007-04-10,PNW,49.55,49.84,49.55,49.81,269000
2007-04-11,PNW,49.75,49.84,49.02,49.08,778399
2007-04-12,PNW,49.19,49.34,48.79,49.09,370940
2007-04-13,PNW,49.09,49.31,48.85,49.12,303400
2007-04-16,PNW,49.3,49.5,49.0,49.12,609400
2007-04-17,PNW,49.1,49.37,49.05,49.22,506900
2007-04-18,PNW,49.24,49.24,48.97,49.12,535300
2007-04-19,PNW,49.56,49.56,48.65,48.73,699500
2007-04-20,PNW,49.56,49.68,49.03,49.35,768700
2007-04-23,PNW,49.53,49.99,49.51,49.69,550600
2007-04-24,PNW,49.7,50.11,49.54,50.11,776200
2007-04-25,PNW,50.12,50.68,50.0,50.52,573400
2007-04-26,PNW,50.52,50.57,50.01,50.05,1167700
2007-04-27,PNW,49.53,49.53,48.91,49.1,529792
2007-04-30,PNW,49.05,49.06,48.27,48.29,907752
2007-05-01,PNW,49.17,49.1,48.27,48.79,890600
2007-05-02,PNW,48.67,49.15,48.6,49.05,753400
2007-05-03,PNW,49.14,49.15,48.6,48.91,442600
2007-05-04,PNW,49.14,49.14,48.76,48.99,358200
2007-05-07,PNW,49.14,49.35,49.0,49.2,346400
2007-05-08,PNW,49.1,49.2,48.76,49.2,338400
2007-05-09,PNW,49.2,49.24,48.7,48.95,356800
2007-05-10,PNW,48.94,48.96,48.34,48.36,493700
2007-05-11,PNW,48.55,48.76,48.22,48.75,343600
2007-05-14,PNW,48.8,49.14,48.8,48.88,493176
2007-05-15,PNW,48.86,49.45,48.67,48.74,512007
2007-05-16,PNW,48.78,49.16,48.63,48.68,562600
2007-05-17,PNW,48.73,48.95,48.48,48.57,437100
2007-05-18,PNW,48.57,48.84,48.39,48.48,822100
2007-05-21,PNW,48.58,48.8,48.44,48.68,568300
2007-05-22,PNW,48.65,48.83,48.39,48.55,472200
2007-05-23,PNW,49.05,48.34,46.52,46.58,1018808
2007-05-24,PNW,46.68,46.77,45.59,45.6,1161000
2007-05-25,PNW,46.0,46.52,45.05,45.44,1108000
2007-05-29,PNW,45.49,46.19,45.49,45.69,597570
2007-05-30,PNW,45.45,46.22,45.26,46.04,549815
2007-05-31,PNW,46.14,46.51,45.89,46.43,1040219
2007-06-01,PNW,46.59,46.66,46.15,46.3,880900
2007-06-04,PNW,46.11,46.15,45.57,45.82,948500
2007-06-05,PNW,45.82,45.79,45.15,45.4,823900
2007-06-06,PNW,45.21,45.32,44.81,44.92,909700
2007-06-07,PNW,44.7,44.89,43.12,43.13,1189700
2007-06-08,PNW,43.13,43.64,42.87,43.17,1272121
2007-06-11,PNW,43.3,43.99,43.11,43.62,981509
2007-06-12,PNW,43.58,43.58,42.88,42.94,825233
2007-06-13,PNW,43.3,43.7,43.08,43.63,992233
2007-06-14,PNW,43.68,43.98,43.58,43.76,761900
2007-06-15,PNW,44.1,44.47,44.0,44.01,796500
2007-06-18,PNW,44.03,44.18,43.4,43.43,1004700
2007-06-19,PNW,43.45,43.65,43.19,43.45,745400
2007-06-20,PNW,43.45,43.45,42.17,42.26,2486620
2007-06-21,PNW,42.05,42.21,41.59,41.81,1856900
2007-06-22,PNW,41.81,41.85,41.08,41.24,1733000
2007-06-25,PNW,41.3,41.33,40.57,40.75,1724540
2007-06-26,PNW,41.35,41.8,40.63,40.7,1400000
2007-06-27,PNW,40.49,40.82,40.03,40.53,1398934
2007-06-28,PNW,40.53,41.08,40.36,40.47,1142700
2007-06-29,PNW,40.15,40.38,39.38,39.85,1932842
2007-07-02,PNW,39.85,40.55,39.99,40.55,1307610
2007-07-03,PNW,40.8,41.3,40.61,40.92,1009000
2007-07-05,PNW,40.95,40.97,39.86,40.4,1185000
2007-07-06,PNW,40.49,40.49,39.69,39.94,852200
2007-07-09,PNW,39.94,40.0,39.65,39.95,726600
2007-07-10,PNW,39.61,39.79,39.17,39.3,1543172
2007-07-11,PNW,39.32,39.55,39.21,39.55,1038400
2007-07-12,PNW,39.55,40.2,39.52,40.2,824800
2007-07-13,PNW,40.1,40.78,40.05,40.67,868900
2007-07-16,PNW,40.67,40.98,39.84,39.91,913500
2007-07-17,PNW,39.86,40.22,39.7,39.96,1092900
2007-07-18,PNW,39.96,40.22,39.73,40.03,921000
2007-07-19,PNW,40.04,40.8,39.97,40.61,867500
2007-07-20,PNW,40.59,40.75,39.73,39.78,1054500
2007-07-23,PNW,40.07,40.51,39.92,40.14,1008600
2007-07-24,PNW,39.88,40.21,38.87,38.93,1593717
2007-07-25,PNW,39.4,39.64,38.65,39.34,1367500
2007-07-26,PNW,40.0,39.8,38.39,38.91,2036236
2007-07-27,PNW,39.25,39.4,38.2,38.27,2120693
2007-07-30,PNW,37.92,38.18,37.23,37.77,1678577
2007-07-31,PNW,38.2,38.2,37.44,37.48,1565113
2007-08-01,PNW,37.48,38.61,37.17,38.56,2104911
2007-08-02,PNW,39.42,39.42,38.11,38.47,1409568
2007-08-03,PNW,38.33,38.56,37.1,37.1,1857189
2007-08-06,PNW,37.3,38.57,36.79,38.55,1252557
2007-08-07,PNW,38.55,39.97,38.2,39.64,1455200
2007-08-08,PNW,39.85,41.19,39.75,40.74,1712100
2007-08-09,PNW,40.1,41.76,40.08,40.63,1462746
2007-08-10,PNW,40.62,41.35,39.78,40.63,1763200
2007-08-13,PNW,40.63,40.73,39.12,39.45,1395900
2007-08-14,PNW,39.6,39.6,38.79,38.84,887954
2007-08-15,PNW,38.67,39.51,38.4,38.47,1034200
2007-08-16,PNW,38.47,39.98,38.1,39.83,1446600
2007-08-17,PNW,41.72,41.01,39.44,40.84,1070000
2007-08-20,PNW,40.86,40.94,39.56,40.03,814000
2007-08-21,PNW,39.55,40.19,39.5,39.63,737400
2007-08-22,PNW,39.8,40.11,39.37,39.83,551100
2007-08-23,PNW,39.83,40.28,39.42,39.81,674200
2007-08-24,PNW,40.1,40.1,39.49,39.99,373800
2007-08-27,PNW,40.18,40.18,38.81,38.81,763338
2007-08-28,PNW,38.81,39.08,38.65,38.8,1212200
2007-08-29,PNW,39.14,39.79,38.83,39.71,856500
2007-08-30,PNW,39.48,39.87,39.15,39.43,697400
2007-08-31,PNW,39.97,40.04,39.21,39.84,638300
2007-09-04,PNW,39.84,40.7,39.9,40.54,733200
2007-09-05,PNW,40.54,40.22,39.64,40.0,1132100
2007-09-06,PNW,39.96,40.36,39.71,40.32,617700
2007-09-07,PNW,39.93,40.15,39.5,39.73,917500
2007-09-10,PNW,40.0,40.17,39.53,39.98,932300
2007-09-11,PNW,39.98,40.41,39.84,40.1,701900
2007-09-12,PNW,40.17,40.31,39.94,40.06,538900
2007-09-13,PNW,40.21,40.25,39.78,39.91,853500
2007-09-14,PNW,39.91,40.11,39.79,39.94,827800
2007-09-17,PNW,39.86,39.99,39.55,39.73,459900
2007-09-18,PNW,39.76,40.25,39.59,40.25,1161000
2007-09-19,PNW,40.5,40.65,40.07,40.31,1374500
2007-09-20,PNW,40.31,40.5,39.97,39.98,659500
2007-09-21,PNW,40.35,40.35,39.93,40.03,927400
2007-09-24,PNW,40.0,40.11,39.75,39.81,804400
2007-09-25,PNW,39.87,39.92,39.55,39.68,533400
2007-09-26,PNW,39.68,40.13,39.65,39.96,572600
2007-09-27,PNW,40.16,40.16,39.72,39.81,632100
2007-09-28,PNW,39.85,40.0,39.48,39.51,897000
2007-10-01,PNW,39.51,40.35,39.5,40.14,1367900
2007-10-02,PNW,40.2,40.45,40.19,40.38,1087900
2007-10-03,PNW,40.31,40.69,40.3,40.67,721700
2007-10-04,PNW,40.8,40.83,40.6,40.81,807400
2007-10-05,PNW,40.79,41.37,40.69,41.11,919000
2007-10-08,PNW,41.1,41.36,41.04,41.21,521300
2007-10-09,PNW,41.2,41.69,41.09,41.69,582400
2007-10-10,PNW,41.7,41.79,41.49,41.63,554900
2007-10-11,PNW,41.94,42.26,41.81,41.95,959400
2007-10-12,PNW,42.11,42.62,42.02,42.15,742800
2007-10-15,PNW,42.11,42.29,41.77,41.92,809900
2007-10-16,PNW,41.98,42.06,41.73,41.88,467800
2007-10-17,PNW,42.01,42.29,41.36,41.63,788600
2007-10-18,PNW,41.72,41.93,41.58,41.69,653000
2007-10-19,PNW,41.69,41.9,40.63,40.63,945873
2007-10-22,PNW,40.56,40.8,40.18,40.63,759400
2007-10-23,PNW,40.7,40.94,40.0,40.29,631900
2007-10-24,PNW,40.4,40.6,39.92,40.34,968200
2007-10-25,PNW,40.5,41.52,40.5,41.33,1653800
2007-10-26,PNW,41.4,41.47,40.77,41.19,705500
2007-10-29,PNW,41.41,41.66,41.03,41.22,705600
2007-10-30,PNW,40.88,41.15,40.35,40.76,777300
2007-10-31,PNW,39.97,40.61,39.64,40.4,1124100
2007-11-01,PNW,40.33,40.33,39.39,39.5,1011800
2007-11-02,PNW,39.7,39.82,39.04,39.53,949300
2007-11-05,PNW,39.56,42.31,39.55,42.3,3414230
2007-11-06,PNW,42.33,42.33,41.04,42.04,1346143
2007-11-07,PNW,41.66,41.86,40.94,40.94,1105700
2007-11-08,PNW,41.07,41.72,40.94,41.6,734365
2007-11-09,PNW,41.89,42.05,41.06,41.74,1089500
2007-11-12,PNW,41.51,42.12,41.51,41.71,1055672
2007-11-13,PNW,41.98,42.68,41.7,42.57,707501
2007-11-14,PNW,42.53,42.6,42.14,42.3,654800
2007-11-15,PNW,42.22,42.98,41.89,42.62,740418
2007-11-16,PNW,42.9,43.1,42.4,42.9,1341500
2007-11-19,PNW,42.71,42.76,42.35,42.55,2755620
2007-11-20,PNW,42.33,43.22,42.19,43.14,1714600
2007-11-21,PNW,42.99,43.64,42.92,43.09,1331000
2007-11-22,PNW,42.99,43.64,42.92,43.09,1331000
2007-11-23,PNW,43.43,43.43,42.88,43.18,556400
2007-11-26,PNW,42.9,43.34,42.62,42.67,1228900
2007-11-27,PNW,42.39,42.57,41.74,42.25,1578900
2007-11-28,PNW,42.31,42.85,42.23,42.85,585500
2007-11-29,PNW,42.8,42.91,42.42,42.62,420900
2007-11-30,PNW,43.04,43.04,42.22,42.86,810614
2007-12-03,PNW,43.1,43.33,42.87,43.06,603500
2007-12-04,PNW,42.89,43.86,42.74,43.64,483000
2007-12-05,PNW,43.96,44.21,43.74,44.16,706202
2007-12-06,PNW,44.14,44.23,43.57,44.23,560750
2007-12-07,PNW,44.14,44.23,43.57,44.23,560750
2007-12-10,PNW,44.15,44.5,44.1,44.24,396251
2007-12-11,PNW,44.22,44.46,43.22,43.28,417501
2007-12-12,PNW,43.88,44.18,42.98,43.38,569800
2007-12-13,PNW,43.08,43.75,43.08,43.69,496801
2007-12-14,PNW,43.31,43.48,42.69,42.69,520600
2007-12-17,PNW,42.35,42.58,42.15,42.22,506400
2007-12-18,PNW,42.05,42.65,42.05,42.47,679600
2007-12-19,PNW,42.74,42.74,42.04,42.22,478618
2007-12-20,PNW,42.32,42.65,42.0,42.47,357700
2007-12-21,PNW,42.8,43.2,42.59,43.02,833546
2007-12-24,PNW,43.18,43.43,42.5,43.07,186340
2007-12-26,PNW,43.09,43.28,42.92,43.17,375164
