Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,PRU,85.7,86.19,85.65,85.86,807800
2007-01-03,PRU,85.97,87.1,85.73,86.25,2309100
2007-01-04,PRU,86.25,86.39,85.49,85.9,1948100
2007-01-05,PRU,85.57,86.25,85.55,85.69,1566700
2007-01-08,PRU,85.54,86.35,85.38,86.22,1526900
2007-01-09,PRU,86.5,86.8,85.44,85.88,2107700
2007-01-10,PRU,85.73,87.12,85.61,86.94,2534600
2007-01-11,PRU,86.86,87.91,86.86,87.78,2201600
2007-01-12,PRU,87.8,87.95,87.1,87.68,1249000
2007-01-16,PRU,87.79,88.78,87.54,88.61,2176600
2007-01-17,PRU,88.5,88.5,87.71,87.98,1628000
2007-01-18,PRU,88.03,88.5,87.87,88.05,1684900
2007-01-19,PRU,88.48,88.74,87.85,88.56,1827500
2007-01-22,PRU,88.36,88.56,87.92,88.18,1145300
2007-01-23,PRU,87.98,88.21,87.52,88.16,1350200
2007-01-24,PRU,88.15,88.74,88.12,88.67,1327000
2007-01-25,PRU,88.5,88.55,87.4,87.57,1575100
2007-01-26,PRU,87.58,88.37,87.26,87.95,1260900
2007-01-29,PRU,88.0,88.99,87.9,88.16,1959200
2007-01-30,PRU,88.48,89.0,88.43,88.97,2045600
2007-01-31,PRU,88.45,89.33,88.2,89.13,1899300
2007-02-01,PRU,89.13,90.03,89.05,90.01,2092000
2007-02-02,PRU,90.0,90.7,89.93,90.33,1840700
2007-02-05,PRU,90.44,90.44,89.63,89.86,1430500
2007-02-06,PRU,89.77,90.36,89.51,89.73,1712600
2007-02-07,PRU,89.65,90.37,89.65,90.37,2204800
2007-02-08,PRU,91.5,92.83,91.19,92.14,5324400
2007-02-09,PRU,92.7,92.75,90.79,91.33,2517800
2007-02-12,PRU,91.32,91.65,90.62,91.05,1562282
2007-02-13,PRU,90.79,91.74,90.75,91.73,1477564
2007-02-14,PRU,91.73,92.75,91.5,92.55,1966056
2007-02-15,PRU,92.0,92.15,91.55,91.84,1475900
2007-02-16,PRU,91.4,92.7,91.28,92.51,2772000
2007-02-20,PRU,92.51,93.26,92.11,93.1,2394500
2007-02-21,PRU,92.4,93.08,92.4,92.63,1844300
2007-02-22,PRU,92.5,93.03,92.33,92.69,1507700
2007-02-23,PRU,92.47,92.74,92.15,92.45,1424300
2007-02-26,PRU,92.45,92.73,91.89,92.37,1419032
2007-02-27,PRU,92.26,92.36,89.78,90.21,3400500
2007-02-28,PRU,90.21,91.2,90.14,90.94,2986000
2007-03-01,PRU,90.95,90.95,89.28,90.38,3104304
2007-03-02,PRU,90.22,90.72,89.83,89.91,1753500
2007-03-05,PRU,89.74,90.12,89.23,89.28,2430800
2007-03-06,PRU,89.75,89.93,89.28,89.75,2411946
2007-03-07,PRU,89.75,90.2,89.35,89.56,2165400
2007-03-08,PRU,90.0,90.65,89.86,90.29,1570800
2007-03-09,PRU,90.25,90.79,90.02,90.31,1859200
2007-03-12,PRU,89.91,90.35,89.25,90.17,1499200
2007-03-13,PRU,89.78,89.93,87.79,87.91,4226300
2007-03-14,PRU,88.0,88.9,87.18,88.66,3432800
2007-03-15,PRU,88.6,89.47,88.49,89.15,1699300
2007-03-16,PRU,89.36,89.84,88.23,88.65,3861300
2007-03-19,PRU,89.44,89.95,89.15,89.79,2012000
2007-03-20,PRU,89.62,90.41,89.35,90.21,2586562
2007-03-21,PRU,90.16,91.57,89.98,91.14,2717801
2007-03-22,PRU,91.14,91.3,90.61,91.04,2016881
2007-03-23,PRU,91.04,91.6,90.71,91.23,1668959
2007-03-26,PRU,91.23,91.39,90.51,91.05,2006900
2007-03-27,PRU,91.06,91.05,90.28,90.6,1736241
2007-03-28,PRU,89.94,90.54,89.57,89.97,2635399
2007-03-29,PRU,90.19,90.52,89.57,90.11,1859013
2007-03-30,PRU,90.28,90.88,89.62,90.26,1915300
2007-04-02,PRU,90.4,90.54,89.88,90.21,1812300
2007-04-03,PRU,90.46,91.44,90.46,91.41,2125200
2007-04-04,PRU,91.41,91.63,90.92,91.61,1550900
2007-04-05,PRU,91.62,91.89,91.34,91.66,736000
2007-04-09,PRU,91.91,91.94,91.45,91.68,905900
2007-04-10,PRU,91.61,92.18,91.51,91.63,1152200
2007-04-11,PRU,91.75,92.06,91.18,91.35,1706618
2007-04-12,PRU,91.36,92.07,91.01,91.98,1341610
2007-04-13,PRU,92.34,92.34,91.72,92.07,1228513
